timestamp; area; px1; py1; px2; py2; px3; py3; px4; py4;
0; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
1; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
2; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
3; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
4; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
5; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
6; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
7; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
8; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
9; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
10; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
11; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
12; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
13; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
14; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
15; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
16; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
17; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
18; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
20; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
21; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
22; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
23; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
24; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
25; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
26; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
27; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
28; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
29; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
30; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
31; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
32; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
33; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
34; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
36; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
37; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
38; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
39; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
40; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
41; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
42; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
43; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
44; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
45; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
46; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
47; 4160.00; 68.00; 76.00; 69.00; 140.00; 132.00; 142.00; 133.00; 76.00;
48; 4257.00; 68.00; 74.00; 69.00; 138.00; 134.00; 140.00; 134.00; 74.00;
49; 5112.00; 66.00; 69.00; 67.00; 138.00; 138.00; 141.00; 138.00; 67.00;
50; 5329.00; 140.00; 65.00; 66.00; 66.00; 67.00; 137.00; 139.00; 140.00;
51; 5550.00; 141.00; 61.00; 66.00; 63.00; 67.00; 136.00; 140.00; 138.00;
52; 5853.00; 143.00; 58.00; 66.00; 59.00; 66.00; 134.00; 141.00; 137.00;
53; 6087.50; 66.00; 54.00; 66.00; 132.00; 142.00; 135.00; 145.00; 56.00;
54; 6361.50; 66.00; 53.00; 65.00; 131.00; 144.00; 134.00; 146.00; 52.00;
55; 6643.00; 65.00; 51.00; 65.00; 131.00; 145.00; 134.00; 147.00; 50.00;
56; 6810.00; 65.00; 50.00; 64.00; 130.00; 145.00; 135.00; 148.00; 49.00;
57; 6976.00; 65.00; 49.00; 64.00; 130.00; 146.00; 135.00; 149.00; 48.00;
58; 7269.00; 65.00; 48.00; 64.00; 132.00; 149.00; 135.00; 150.00; 48.00;
59; 6606.50; 67.00; 49.00; 65.00; 130.00; 146.00; 133.00; 148.00; 51.00;
60; 7832.00; 64.00; 46.00; 62.00; 134.00; 149.00; 137.00; 151.00; 45.00;
61; 8459.00; 62.00; 39.00; 61.00; 135.00; 150.00; 138.00; 151.00; 44.00;
62; 8460.00; 151.00; 43.00; 60.00; 45.00; 61.00; 137.00; 150.00; 139.00;
63; 9252.00; 52.00; 38.00; 59.00; 137.00; 150.00; 139.00; 151.00; 43.00;
64; 8694.00; 151.00; 42.00; 59.00; 43.00; 59.00; 136.00; 151.00; 138.00;
65; 9018.00; 149.00; 36.00; 58.00; 42.00; 58.00; 136.00; 151.00; 138.00;
66; 9216.00; 58.00; 39.00; 56.00; 135.00; 151.00; 138.00; 152.00; 39.00;
67; 10339.00; 49.00; 31.00; 55.00; 135.00; 154.00; 137.00; 153.00; 37.00;
68; 10954.50; 48.00; 29.00; 53.00; 142.00; 151.00; 137.00; 150.00; 31.00;
69; 9950.00; 55.00; 34.00; 53.00; 134.00; 151.00; 137.00; 153.00; 34.00;
70; 10100.00; 54.00; 33.00; 52.00; 133.00; 151.00; 136.00; 153.00; 32.00;
71; 10004.00; 55.00; 31.00; 153.00; 33.00; 151.00; 135.00; 52.00; 132.00;
72; 10253.00; 53.00; 31.00; 52.00; 132.00; 151.00; 135.00; 154.00; 31.00;
73; 11016.00; 47.00; 24.00; 51.00; 132.00; 152.00; 135.00; 153.00; 30.00;
74; 10505.00; 153.00; 30.00; 51.00; 32.00; 51.00; 134.00; 152.00; 135.00;
75; 10505.00; 52.00; 31.00; 51.00; 134.00; 152.00; 136.00; 153.00; 31.00;
76; 10454.50; 153.00; 31.00; 51.00; 33.00; 51.00; 134.00; 152.00; 136.00;
77; 10403.00; 153.00; 31.00; 51.00; 33.00; 52.00; 134.00; 152.00; 136.00;
78; 10504.00; 153.00; 31.00; 51.00; 33.00; 52.00; 135.00; 152.00; 137.00;
79; 10556.50; 152.00; 32.00; 50.00; 35.00; 51.00; 137.00; 152.00; 138.00;
80; 10505.50; 152.00; 33.00; 50.00; 35.00; 51.00; 137.00; 152.00; 138.00;
81; 10611.00; 152.00; 32.00; 50.00; 35.00; 51.00; 137.00; 154.00; 137.00;
82; 11436.00; 42.00; 27.00; 51.00; 137.00; 152.00; 138.00; 153.00; 32.00;
83; 10712.00; 153.00; 31.00; 50.00; 34.00; 51.00; 137.00; 153.00; 137.00;
84; 9409.00; 54.00; 35.00; 54.00; 133.00; 150.00; 133.00; 151.00; 36.00;
85; 10762.50; 154.00; 31.00; 51.00; 32.00; 51.00; 136.00; 153.00; 137.00;
86; 10763.50; 154.00; 31.00; 50.00; 33.00; 51.00; 136.00; 153.00; 137.00;
87; 10816.00; 49.00; 33.00; 51.00; 136.00; 153.00; 137.00; 154.00; 31.00;
88; 11223.00; 154.00; 30.00; 51.00; 32.00; 50.00; 143.00; 153.00; 137.00;
89; 11074.50; 154.00; 30.00; 50.00; 32.00; 49.00; 138.00; 153.00; 137.00;
90; 10867.00; 51.00; 31.00; 51.00; 135.00; 153.00; 137.00; 155.00; 30.00;
91; 10866.50; 52.00; 30.00; 51.00; 135.00; 153.00; 137.00; 155.00; 30.00;
92; 11582.50; 155.00; 29.00; 51.00; 30.00; 50.00; 142.00; 151.00; 143.00;
93; 10971.00; 155.00; 28.00; 51.00; 30.00; 51.00; 134.00; 154.00; 136.00;
94; 10921.50; 52.00; 28.00; 51.00; 133.00; 154.00; 135.00; 156.00; 29.00;
95; 10918.50; 52.00; 27.00; 51.00; 132.00; 153.00; 135.00; 155.00; 27.00;
96; 10869.50; 52.00; 26.00; 50.00; 130.00; 153.00; 133.00; 155.00; 26.00;
97; 11076.00; 51.00; 25.00; 51.00; 129.00; 150.00; 139.00; 155.00; 25.00;
98; 10662.00; 52.00; 24.00; 51.00; 126.00; 152.00; 130.00; 155.00; 23.00;
99; 10767.00; 53.00; 22.00; 51.00; 125.00; 155.00; 128.00; 156.00; 23.00;
100; 11165.00; 52.00; 22.00; 50.00; 134.00; 152.00; 128.00; 155.00; 22.00;
101; 10766.50; 51.00; 22.00; 50.00; 125.00; 152.00; 128.00; 155.00; 22.00;
102; 10764.00; 51.00; 21.00; 50.00; 125.00; 151.00; 128.00; 154.00; 21.00;
103; 10817.50; 51.00; 20.00; 49.00; 124.00; 151.00; 127.00; 154.00; 20.00;
104; 11383.00; 51.00; 19.00; 48.00; 132.00; 153.00; 126.00; 154.00; 20.00;
105; 11288.50; 49.00; 13.00; 49.00; 124.00; 152.00; 126.00; 154.00; 20.00;
