timestamp; x; y; z;
0.000000; 0.095200; -0.485092; -0.803009;
0.010012; 0.072968; -0.477768; -0.797470;
0.020024; 0.061813; -0.487457; -0.823044;
0.030036; 0.051895; -0.514847; -0.852173;
0.040049; 0.037094; -0.547256; -0.871445;
0.050061; 0.027084; -0.555191; -0.874115;
0.060073; 0.032852; -0.544800; -0.867233;
0.070085; 0.055618; -0.562317; -0.842606;
0.080097; 0.079987; -0.589111; -0.840195;
0.090109; 0.091599; -0.600937; -0.813629;
0.100121; 0.087845; -0.612198; -0.768677;
0.110134; 0.073608; -0.600128; -0.828613;
0.120146; 0.044434; -0.575684; -0.932327;
0.130158; 0.030914; -0.538651; -1.015381;
0.140170; 0.055786; -0.502625; -1.086197;
0.150182; 0.104462; -0.463760; -0.932861;
0.160194; 0.111679; -0.446854; -0.885529;
0.170206; 0.079025; -0.475220; -0.861877;
0.180219; 0.051636; -0.499512; -0.851013;
0.190231; 0.050461; -0.489151; -0.850647;
0.200243; 0.059479; -0.456131; -0.852936;
0.210255; 0.086487; -0.360153; -0.884094;
0.220267; 0.118851; -0.354355; -0.905045;
0.230279; 0.073486; -0.440765; -0.926331;
0.240291; 0.030685; -0.505005; -0.876740;
0.250304; 0.007034; -0.530609; -0.852341;
0.260316; -0.003052; -0.532730; -0.895584;
0.270328; 0.012939; -0.502487; -0.892746;
0.280340; 0.036652; -0.459106; -0.868286;
0.290352; 0.045288; -0.456207; -0.866318;
0.300364; 0.039246; -0.473862; -0.867249;
0.310376; 0.045822; -0.483231; -0.865646;
0.320389; 0.065338; -0.469406; -0.992661;
0.330401; 0.046585; -0.469742; -0.950546;
0.340413; 0.007660; -0.480225; -0.811676;
0.350425; -0.001419; -0.480896; -0.870529;
0.360437; 0.003876; -0.497101; -0.889648;
0.370449; 0.013458; -0.496124; -0.849182;
0.380462; 0.018402; -0.482391; -0.851395;
0.390474; 0.016266; -0.474258; -0.849762;
0.400486; 0.018188; -0.479187; -0.837311;
0.410498; 0.022491; -0.488770; -0.826859;
0.420511; 0.030731; -0.491531; -0.828094;
0.430522; 0.033615; -0.492889; -0.841583;
0.440534; 0.031479; -0.507431; -0.872192;
0.450547; 0.056061; -0.510956; -0.903793;
0.460559; 0.081177; -0.509689; -0.922852;
0.470572; 0.094788; -0.509338; -0.924194;
0.480583; 0.091980; -0.521072; -0.903732;
0.490595; 0.087234; -0.537201; -0.879730;
0.500608; 0.080276; -0.549576; -0.848892;
0.510619; 0.088058; -0.548416; -0.825714;
0.520632; 0.107605; -0.555969; -0.812683;
0.530644; 0.120255; -0.561600; -0.814682;
0.540656; 0.128372; -0.549530; -0.832657;
0.550669; 0.130615; -0.533615; -0.853027;
0.560680; 0.120529; -0.530914; -0.868408;
0.570692; 0.095352; -0.527878; -0.891312;
0.580705; 0.096115; -0.507996; -0.915466;
0.590717; 0.109634; -0.478439; -0.929581;
0.600729; 0.087814; -0.480438; -0.914581;
0.610741; 0.077148; -0.491013; -0.883957;
0.620753; 0.081863; -0.504517; -0.876160;
0.630766; 0.076370; -0.524216; -0.892578;
0.640777; 0.080109; -0.518326; -0.899277;
0.650789; 0.100296; -0.495972; -0.889450;
0.660802; 0.108963; -0.481873; -0.880234;
0.670814; 0.073730; -0.497955; -0.855667;
0.680826; 0.052734; -0.501740; -0.839142;
0.690838; 0.052246; -0.499344; -0.843842;
0.700850; 0.081879; -0.493622; -0.856079;
0.710863; 0.084869; -0.487900; -0.900681;
0.720876; 0.086151; -0.489441; -0.937241;
0.730887; 0.091064; -0.502075; -0.946289;
0.740899; 0.093719; -0.511307; -0.943604;
0.750911; 0.097092; -0.521240; -0.942261;
0.760923; 0.105667; -0.523758; -0.935394;
0.770935; 0.101791; -0.517380; -0.910110;
0.780947; 0.081894; -0.512939; -0.870392;
0.790960; 0.063202; -0.516083; -0.817017;
