timestamp; area; px1; py1; px2; py2; px3; py3; px4; py4;
0; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
1; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
2; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
3; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
4; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
5; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
6; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
7; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
8; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
9; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
10; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
11; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
12; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
13; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
14; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
15; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
16; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
17; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
18; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
20; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
21; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
22; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
23; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
24; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
25; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
26; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
27; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
28; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
29; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
30; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
31; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
32; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
33; 5764.00; 86.00; 62.00; 165.00; 67.00; 158.00; 142.00; 83.00; 136.00;
34; 5944.00; 83.00; 57.00; 81.00; 132.00; 157.00; 137.00; 163.00; 60.00;
35; 6705.50; 79.00; 50.00; 76.00; 128.00; 156.00; 136.00; 163.00; 51.00;
36; 7104.00; 70.00; 41.00; 74.00; 124.00; 154.00; 131.00; 160.00; 47.00;
37; 7014.00; 68.00; 38.00; 73.00; 120.00; 152.00; 127.00; 157.00; 42.00;
38; 6445.00; 155.00; 38.00; 73.00; 40.00; 72.00; 116.00; 151.00; 122.00;
39; 6562.00; 71.00; 36.00; 70.00; 115.00; 149.00; 118.00; 153.00; 34.00;
40; 6365.00; 70.00; 33.00; 69.00; 109.00; 147.00; 115.00; 151.00; 31.00;
41; 6253.00; 70.00; 30.00; 150.00; 31.00; 145.00; 113.00; 68.00; 107.00;
42; 6401.00; 148.00; 27.00; 68.00; 29.00; 67.00; 107.00; 145.00; 111.00;
43; 6443.00; 147.00; 27.00; 66.00; 28.00; 65.00; 106.00; 144.00; 110.00;
44; 5815.50; 66.00; 29.00; 66.00; 105.00; 141.00; 107.00; 143.00; 30.00;
45; 6807.50; 145.00; 26.00; 62.00; 27.00; 62.00; 108.00; 142.00; 112.00;
46; 7140.00; 143.00; 26.00; 59.00; 28.00; 58.00; 111.00; 141.00; 114.00;
47; 7480.00; 139.00; 27.00; 53.00; 31.00; 54.00; 116.00; 138.00; 118.00;
48; 7788.00; 136.00; 30.00; 48.00; 35.00; 51.00; 122.00; 136.00; 123.00;
49; 8145.00; 135.00; 31.00; 46.00; 36.00; 47.00; 124.00; 136.00; 126.00;
50; 8464.00; 136.00; 31.00; 45.00; 35.00; 47.00; 126.00; 137.00; 127.00;
51; 8932.00; 136.00; 33.00; 43.00; 38.00; 45.00; 131.00; 138.00; 132.00;
52; 9556.00; 139.00; 33.00; 42.00; 37.00; 43.00; 133.00; 140.00; 134.00;
53; 9901.00; 142.00; 27.00; 43.00; 30.00; 44.00; 128.00; 143.00; 129.00;
54; 10248.00; 145.00; 24.00; 39.00; 25.00; 47.00; 124.00; 144.00; 127.00;
55; 9555.00; 145.00; 26.00; 49.00; 27.00; 47.00; 124.00; 144.00; 127.00;
56; 9696.00; 47.00; 24.00; 48.00; 125.00; 143.00; 129.00; 144.00; 28.00;
57; 9167.50; 145.00; 29.00; 50.00; 32.00; 50.00; 126.00; 145.00; 128.00;
58; 8974.50; 147.00; 29.00; 53.00; 31.00; 54.00; 125.00; 146.00; 128.00;
59; 9216.00; 149.00; 28.00; 54.00; 29.00; 53.00; 124.00; 147.00; 128.00;
60; 9411.00; 150.00; 27.00; 53.00; 28.00; 52.00; 123.00; 148.00; 127.00;
61; 9507.50; 151.00; 24.00; 55.00; 25.00; 53.00; 121.00; 150.00; 125.00;
62; 9558.50; 56.00; 23.00; 54.00; 120.00; 150.00; 124.00; 153.00; 23.00;
63; 10049.00; 48.00; 23.00; 52.00; 121.00; 149.00; 125.00; 152.00; 23.00;
64; 10494.00; 151.00; 23.00; 53.00; 24.00; 52.00; 122.00; 156.00; 133.00;
65; 9464.50; 55.00; 23.00; 53.00; 119.00; 149.00; 124.00; 152.00; 24.00;
66; 9317.50; 56.00; 23.00; 54.00; 118.00; 149.00; 123.00; 152.00; 23.00;
67; 9266.50; 56.00; 25.00; 53.00; 121.00; 147.00; 126.00; 150.00; 25.00;
68; 9213.50; 147.00; 29.00; 51.00; 32.00; 52.00; 127.00; 145.00; 129.00;
69; 9598.50; 44.00; 31.00; 52.00; 128.00; 145.00; 131.00; 146.00; 31.00;
70; 9071.00; 148.00; 29.00; 53.00; 32.00; 54.00; 125.00; 147.00; 129.00;
71; 8060.00; 57.00; 31.00; 56.00; 119.00; 145.00; 123.00; 148.00; 32.00;
72; 9989.00; 46.00; 23.00; 53.00; 125.00; 147.00; 128.00; 149.00; 27.00;
73; 9744.50; 50.00; 23.00; 53.00; 124.00; 147.00; 128.00; 149.00; 27.00;
74; 7881.50; 59.00; 29.00; 149.00; 31.00; 146.00; 120.00; 58.00; 117.00;
75; 8019.00; 62.00; 25.00; 59.00; 115.00; 148.00; 118.00; 151.00; 28.00;
76; 9217.50; 152.00; 24.00; 57.00; 25.00; 55.00; 120.00; 149.00; 124.00;
77; 9071.50; 148.00; 29.00; 53.00; 32.00; 53.00; 125.00; 146.00; 129.00;
78; 8977.00; 147.00; 32.00; 52.00; 35.00; 53.00; 128.00; 146.00; 130.00;
79; 8976.00; 147.00; 32.00; 53.00; 35.00; 53.00; 128.00; 146.00; 131.00;
80; 9166.50; 147.00; 33.00; 51.00; 36.00; 52.00; 130.00; 145.00; 133.00;
81; 9166.50; 145.00; 35.00; 49.00; 38.00; 51.00; 132.00; 144.00; 135.00;
82; 8977.50; 145.00; 34.00; 50.00; 38.00; 52.00; 130.00; 145.00; 133.00;
83; 8930.00; 148.00; 30.00; 53.00; 33.00; 54.00; 125.00; 147.00; 128.00;
84; 8884.50; 150.00; 27.00; 56.00; 28.00; 55.00; 121.00; 147.00; 125.00;
85; 8837.50; 149.00; 27.00; 56.00; 28.00; 54.00; 121.00; 146.00; 125.00;
86; 8970.50; 146.00; 29.00; 53.00; 32.00; 53.00; 124.00; 142.00; 134.00;
87; 8741.50; 145.00; 31.00; 51.00; 35.00; 53.00; 126.00; 144.00; 129.00;
88; 8835.50; 146.00; 31.00; 51.00; 34.00; 53.00; 125.00; 145.00; 129.00;
89; 8975.00; 146.00; 32.00; 52.00; 35.00; 52.00; 128.00; 144.00; 132.00;
90; 9119.00; 143.00; 36.00; 47.00; 40.00; 50.00; 134.00; 142.00; 136.00;
91; 9073.50; 143.00; 37.00; 47.00; 41.00; 50.00; 134.00; 143.00; 136.00;
92; 8978.00; 147.00; 34.00; 52.00; 36.00; 52.00; 128.00; 146.00; 132.00;
93; 9075.00; 150.00; 29.00; 55.00; 30.00; 54.00; 123.00; 148.00; 128.00;
94; 9124.00; 55.00; 29.00; 53.00; 123.00; 146.00; 128.00; 150.00; 28.00;
95; 8929.50; 147.00; 29.00; 52.00; 33.00; 54.00; 125.00; 146.00; 128.00;
96; 8789.00; 149.00; 29.00; 55.00; 32.00; 56.00; 123.00; 149.00; 126.00;
97; 8934.00; 151.00; 27.00; 57.00; 28.00; 55.00; 121.00; 147.00; 126.00;
98; 9605.00; 52.00; 23.00; 52.00; 125.00; 145.00; 129.00; 149.00; 29.00;
99; 9359.00; 145.00; 32.00; 48.00; 35.00; 49.00; 130.00; 143.00; 133.00;
100; 9263.50; 145.00; 33.00; 48.00; 36.00; 50.00; 130.00; 144.00; 133.00;
101; 8192.50; 53.00; 35.00; 53.00; 125.00; 142.00; 127.00; 145.00; 36.00;
102; 10409.00; 43.00; 26.00; 43.00; 127.00; 144.00; 131.00; 147.00; 29.00;
103; 9359.00; 145.00; 31.00; 47.00; 34.00; 49.00; 129.00; 142.00; 132.00;
104; 9167.50; 144.00; 32.00; 47.00; 36.00; 49.00; 129.00; 142.00; 132.00;
105; 7878.00; 52.00; 35.00; 52.00; 123.00; 140.00; 125.00; 142.00; 36.00;
