timestamp; x; y; z;
0.000000; -0.125275; -0.846405; -0.433060;
0.010013; -0.147141; -0.871948; -0.421463;
0.020026; -0.149475; -0.901459; -0.409378;
0.030039; -0.140564; -0.928741; -0.394562;
0.040051; -0.125275; -0.939438; -0.399506;
0.050064; -0.101532; -0.934799; -0.421066;
0.060077; -0.074692; -0.921448; -0.439438;
0.070090; -0.026123; -0.906494; -0.467468;
0.080103; 0.084045; -0.873016; -0.595108;
0.090116; -0.020004; -0.963303; -0.415390;
0.100129; -0.046814; -0.970062; -0.397110;
0.110142; -0.020752; -0.923630; -0.467758;
0.120155; -0.055038; -0.930008; -0.398209;
0.130167; -0.083511; -0.950378; -0.354858;
0.140180; -0.079010; -0.961777; -0.372223;
0.150193; -0.054367; -0.955353; -0.428192;
0.160206; -0.063751; -0.954330; -0.429794;
0.170219; -0.069794; -0.958008; -0.406158;
0.180232; -0.031799; -0.944244; -0.433441;
0.190245; 0.000992; -0.931412; -0.459747;
0.200258; 0.017227; -0.941071; -0.451294;
0.210270; 0.011276; -0.928238; -0.443085;
0.220283; -0.006516; -0.904953; -0.444031;
0.230296; -0.032761; -0.884720; -0.473953;
0.240309; -0.051086; -0.870422; -0.495956;
0.250322; -0.074844; -0.868881; -0.447067;
0.260335; -0.070557; -0.857101; -0.461212;
0.270348; -0.054749; -0.850601; -0.466904;
0.280361; -0.037292; -0.873138; -0.412216;
0.290374; -0.024078; -0.908340; -0.329865;
0.300386; -0.012024; -0.934662; -0.286804;
0.310399; 0.008102; -0.960114; -0.289490;
0.320412; 0.020233; -0.987732; -0.295685;
0.330425; 0.041168; -1.016968; -0.324265;
0.340438; 0.048615; -1.058777; -0.321823;
0.350451; 0.049805; -1.077377; -0.340881;
0.360464; 0.061462; -1.084824; -0.345413;
0.370477; 0.063324; -1.078491; -0.380951;
0.380489; 0.062546; -1.067917; -0.427307;
0.390502; 0.045227; -1.034729; -0.442978;
0.400515; 0.013901; -0.981796; -0.480911;
0.410528; -0.010635; -0.930908; -0.514420;
0.420541; -0.046127; -0.867737; -0.526978;
0.430554; -0.090897; -0.802795; -0.521973;
0.440567; -0.124527; -0.737671; -0.512634;
0.450580; -0.142136; -0.678513; -0.471939;
0.460593; -0.142273; -0.634384; -0.405685;
0.470605; -0.139725; -0.602524; -0.360580;
0.480618; -0.148209; -0.567047; -0.347946;
0.490631; -0.157669; -0.563705; -0.318466;
0.500644; -0.167892; -0.622360; -0.308868;
0.510657; -0.207489; -0.711426; -0.364731;
0.520670; -0.259781; -0.798859; -0.474945;
0.530683; -0.297974; -0.878784; -0.596741;
0.540696; -0.319321; -0.942108; -0.662186;
0.550708; -0.318253; -0.979904; -0.661728;
0.560721; -0.287872; -0.977692; -0.630936;
0.570734; -0.227280; -0.946869; -0.583267;
0.580747; -0.155701; -0.913483; -0.540955;
0.590760; -0.100662; -0.903061; -0.501511;
0.600773; -0.090363; -0.914490; -0.483841;
0.610786; -0.106125; -0.935791; -0.492691;
0.620799; -0.136047; -0.952072; -0.507217;
0.630812; -0.160248; -0.961746; -0.501266;
0.640824; -0.159012; -0.956100; -0.462234;
0.650837; -0.133102; -0.925003; -0.420166;
0.660850; -0.090240; -0.885162; -0.373596;
0.670863; -0.034668; -0.858032; -0.344345;
0.680876; 0.015030; -0.857956; -0.338425;
0.690889; 0.034744; -0.874634; -0.344223;
0.700902; 0.029388; -0.900940; -0.354279;
0.710915; 0.009964; -0.923279; -0.384796;
0.720927; -0.004227; -0.948990; -0.403381;
0.730940; -0.005798; -0.969635; -0.405807;
0.740953; 0.012634; -0.976791; -0.397903;
0.750966; 0.043365; -0.970490; -0.373749;
0.760979; 0.064713; -0.960907; -0.341553;
0.770992; 0.075790; -0.957535; -0.321945;
