timestamp; x; y; z;
0.000000; 0.020950; -0.786469; -0.577911;
0.010012; 0.045212; -0.793335; -0.570297;
0.020024; 0.054047; -0.795593; -0.567627;
0.030036; 0.084991; -0.819626; -0.598984;
0.040048; 0.102966; -0.842651; -0.620087;
0.050060; 0.093033; -0.853531; -0.612488;
0.060072; 0.093338; -0.845032; -0.612228;
0.070084; 0.110153; -0.829712; -0.600159;
0.080096; 0.123352; -0.817245; -0.590042;
0.090108; 0.115051; -0.804077; -0.596283;
0.100119; 0.099258; -0.783279; -0.596024;
0.110131; 0.097534; -0.768417; -0.600189;
0.120143; 0.095764; -0.766403; -0.602768;
0.130155; 0.081406; -0.779312; -0.602417;
0.140167; 0.060898; -0.806046; -0.599274;
0.150179; 0.047028; -0.828506; -0.600296;
0.160191; 0.054138; -0.839157; -0.607819;
0.170203; 0.053574; -0.826599; -0.619431;
0.180215; 0.051468; -0.808334; -0.626907;
0.190227; 0.044937; -0.798950; -0.630707;
0.200239; 0.040787; -0.788391; -0.602219;
0.210250; 0.046371; -0.779404; -0.582214;
0.220262; 0.060287; -0.772995; -0.590698;
0.230274; 0.068329; -0.775330; -0.598511;
0.240286; 0.071976; -0.786469; -0.610260;
0.250298; 0.079803; -0.804871; -0.606689;
0.260310; 0.090683; -0.815857; -0.602402;
0.270322; 0.093658; -0.818558; -0.606186;
0.280334; 0.082840; -0.814575; -0.606506;
0.290346; 0.068024; -0.809402; -0.605942;
0.300358; 0.059723; -0.809509; -0.605591;
0.310370; 0.055923; -0.806534; -0.605545;
0.320381; 0.050034; -0.802567; -0.605209;
0.330393; 0.056961; -0.802795; -0.609039;
0.340405; 0.073883; -0.808136; -0.632950;
0.350417; 0.090408; -0.811234; -0.661850;
0.360429; 0.103210; -0.808212; -0.668350;
0.370441; 0.109634; -0.805771; -0.668762;
0.380453; 0.108337; -0.800491; -0.679489;
0.390465; 0.105545; -0.793213; -0.696732;
0.400477; 0.110153; -0.786774; -0.694031;
0.410489; 0.121017; -0.790085; -0.691269;
0.420501; 0.144852; -0.784607; -0.719238;
0.430512; 0.159134; -0.766602; -0.748856;
0.440524; 0.142273; -0.746231; -0.812943;
0.450536; 0.130356; -0.727478; -0.774826;
0.460548; 0.123245; -0.672089; -0.696762;
0.470560; 0.135620; -0.614563; -0.642380;
0.480572; 0.150955; -0.593979; -0.615005;
0.490584; 0.149139; -0.601791; -0.634201;
0.500596; 0.120773; -0.613144; -0.670334;
0.510608; 0.087234; -0.621490; -0.696747;
0.520620; 0.062424; -0.640091; -0.709595;
0.530632; 0.044357; -0.669250; -0.690247;
0.540644; 0.032486; -0.681686; -0.671036;
0.550655; 0.040878; -0.680725; -0.655899;
0.560667; 0.065094; -0.674576; -0.666870;
0.570679; 0.100677; -0.662018; -0.691849;
0.580691; 0.120758; -0.649506; -0.710907;
0.590703; 0.130432; -0.635788; -0.729553;
0.600715; 0.142746; -0.619522; -0.746994;
0.610727; 0.146225; -0.608765; -0.748322;
0.620739; 0.140610; -0.607849; -0.736710;
0.630751; 0.141129; -0.607162; -0.717499;
0.640763; 0.148987; -0.611542; -0.698563;
0.650775; 0.162735; -0.624435; -0.685059;
0.660786; 0.175079; -0.627701; -0.693558;
0.670798; 0.173264; -0.618179; -0.723892;
0.680810; 0.145004; -0.604477; -0.764587;
0.690822; 0.103882; -0.585251; -0.786896;
0.700834; 0.063751; -0.567047; -0.793839;
0.710846; 0.038300; -0.546631; -0.797806;
0.720858; 0.039108; -0.533737; -0.787323;
0.730870; 0.040100; -0.529709; -0.767609;
0.740882; 0.041611; -0.529129; -0.757675;
0.750894; 0.050842; -0.541626; -0.760468;
0.760906; 0.054489; -0.561172; -0.776382;
0.770918; 0.041641; -0.567505; -0.796570;
0.780929; 0.017120; -0.568466; -0.824203;
0.790941; 0.002991; -0.570328; -0.848175;
0.800953; 0.003311; -0.574677; -0.856720;
0.810965; 0.007751; -0.580139; -0.853363;
0.820977; 0.012497; -0.584686; -0.843796;
0.830989; 0.015900; -0.583969; -0.830414;
0.841001; 0.014999; -0.580734; -0.817627;
0.851013; 0.011597; -0.577377; -0.814514;
0.861025; 0.012955; -0.576584; -0.815979;
0.871037; 0.024033; -0.585159; -0.818863;
0.881049; 0.033447; -0.588135; -0.819824;
0.891060; 0.026077; -0.588318; -0.813461;
0.901072; 0.009262; -0.590088; -0.806656;
0.911084; -0.009186; -0.585754; -0.797516;
0.921096; -0.022156; -0.571686; -0.789902;
0.931108; -0.023575; -0.560562; -0.786392;
0.941120; -0.014023; -0.557098; -0.786118;
0.951132; 0.001877; -0.551285; -0.794800;
0.961144; 0.014130; -0.544662; -0.803238;
0.971156; 0.021118; -0.534897; -0.804092;
0.981168; 0.024780; -0.516190; -0.792557;
0.991180; 0.033936; -0.499832; -0.779434;
1.001192; 0.047623; -0.486877; -0.777069;
1.011203; 0.057968; -0.481293; -0.775604;
1.021215; 0.065353; -0.485931; -0.775360;
1.031227; 0.067337; -0.484024; -0.776245;
1.041239; 0.070114; -0.468826; -0.766464;
1.051251; 0.079773; -0.452255; -0.742783;
1.061263; 0.095566; -0.449295; -0.721191;
1.071275; 0.106201; -0.450668; -0.710297;
1.081287; 0.089340; -0.470444; -0.700699;
1.091299; 0.056931; -0.492905; -0.694366;
1.101311; 0.031342; -0.501068; -0.693466;
1.111323; 0.018265; -0.513580; -0.701782;
1.121334; 0.021072; -0.533005; -0.697067;
1.131346; 0.016510; -0.546814; -0.671982;
1.141358; -0.003387; -0.543762; -0.664856;
1.151370; -0.018158; -0.517487; -0.702789;
1.161382; -0.021423; -0.491821; -0.733292;
1.171394; 0.030396; -0.459488; -0.737747;
1.181406; 0.137680; -0.416000; -0.764008;
1.191418; 0.123672; -0.386856; -0.767288;
1.201430; 0.053055; -0.385178; -0.772491;
1.211442; -0.016754; -0.392670; -0.817642;
1.221454; -0.065063; -0.400620; -0.883362;
1.231465; -0.101166; -0.410873; -0.951309;
1.241477; -0.119720; -0.422333; -0.998123;
1.251489; -0.101562; -0.422806; -1.060364;
1.261501; -0.059540; -0.404694; -1.120224;
1.271513; -0.023224; -0.379913; -1.101715;
1.281525; 0.013763; -0.377945; -1.041000;
1.291537; 0.031815; -0.400314; -1.008804;
1.301549; 0.020691; -0.425827; -1.014557;
1.311561; 0.003235; -0.454391; -1.015244;
1.321573; -0.005600; -0.469009; -1.040146;
1.331585; 0.010605; -0.461960; -1.050369;
1.341597; 0.031479; -0.446732; -1.014664;
1.351608; 0.050339; -0.436035; -0.976944;
1.361620; 0.046127; -0.435181; -0.936508;
1.371632; 0.000671; -0.425308; -0.952057;
1.381644; -0.041336; -0.433578; -1.038132;
1.391656; -0.050476; -0.457504; -1.062271;
1.401668; -0.041611; -0.450317; -1.071182;
1.411680; -0.024673; -0.441254; -1.045135;
1.421692; -0.007690; -0.419388; -1.028122;
1.431704; 0.009705; -0.391068; -1.011078;
1.441716; 0.040054; -0.360977; -1.020432;
1.451728; 0.067139; -0.321335; -1.048981;
1.461740; 0.063736; -0.269180; -1.077240;
1.471751; 0.069473; -0.217026; -1.097214;
1.481763; 0.089462; -0.177994; -1.117310;
1.491775; 0.095551; -0.147598; -1.081238;
1.501787; 0.087250; -0.125275; -1.026031;
1.511799; 0.069641; -0.108780; -1.006271;
1.521811; 0.060349; -0.097946; -1.034927;
1.531823; 0.060669; -0.115936; -1.014343;
1.541835; 0.053787; -0.161072; -1.007721;
1.551847; 0.025650; -0.186249; -1.025970;
1.561859; -0.004013; -0.209915; -1.057693;
1.571871; -0.018875; -0.214294; -1.090332;
1.581883; -0.049072; -0.198395; -1.075745;
1.591894; -0.073334; -0.190704; -1.093674;
1.601906; -0.062988; -0.210266; -1.057709;
1.611918; -0.042435; -0.252213; -1.013199;
1.621930; -0.025497; -0.281967; -1.016830;
1.631942; -0.012314; -0.267883; -1.016754;
1.641954; -0.011551; -0.235794; -1.001587;
1.651966; -0.018494; -0.217987; -0.993301;
1.661978; -0.024170; -0.246124; -1.012604;
1.671990; -0.031281; -0.288452; -1.024200;
1.682002; -0.055359; -0.314194; -1.022415;
1.692014; -0.088699; -0.313263; -0.987564;
1.702026; -0.111145; -0.304718; -0.933136;
1.712037; -0.098251; -0.295135; -0.954559;
1.722049; -0.039642; -0.237473; -1.022064;
1.732061; -0.000626; -0.183411; -1.070389;
1.742073; -0.004501; -0.167816; -1.144302;
1.752085; -0.000565; -0.152252; -1.164185;
1.762097; 0.026260; -0.154831; -1.074066;
1.772109; 0.043076; -0.170074; -0.999222;
1.782121; 0.062836; -0.215408; -0.990265;
1.792133; 0.045013; -0.226898; -0.996964;
1.802145; -0.004623; -0.198608; -1.096359;
1.812157; -0.039124; -0.188309; -1.142929;
1.822169; -0.079330; -0.204208; -1.064682;
1.832180; -0.129395; -0.203049; -1.045242;
1.842192; -0.179077; -0.171829; -1.096848;
1.852204; -0.208694; -0.141449; -1.097595;
1.862216; -0.213181; -0.134430; -1.032486;
1.872228; -0.206329; -0.138199; -0.967972;
1.882240; -0.189682; -0.163605; -0.898010;
1.892252; -0.174011; -0.202652; -0.857910;
1.902264; -0.174698; -0.254883; -0.872894;
1.912276; -0.172165; -0.313232; -0.912048;
1.922288; -0.153610; -0.349197; -0.959717;
1.932300; -0.158920; -0.304489; -0.952576;
1.942312; -0.158066; -0.266541; -0.876480;
1.952323; -0.222809; -0.229492; -0.920380;
1.962335; -0.407410; -0.211014; -1.068817;
1.972347; -0.488846; -0.126038; -1.060394;
1.982359; -0.375717; 0.004517; -0.915771;
1.992371; -0.292053; 0.001984; -0.852829;
2.002383; -0.201996; -0.068039; -0.844971;
2.012395; -0.177902; -0.126480; -0.883392;
2.022407; -0.298965; -0.211136; -0.980835;
2.032419; -0.364456; -0.257568; -1.038147;
2.042431; -0.349106; -0.250351; -1.008881;
2.052443; -0.297470; -0.242661; -0.919495;
2.062455; -0.249512; -0.200409; -0.838501;
2.072466; -0.230164; -0.166550; -0.758148;
2.082478; -0.256012; -0.173721; -0.730331;
2.092490; -0.290054; -0.194000; -0.754944;
2.102502; -0.297012; -0.218567; -0.913559;
2.112514; -0.282898; -0.214355; -0.998535;
2.122526; -0.251801; -0.184891; -0.903854;
2.132538; -0.226624; -0.151718; -0.851654;
2.142550; -0.172211; -0.098770; -0.909317;
2.152562; -0.012589; -0.021149; -1.391220;
2.162574; 0.093338; 0.028656; -1.761093;
2.172586; -0.122040; -0.082336; -1.419022;
2.182598; -0.261719; -0.119217; -0.966675;
2.192609; -0.251495; -0.108856; -0.785156;
2.202621; -0.189972; -0.113800; -0.790085;
2.212633; -0.159729; -0.133759; -0.877991;
2.222645; -0.224823; -0.166855; -0.955048;
2.232657; -0.273392; -0.115173; -1.041809;
2.242669; -0.245270; -0.012573; -1.113861;
2.252681; -0.200592; 0.026688; -1.073486;
2.262693; -0.184433; 0.044113; -0.984818;
2.272705; -0.163940; 0.056259; -0.923080;
2.282717; -0.162827; 0.043549; -0.922348;
2.292729; -0.168640; 0.020355; -0.960587;
2.302741; -0.209946; 0.003433; -0.985779;
2.312753; -0.258301; -0.018188; -0.976990;
2.322764; -0.288544; -0.047455; -0.959137;
2.332776; -0.299744; -0.076981; -0.940552;
2.342788; -0.280762; -0.087006; -0.937073;
2.352800; -0.217178; -0.084610; -0.935883;
2.362812; -0.237045; -0.063278; -0.983841;
2.372824; -0.248856; -0.008270; -1.022751;
2.382836; -0.225220; 0.009476; -1.010651;
2.392848; -0.235641; -0.011353; -1.014755;
2.402860; -0.222427; -0.016632; -0.995941;
2.412872; -0.231461; -0.013168; -0.960129;
2.422884; -0.235382; -0.005493; -0.933151;
2.432896; -0.250397; -0.009888; -0.891891;
2.442908; -0.264648; 0.002411; -0.800522;
2.452919; -0.283081; 0.020248; -0.702362;
2.462931; -0.277588; 0.045029; -0.600983;
2.472943; -0.243729; 0.030121; -0.637634;
2.482955; -0.210190; -0.033234; -0.901993;
2.492967; -0.139816; -0.050339; -1.136078;
2.502979; -0.064270; -0.040985; -1.283600;
2.512991; -0.002991; -0.018845; -1.358368;
2.523003; 0.020935; -0.023926; -1.308151;
2.533015; 0.016800; -0.027802; -1.192734;
2.543027; -0.012146; -0.002563; -1.024582;
2.553039; -0.071030; 0.018143; -0.912674;
2.563051; -0.084824; 0.018753; -0.896027;
2.573062; -0.092087; 0.002502; -0.941116;
2.583074; -0.102219; -0.019348; -1.001846;
2.593086; -0.115402; -0.038803; -1.049332;
2.603098; -0.101181; -0.061279; -1.061539;
2.613110; -0.077332; -0.075592; -1.063583;
2.623122; -0.066849; -0.077271; -1.050797;
2.633134; -0.061447; -0.037552; -1.003799;
2.643146; -0.065125; -0.001389; -0.945618;
2.653158; -0.064194; -0.001999; -0.930923;
2.663170; -0.034927; 0.012222; -0.952347;
2.673182; -0.034012; 0.002640; -0.965195;
2.683194; -0.044891; -0.014481; -0.966812;
2.693206; -0.024368; -0.032211; -1.056168;
2.703217; 0.102997; -0.060959; -1.400055;
2.713229; -0.061188; -0.022110; -0.966873;
2.723241; -0.086060; -0.058365; -0.941498;
2.733253; 0.029083; -0.034164; -1.132568;
2.743265; -0.062805; -0.030396; -0.947601;
2.753277; -0.021835; -0.025848; -1.027115;
2.763289; -0.036819; -0.020020; -0.984055;
2.773301; -0.023590; -0.025223; -1.009109;
2.783313; -0.030075; -0.029572; -1.019608;
2.793325; -0.030640; -0.033569; -1.020309;
2.803337; -0.020737; -0.041077; -1.032578;
2.813349; -0.028824; -0.026688; -1.071686;
2.823361; -0.045456; -0.006287; -1.021469;
2.833372; -0.032257; 0.010544; -0.974243;
2.843384; -0.010834; 0.017212; -0.954529;
2.853396; -0.007431; 0.014877; -0.949493;
2.863408; -0.018768; 0.009933; -0.977722;
2.873420; -0.030823; 0.005508; -0.995621;
2.883432; -0.027267; -0.000244; -1.002289;
2.893444; -0.019592; -0.007034; -1.001877;
2.903456; -0.021011; -0.014679; -1.018509;
