timestamp; x; y; z;
0.000000; 0.197174; -0.546097; -0.950165;
0.010012; 0.202316; -0.529755; -0.951233;
0.020025; 0.242035; -0.539627; -0.989670;
0.030037; 0.291229; -0.549500; -1.019699;
0.040050; 0.313522; -0.573380; -1.055008;
0.050062; 0.325531; -0.640854; -1.096878;
0.060075; 0.300293; -0.673843; -1.068451;
0.070087; 0.265808; -0.642990; -1.060135;
0.080100; 0.242569; -0.582748; -1.037430;
0.090113; 0.182693; -0.495407; -0.983047;
0.100125; 0.107498; -0.434341; -0.951080;
0.110138; 0.044937; -0.372696; -0.911560;
0.120150; -0.028290; -0.265778; -0.862686;
0.130163; -0.081985; -0.164917; -0.803375;
0.140175; -0.141296; -0.105225; -0.722656;
0.150188; -0.215286; -0.085892; -0.662399;
0.160201; -0.256851; -0.071350; -0.630066;
0.170213; -0.264832; -0.056000; -0.621826;
0.180226; -0.241821; -0.055511; -0.647888;
0.190238; -0.216995; -0.083206; -0.688538;
0.200251; -0.199341; -0.124313; -0.740112;
0.210263; -0.166290; -0.167542; -0.776840;
0.220276; -0.119934; -0.229279; -0.827652;
0.230288; -0.045013; -0.311554; -0.869080;
0.240301; 0.035339; -0.399582; -0.917389;
0.250314; 0.122055; -0.497925; -0.986603;
0.260326; 0.198105; -0.610397; -1.064438;
0.270339; 0.266403; -0.708481; -1.137024;
0.280351; 0.332718; -0.768097; -1.199112;
0.290364; 0.399780; -0.792267; -1.221588;
0.300376; 0.435425; -0.800644; -1.210342;
0.310389; 0.407791; -0.783737; -1.186646;
0.320401; 0.377472; -0.748169; -1.142197;
0.330414; 0.345779; -0.700745; -1.069458;
0.340427; 0.270645; -0.632751; -0.989716;
0.350439; 0.171692; -0.546875; -0.918121;
0.360452; 0.067535; -0.443039; -0.839142;
0.370464; -0.033554; -0.332886; -0.751602;
0.380477; -0.106094; -0.241257; -0.652618;
0.390489; -0.155960; -0.172684; -0.571411;
0.400502; -0.208649; -0.127426; -0.508194;
0.410515; -0.249222; -0.099167; -0.481979;
0.420527; -0.255875; -0.045120; -0.501724;
0.430540; -0.241379; -0.037354; -0.549927;
0.440552; -0.228043; -0.052322; -0.631958;
0.450565; -0.209854; -0.067429; -0.732574;
0.460577; -0.161575; -0.102386; -0.769119;
0.470590; -0.096771; -0.195374; -0.813492;
0.480602; -0.016174; -0.340546; -0.905365;
0.490615; 0.101578; -0.483246; -1.013260;
0.500628; 0.217758; -0.628143; -1.208466;
0.510640; 0.367950; -0.760223; -1.275177;
0.520653; 0.445602; -0.864197; -1.355331;
0.530665; 0.417709; -0.925583; -1.414230;
0.540678; 0.396011; -0.921661; -1.377655;
0.550690; 0.396973; -0.864594; -1.294235;
0.560703; 0.384720; -0.800186; -1.211761;
0.570715; 0.350204; -0.746292; -1.166275;
0.580728; 0.280716; -0.665329; -1.087189;
0.590741; 0.183853; -0.553787; -1.000214;
0.600753; 0.051834; -0.429596; -0.891373;
0.610766; -0.064285; -0.308945; -0.776871;
0.620778; -0.165970; -0.201157; -0.632111;
0.630791; -0.250504; -0.099335; -0.515305;
0.640803; -0.302338; -0.016708; -0.427444;
0.650816; -0.341797; 0.030380; -0.383698;
0.660829; -0.373856; 0.045441; -0.390625;
0.670841; -0.389145; 0.047348; -0.434158;
0.680854; -0.375488; 0.045456; -0.503174;
0.690866; -0.311005; 0.025803; -0.559814;
0.700879; -0.244614; -0.027710; -0.608307;
0.710891; -0.150864; -0.132782; -0.669800;
0.720904; -0.036987; -0.304443; -0.825958;
0.730916; 0.122131; -0.490082; -1.004532;
0.740929; 0.304489; -0.673035; -1.191971;
0.750942; 0.461365; -0.843430; -1.367630;
0.760954; 0.546722; -0.975677; -1.524521;
0.770967; 0.605377; -1.008789; -1.605301;
0.780979; 0.641113; -0.969376; -1.592606;
0.790992; 0.625626; -0.909622; -1.491119;
0.801004; 0.540314; -0.874664; -1.357361;
0.811017; 0.440994; -0.811996; -1.225006;
0.821030; 0.349152; -0.709320; -1.098511;
0.831042; 0.236893; -0.597427; -0.984207;
0.841055; 0.113373; -0.478851; -0.866333;
0.851067; 0.005127; -0.358566; -0.743896;
0.861080; -0.087570; -0.241058; -0.633209;
0.871092; -0.177811; -0.140610; -0.535370;
0.881105; -0.251999; -0.074081; -0.453491;
0.891118; -0.309113; -0.036621; -0.401306;
0.901131; -0.346130; -0.015701; -0.370407;
0.911144; -0.378784; -0.001175; -0.365891;
0.921155; -0.414490; 0.011200; -0.397095;
0.931169; -0.428665; 0.032166; -0.449310;
0.941180; -0.408981; 0.058441; -0.513702;
0.951194; -0.383484; 0.071365; -0.571732;
0.961205; -0.365509; 0.058090; -0.611938;
0.971219; -0.312012; 0.026947; -0.663467;
0.981231; -0.226227; -0.049744; -0.746872;
0.991244; -0.114792; -0.183212; -0.881699;
1.001257; 0.097107; -0.357437; -1.032410;
1.011269; 0.329346; -0.600693; -1.212158;
1.021282; 0.491684; -0.856628; -1.425415;
1.031293; 0.610229; -1.030380; -1.582703;
1.041307; 0.692337; -1.121597; -1.657776;
1.051319; 0.735718; -1.133163; -1.647156;
1.061332; 0.727676; -1.066040; -1.516891;
1.071344; 0.651062; -1.002838; -1.352463;
1.081357; 0.564453; -0.941681; -1.231201;
1.091369; 0.494339; -0.839554; -1.109909;
1.101382; 0.388550; -0.715775; -1.019882;
1.111395; 0.255997; -0.561264; -0.934937;
1.121406; 0.109116; -0.383377; -0.849792;
1.131420; -0.038437; -0.197525; -0.755646;
1.141432; -0.169159; -0.047623; -0.653366;
1.151445; -0.255310; 0.056839; -0.562668;
1.161457; -0.304016; 0.121475; -0.481415;
1.171470; -0.352509; 0.153946; -0.418854;
1.181482; -0.392212; 0.160492; -0.381302;
1.191495; -0.416061; 0.145157; -0.368683;
1.201508; -0.415756; 0.112198; -0.382004;
1.211521; -0.367416; 0.053925; -0.452042;
1.221533; -0.279449; -0.024948; -0.533798;
1.231545; -0.174500; -0.132492; -0.625015;
1.241558; -0.044815; -0.296753; -0.736618;
1.251570; 0.131836; -0.540009; -0.877411;
1.261583; 0.329681; -0.864151; -1.067795;
1.271595; 0.507294; -1.160599; -1.259125;
1.281608; 0.630753; -1.298325; -1.426636;
1.291620; 0.703537; -1.279190; -1.516022;
1.301634; 0.739532; -1.198914; -1.485565;
1.311646; 0.717957; -1.090836; -1.370193;
1.321659; 0.600006; -0.986389; -1.265915;
1.331671; 0.464951; -0.878174; -1.182327;
1.341683; 0.360519; -0.740005; -1.098999;
1.351696; 0.231964; -0.575851; -1.016296;
1.361708; 0.099442; -0.406784; -0.918869;
1.371722; -0.031265; -0.243149; -0.812958;
1.381733; -0.151062; -0.101044; -0.706039;
1.391747; -0.246460; 0.016739; -0.610291;
1.401759; -0.304184; 0.088776; -0.527466;
1.411772; -0.350433; 0.125107; -0.460831;
1.421784; -0.397430; 0.137817; -0.416916;
1.431796; -0.433365; 0.132767; -0.404999;
1.441809; -0.447525; 0.118057; -0.425568;
1.451821; -0.414093; 0.086807; -0.476318;
1.461835; -0.363434; 0.033936; -0.548721;
1.471846; -0.311401; -0.039993; -0.620728;
1.481860; -0.227859; -0.141922; -0.735550;
1.491871; -0.103821; -0.280518; -0.855164;
1.501885; 0.072083; -0.482498; -1.002274;
1.511897; 0.257446; -0.738541; -1.186310;
1.521910; 0.405624; -0.972321; -1.348892;
1.531923; 0.507751; -1.109146; -1.460205;
1.541934; 0.580795; -1.155014; -1.526611;
1.551948; 0.626328; -1.133698; -1.518204;
1.561959; 0.625961; -1.055191; -1.420044;
1.571973; 0.560837; -0.975113; -1.296921;
1.581984; 0.479233; -0.907806; -1.212997;
1.591998; 0.402542; -0.797028; -1.122009;
1.602010; 0.310303; -0.662491; -1.033264;
1.612023; 0.215012; -0.523865; -0.936569;
1.622036; 0.101578; -0.381714; -0.845367;
1.632047; -0.016495; -0.241913; -0.761230;
1.642061; -0.135345; -0.114487; -0.681747;
1.652072; -0.225311; -0.020584; -0.606384;
1.662086; -0.288467; 0.037827; -0.537506;
1.672098; -0.333450; 0.068146; -0.481827;
1.682111; -0.375183; 0.083771; -0.436279;
1.692123; -0.410614; 0.080338; -0.410721;
1.702136; -0.430237; 0.067703; -0.411102;
1.712149; -0.419373; 0.037491; -0.439072;
1.722161; -0.380798; 0.000168; -0.485123;
1.732174; -0.317947; -0.044662; -0.523102;
1.742185; -0.258347; -0.127670; -0.583801;
1.752199; -0.169098; -0.251892; -0.687454;
1.762211; -0.031204; -0.433548; -0.848892;
1.772224; 0.147476; -0.635818; -1.038223;
1.782236; 0.337082; -0.798157; -1.206665;
1.792249; 0.507309; -0.898178; -1.318497;
1.802261; 0.604111; -0.996246; -1.396225;
1.812274; 0.605240; -1.093628; -1.433853;
1.822287; 0.539963; -1.118927; -1.438019;
1.832300; 0.514435; -1.029510; -1.393951;
1.842312; 0.539108; -0.899429; -1.298630;
1.852324; 0.521469; -0.800415; -1.209793;
1.862337; 0.468933; -0.726089; -1.153412;
1.872349; 0.392441; -0.644974; -1.095566;
1.882362; 0.288040; -0.547318; -1.024811;
1.892374; 0.167175; -0.437317; -0.941513;
1.902387; 0.029999; -0.311172; -0.844894;
1.912399; -0.099457; -0.179626; -0.742935;
1.922412; -0.205780; -0.075394; -0.639359;
1.932424; -0.282608; 0.003174; -0.551651;
1.942437; -0.337448; 0.055893; -0.471359;
1.952449; -0.375183; 0.074280; -0.416672;
1.962462; -0.410110; 0.071442; -0.395844;
1.972474; -0.432175; 0.059769; -0.407272;
1.982487; -0.418701; 0.040970; -0.450989;
1.992500; -0.359406; 0.011581; -0.509552;
2.002512; -0.284698; -0.033813; -0.534958;
2.012525; -0.215408; -0.127487; -0.578873;
2.022537; -0.096390; -0.289169; -0.697205;
2.032550; 0.054459; -0.511368; -0.886139;
2.042562; 0.227036; -0.757431; -1.129608;
2.052575; 0.401917; -0.954483; -1.333389;
2.062588; 0.517075; -1.024216; -1.476776;
2.072600; 0.570419; -0.990540; -1.553391;
2.082613; 0.581787; -0.897430; -1.527054;
2.092625; 0.541107; -0.804337; -1.437439;
2.102638; 0.479385; -0.738205; -1.337692;
2.112650; 0.421051; -0.688171; -1.240082;
2.122663; 0.348679; -0.637512; -1.161499;
2.132676; 0.258621; -0.569351; -1.077393;
2.142688; 0.153336; -0.477127; -0.996735;
2.152701; 0.022644; -0.352692; -0.919174;
2.162713; -0.128860; -0.201294; -0.839249;
2.172726; -0.268982; -0.049545; -0.743927;
2.182738; -0.364273; 0.080658; -0.630203;
2.192751; -0.402786; 0.171799; -0.523590;
2.202764; -0.410919; 0.215714; -0.441116;
2.212776; -0.425003; 0.232025; -0.394028;
2.222789; -0.422623; 0.221710; -0.369751;
2.232801; -0.385315; 0.184204; -0.382629;
2.242814; -0.321762; 0.102722; -0.497177;
2.252826; -0.232422; 0.014572; -0.574463;
2.262839; -0.118713; -0.096619; -0.627396;
2.272852; 0.035583; -0.268539; -0.724564;
2.282864; 0.190903; -0.506180; -0.906235;
2.292877; 0.292618; -0.759521; -1.145340;
2.302889; 0.389130; -0.889267; -1.332977;
2.312902; 0.498596; -0.859726; -1.442093;
2.322914; 0.590530; -0.747360; -1.501724;
2.332927; 0.627151; -0.634384; -1.495102;
2.342940; 0.598328; -0.569809; -1.457275;
2.352952; 0.534836; -0.556885; -1.401947;
2.362965; 0.470047; -0.561066; -1.349564;
