timestamp; x; y; z;
0.000000; 0.197235; -0.447433; -0.882645;
0.010013; 0.219955; -0.504868; -0.899200;
0.020026; 0.243484; -0.556000; -0.926117;
0.030039; 0.259232; -0.601242; -0.960037;
0.040051; 0.290039; -0.615463; -0.972168;
0.050064; 0.334473; -0.591782; -0.992752;
0.060077; 0.349213; -0.596313; -1.019684;
0.070089; 0.352844; -0.595627; -1.024261;
0.080102; 0.337097; -0.588898; -1.008270;
0.090115; 0.313278; -0.586456; -0.992935;
0.100127; 0.273468; -0.577393; -0.995071;
0.110140; 0.240997; -0.558868; -0.996368;
0.120153; 0.215210; -0.527832; -0.978577;
0.130165; 0.147583; -0.494568; -0.958939;
0.140178; 0.056641; -0.464630; -0.924149;
0.150191; -0.007172; -0.420715; -0.877579;
0.160203; -0.074432; -0.359695; -0.839035;
0.170216; -0.139587; -0.301224; -0.790512;
0.180229; -0.182190; -0.246490; -0.740997;
0.190242; -0.218246; -0.197922; -0.727448;
0.200254; -0.239044; -0.150040; -0.688766;
0.210267; -0.260300; -0.120071; -0.669922;
0.220280; -0.278397; -0.101440; -0.676331;
0.230292; -0.292206; -0.089951; -0.679764;
0.240305; -0.300980; -0.094482; -0.679779;
0.250318; -0.291504; -0.103592; -0.726288;
0.260330; -0.252823; -0.106415; -0.761734;
0.270343; -0.188263; -0.122803; -0.781937;
0.280356; -0.110870; -0.166702; -0.823090;
0.290368; 0.008606; -0.224564; -0.883850;
0.300381; 0.144943; -0.321976; -0.956970;
0.310394; 0.277603; -0.440735; -1.031738;
0.320406; 0.407928; -0.550323; -1.090485;
0.330419; 0.520157; -0.672379; -1.155640;
0.340432; 0.591553; -0.798813; -1.256989;
0.350445; 0.635696; -0.875519; -1.337173;
0.360457; 0.681641; -0.887512; -1.379990;
0.370470; 0.715805; -0.842438; -1.375671;
0.380483; 0.706345; -0.785965; -1.334061;
0.390495; 0.663147; -0.750168; -1.251511;
0.400508; 0.582916; -0.732910; -1.155319;
0.410521; 0.469757; -0.709656; -1.063446;
0.420533; 0.341690; -0.658112; -0.972122;
0.430546; 0.197189; -0.578140; -0.880020;
0.440559; 0.061310; -0.483154; -0.774628;
0.450571; -0.029724; -0.378647; -0.648727;
0.460584; -0.166748; -0.275055; -0.577621;
0.470597; -0.272385; -0.186798; -0.497528;
0.480609; -0.344864; -0.069580; -0.394897;
0.490622; -0.372543; 0.047653; -0.305252;
0.500635; -0.392792; 0.125763; -0.241928;
0.510647; -0.397125; 0.164627; -0.181366;
0.520660; -0.372498; 0.145767; -0.129089;
0.530673; -0.308121; 0.073883; -0.125992;
0.540686; -0.195358; -0.009232; -0.247070;
0.550698; -0.029099; -0.069382; -0.439392;
0.560711; 0.152084; -0.151917; -0.641678;
0.570724; 0.356964; -0.310760; -0.911011;
0.580736; 0.588272; -0.541092; -1.184372;
0.590749; 0.791885; -0.775757; -1.333984;
0.600762; 0.935699; -1.008530; -1.398071;
0.610774; 0.957520; -1.269775; -1.591125;
0.620787; 0.973541; -1.290680; -1.703827;
0.630800; 1.070984; -1.049530; -1.578339;
0.640812; 1.155075; -0.841019; -1.382126;
0.650825; 1.118317; -0.728012; -1.292053;
0.660838; 0.959183; -0.709518; -1.212524;
0.670850; 0.758835; -0.766968; -1.146790;
0.680863; 0.577087; -0.775040; -1.112381;
0.690876; 0.436508; -0.746780; -1.029465;
0.700889; 0.326385; -0.717285; -0.940506;
0.710901; 0.249588; -0.616257; -0.874008;
0.720914; 0.178894; -0.444916; -0.803894;
0.730927; 0.051514; -0.264023; -0.675491;
0.740939; -0.112274; -0.056686; -0.514160;
0.750952; -0.328720; 0.022583; -0.403778;
0.760965; -0.445114; 0.127365; -0.233200;
0.770977; -0.438843; 0.373077; -0.114563;
0.780990; -0.435043; 0.513565; -0.036331;
0.791003; -0.370499; 0.520569; 0.086151;
0.801015; -0.306808; 0.434280; 0.168945;
0.811028; -0.262939; 0.289505; 0.070328;
0.821041; -0.216263; 0.065231; -0.154541;
0.831053; -0.023773; -0.128159; -0.439926;
0.841066; 0.273346; -0.305786; -0.778015;
0.851079; 0.531967; -0.535736; -1.194214;
0.861092; 0.713501; -0.776688; -1.560394;
0.871104; 0.809433; -0.835617; -1.750488;
0.881117; 0.901718; -0.780075; -1.865662;
