timestamp; x; y; z;
0.000000; 0.037842; -0.488525; -0.881775;
0.010013; 0.036789; -0.487885; -0.883759;
0.020025; 0.034454; -0.487640; -0.880554;
0.030037; 0.033493; -0.485428; -0.877533;
0.040049; 0.031876; -0.482178; -0.879501;
0.050062; 0.030289; -0.482635; -0.880005;
0.060074; 0.031448; -0.483154; -0.878815;
0.070086; 0.035324; -0.482376; -0.881058;
0.080099; 0.036850; -0.484131; -0.883209;
0.090111; 0.035294; -0.487549; -0.884689;
0.100123; 0.034912; -0.488556; -0.884537;
0.110135; 0.035675; -0.488358; -0.886673;
0.120148; 0.033936; -0.486328; -0.885422;
0.130160; 0.031906; -0.483490; -0.882385;
0.140172; 0.033157; -0.481384; -0.882278;
0.150185; 0.031891; -0.478943; -0.883011;
0.160197; 0.027817; -0.482086; -0.881866;
0.170209; 0.031052; -0.485199; -0.886658;
0.180221; 0.029343; -0.486206; -0.875534;
0.190234; 0.031891; -0.485870; -0.875870;
0.200246; 0.039383; -0.482925; -0.885742;
0.210258; 0.037460; -0.483307; -0.884811;
0.220271; 0.035706; -0.487854; -0.881729;
0.230283; 0.034653; -0.488678; -0.880020;
0.240295; 0.032776; -0.488022; -0.884399;
0.250307; 0.031693; -0.486267; -0.883026;
0.260320; 0.029358; -0.482498; -0.878922;
0.270332; 0.030792; -0.478577; -0.881897;
0.280344; 0.030518; -0.478287; -0.887726;
0.290356; 0.030869; -0.479813; -0.885651;
0.300369; 0.030670; -0.481018; -0.883453;
0.310381; 0.033081; -0.483292; -0.887451;
0.320393; 0.034149; -0.485245; -0.883423;
0.330406; 0.033417; -0.487396; -0.877487;
0.340418; 0.033112; -0.487732; -0.879639;
0.350430; 0.033478; -0.486023; -0.879532;
0.360442; 0.031982; -0.484665; -0.880112;
0.370455; 0.031738; -0.483093; -0.882706;
0.380467; 0.032227; -0.481964; -0.883072;
0.390479; 0.032272; -0.483124; -0.881760;
0.400492; 0.034912; -0.484512; -0.885056;
0.410504; 0.036560; -0.483429; -0.885651;
0.420516; 0.036133; -0.484161; -0.884811;
0.430528; 0.033478; -0.483536; -0.884720;
0.440541; 0.031601; -0.484711; -0.881943;
0.450553; 0.029037; -0.486542; -0.878647;
0.460565; 0.029861; -0.486374; -0.881363;
0.470577; 0.031357; -0.483704; -0.884048;
0.480590; 0.030411; -0.479767; -0.883881;
0.490602; 0.027603; -0.477707; -0.883682;
0.500614; 0.030640; -0.475159; -0.886185;
0.510627; 0.033600; -0.476547; -0.887253;
0.520639; 0.031662; -0.482895; -0.882889;
0.530651; 0.032730; -0.489578; -0.881073;
0.540663; 0.037216; -0.489548; -0.883957;
0.550676; 0.037033; -0.489197; -0.883911;
0.560688; 0.033905; -0.489044; -0.880692;
0.570700; 0.034439; -0.487823; -0.881653;
0.580713; 0.033279; -0.486404; -0.880341;
0.590725; 0.030594; -0.487000; -0.881454;
0.600737; 0.027802; -0.484680; -0.881516;
0.610749; 0.028275; -0.482590; -0.879669;
0.620762; 0.028107; -0.479370; -0.881058;
0.630774; 0.025299; -0.476379; -0.884796;
0.640786; 0.028107; -0.475769; -0.888947;
0.650799; 0.031799; -0.476242; -0.887009;
0.660811; 0.031876; -0.480423; -0.887558;
0.670823; 0.033249; -0.485077; -0.887283;
0.680835; 0.032562; -0.491302; -0.877518;
0.690848; 0.035080; -0.494888; -0.875275;
0.700860; 0.035706; -0.496185; -0.876404;
0.710872; 0.031494; -0.494186; -0.875565;
0.720885; 0.030838; -0.489334; -0.872269;
0.730897; 0.032272; -0.484756; -0.881912;
0.740909; 0.030807; -0.478821; -0.891953;
0.750921; 0.027664; -0.475632; -0.892059;
0.760934; 0.026886; -0.471436; -0.892059;
0.770946; 0.026764; -0.469620; -0.893204;
0.780958; 0.026535; -0.469986; -0.888916;
0.790970; 0.026520; -0.474838; -0.885880;
0.800983; 0.028198; -0.483124; -0.881393;
0.810995; 0.028900; -0.489609; -0.879074;
0.821007; 0.028412; -0.491745; -0.879761;
0.831020; 0.025955; -0.492630; -0.878235;
0.841032; 0.025116; -0.488098; -0.877823;
0.851044; 0.025055; -0.483017; -0.881454;
0.861056; 0.026276; -0.479004; -0.884827;
0.871069; 0.026917; -0.478928; -0.887848;
0.881081; 0.028488; -0.479584; -0.891708;
0.891093; 0.029510; -0.480331; -0.890961;
0.901106; 0.027802; -0.482071; -0.883743;
