timestamp; x; y; z;
0.000000; 0.106201; -0.722733; -0.686783;
0.010012; 0.112869; -0.718811; -0.687393;
0.020025; 0.109436; -0.712646; -0.693893;
0.030037; 0.099045; -0.706680; -0.693130;
0.040049; 0.091568; -0.704071; -0.683243;
0.050062; 0.086899; -0.702759; -0.669540;
0.060074; 0.082687; -0.702988; -0.660950;
0.070086; 0.078491; -0.709244; -0.657700;
0.080099; 0.074127; -0.720276; -0.660461;
0.090111; 0.075241; -0.729996; -0.667358;
0.100123; 0.086273; -0.729141; -0.679001;
0.110136; 0.104172; -0.719269; -0.693375;
0.120148; 0.117004; -0.709595; -0.709229;
0.130161; 0.120529; -0.705780; -0.720474;
0.140173; 0.118790; -0.705795; -0.721115;
0.150185; 0.114471; -0.707993; -0.713425;
0.160198; 0.105896; -0.712616; -0.704437;
0.170210; 0.095291; -0.715179; -0.696732;
0.180222; 0.088120; -0.719940; -0.691071;
0.190235; 0.081421; -0.724548; -0.688461;
0.200247; 0.078949; -0.729996; -0.691147;
0.210259; 0.079590; -0.730652; -0.693802;
0.220272; 0.082016; -0.728409; -0.694443;
0.230284; 0.091888; -0.729431; -0.694839;
0.240296; 0.103348; -0.728821; -0.698807;
0.250309; 0.106812; -0.721725; -0.704895;
0.260321; 0.107529; -0.712372; -0.704620;
0.270334; 0.112183; -0.702957; -0.698654;
0.280346; 0.115829; -0.696167; -0.690018;
0.290358; 0.109879; -0.698257; -0.684326;
0.300371; 0.100204; -0.708847; -0.680557;
0.310383; 0.089401; -0.723206; -0.683395;
0.320395; 0.082169; -0.733704; -0.689484;
0.330408; 0.085724; -0.734711; -0.696960;
0.340420; 0.106812; -0.733536; -0.711227;
0.350432; 0.118042; -0.734848; -0.723770;
0.360445; 0.116043; -0.745850; -0.723511;
0.370457; 0.112198; -0.752487; -0.713928;
0.380469; 0.110352; -0.748810; -0.700867;
0.390482; 0.112411; -0.743820; -0.693771;
0.400494; 0.111694; -0.734039; -0.689194;
0.410506; 0.108932; -0.725449; -0.689117;
0.420519; 0.100662; -0.723129; -0.687378;
0.430531; 0.085800; -0.725586; -0.676468;
0.440544; 0.073822; -0.726318; -0.663773;
0.450556; 0.073105; -0.721634; -0.663223;
0.460568; 0.077347; -0.711487; -0.672455;
0.470581; 0.081131; -0.700272; -0.686813;
0.480593; 0.085571; -0.698853; -0.696304;
0.490605; 0.087631; -0.707092; -0.701004;
0.500618; 0.085892; -0.715805; -0.701782;
0.510630; 0.082581; -0.719208; -0.706360;
0.520642; 0.084946; -0.718262; -0.706558;
0.530655; 0.089493; -0.718216; -0.699814;
0.540667; 0.087631; -0.716446; -0.695602;
0.550679; 0.084869; -0.712494; -0.688980;
0.560692; 0.085663; -0.712601; -0.685654;
0.570704; 0.087906; -0.710236; -0.692963;
0.580716; 0.091156; -0.705444; -0.704498;
0.590729; 0.093506; -0.703995; -0.711853;
0.600741; 0.093307; -0.704391; -0.715729;
0.610754; 0.089554; -0.706268; -0.718140;
0.620766; 0.086578; -0.706757; -0.715363;
0.630778; 0.084717; -0.703659; -0.715347;
0.640791; 0.086609; -0.705368; -0.706970;
0.650803; 0.086823; -0.709137; -0.696472;
0.660815; 0.083328; -0.712936; -0.691132;
0.670828; 0.082291; -0.714584; -0.693329;
0.680840; 0.084244; -0.715149; -0.704132;
0.690852; 0.088333; -0.716095; -0.713303;
0.700865; 0.089157; -0.717178; -0.712387;
0.710877; 0.083572; -0.728058; -0.712891;
0.720889; 0.082001; -0.725830; -0.701752;
0.730902; 0.081650; -0.726639; -0.697144;
0.740914; 0.086899; -0.723602; -0.695328;
0.750926; 0.097000; -0.720551; -0.702835;
0.760939; 0.103668; -0.716278; -0.708191;
0.770951; 0.105011; -0.711548; -0.696823;
0.780964; 0.100006; -0.708740; -0.680984;
0.790976; 0.089569; -0.706589; -0.680771;
0.800988; 0.080978; -0.710205; -0.690231;
0.811001; 0.080582; -0.716034; -0.702637;
0.821013; 0.080521; -0.717484; -0.709732;
0.831025; 0.081192; -0.721634; -0.715927;
0.841038; 0.081451; -0.724945; -0.715897;
0.851050; 0.083099; -0.725052; -0.707382;
0.861062; 0.087830; -0.724457; -0.701981;
0.871076; 0.093430; -0.717606; -0.704163;
0.881088; 0.094360; -0.703873; -0.704132;
0.891100; 0.089905; -0.699722; -0.704391;
0.901112; 0.087296; -0.701981; -0.704987;
0.911124; 0.084747; -0.702820; -0.706085;
0.921137; 0.081604; -0.704910; -0.703278;
0.931149; 0.077789; -0.708466; -0.701004;
0.941161; 0.077896; -0.708023; -0.702377;
0.951175; 0.084290; -0.711090; -0.706497;
0.961187; 0.088181; -0.718445; -0.710449;
0.971199; 0.083481; -0.726608; -0.706223;
0.981212; 0.079666; -0.731125; -0.698929;
0.991223; 0.076935; -0.735504; -0.696808;
1.001235; 0.079056; -0.735062; -0.696411;
1.011248; 0.088242; -0.725159; -0.693954;
1.021260; 0.096512; -0.714325; -0.695908;
1.031272; 0.096558; -0.709702; -0.697220;
1.041286; 0.093719; -0.707275; -0.699265;
1.051298; 0.096329; -0.713196; -0.702805;
1.061310; 0.099792; -0.715424; -0.705521;
1.071323; 0.097900; -0.709381; -0.711929;
1.081334; 0.086380; -0.708237; -0.714340;
1.091347; 0.076874; -0.708588; -0.712418;
1.101359; 0.075638; -0.706543; -0.707855;
1.111371; 0.073349; -0.708023; -0.699936;
1.121384; 0.071075; -0.711227; -0.684647;
1.131397; 0.070145; -0.708710; -0.682587;
1.141409; 0.071121; -0.703705; -0.691513;
1.151422; 0.077881; -0.704971; -0.691208;
1.161434; 0.087662; -0.703171; -0.695709;
1.171445; 0.091873; -0.700516; -0.706741;
1.181458; 0.086304; -0.707092; -0.713715;
1.191470; 0.079300; -0.712067; -0.709045;
1.201482; 0.080215; -0.716263; -0.706848;
1.211495; 0.083374; -0.720093; -0.709015;
1.221508; 0.083954; -0.717972; -0.715820;
1.231520; 0.085678; -0.713043; -0.715546;
1.241533; 0.088898; -0.706818; -0.711731;
1.251545; 0.092819; -0.704483; -0.713760;
1.261557; 0.082489; -0.714157; -0.701080;
1.271569; 0.080139; -0.722794; -0.697937;
1.281581; 0.092636; -0.718735; -0.711212;
1.291594; 0.092743; -0.714523; -0.711823;
1.301606; 0.090942; -0.712524; -0.710236;
1.311619; 0.090668; -0.711151; -0.708344;
1.321632; 0.088898; -0.714447; -0.707108;
1.331644; 0.090775; -0.714035; -0.703995;
1.341656; 0.092361; -0.710831; -0.702057;
1.351668; 0.090439; -0.709518; -0.702545;
1.361680; 0.085785; -0.710480; -0.700165;
1.371692; 0.083633; -0.710968; -0.695938;
1.381705; 0.080078; -0.713547; -0.692245;
1.391718; 0.078720; -0.714584; -0.695099;
1.401730; 0.077057; -0.712006; -0.695969;
1.411743; 0.081177; -0.711212; -0.698776;
1.421755; 0.084457; -0.713715; -0.704254;
1.431768; 0.085754; -0.717896; -0.710678;
1.441779; 0.089737; -0.719772; -0.715271;
1.451791; 0.089447; -0.716415; -0.716232;
1.461804; 0.086807; -0.714111; -0.713348;
1.471816; 0.086685; -0.711365; -0.710266;
1.481829; 0.085815; -0.710480; -0.705322;
1.491842; 0.086029; -0.711777; -0.704712;
1.501854; 0.087799; -0.714996; -0.706284;
1.511866; 0.090347; -0.720093; -0.710129;
1.521879; 0.091324; -0.720795; -0.712494;
1.531890; 0.090225; -0.718658; -0.709595;
1.541902; 0.086563; -0.719147; -0.699493;
1.551915; 0.085800; -0.716782; -0.694534;
1.561927; 0.089355; -0.709412; -0.693741;
1.571940; 0.091858; -0.710434; -0.698761;
1.581953; 0.093872; -0.711365; -0.704208;
1.591965; 0.096573; -0.706421; -0.706146;
1.601978; 0.091217; -0.706955; -0.709198;
1.611990; 0.083679; -0.710449; -0.706451;
1.622001; 0.077530; -0.707886; -0.708420;
1.632014; 0.074661; -0.705994; -0.711548;
1.642026; 0.075546; -0.706390; -0.713943;
1.652038; 0.077072; -0.704102; -0.712936;
1.662052; 0.075653; -0.703094; -0.707855;
1.672064; 0.074448; -0.701218; -0.702362;
1.682076; 0.075638; -0.701782; -0.698471;
1.692089; 0.075241; -0.705551; -0.696198;
1.702100; 0.077621; -0.708038; -0.699600;
1.712112; 0.083084; -0.711060; -0.703934;
1.722125; 0.088699; -0.711380; -0.707611;
1.732137; 0.088089; -0.711731; -0.710022;
1.742150; 0.090149; -0.714325; -0.711792;
1.752163; 0.092590; -0.715530; -0.713226;
1.762175; 0.089401; -0.715195; -0.711960;
1.772188; 0.085693; -0.715805; -0.710648;
1.782200; 0.083893; -0.712341; -0.709778;
1.792211; 0.084549; -0.706970; -0.703979;
1.802224; 0.085358; -0.703156; -0.697189;
