timestamp; x; y; z;
0.000000; -0.113235; -0.050018; -1.006897;
0.010012; -0.111176; -0.024368; -0.924255;
0.020024; -0.083755; 0.005661; -0.909958;
0.030037; -0.082214; 0.024399; -0.901520;
0.040049; -0.081070; 0.023376; -0.910507;
0.050061; -0.088699; -0.000183; -0.887650;
0.060073; -0.056641; -0.012863; -0.864197;
0.070086; -0.011032; -0.001221; -0.916473;
0.080098; 0.021164; 0.003799; -1.007599;
0.090110; 0.030304; -0.015762; -1.049011;
0.100122; 0.000687; -0.052094; -1.067764;
0.110135; -0.009918; -0.080261; -1.043671;
0.120147; 0.007263; -0.075745; -1.003738;
0.130159; 0.012405; -0.050964; -0.985580;
0.140172; -0.014832; -0.036636; -0.999817;
0.150184; -0.043961; -0.041870; -1.000488;
0.160196; -0.031219; -0.038193; -0.995193;
0.170208; -0.010818; -0.019028; -0.999619;
0.180221; -0.015900; -0.008194; -1.003723;
0.190233; -0.017059; -0.012024; -0.997665;
0.200245; 0.007339; -0.018539; -1.010666;
0.210257; 0.039505; -0.033203; -1.023788;
0.220270; 0.076340; -0.042007; -1.030228;
0.230282; 0.098816; -0.026459; -1.034363;
0.240294; 0.066574; 0.000549; -0.994980;
0.250306; 0.032303; 0.030289; -0.950409;
0.260319; 0.019699; 0.040298; -0.927185;
0.270331; 0.024597; 0.043030; -0.913223;
0.280343; 0.017166; 0.047607; -0.935135;
0.290356; -0.009201; 0.023895; -0.977020;
0.300368; -0.010315; 0.011475; -0.985565;
0.310380; 0.029022; 0.023636; -0.979950;
0.320392; 0.069305; 0.028336; -1.000793;
0.330405; 0.081650; 0.009140; -1.005997;
0.340417; 0.081680; -0.004578; -0.982941;
0.350429; 0.082977; -0.000900; -0.962357;
0.360441; 0.082748; 0.003799; -0.969162;
0.370454; 0.072083; -0.001968; -0.989380;
0.380466; 0.067673; -0.003296; -1.011505;
0.390478; 0.058578; 0.005280; -1.017426;
0.400491; 0.026169; 0.017105; -1.042465;
0.410503; 0.009827; 0.012329; -1.072922;
0.420515; 0.017365; 0.003693; -1.070801;
0.430527; 0.040970; 0.005798; -1.054062;
0.440540; 0.052521; 0.001312; -1.033493;
0.450552; 0.053009; -0.014511; -1.037949;
0.460564; 0.054443; -0.036530; -1.052551;
0.470576; 0.058182; -0.053299; -1.054718;
0.480589; 0.059875; -0.051376; -1.040131;
0.490601; 0.053772; -0.041641; -1.029129;
0.500613; 0.035645; -0.033081; -1.030853;
0.510625; 0.030807; -0.018936; -1.048752;
0.520638; 0.025360; -0.012634; -1.056870;
0.530650; 0.033630; -0.010162; -1.052078;
0.540658; 0.039902; -0.006775; -1.033646;
0.550671; 0.037979; -0.005188; -1.032227;
0.560683; 0.038498; -0.010544; -1.038239;
0.570695; 0.048950; -0.026413; -1.024979;
0.580707; 0.070190; -0.030380; -1.005722;
0.590720; 0.094864; -0.023331; -0.997421;
0.600732; 0.091721; -0.015015; -1.004440;
0.610744; 0.069885; -0.003235; -1.018143;
0.620756; 0.045624; 0.011215; -1.037537;
0.630769; 0.039520; 0.014023; -1.043335;
0.640781; 0.052917; 0.012375; -1.034378;
0.650793; 0.060883; 0.007462; -1.029175;
0.660806; 0.059280; 0.000900; -1.030060;
0.670818; 0.064590; 0.003204; -1.032730;
0.680830; 0.080093; 0.001968; -1.019562;
0.690842; 0.098892; -0.004425; -0.998917;
0.700855; 0.104218; -0.004486; -0.981064;
0.710867; 0.096420; -0.001007; -0.981628;
0.720879; 0.086166; 0.002121; -0.983429;
0.730891; 0.083847; 0.013474; -0.982651;
0.740904; 0.087982; 0.015259; -0.997208;
0.750916; 0.104034; 0.004852; -1.023666;
0.760928; 0.102524; -0.013763; -1.026779;
0.770940; 0.086441; -0.007858; -1.026627;
0.780953; 0.079208; 0.001801; -1.038391;
0.790965; 0.073395; -0.006699; -1.033234;
0.800977; 0.074341; -0.008926; -1.019943;
0.810990; 0.092010; -0.018799; -0.983551;
0.821002; 0.104340; -0.035400; -0.956955;
0.831014; 0.127991; -0.037659; -0.907440;
0.841026; 0.128601; -0.018600; -0.918213;
0.851039; 0.120361; -0.002274; -0.949097;
0.861051; 0.112488; -0.003204; -0.984314;
0.871063; 0.082901; -0.018478; -1.004257;
0.881075; 0.040421; -0.007584; -1.011414;
0.891088; 0.013885; 0.009644; -1.027954;
0.901100; 0.015350; 0.016083; -1.041397;
0.911112; 0.043488; 0.009659; -1.028473;
0.921125; 0.079193; 0.005646; -1.015503;
0.931137; 0.088882; 0.006897; -0.997971;
0.941149; 0.090652; 0.010696; -0.998611;
0.951161; 0.093338; 0.012756; -1.007889;
0.961174; 0.081375; 0.021118; -1.016617;
0.971186; 0.077072; 0.022522; -1.013519;
0.981198; 0.080963; 0.005737; -1.009796;
0.991210; 0.082062; -0.012466; -1.015091;
1.001223; 0.087891; -0.025253; -1.030182;
1.011235; 0.086426; -0.026230; -1.029755;
1.021247; 0.074936; -0.020248; -1.020523;
1.031260; 0.077728; -0.022644; -1.014084;
1.041272; 0.081970; -0.026245; -1.008286;
1.051284; 0.090897; -0.020706; -1.009995;
1.061296; 0.100098; -0.023834; -1.016479;
1.071309; 0.083954; -0.034882; -1.014130;
1.081321; 0.074234; -0.028107; -1.004471;
1.091333; 0.083862; -0.027161; -0.989594;
1.101345; 0.088165; -0.034897; -0.992432;
1.111358; 0.095093; -0.046097; -1.002335;
1.121370; 0.109863; -0.050980; -1.007050;
1.131382; 0.109741; -0.044693; -1.010590;
1.141395; 0.089874; -0.035095; -1.001129;
