timestamp; x; y; z;
0.000000; -0.042740; -0.067017; -0.989182;
0.010013; -0.031311; -0.054276; -0.988770;
0.020026; -0.021439; -0.048386; -0.981979;
0.030038; -0.028442; -0.059036; -0.981049;
0.040051; -0.044388; -0.084518; -0.994263;
0.050063; -0.047455; -0.103302; -1.007019;
0.060076; -0.037903; -0.109940; -1.004944;
0.070088; -0.033707; -0.095047; -0.993942;
0.080101; -0.037872; -0.075684; -0.968994;
0.090113; -0.053513; -0.067291; -0.943146;
0.100126; -0.081345; -0.066223; -0.913391;
0.110138; -0.098404; -0.076401; -0.901703;
0.120151; -0.104233; -0.087830; -0.915588;
0.130163; -0.097305; -0.096909; -0.949783;
0.140176; -0.094101; -0.104355; -0.989410;
0.150188; -0.095306; -0.109604; -1.026352;
0.160201; -0.089951; -0.109482; -1.050446;
0.170213; -0.075531; -0.102173; -1.056839;
0.180226; -0.058762; -0.089371; -1.047668;
0.190238; -0.047775; -0.088028; -1.036438;
0.200251; -0.039810; -0.095535; -1.034760;
0.210263; -0.027435; -0.100769; -1.042038;
0.220276; -0.020004; -0.111755; -1.045029;
0.230289; -0.015320; -0.118805; -1.043411;
0.240301; -0.007385; -0.115906; -1.044266;
0.250314; -0.002106; -0.106369; -1.043686;
0.260326; -0.002579; -0.103485; -1.050110;
0.270339; -0.003723; -0.097763; -1.062119;
0.280351; -0.007187; -0.088959; -1.062744;
0.290364; -0.007843; -0.083694; -1.039139;
0.300376; -0.021744; -0.086273; -0.996750;
0.310389; -0.041000; -0.092361; -0.952988;
0.320401; -0.054840; -0.106049; -0.929718;
0.330414; -0.051865; -0.118484; -0.933472;
0.340426; -0.041092; -0.123444; -0.945496;
0.350439; -0.040802; -0.129272; -0.956375;
0.360451; -0.046036; -0.130661; -0.958862;
0.370464; -0.049606; -0.118454; -0.966537;
0.380476; -0.046692; -0.098663; -0.982224;
0.390489; -0.042679; -0.081955; -0.999863;
0.400501; -0.036667; -0.071533; -1.009079;
0.410514; -0.038010; -0.075470; -1.013535;
0.420527; -0.040741; -0.086060; -1.018280;
0.430539; -0.033325; -0.091705; -1.021378;
0.440551; -0.027695; -0.092484; -1.008850;
0.450564; -0.034485; -0.101105; -0.981949;
0.460577; -0.047867; -0.115738; -0.963638;
0.470589; -0.056122; -0.126083; -0.961029;
0.480602; -0.060989; -0.136215; -0.969223;
0.490614; -0.057922; -0.135681; -0.990219;
0.500627; -0.045959; -0.118317; -1.014465;
0.510639; -0.039581; -0.096390; -1.033905;
0.520652; -0.034058; -0.078384; -1.041672;
0.530664; -0.037308; -0.070938; -1.042953;
0.540677; -0.039810; -0.069580; -1.037949;
0.550689; -0.036575; -0.070007; -1.029816;
0.560702; -0.042160; -0.078156; -1.025208;
0.570714; -0.047974; -0.088058; -1.029572;
0.580727; -0.050095; -0.089966; -1.031509;
0.590739; -0.059830; -0.085907; -1.023499;
0.600752; -0.067520; -0.076492; -1.000793;
0.610764; -0.064621; -0.066071; -0.981125;
0.620777; -0.060242; -0.060349; -0.974884;
0.630789; -0.053192; -0.054733; -0.979538;
0.640802; -0.042007; -0.047348; -0.990601;
0.650815; -0.035431; -0.045761; -1.007950;
0.660827; -0.032578; -0.047333; -1.027863;
0.670840; -0.022018; -0.050323; -1.046524;
0.680852; -0.019913; -0.050461; -1.061356;
0.690865; -0.025726; -0.049286; -1.069199;
0.700877; -0.025253; -0.042343; -1.063080;
0.710890; -0.027603; -0.040298; -1.051270;
0.720902; -0.030960; -0.046249; -1.036240;
0.730915; -0.031891; -0.053986; -1.015305;
0.740927; -0.034653; -0.064087; -1.002502;
0.750940; -0.032028; -0.069031; -1.006607;
0.760952; -0.028931; -0.062332; -1.018997;
0.770969; -0.035461; -0.058105; -1.030960;
0.780981; -0.035477; -0.058151; -1.050858;
0.790994; -0.031174; -0.050812; -1.067886;
0.801006; -0.030029; -0.047684; -1.064301;
0.811019; -0.029449; -0.053696; -1.049072;
0.821031; -0.034683; -0.052551; -1.037842;
0.831044; -0.038437; -0.044907; -1.034409;
0.841056; -0.029053; -0.039368; -1.032288;
0.851069; -0.021912; -0.053314; -1.034760;
0.861082; -0.027039; -0.073135; -1.042633;
0.871094; -0.025864; -0.082718; -1.039719;
0.881107; -0.031281; -0.092712; -1.036835;
0.891119; -0.029572; -0.098373; -1.034866;
0.901132; -0.021606; -0.099411; -1.034348;
0.911144; -0.018402; -0.102570; -1.030228;
0.921157; -0.018173; -0.106705; -1.016724;
0.931169; -0.030670; -0.112045; -1.005814;
0.941182; -0.032944; -0.117691; -1.009445;
0.951194; -0.028641; -0.122940; -1.035858;
0.961207; -0.026367; -0.125000; -1.067581;
0.971219; -0.031708; -0.134247; -1.097107;
0.981232; -0.028809; -0.133514; -1.106735;
0.991244; -0.028793; -0.124542; -1.091843;
1.001257; -0.026779; -0.116211; -1.065826;
1.011269; -0.027756; -0.104767; -1.038361;
1.021282; -0.032516; -0.095078; -1.016129;
1.031294; -0.054703; -0.100357; -1.008469;
1.041307; -0.063339; -0.111420; -1.012115;
1.051320; -0.054977; -0.117325; -1.028564;
1.061332; -0.057571; -0.118896; -1.051483;
1.071345; -0.061646; -0.122314; -1.060669;
1.081357; -0.054581; -0.124161; -1.055573;
1.091370; -0.042557; -0.119904; -1.046951;
1.101382; -0.040985; -0.116882; -1.033691;
1.111395; -0.056839; -0.123260; -1.022049;
1.121407; -0.061081; -0.132507; -1.026215;
1.131420; -0.062286; -0.127625; -1.037445;
1.141432; -0.067871; -0.124039; -1.039246;
1.151445; -0.068466; -0.126358; -1.031097;
1.161457; -0.062805; -0.133026; -1.028091;
1.171470; -0.067047; -0.139465; -1.030106;
1.181482; -0.067337; -0.146606; -1.023636;
1.191495; -0.070389; -0.146667; -1.019440;
1.201507; -0.078064; -0.131104; -1.017731;
1.211520; -0.074890; -0.116669; -1.010681;
1.221532; -0.084106; -0.106934; -1.004623;
1.231545; -0.084396; -0.100281; -0.991272;
1.241557; -0.085693; -0.109756; -0.977264;
1.251570; -0.089920; -0.127777; -0.983994;
1.261582; -0.077805; -0.133514; -0.999329;
1.271595; -0.062424; -0.129501; -1.004425;
1.281608; -0.094223; -0.130829; -1.012238;
1.291620; -0.115005; -0.127594; -1.018387;
1.301633; -0.113480; -0.111816; -1.015182;
1.311645; -0.116013; -0.097824; -1.012222;
1.321658; -0.111435; -0.089096; -0.996811;
1.331670; -0.101501; -0.086044; -0.980301;
1.341683; -0.099243; -0.101562; -0.974609;
1.351695; -0.101379; -0.123016; -0.976471;
1.361708; -0.091446; -0.137177; -0.976044;
1.371720; -0.082687; -0.140762; -0.976669;
1.381733; -0.073639; -0.129837; -0.966553;
1.391745; -0.063263; -0.118896; -0.941818;
1.401758; -0.065475; -0.119141; -0.915497;
1.411770; -0.080811; -0.127548; -0.897964;
1.421783; -0.086090; -0.130417; -0.879730;
1.431795; -0.097778; -0.130798; -0.864929;
1.441808; -0.113007; -0.137909; -0.853012;
1.451820; -0.117386; -0.155884; -0.852737;
1.461833; -0.123260; -0.180206; -0.874466;
1.471845; -0.108902; -0.201889; -0.908768;
1.481858; -0.091141; -0.198151; -0.932816;
1.491871; -0.099243; -0.189850; -0.931046;
1.501883; -0.106613; -0.186295; -0.905136;
1.511896; -0.105804; -0.175507; -0.874054;
1.521908; -0.110962; -0.168625; -0.856537;
1.531921; -0.115173; -0.173035; -0.850128;
1.541933; -0.126862; -0.183273; -0.864883;
1.551946; -0.145325; -0.187332; -0.894394;
1.561958; -0.148117; -0.184937; -0.915802;
1.571971; -0.152985; -0.191010; -0.927917;
1.581983; -0.156311; -0.197174; -0.930115;
1.591996; -0.145172; -0.197510; -0.923752;
1.602008; -0.141418; -0.198502; -0.933136;
1.612021; -0.135315; -0.186432; -0.947571;
1.622033; -0.124191; -0.165543; -0.944351;
1.632046; -0.124451; -0.148743; -0.923355;
1.642058; -0.124710; -0.140137; -0.886322;
1.652071; -0.114929; -0.144424; -0.850937;
1.662083; -0.112259; -0.150040; -0.840042;
1.672096; -0.115646; -0.164581; -0.876602;
1.682108; -0.114105; -0.171677; -0.920105;
1.692121; -0.103241; -0.160339; -0.947769;
1.702134; -0.098404; -0.153107; -0.957993;
1.712146; -0.097336; -0.156601; -0.956223;
1.722159; -0.095779; -0.154572; -0.943970;
1.732171; -0.088013; -0.145401; -0.943665;
1.742184; -0.089539; -0.141693; -0.947510;
1.752196; -0.084442; -0.143524; -0.946960;
1.762209; -0.079147; -0.151947; -0.948364;
1.772217; -0.080627; -0.166534; -0.957672;
1.782230; -0.082809; -0.175217; -0.976105;
1.792242; -0.082062; -0.174423; -1.002106;
1.802255; -0.080444; -0.172165; -1.014008;
1.812267; -0.081451; -0.170654; -1.013702;
1.822280; -0.076111; -0.169815; -1.015594;
1.832292; -0.080627; -0.168671; -1.019943;
1.842305; -0.085892; -0.170227; -1.022736;
1.852317; -0.082703; -0.173233; -1.023682;
1.862330; -0.074570; -0.169632; -1.022217;
1.872342; -0.074768; -0.168579; -1.017166;
1.882355; -0.075485; -0.172409; -1.015366;
1.892367; -0.067017; -0.167923; -1.013428;
1.902380; -0.067245; -0.165726; -1.017990;
1.912393; -0.069229; -0.176575; -1.040375;
1.922405; -0.063797; -0.178970; -1.060318;
1.932418; -0.062790; -0.171738; -1.056625;
1.942430; -0.069458; -0.168396; -1.031372;
1.952443; -0.073822; -0.162598; -1.001923;
1.962455; -0.077530; -0.158630; -0.978928;
1.972468; -0.077515; -0.159653; -0.967117;
1.982480; -0.074387; -0.165588; -0.963638;
1.992493; -0.077255; -0.179657; -0.975372;
2.002505; -0.076111; -0.187347; -1.005737;
2.012518; -0.065018; -0.179474; -1.030212;
2.022530; -0.060684; -0.166809; -1.037079;
2.032543; -0.063950; -0.158936; -1.029205;
2.042555; -0.066391; -0.154785; -1.013229;
2.052568; -0.064819; -0.152405; -0.997543;
2.062580; -0.061310; -0.158112; -0.991226;
2.072593; -0.056534; -0.170593; -0.998688;
2.082605; -0.051575; -0.181168; -1.012070;
2.092618; -0.043030; -0.176895; -1.015961;
2.102630; -0.042572; -0.170441; -1.013443;
2.112643; -0.047867; -0.166061; -1.011673;
2.122656; -0.049194; -0.158279; -1.020630;
2.132668; -0.043671; -0.150757; -1.035614;
2.142681; -0.039886; -0.144485; -1.043182;
2.152693; -0.040176; -0.141449; -1.039215;
2.162706; -0.045593; -0.140121; -1.027588;
2.172718; -0.048645; -0.141144; -1.017059;
2.182731; -0.048492; -0.141205; -1.017349;
2.192743; -0.043716; -0.135742; -1.028366;
2.202756; -0.044312; -0.132217; -1.034805;
2.212768; -0.047943; -0.133072; -1.034134;
2.222781; -0.047073; -0.129532; -1.026443;
2.232793; -0.046783; -0.124847; -1.019531;
2.242806; -0.045929; -0.121094; -1.015854;
2.252818; -0.045364; -0.114487; -1.015350;
2.262831; -0.042389; -0.108871; -1.008316;
2.272843; -0.041916; -0.109787; -0.998825;
2.282856; -0.042084; -0.115692; -0.993942;
2.292868; -0.043915; -0.117767; -0.990463;
2.302881; -0.046829; -0.114258; -0.985016;
2.312893; -0.053177; -0.110138; -0.976196;
2.322906; -0.053314; -0.106308; -0.955505;
2.332919; -0.047729; -0.107224; -0.942398;
2.342931; -0.055817; -0.116669; -0.949112;
2.352944; -0.062302; -0.119446; -0.967453;
2.362956; -0.056732; -0.113586; -0.985580;
2.372969; -0.049393; -0.103668; -0.999786;
2.382981; -0.049866; -0.097580; -1.004379;
2.392994; -0.052612; -0.094406; -1.003571;
2.403006; -0.049286; -0.091156; -0.998825;
2.413019; -0.046951; -0.089249; -0.989670;
2.423031; -0.045273; -0.088577; -0.974869;
2.433044; -0.045914; -0.094727; -0.958420;
2.443056; -0.041992; -0.100204; -0.949432;
2.453069; -0.041687; -0.108185; -0.957108;
2.463081; -0.044876; -0.119324; -0.976364;
2.473094; -0.041351; -0.117325; -0.998734;
2.483106; -0.036240; -0.109695; -1.016708;
2.493119; -0.033493; -0.103348; -1.023026;
2.503131; -0.030884; -0.097992; -1.024811;
2.513144; -0.032776; -0.099350; -1.027069;
2.523156; -0.029221; -0.100876; -1.028549;
2.533169; -0.020996; -0.098694; -1.024307;
2.543181; -0.019531; -0.097946; -1.024872;
2.553194; -0.019791; -0.101700; -1.024323;
2.563207; -0.012146; -0.111496; -1.021591;
2.573219; -0.008850; -0.120224; -1.028549;
2.583232; -0.006531; -0.121964; -1.033936;
2.593244; -0.007584; -0.117157; -1.030334;
2.603257; -0.010559; -0.110916; -1.016800;
2.613269; -0.009903; -0.103638; -0.995193;
2.623282; -0.008621; -0.104645; -0.977005;
2.633294; -0.010956; -0.112534; -0.977600;
2.643307; -0.016968; -0.121033; -1.000595;
2.653319; -0.013702; -0.120438; -1.028656;
2.663332; -0.007233; -0.115936; -1.045883;
2.673344; 0.002151; -0.106232; -1.045883;
2.683357; 0.004807; -0.098434; -1.030197;
2.693369; -0.002655; -0.097122; -1.006592;
2.703382; -0.000397; -0.099167; -0.986572;
2.713394; 0.006699; -0.101212; -0.977798;
2.723407; 0.006943; -0.106308; -0.980865;
2.733419; 0.008774; -0.116837; -0.991547;
2.743432; 0.005600; -0.123657; -1.004349;
2.753444; 0.003143; -0.122528; -1.001602;
2.763457; 0.001755; -0.117004; -0.998672;
2.773471; 0.002777; -0.105316; -0.997559;
2.783483; 0.002655; -0.099335; -0.995392;
