timestamp; x; y; z;
0.000000; 0.124832; -0.880951; -0.438416;
0.010012; 0.133652; -0.874008; -0.427811;
0.020024; 0.147156; -0.868927; -0.416183;
0.030036; 0.152802; -0.874512; -0.409195;
0.040048; 0.147385; -0.887238; -0.410736;
0.050059; 0.141571; -0.901108; -0.419174;
0.060071; 0.136246; -0.911606; -0.432831;
0.070083; 0.133972; -0.913651; -0.444168;
0.080095; 0.138931; -0.910889; -0.445496;
0.090106; 0.143448; -0.908096; -0.436813;
0.100118; 0.150513; -0.899460; -0.419632;
0.110130; 0.160522; -0.895706; -0.403107;
0.120142; 0.161789; -0.900986; -0.392654;
0.130154; 0.151077; -0.908661; -0.392212;
0.140165; 0.140381; -0.912842; -0.401031;
0.150177; 0.130920; -0.911255; -0.417236;
0.160189; 0.121994; -0.906265; -0.447220;
0.170201; 0.116135; -0.895462; -0.475800;
0.180213; 0.114288; -0.881546; -0.479462;
0.190224; 0.121094; -0.873489; -0.462448;
0.200236; 0.136139; -0.877502; -0.432724;
0.210248; 0.157486; -0.894241; -0.401962;
0.220260; 0.165558; -0.920471; -0.378189;
0.230271; 0.167343; -0.944046; -0.367035;
0.240283; 0.172455; -0.955521; -0.368790;
0.250295; 0.177414; -0.954803; -0.379395;
0.260307; 0.174301; -0.951279; -0.390457;
0.270319; 0.164597; -0.945541; -0.398834;
0.280330; 0.153000; -0.935654; -0.403580;
0.290342; 0.137787; -0.921722; -0.407242;
0.300354; 0.122742; -0.909439; -0.415756;
0.310366; 0.107178; -0.895050; -0.433685;
0.320378; 0.097153; -0.875824; -0.457214;
0.330389; 0.098877; -0.856369; -0.472214;
0.340401; 0.110809; -0.843353; -0.475479;
0.350413; 0.133408; -0.838150; -0.467819;
0.360425; 0.150421; -0.852371; -0.447556;
0.370437; 0.152451; -0.883499; -0.436111;
0.380448; 0.156937; -0.916443; -0.430466;
0.390460; 0.150284; -0.943069; -0.452179;
0.400472; 0.145447; -0.955688; -0.469894;
0.410484; 0.142761; -0.955078; -0.485916;
0.420496; 0.137497; -0.945389; -0.498962;
0.430507; 0.130737; -0.933624; -0.508362;
0.440519; 0.113144; -0.918365; -0.511993;
0.450531; 0.099136; -0.893250; -0.502640;
0.460543; 0.082657; -0.872986; -0.498016;
0.470555; 0.050446; -0.858536; -0.490860;
0.480566; 0.008163; -0.842941; -0.476303;
0.490578; -0.027740; -0.835999; -0.460312;
0.500590; -0.055496; -0.828323; -0.441574;
0.510602; -0.069794; -0.806717; -0.421890;
0.520613; -0.072388; -0.780319; -0.408401;
0.530625; -0.057770; -0.755493; -0.414703;
0.540637; -0.032089; -0.736526; -0.449036;
0.550649; -0.005707; -0.728302; -0.459991;
0.560661; 0.035904; -0.742950; -0.458923;
0.570672; 0.094391; -0.778061; -0.440094;
0.580684; 0.154800; -0.838745; -0.418121;
0.590696; 0.197540; -0.917404; -0.408386;
0.600708; 0.218582; -0.995163; -0.403275;
0.610720; 0.226822; -1.057541; -0.406067;
0.620731; 0.229126; -1.095505; -0.414688;
0.630743; 0.233871; -1.104813; -0.423538;
0.640755; 0.238770; -1.085632; -0.430206;
0.650767; 0.237686; -1.050598; -0.441269;
0.660779; 0.233215; -1.010849; -0.442673;
0.670790; 0.232071; -0.967773; -0.427856;
0.680802; 0.217697; -0.932907; -0.414215;
0.690814; 0.181747; -0.914902; -0.406082;
0.700826; 0.130386; -0.906769; -0.405655;
0.710838; 0.084000; -0.892593; -0.407852;
0.720849; 0.052292; -0.879227; -0.408051;
0.730861; 0.031494; -0.864166; -0.399628;
0.740873; 0.011993; -0.838181; -0.392517;
0.750885; -0.010361; -0.811615; -0.383911;
0.760897; -0.037964; -0.796753; -0.376816;
0.770908; -0.061401; -0.782562; -0.370499;
0.780920; -0.074493; -0.772141; -0.377457;
0.790932; -0.077240; -0.773056; -0.406799;
0.800944; -0.062393; -0.776459; -0.456818;
0.810955; -0.029541; -0.777069; -0.496429;
0.820967; 0.008331; -0.781204; -0.524994;
0.830979; 0.052261; -0.802719; -0.526581;
0.840991; 0.093582; -0.848770; -0.509369;
0.851003; 0.135696; -0.907242; -0.501389;
0.861014; 0.177994; -0.968689; -0.494354;
0.871026; 0.213882; -1.020172; -0.499146;
0.881038; 0.246567; -1.056763; -0.526489;
0.891050; 0.268738; -1.067276; -0.562408;
0.901062; 0.276443; -1.049973; -0.572586;
0.911073; 0.268951; -1.020462; -0.571396;
0.921085; 0.257935; -0.982819; -0.551407;
0.931097; 0.251114; -0.950531; -0.507370;
0.941109; 0.231628; -0.928131; -0.464233;
0.951121; 0.191711; -0.909943; -0.428329;
0.961132; 0.137985; -0.897964; -0.402924;
0.971144; 0.084473; -0.885483; -0.380844;
0.981156; 0.033752; -0.872528; -0.355713;
0.991168; -0.015152; -0.853119; -0.322739;
1.001180; -0.066162; -0.831818; -0.297638;
1.011191; -0.107132; -0.803314; -0.286362;
1.021203; -0.130936; -0.780853; -0.287369;
