timestamp; x; y; z;
0.000000; 0.148209; -0.498459; -0.865982;
0.010013; 0.148102; -0.496429; -0.865128;
0.020025; 0.148926; -0.495117; -0.862137;
0.030038; 0.146713; -0.495285; -0.862167;
0.040050; 0.148697; -0.496613; -0.862915;
0.050063; 0.149109; -0.496414; -0.864441;
0.060075; 0.147919; -0.496429; -0.865112;
0.070087; 0.147202; -0.496643; -0.863144;
0.080100; 0.145782; -0.498535; -0.861618;
0.090112; 0.147903; -0.500870; -0.861526;
0.100125; 0.149338; -0.502991; -0.862747;
0.110137; 0.147614; -0.507782; -0.863113;
0.120150; 0.146606; -0.510193; -0.860657;
0.130162; 0.146988; -0.507950; -0.857773;
0.140175; 0.151642; -0.501556; -0.858658;
0.150187; 0.159027; -0.493942; -0.864258;
0.160199; 0.161285; -0.489395; -0.870422;
0.170212; 0.158905; -0.486893; -0.872223;
0.180224; 0.155930; -0.488174; -0.870270;
0.190237; 0.152374; -0.493149; -0.863708;
0.200249; 0.143661; -0.501877; -0.856567;
0.210262; 0.135712; -0.510132; -0.854355;
0.220274; 0.132584; -0.514633; -0.854782;
0.230286; 0.136063; -0.515457; -0.855759;
0.240299; 0.143845; -0.513489; -0.857132;
0.250311; 0.153534; -0.507034; -0.859634;
0.260324; 0.162079; -0.499619; -0.861374;
0.270336; 0.169556; -0.491333; -0.864090;
0.280349; 0.173309; -0.486176; -0.865280;
0.290361; 0.169937; -0.486130; -0.867020;
0.300374; 0.161438; -0.491119; -0.865997;
0.310386; 0.151077; -0.498337; -0.865463;
0.320399; 0.142685; -0.502045; -0.867203;
0.330411; 0.140823; -0.499283; -0.867737;
0.340423; 0.138199; -0.496048; -0.864944;
0.350436; 0.134644; -0.498901; -0.864227;
0.360448; 0.136276; -0.495651; -0.864059;
0.370461; 0.135696; -0.490768; -0.865097;
0.380473; 0.130707; -0.492920; -0.864380;
0.390486; 0.130127; -0.494186; -0.865646;
0.400498; 0.136017; -0.488174; -0.865616;
0.410511; 0.141052; -0.485199; -0.867157;
0.420523; 0.141800; -0.486725; -0.867233;
0.430535; 0.142426; -0.488358; -0.867569;
0.440548; 0.146454; -0.488281; -0.864670;
0.450560; 0.150909; -0.489197; -0.862808;
0.460573; 0.155197; -0.489532; -0.864029;
0.470585; 0.159088; -0.492096; -0.863770;
0.480598; 0.163284; -0.495010; -0.862808;
0.490610; 0.162628; -0.499390; -0.861588;
0.500623; 0.159500; -0.507172; -0.860092;
0.510635; 0.153778; -0.513489; -0.860611;
0.520647; 0.148590; -0.514038; -0.861343;
0.530660; 0.147995; -0.510956; -0.861664;
0.540672; 0.146698; -0.505646; -0.863571;
0.550685; 0.146011; -0.501526; -0.864166;
0.560697; 0.146454; -0.497009; -0.863358;
0.570710; 0.142670; -0.494278; -0.862762;
0.580722; 0.139786; -0.493408; -0.862656;
0.590735; 0.136139; -0.494675; -0.864273;
0.600747; 0.133453; -0.495041; -0.864944;
0.610759; 0.132370; -0.494080; -0.866089;
0.620772; 0.134583; -0.495132; -0.863068;
0.630784; 0.140701; -0.498001; -0.861893;
0.640797; 0.145157; -0.500168; -0.863907;
0.650809; 0.150497; -0.501617; -0.864731;
0.660822; 0.156281; -0.501251; -0.863541;
0.670834; 0.160461; -0.498779; -0.861847;
0.680847; 0.163422; -0.499237; -0.862320;
0.690859; 0.161530; -0.502594; -0.863251;
0.700872; 0.155563; -0.505371; -0.863297;
0.710884; 0.150574; -0.505310; -0.862991;
0.720896; 0.147186; -0.500824; -0.860977;
0.730909; 0.147232; -0.495605; -0.861359;
0.740921; 0.148712; -0.490570; -0.863174;
0.750934; 0.146255; -0.488068; -0.863541;
0.760946; 0.144318; -0.488754; -0.864532;
0.770959; 0.143753; -0.490784; -0.865784;
0.780971; 0.147079; -0.489746; -0.865311;
0.790984; 0.151825; -0.488693; -0.863174;
0.800996; 0.155396; -0.490479; -0.863144;
0.811008; 0.157440; -0.494202; -0.864059;
0.821021; 0.156906; -0.500397; -0.864822;
0.831033; 0.153122; -0.508026; -0.864090;
0.841046; 0.148193; -0.512909; -0.860886;
0.851058; 0.143753; -0.515396; -0.856232;
0.861071; 0.139511; -0.515671; -0.852402;
0.871083; 0.139511; -0.513641; -0.853348;
0.881096; 0.141037; -0.510208; -0.857819;
0.891108; 0.141449; -0.507156; -0.861099;
0.901121; 0.141235; -0.504364; -0.862106;
0.911133; 0.140793; -0.500641; -0.857559;
0.921145; 0.146744; -0.498016; -0.856262;
0.931158; 0.153030; -0.497177; -0.857452;
0.941170; 0.149597; -0.503738; -0.859528;
0.951183; 0.147797; -0.507690; -0.855209;
