timestamp; x; y; z;
0.000000; 0.233994; -0.747101; -0.567352;
0.010011; 0.237686; -0.748489; -0.586838;
0.020023; 0.224243; -0.755508; -0.604568;
0.030034; 0.220566; -0.764206; -0.604568;
0.040046; 0.226669; -0.769684; -0.602951;
0.050057; 0.229706; -0.772995; -0.609131;
0.060069; 0.226395; -0.774612; -0.613922;
0.070080; 0.218277; -0.775452; -0.631348;
0.080091; 0.204117; -0.769272; -0.632568;
0.090103; 0.206009; -0.761566; -0.616821;
0.100114; 0.222733; -0.762604; -0.611786;
0.110126; 0.234268; -0.762695; -0.622955;
0.120137; 0.242188; -0.767731; -0.623138;
0.130148; 0.243454; -0.777679; -0.609604;
0.140160; 0.246628; -0.782257; -0.607758;
0.150171; 0.255035; -0.784012; -0.622482;
0.160183; 0.255219; -0.782928; -0.640610;
0.170194; 0.248428; -0.783386; -0.642532;
0.180206; 0.234085; -0.776215; -0.625244;
0.190217; 0.211823; -0.760315; -0.602264;
0.200228; 0.213837; -0.749100; -0.594849;
0.210240; 0.219162; -0.757980; -0.605988;
0.220251; 0.223083; -0.768433; -0.629761;
0.230263; 0.224319; -0.759308; -0.638306;
0.240274; 0.219666; -0.747955; -0.632736;
0.250286; 0.224182; -0.745285; -0.645050;
0.260297; 0.225983; -0.761978; -0.674393;
0.270308; 0.224213; -0.765076; -0.711411;
0.280320; 0.200851; -0.753128; -0.705948;
0.290331; 0.175766; -0.726593; -0.672424;
0.300343; 0.157089; -0.705032; -0.650467;
0.310354; 0.138962; -0.701096; -0.645020;
0.320366; 0.126190; -0.697403; -0.669205;
0.330377; 0.136139; -0.679062; -0.687851;
0.340388; 0.147873; -0.664093; -0.698318;
0.350400; 0.149506; -0.657318; -0.697220;
0.360411; 0.146851; -0.654083; -0.690735;
0.370423; 0.149338; -0.651581; -0.690735;
0.380434; 0.150299; -0.653946; -0.706909;
0.390446; 0.147659; -0.660721; -0.716492;
0.400457; 0.150482; -0.663361; -0.719833;
0.410468; 0.150955; -0.661560; -0.719772;
0.420480; 0.155563; -0.658615; -0.724258;
0.430491; 0.161133; -0.661163; -0.736572;
0.440503; 0.156601; -0.665756; -0.730408;
0.450514; 0.149948; -0.663147; -0.726654;
0.460526; 0.147446; -0.659561; -0.736908;
0.470537; 0.151413; -0.657867; -0.733032;
0.480548; 0.161026; -0.660736; -0.733597;
0.490560; 0.165070; -0.669403; -0.742523;
0.500571; 0.164520; -0.679062; -0.745468;
0.510583; 0.165863; -0.680115; -0.743835;
0.520594; 0.164383; -0.675446; -0.746277;
0.530606; 0.165497; -0.669342; -0.744354;
0.540617; 0.167847; -0.665939; -0.737885;
0.550628; 0.168198; -0.665924; -0.740982;
0.560640; 0.167099; -0.665665; -0.741623;
0.570651; 0.167664; -0.664017; -0.739075;
0.580663; 0.168640; -0.661469; -0.741440;
0.590674; 0.171799; -0.664703; -0.751801;
0.600685; 0.174179; -0.670975; -0.752548;
0.610697; 0.170761; -0.673645; -0.750595;
0.620708; 0.165665; -0.672638; -0.749115;
0.630720; 0.166534; -0.669449; -0.746368;
0.640731; 0.168610; -0.667099; -0.742264;
0.650743; 0.166153; -0.664551; -0.736145;
0.660754; 0.162872; -0.660843; -0.731461;
0.670765; 0.163452; -0.660538; -0.732895;
0.680777; 0.165588; -0.666260; -0.736801;
0.690788; 0.169739; -0.670074; -0.739548;
0.700800; 0.170120; -0.666275; -0.735962;
0.710811; 0.165466; -0.661591; -0.734299;
0.720823; 0.162140; -0.655472; -0.731781;
0.730834; 0.164703; -0.656448; -0.729767;
0.740845; 0.164917; -0.663818; -0.732788;
0.750857; 0.160126; -0.665390; -0.729813;
0.760868; 0.162689; -0.661697; -0.726624;
0.770880; 0.173325; -0.666122; -0.729752;
0.780891; 0.182159; -0.674057; -0.727585;
0.790903; 0.186844; -0.677139; -0.730072;
0.800914; 0.183990; -0.672745; -0.730682;
0.810925; 0.178986; -0.665695; -0.731293;
0.820937; 0.176743; -0.660202; -0.732178;
0.830948; 0.174316; -0.655594; -0.730499;
0.840960; 0.167633; -0.651123; -0.728302;
0.850971; 0.165939; -0.647064; -0.726151;
0.860983; 0.167145; -0.649368; -0.730209;
0.870994; 0.169296; -0.654541; -0.732697;
0.881005; 0.173355; -0.659271; -0.728775;
0.891017; 0.173080; -0.657013; -0.730301;
0.901028; 0.169891; -0.650253; -0.729843;
0.911040; 0.168930; -0.648285; -0.729614;
0.921051; 0.172028; -0.648758; -0.731628;
0.931063; 0.176361; -0.652161; -0.734573;
0.941074; 0.179550; -0.657242; -0.737152;
0.951085; 0.180725; -0.657898; -0.740570;
0.961097; 0.181503; -0.656021; -0.743683;
0.971108; 0.174515; -0.653656; -0.744095;
0.981120; 0.165375; -0.645248; -0.741898;
0.991131; 0.165054; -0.636490; -0.741486;
1.001143; 0.164322; -0.634018; -0.740921;
1.011154; 0.161484; -0.630783; -0.733841;
1.021165; 0.159561; -0.627274; -0.733154;
1.031177; 0.159332; -0.625961; -0.737518;
1.041188; 0.164032; -0.634705; -0.739319;
1.051200; 0.166214; -0.643417; -0.742249;
1.061211; 0.171097; -0.648239; -0.748703;
1.071223; 0.172714; -0.651794; -0.750488;
1.081234; 0.170212; -0.654419; -0.750092;
1.091245; 0.166397; -0.652420; -0.751373;
1.101257; 0.161606; -0.651031; -0.750565;
1.111268; 0.158386; -0.648727; -0.743988;
1.121280; 0.157654; -0.646942; -0.745148;
1.131291; 0.154465; -0.645325; -0.745621;
1.141303; 0.151169; -0.643661; -0.741394;
1.151314; 0.148926; -0.641403; -0.745834;
1.161325; 0.151840; -0.638367; -0.747070;
1.171337; 0.153015; -0.638626; -0.744247;
1.181348; 0.151276; -0.639297; -0.739853;
1.191360; 0.150879; -0.638351; -0.742050;
1.201371; 0.150681; -0.639069; -0.743393;
1.211383; 0.152451; -0.642990; -0.747238;
1.221394; 0.154541; -0.648392; -0.756165;
1.231405; 0.153229; -0.653870; -0.765564;
1.241417; 0.148270; -0.654877; -0.757721;
1.251428; 0.137863; -0.631363; -0.761292;
1.261440; 0.157440; -0.612885; -0.815063;
1.271451; 0.165298; -0.674088; -0.714417;
1.281463; 0.150467; -0.696091; -0.727997;
1.291474; 0.132965; -0.664597; -0.780731;
1.301485; 0.129547; -0.642044; -0.771591;
1.311497; 0.118439; -0.645798; -0.752167;
1.321508; 0.103729; -0.653381; -0.764938;
1.331520; 0.087677; -0.634933; -0.801086;
1.341531; 0.095779; -0.624741; -0.819794;
1.351543; 0.101929; -0.652634; -0.766144;
1.361554; 0.094879; -0.662125; -0.769836;
1.371565; 0.094635; -0.648254; -0.787994;
1.381577; 0.091248; -0.632721; -0.793457;
1.391588; 0.089401; -0.628891; -0.787216;
1.401600; 0.092545; -0.629868; -0.781433;
1.411611; 0.093384; -0.629517; -0.787567;
1.421623; 0.099380; -0.623901; -0.811127;
1.431634; 0.103210; -0.627701; -0.818619;
1.441645; 0.091095; -0.640381; -0.793442;
1.451657; 0.073288; -0.627975; -0.792557;
1.461668; 0.067139; -0.605988; -0.803146;
1.471680; 0.070953; -0.597839; -0.794647;
1.481691; 0.073257; -0.600006; -0.793121;
1.491703; 0.078690; -0.607269; -0.806290;
1.501714; 0.081024; -0.611679; -0.808228;
1.511725; 0.079834; -0.611420; -0.803040;
1.521737; 0.082321; -0.608917; -0.802338;
1.531748; 0.089020; -0.608566; -0.803635;
1.541760; 0.094055; -0.612015; -0.799561;
1.551771; 0.097366; -0.618652; -0.796310;
1.561784; 0.099030; -0.616837; -0.792709;
1.571795; 0.097794; -0.606186; -0.796341;
1.581806; 0.086197; -0.617874; -0.804672;
1.591818; 0.077240; -0.635742; -0.788361;
1.601829; 0.082855; -0.626251; -0.778290;
1.611841; 0.079163; -0.614120; -0.799240;
1.621852; 0.060715; -0.616882; -0.802216;
1.631864; 0.046661; -0.620209; -0.792709;
1.641875; 0.048553; -0.616592; -0.793732;
1.651886; 0.051315; -0.615189; -0.795944;
1.661898; 0.055511; -0.620865; -0.795456;
