timestamp; x; y; z;
0.000000; 0.063736; -0.838577; -0.570221;
0.010011; 0.063202; -0.835297; -0.572861;
0.020022; 0.057465; -0.829071; -0.586990;
0.030033; 0.057220; -0.813400; -0.609528;
0.040044; 0.052399; -0.792587; -0.612167;
0.050055; 0.047226; -0.802399; -0.608917;
0.060066; 0.039734; -0.813843; -0.610199;
0.070078; 0.027267; -0.817383; -0.605453;
0.080089; 0.024918; -0.810516; -0.600479;
0.090100; 0.025497; -0.800812; -0.598206;
0.100111; 0.026733; -0.791382; -0.598297;
0.110122; 0.026337; -0.782288; -0.601746;
0.120133; 0.025787; -0.774963; -0.610992;
0.130145; 0.027771; -0.764694; -0.615799;
0.140156; 0.024002; -0.773209; -0.621490;
0.150167; 0.019623; -0.785568; -0.617218;
0.160178; 0.017990; -0.791504; -0.619385;
0.170189; 0.022049; -0.795883; -0.622375;
0.180200; 0.024780; -0.797562; -0.621185;
0.190212; 0.029495; -0.797928; -0.625168;
0.200223; 0.034409; -0.797150; -0.628464;
0.210234; 0.037323; -0.800079; -0.631775;
0.220245; 0.040176; -0.804840; -0.636597;
0.230256; 0.043030; -0.808624; -0.638184;
0.240267; 0.043945; -0.809692; -0.633209;
0.250279; 0.046066; -0.807236; -0.627991;
0.260290; 0.046371; -0.803238; -0.620163;
0.270301; 0.044312; -0.800354; -0.610947;
0.280312; 0.040359; -0.799591; -0.606339;
0.290323; 0.039108; -0.801895; -0.604294;
0.300334; 0.042175; -0.800827; -0.600784;
0.310346; 0.038544; -0.801575; -0.595932;
0.320357; 0.035538; -0.802002; -0.592438;
0.330368; 0.029739; -0.807083; -0.593094;
0.340379; 0.023315; -0.807114; -0.592255;
0.350390; 0.024445; -0.798126; -0.591614;
0.360401; 0.020157; -0.806488; -0.595352;
0.370413; 0.017624; -0.810822; -0.595413;
0.380424; 0.029068; -0.800003; -0.594681;
0.390435; 0.034821; -0.796524; -0.598404;
0.400446; 0.032059; -0.795975; -0.598709;
0.410457; 0.030945; -0.795197; -0.600601;
0.420468; 0.027756; -0.798477; -0.602905;
0.430479; 0.023087; -0.803284; -0.601669;
0.440491; 0.019104; -0.803345; -0.603409;
0.450502; 0.019821; -0.801636; -0.607300;
0.460513; 0.017593; -0.803360; -0.609909;
0.470525; 0.012955; -0.805466; -0.614548;
0.480536; 0.010468; -0.801987; -0.616058;
0.490548; 0.005280; -0.798889; -0.616776;
0.500559; 0.000244; -0.796982; -0.616150;
0.510570; -0.000839; -0.791107; -0.614319;
0.520581; 0.000061; -0.785919; -0.616013;
0.530592; -0.003128; -0.785446; -0.618195;
0.540603; -0.006088; -0.785324; -0.618912;
0.550615; -0.006042; -0.783478; -0.621292;
0.560626; -0.005524; -0.783432; -0.627365;
0.570637; -0.006088; -0.783478; -0.634491;
0.580648; -0.006409; -0.782104; -0.638306;
0.590659; -0.003220; -0.779709; -0.641541;
0.600670; -0.002319; -0.777710; -0.645309;
0.610681; -0.003738; -0.775391; -0.647705;
0.620693; -0.004974; -0.774460; -0.645203;
0.630704; -0.006851; -0.773193; -0.641876;
0.640715; -0.010025; -0.772614; -0.642075;
0.650726; -0.011093; -0.771393; -0.640198;
0.660737; -0.009888; -0.771027; -0.638870;
0.670748; -0.004059; -0.771942; -0.636932;
0.680760; 0.000320; -0.774902; -0.634933;
0.690771; 0.002014; -0.781433; -0.635468;
0.700782; 0.004166; -0.786209; -0.631912;
0.710793; 0.007278; -0.787979; -0.630783;
0.720804; 0.007599; -0.789505; -0.629105;
0.730815; 0.006210; -0.790787; -0.630005;
0.740827; 0.005280; -0.793304; -0.629227;
0.750838; 0.005737; -0.794067; -0.627701;
0.760849; 0.005569; -0.792145; -0.624481;
0.770860; 0.007339; -0.791962; -0.623199;
0.780871; 0.004761; -0.791061; -0.622559;
0.790882; -0.001175; -0.791550; -0.619263;
0.800894; -0.006119; -0.790970; -0.615570;
0.810905; -0.009506; -0.788010; -0.613068;
0.820916; -0.012955; -0.784409; -0.609390;
0.830927; -0.013916; -0.781708; -0.602646;
0.840938; -0.017960; -0.783905; -0.597015;
0.850949; -0.020935; -0.787506; -0.594925;
0.860961; -0.019348; -0.786652; -0.597107;
0.870972; -0.017181; -0.785492; -0.598999;
0.880983; -0.018158; -0.786148; -0.604660;
0.890994; -0.015564; -0.788208; -0.612015;
0.901005; -0.012985; -0.789581; -0.623047;
0.911016; -0.010941; -0.788269; -0.630447;
0.921028; -0.008362; -0.786407; -0.635437;
0.931039; -0.003418; -0.781509; -0.633408;
0.941050; -0.000626; -0.776794; -0.630661;
0.951061; 0.000153; -0.775055; -0.627594;
0.961072; 0.002472; -0.777252; -0.625504;
0.971083; 0.004684; -0.782028; -0.625488;
0.981095; 0.007416; -0.785721; -0.626862;
0.991106; 0.011444; -0.788925; -0.630447;
1.001117; 0.013901; -0.792969; -0.636917;
1.011128; 0.016937; -0.797928; -0.647751;
1.021139; 0.019485; -0.799438; -0.653931;
1.031150; 0.024597; -0.796448; -0.652100;
1.041162; 0.027374; -0.794601; -0.647430;
1.051173; 0.023331; -0.793503; -0.641266;
1.061184; 0.017456; -0.791901; -0.629883;
1.071195; 0.012787; -0.792145; -0.620773;
1.081206; 0.006012; -0.791718; -0.613785;
1.091217; 0.001572; -0.793472; -0.605865;
1.101229; 0.004105; -0.792480; -0.598785;
1.111240; 0.005341; -0.793686; -0.597290;
1.121251; 0.005234; -0.799179; -0.597672;
1.131262; 0.006348; -0.803528; -0.601379;
1.141273; 0.006851; -0.807083; -0.613022;
1.151284; 0.007736; -0.808350; -0.620392;
1.161296; 0.009689; -0.808304; -0.623123;
1.171307; 0.013733; -0.808167; -0.621506;
1.181318; 0.012039; -0.808121; -0.619827;
1.191329; 0.010559; -0.808167; -0.615799;
1.201340; 0.010529; -0.806854; -0.612442;
1.211351; 0.011353; -0.802963; -0.611359;
1.221363; 0.011566; -0.797195; -0.609970;
1.231374; 0.009445; -0.793396; -0.610474;
1.241385; 0.004593; -0.793625; -0.611984;
1.251396; -0.003967; -0.799103; -0.613266;
1.261407; -0.006317; -0.802277; -0.613983;
1.271418; -0.005524; -0.799667; -0.616348;
1.281430; -0.008408; -0.791122; -0.619797;
1.291441; -0.008774; -0.775269; -0.618820;
1.301452; -0.008240; -0.768723; -0.617081;
1.311463; -0.014359; -0.772720; -0.613495;
1.321474; -0.017715; -0.777161; -0.608200;
1.331485; -0.017807; -0.781219; -0.604630;
1.341497; -0.018600; -0.783615; -0.606064;
1.351508; -0.016922; -0.778976; -0.609634;
1.361519; -0.017426; -0.778366; -0.616379;
1.371530; -0.017776; -0.778549; -0.621124;
1.381541; -0.017303; -0.777939; -0.623337;
1.391552; -0.018341; -0.780396; -0.619781;
1.401564; -0.017838; -0.778732; -0.616745;
1.411575; -0.016006; -0.779282; -0.618103;
1.421586; -0.015732; -0.775742; -0.617050;
1.431597; -0.021378; -0.781708; -0.611267;
1.441608; -0.020889; -0.789322; -0.607651;
1.451619; -0.016968; -0.791168; -0.609238;
1.461631; -0.012146; -0.792587; -0.616882;
1.471641; -0.004791; -0.791519; -0.626083;
1.481652; 0.000656; -0.787979; -0.637253;
1.491663; 0.002777; -0.788773; -0.644501;
1.501674; 0.006134; -0.791153; -0.646347;
1.511685; 0.010239; -0.795944; -0.646759;
1.521697; 0.008453; -0.801041; -0.641968;
1.531708; 0.008301; -0.801392; -0.632706;
1.541719; 0.009171; -0.800201; -0.626205;
1.551730; 0.007278; -0.800034; -0.626282;
1.561741; 0.007141; -0.799133; -0.626022;
1.571752; 0.010284; -0.795044; -0.630463;
1.581764; 0.011444; -0.790955; -0.634979;
1.591775; 0.010315; -0.789246; -0.636169;
1.601786; 0.009598; -0.786942; -0.632233;
1.611797; 0.009399; -0.786163; -0.627975;
1.621808; 0.005951; -0.791916; -0.624695;
1.631820; 0.003647; -0.795837; -0.623383;
1.641831; 0.003189; -0.797134; -0.625626;
1.651842; 0.002487; -0.795990; -0.626785;
1.661853; 0.001129; -0.794449; -0.627823;
1.671864; 0.000092; -0.790222; -0.627075;
1.681875; 0.000702; -0.785995; -0.622681;
1.691887; -0.000992; -0.784317; -0.620041;
1.701898; -0.000900; -0.784195; -0.616867;
1.711909; -0.001755; -0.784790; -0.614380;
1.721920; -0.001846; -0.786438; -0.615021;
1.731931; -0.000732; -0.788681; -0.614304;
1.741942; 0.000473; -0.793518; -0.615250;
1.751954; 0.000092; -0.796356; -0.616226;
1.761965; 0.000397; -0.799530; -0.616516;
1.771976; 0.001328; -0.797852; -0.617203;
1.781987; -0.001999; -0.795761; -0.618423;
1.791998; -0.003494; -0.794083; -0.615921;
1.802010; -0.004517; -0.791321; -0.612808;
1.812021; -0.004211; -0.790085; -0.610016;
1.822032; -0.003326; -0.788254; -0.605484;
1.832043; -0.003433; -0.787354; -0.605148;
1.842054; -0.006210; -0.788620; -0.606140;
1.852065; -0.007294; -0.789062; -0.608231;
1.862077; -0.007416; -0.790787; -0.614136;
1.872088; -0.007050; -0.791000; -0.615097;
1.882099; -0.006882; -0.791016; -0.615814;
1.892110; -0.006241; -0.791687; -0.616760;
1.902121; -0.005920; -0.789932; -0.614029;
1.912132; -0.004929; -0.789246; -0.613632;
1.922144; -0.004379; -0.789322; -0.614456;
1.932155; -0.003036; -0.791229; -0.617249;
1.942166; 0.000961; -0.789886; -0.621552;
1.952177; 0.003571; -0.790665; -0.622955;
1.962188; 0.000854; -0.792252; -0.626740;
1.972199; 0.001266; -0.793518; -0.628555;
1.982211; 0.000641; -0.792679; -0.628708;
1.992222; 0.001923; -0.790817; -0.630417;
2.002233; 0.004272; -0.790298; -0.630264;
2.012244; 0.005478; -0.791916; -0.629105;
2.022255; 0.004272; -0.795486; -0.627701;
2.032267; 0.002914; -0.796234; -0.625565;
2.042278; 0.002182; -0.793335; -0.623779;
2.052289; 0.003357; -0.790695; -0.623871;
2.062300; 0.003632; -0.787857; -0.626999;
2.072311; -0.000092; -0.785965; -0.629257;
2.082322; -0.002319; -0.787445; -0.629578;
2.092334; -0.000977; -0.788437; -0.629028;
2.102345; 0.004059; -0.786530; -0.629013;
2.112356; 0.007568; -0.785614; -0.630875;
2.122367; 0.008942; -0.788269; -0.631241;
2.132378; 0.008545; -0.789551; -0.634827;
2.142389; 0.006317; -0.790024; -0.633255;
2.152401; 0.003677; -0.791763; -0.632187;
2.162412; 0.001419; -0.794174; -0.631424;
2.172423; -0.000839; -0.792984; -0.627258;
2.182434; -0.000717; -0.788528; -0.620911;
2.192445; 0.000565; -0.785675; -0.616013;
2.202457; -0.000916; -0.786011; -0.618057;
2.212468; -0.002625; -0.788208; -0.618637;
2.222479; -0.002289; -0.790634; -0.619202;
2.232490; -0.000961; -0.790298; -0.622421;
2.242501; -0.000015; -0.791245; -0.624191;
2.252512; -0.001221; -0.789764; -0.621140;
2.262524; -0.001709; -0.788849; -0.619034;
2.272535; -0.002075; -0.789505; -0.618729;
2.282546; -0.002563; -0.791092; -0.617035;
2.292557; -0.000931; -0.793533; -0.616943;
2.302568; -0.002319; -0.795090; -0.615829;
2.312579; -0.003281; -0.795532; -0.616486;
2.322591; -0.003754; -0.792953; -0.618866;
2.332602; -0.001801; -0.789886; -0.622650;
2.342613; 0.000732; -0.787979; -0.628082;
2.352624; 0.000778; -0.786484; -0.631622;
2.362635; 0.001251; -0.787216; -0.630341;
2.372647; -0.000580; -0.790070; -0.626755;
2.382658; -0.002350; -0.790955; -0.622559;
2.392669; -0.002914; -0.793304; -0.622421;
2.402680; -0.003174; -0.793777; -0.620438;
2.412691; -0.003448; -0.791580; -0.617203;
2.422702; -0.005936; -0.788025; -0.618286;
2.432714; -0.008636; -0.786224; -0.615799;
2.442725; -0.010010; -0.785843; -0.613907;
2.452736; -0.009735; -0.786377; -0.618164;
2.462747; -0.008987; -0.785736; -0.624863;
2.472758; -0.007401; -0.785400; -0.626968;
2.482770; -0.004593; -0.782959; -0.627197;
2.492781; -0.007263; -0.784470; -0.628403;
2.502792; -0.008209; -0.786179; -0.626923;
2.512803; -0.007248; -0.784561; -0.626678;
2.522814; -0.009445; -0.783051; -0.625366;
2.532825; -0.009766; -0.781555; -0.627457;
2.542837; -0.009445; -0.779907; -0.628769;
2.552848; -0.007812; -0.779922; -0.628387;
2.562859; -0.008026; -0.783081; -0.625092;
2.572870; -0.009079; -0.784882; -0.623154;
2.582881; -0.008850; -0.786819; -0.625046;
2.592893; -0.007385; -0.788239; -0.628937;
2.602904; -0.005493; -0.789474; -0.630157;
2.612915; -0.006851; -0.788834; -0.633591;
2.622926; -0.008804; -0.787460; -0.632156;
2.632937; -0.009399; -0.786926; -0.632080;
2.642948; -0.009140; -0.783325; -0.632019;
2.652960; -0.006363; -0.780258; -0.632126;
2.662971; -0.003998; -0.779083; -0.633362;
2.672982; -0.005234; -0.781342; -0.630310;
2.682993; -0.005539; -0.784103; -0.627090;
2.693004; -0.006271; -0.786301; -0.624756;
2.703016; -0.007904; -0.787933; -0.626602;
2.713027; -0.008331; -0.788086; -0.627274;
2.723038; -0.008163; -0.787628; -0.628815;
2.733049; -0.005295; -0.785614; -0.630890;
2.743060; -0.004517; -0.785461; -0.630783;
2.753071; -0.004181; -0.785080; -0.628952;
2.763083; -0.004120; -0.783005; -0.625931;
2.773094; -0.004364; -0.783051; -0.624634;
2.783105; -0.005157; -0.782959; -0.623230;
2.793116; -0.007019; -0.784515; -0.622055;
2.803127; -0.005615; -0.787003; -0.624268;
2.813139; -0.004089; -0.787964; -0.628067;
2.823150; -0.002563; -0.788223; -0.629333;
2.833161; 0.000366; -0.787445; -0.630142;
2.843172; 0.000015; -0.787125; -0.628937;
2.853183; 0.000153; -0.787125; -0.626266;
2.863195; -0.000259; -0.787430; -0.624649;
2.873206; -0.000565; -0.790771; -0.625443;
2.883217; -0.001175; -0.792068; -0.627686;
2.893228; 0.000336; -0.791107; -0.627151;
2.903239; -0.000259; -0.787598; -0.628510;
2.913250; -0.001633; -0.784332; -0.629791;
2.923262; -0.000595; -0.782318; -0.628555;
2.933273; -0.000351; -0.781967; -0.626877;
2.943284; -0.000031; -0.785416; -0.625183;
2.953295; -0.002838; -0.788513; -0.627106;
2.963306; -0.003143; -0.790268; -0.628052;
2.973318; -0.000336; -0.789185; -0.627563;
2.983329; -0.000809; -0.787766; -0.631470;
2.993340; -0.002625; -0.787003; -0.631073;
3.003351; -0.002869; -0.784775; -0.628052;
3.013362; -0.003601; -0.784164; -0.624741;
3.023374; -0.005646; -0.783676; -0.621338;
3.033385; -0.006393; -0.784637; -0.621521;
3.043396; -0.002777; -0.785645; -0.625015;
3.053407; -0.000626; -0.783325; -0.632401;
3.063418; -0.000610; -0.783539; -0.635956;
3.073429; -0.002197; -0.784424; -0.636078;
3.083441; -0.004684; -0.783066; -0.635757;
3.093452; -0.006439; -0.782730; -0.632553;
3.103463; -0.006866; -0.783966; -0.626968;
3.113474; -0.008865; -0.785797; -0.623032;
3.123485; -0.006516; -0.786880; -0.623535;
3.133497; -0.004517; -0.786316; -0.628555;
3.143508; -0.001694; -0.783234; -0.633606;
3.153519; -0.001450; -0.780823; -0.637238;
3.163530; -0.001740; -0.780090; -0.637512;
3.173541; -0.002029; -0.777084; -0.636673;
3.183553; -0.002106; -0.777786; -0.633698;
3.193564; -0.003464; -0.781219; -0.629028;
3.203575; -0.003586; -0.785690; -0.628128;
3.213586; -0.004608; -0.790207; -0.629227;
3.223597; -0.004166; -0.791473; -0.631256;
3.233608; -0.001755; -0.788879; -0.633377;
3.243620; -0.000336; -0.783813; -0.634598;
3.253631; -0.000961; -0.780533; -0.632828;
3.263642; -0.001892; -0.778824; -0.629654;
3.273653; -0.005371; -0.781036; -0.625732;
3.283664; -0.007629; -0.783813; -0.622681;
3.293676; -0.006531; -0.785019; -0.621719;
3.303687; -0.006073; -0.784836; -0.624222;
