timestamp; x; y; z;
0.000000; -0.016693; -0.931412; -0.368790;
0.010013; -0.017029; -0.931213; -0.368439;
0.020027; -0.017151; -0.930542; -0.372238;
0.030041; -0.012772; -0.925674; -0.378174;
0.040054; -0.004395; -0.921494; -0.381516;
0.050068; -0.003052; -0.921707; -0.381027;
0.060082; -0.008804; -0.925446; -0.381546;
0.070095; -0.015411; -0.927826; -0.377609;
0.080109; -0.018082; -0.924057; -0.377472;
0.090122; -0.017929; -0.925354; -0.383423;
0.100136; -0.011490; -0.932510; -0.391296;
0.110150; -0.010757; -0.933701; -0.387039;
0.120163; -0.013474; -0.923370; -0.378036;
0.130177; -0.015274; -0.913223; -0.375809;
0.140191; -0.012436; -0.918411; -0.382492;
0.150204; -0.011261; -0.930313; -0.387207;
0.160218; -0.014832; -0.935013; -0.390167;
0.170231; -0.021820; -0.932373; -0.384094;
0.180245; -0.031448; -0.932556; -0.377853;
0.190259; -0.036209; -0.934601; -0.372192;
0.200272; -0.029800; -0.936920; -0.376617;
0.210286; -0.020660; -0.939804; -0.378403;
0.220300; -0.021423; -0.938843; -0.372162;
0.230313; -0.026489; -0.936310; -0.370041;
0.240327; -0.027466; -0.937943; -0.370621;
0.250341; -0.029480; -0.940079; -0.368881;
0.260354; -0.029556; -0.938904; -0.367554;
0.270368; -0.022430; -0.938385; -0.366089;
0.280381; -0.023041; -0.940872; -0.362839;
0.290395; -0.028717; -0.943588; -0.367294;
0.300409; -0.028412; -0.942642; -0.375977;
0.310422; -0.023972; -0.939774; -0.374451;
0.320436; -0.020874; -0.932907; -0.362656;
0.330450; -0.020432; -0.928650; -0.360107;
0.340463; -0.013138; -0.927155; -0.367416;
0.350477; -0.004761; -0.928940; -0.365814;
0.360491; -0.001007; -0.932083; -0.361511;
0.370504; -0.002518; -0.933182; -0.359848;
0.380518; -0.004608; -0.931870; -0.361023;
0.390531; -0.010010; -0.930222; -0.362183;
0.400545; -0.013565; -0.928101; -0.355804;
0.410559; -0.015076; -0.924973; -0.345200;
0.420572; -0.008194; -0.923843; -0.345734;
0.430586; 0.002365; -0.925705; -0.359680;
0.440600; 0.007385; -0.928879; -0.363434;
0.450613; 0.011337; -0.928101; -0.355560;
0.460628; 0.014771; -0.927826; -0.352966;
0.470642; 0.017593; -0.929092; -0.356735;
0.480655; 0.016968; -0.925995; -0.365738;
0.490669; 0.003540; -0.925812; -0.365326;
