timestamp; x; y; z;
0.000000; -0.162125; -0.768478; -0.634888;
0.010013; -0.153992; -0.773132; -0.626617;
0.020025; -0.146866; -0.765625; -0.626404;
0.030038; -0.145782; -0.756302; -0.624115;
0.040051; -0.148376; -0.747818; -0.626282;
0.050063; -0.146393; -0.741913; -0.633759;
0.060076; -0.143738; -0.736816; -0.643677;
0.070089; -0.141953; -0.733414; -0.650955;
0.080101; -0.141525; -0.737244; -0.660889;
0.090114; -0.131821; -0.736450; -0.673630;
0.100127; -0.126511; -0.734344; -0.674576;
0.110140; -0.124542; -0.734070; -0.675079;
0.120152; -0.121689; -0.733856; -0.684189;
0.130165; -0.111496; -0.730164; -0.705780;
0.140178; -0.099426; -0.726746; -0.733292;
0.150190; -0.091034; -0.709747; -0.760361;
0.160203; -0.093262; -0.695633; -0.765350;
0.170216; -0.097183; -0.695175; -0.733749;
0.180228; -0.106781; -0.706100; -0.695404;
0.190241; -0.111099; -0.713196; -0.681870;
0.200254; -0.107559; -0.717239; -0.687225;
0.210266; -0.097641; -0.718384; -0.698105;
0.220279; -0.095673; -0.711273; -0.709854;
0.230292; -0.102493; -0.695007; -0.714539;
0.240304; -0.112427; -0.690094; -0.713425;
0.250317; -0.115799; -0.700439; -0.708984;
0.260330; -0.113068; -0.707138; -0.708694;
0.270342; -0.109726; -0.701492; -0.710205;
0.280355; -0.104126; -0.688507; -0.719177;
0.290368; -0.100464; -0.683319; -0.734329;
0.300380; -0.097000; -0.687073; -0.745255;
0.310393; -0.090973; -0.692490; -0.750854;
0.320406; -0.085907; -0.695236; -0.750778;
0.330419; -0.084671; -0.688843; -0.744904;
0.340431; -0.083145; -0.682693; -0.742157;
0.350444; -0.079819; -0.686996; -0.733505;
0.360457; -0.083466; -0.700836; -0.732269;
0.370469; -0.090530; -0.711975; -0.733170;
0.380482; -0.094788; -0.702988; -0.726562;
0.390495; -0.097198; -0.681686; -0.716492;
0.400507; -0.093658; -0.667831; -0.708511;
0.410520; -0.088089; -0.670776; -0.703735;
0.420533; -0.087021; -0.682831; -0.712799;
0.430546; -0.093643; -0.690567; -0.730988;
0.440559; -0.101990; -0.692154; -0.742035;
0.450572; -0.109894; -0.690430; -0.743958;
0.460584; -0.118774; -0.690414; -0.742752;
0.470597; -0.126602; -0.688950; -0.734070;
0.480610; -0.131454; -0.690201; -0.721710;
0.490622; -0.130676; -0.691483; -0.715088;
0.500635; -0.124252; -0.687042; -0.716812;
0.510648; -0.116104; -0.688034; -0.721924;
0.520661; -0.110199; -0.689606; -0.725418;
0.530673; -0.112030; -0.687744; -0.725891;
0.540686; -0.116302; -0.686920; -0.724579;
0.550699; -0.119049; -0.688400; -0.727585;
0.560711; -0.119476; -0.690186; -0.734772;
0.570724; -0.118469; -0.690735; -0.735687;
0.580737; -0.117615; -0.688156; -0.729568;
0.590749; -0.117737; -0.687790; -0.723846;
0.600762; -0.118301; -0.689194; -0.728561;
0.610775; -0.117401; -0.692581; -0.731171;
0.620787; -0.115723; -0.700928; -0.733459;
0.630800; -0.117310; -0.700775; -0.736176;
0.640813; -0.123291; -0.685089; -0.732056;
0.650825; -0.125153; -0.675644; -0.727661;
0.660838; -0.123642; -0.676392; -0.728226;
0.670851; -0.122269; -0.678467; -0.733292;
0.680863; -0.123520; -0.679459; -0.734131;
0.690876; -0.123184; -0.680557; -0.724030;
0.700889; -0.121384; -0.684189; -0.719391;
0.710901; -0.117767; -0.688583; -0.721313;
0.720914; -0.114075; -0.688766; -0.722458;
0.730927; -0.113129; -0.687286; -0.724426;
0.740939; -0.112457; -0.682968; -0.727493;
0.750952; -0.113754; -0.681732; -0.729782;
0.760965; -0.115005; -0.680847; -0.728500;
0.770978; -0.115234; -0.677155; -0.725952;
0.780990; -0.115189; -0.678329; -0.725128;
0.791003; -0.114838; -0.680954; -0.725571;
0.801016; -0.117111; -0.682755; -0.724808;
0.811028; -0.116989; -0.686447; -0.720322;
0.821041; -0.115479; -0.685425; -0.720230;
0.831054; -0.114410; -0.683441; -0.722824;
0.841066; -0.112671; -0.684586; -0.726364;
0.851079; -0.114410; -0.684937; -0.727951;
0.861092; -0.115784; -0.686142; -0.729248;
0.871104; -0.118500; -0.689911; -0.726868;
0.881117; -0.117676; -0.691299; -0.727692;
0.891130; -0.118744; -0.687607; -0.733505;
0.901142; -0.117371; -0.685394; -0.736328;
0.911155; -0.115570; -0.686035; -0.730759;
0.921168; -0.112839; -0.685730; -0.724442;
0.931180; -0.111740; -0.685837; -0.724823;
0.941193; -0.112854; -0.685013; -0.725647;
0.951206; -0.112045; -0.686768; -0.720474;
0.961219; -0.110901; -0.691071; -0.720016;
0.971231; -0.111832; -0.691803; -0.724503;
0.981244; -0.112961; -0.690552; -0.726486;
0.991257; -0.113358; -0.685837; -0.725754;
1.001269; -0.112946; -0.682968; -0.728119;
1.011282; -0.111237; -0.685577; -0.726120;
1.021295; -0.110245; -0.691223; -0.722107;
1.031307; -0.110916; -0.691284; -0.721527;
1.041320; -0.112427; -0.685669; -0.718109;
1.051333; -0.112213; -0.676041; -0.717651;
1.061345; -0.112579; -0.681931; -0.718658;
1.071358; -0.115112; -0.700424; -0.721664;
