timestamp; x; y; z;
0.000000; -0.024246; -0.653519; -1.063080;
0.010012; -0.082657; -0.699646; -1.112762;
0.020025; -0.056641; -0.664322; -1.058426;
0.030038; 0.006821; -0.586563; -0.976837;
0.040051; -0.010757; -0.564896; -0.897369;
0.050064; -0.060669; -0.543442; -0.775238;
0.060077; -0.049576; -0.532578; -0.700806;
0.070089; 0.008026; -0.572433; -0.721939;
0.080102; 0.059387; -0.607346; -0.777847;
0.090115; 0.064972; -0.623184; -0.865860;
0.100128; 0.035065; -0.675522; -0.966339;
0.110141; 0.013046; -0.711060; -1.020294;
0.120154; 0.005478; -0.689743; -1.020004;
0.130166; 0.000000; -0.651733; -0.980286;
0.140179; -0.001846; -0.621460; -0.925827;
0.150192; -0.024872; -0.604111; -0.903183;
0.160205; -0.059784; -0.601730; -0.890533;
0.170218; -0.070175; -0.577789; -0.872345;
0.180230; -0.070847; -0.548676; -0.867569;
0.190243; -0.081192; -0.530914; -0.871033;
0.200256; -0.084641; -0.496841; -0.864975;
0.210269; -0.067505; -0.455109; -0.834030;
0.220282; -0.059830; -0.427490; -0.829849;
0.230295; -0.069275; -0.404999; -0.844406;
0.240308; -0.077209; -0.369278; -0.825836;
0.250320; -0.093765; -0.330963; -0.774292;
0.260333; -0.118851; -0.298264; -0.719116;
0.270346; -0.142288; -0.276581; -0.669083;
0.280359; -0.164215; -0.274078; -0.636444;
0.290372; -0.200439; -0.287186; -0.658295;
0.300384; -0.206238; -0.345581; -0.675140;
0.310397; -0.184082; -0.420731; -0.775970;
0.320410; -0.156174; -0.483749; -1.003830;
0.330423; -0.112686; -0.505692; -1.207153;
0.340436; -0.063705; -0.496353; -1.340179;
0.350449; -0.018448; -0.474396; -1.386169;
0.360461; 0.001678; -0.447357; -1.335312;
0.370474; -0.012360; -0.413208; -1.227371;
0.380487; -0.047119; -0.391006; -1.086716;
0.390500; -0.080536; -0.387024; -0.933472;
0.400513; -0.107544; -0.395386; -0.794067;
0.410526; -0.120834; -0.408569; -0.683228;
0.420538; -0.118805; -0.420197; -0.619995;
0.430551; -0.115234; -0.427475; -0.610245;
0.440564; -0.116226; -0.438232; -0.635925;
0.450577; -0.113815; -0.449539; -0.687805;
0.460590; -0.113541; -0.433884; -0.723801;
0.470603; -0.111664; -0.401489; -0.725769;
0.480615; -0.112762; -0.370636; -0.720200;
0.490628; -0.141083; -0.347870; -0.724213;
0.500641; -0.151535; -0.358658; -0.707092;
0.510654; -0.143951; -0.394501; -0.620026;
0.520667; -0.162552; -0.416046; -0.604858;
0.530680; -0.196640; -0.432373; -0.699463;
0.540692; -0.197174; -0.456085; -0.862671;
0.550705; -0.175095; -0.454010; -1.061646;
0.560718; -0.130249; -0.421677; -1.180862;
0.570731; -0.085983; -0.373138; -1.230606;
0.580744; -0.058426; -0.309738; -1.232422;
0.590757; -0.056625; -0.255585; -1.190765;
0.600769; -0.086304; -0.230606; -1.108948;
0.610782; -0.129837; -0.244263; -0.986420;
0.620795; -0.151855; -0.269333; -0.877457;
0.630808; -0.128937; -0.285446; -0.793076;
0.640821; -0.106384; -0.323212; -0.735001;
0.650834; -0.063263; -0.401596; -0.695999;
0.660846; -0.002228; -0.519913; -0.708542;
0.670859; 0.040131; -0.635544; -0.759537;
0.680872; 0.049728; -0.703659; -0.806137;
0.690885; 0.046143; -0.728592; -0.819992;
0.700898; 0.059677; -0.734161; -0.846100;
0.710911; 0.054291; -0.703476; -0.914902;
0.720923; 0.051041; -0.670502; -1.007843;
0.730936; 0.068375; -0.619232; -1.083008;
0.740949; 0.099258; -0.581467; -1.102905;
0.750962; 0.122223; -0.569122; -1.097504;
0.760975; 0.123810; -0.605316; -1.104202;
0.770987; 0.128479; -0.652084; -1.113617;
0.781000; 0.129776; -0.681534; -1.082153;
0.791013; 0.104919; -0.701553; -1.020020;
0.801026; 0.081055; -0.689651; -0.940689;
0.811039; 0.062195; -0.650085; -0.859161;
0.821052; 0.023438; -0.585419; -0.783600;
0.831064; -0.031128; -0.501862; -0.710953;
0.841077; -0.082733; -0.416656; -0.651016;
0.851090; -0.131760; -0.347702; -0.603333;
0.861103; -0.172791; -0.294266; -0.557541;
0.871116; -0.202591; -0.241852; -0.515076;
0.881129; -0.201447; -0.206802; -0.485718;
0.891141; -0.175491; -0.202042; -0.503082;
0.901154; -0.147873; -0.210800; -0.610764;
0.911167; -0.111801; -0.245468; -0.787445;
0.921180; -0.060013; -0.319641; -0.969025;
0.931193; 0.006088; -0.428833; -1.139572;
0.941206; 0.067459; -0.529388; -1.283569;
0.951218; 0.106583; -0.614395; -1.369186;
0.961231; 0.122849; -0.680878; -1.409790;
0.971244; 0.130341; -0.714539; -1.399612;
0.981257; 0.110687; -0.692932; -1.320297;
0.991270; 0.058731; -0.623810; -1.183456;
1.001283; 0.002045; -0.538193; -1.050156;
1.011295; -0.041809; -0.437592; -0.937134;
1.021308; -0.063416; -0.345764; -0.843033;
1.031321; -0.074799; -0.277023; -0.769882;
1.041334; -0.088425; -0.229523; -0.710037;
1.051347; -0.109787; -0.207138; -0.661835;
1.061360; -0.139374; -0.205231; -0.616135;
1.071372; -0.164886; -0.223785; -0.572708;
1.081385; -0.163269; -0.269104; -0.542114;
1.091398; -0.126511; -0.325180; -0.539383;
1.101411; -0.057343; -0.393570; -0.585480;
1.111424; -0.014954; -0.503159; -0.690872;
1.121437; 0.015244; -0.648514; -0.810349;
1.131449; 0.056961; -0.792099; -0.923615;
1.141462; 0.096970; -0.890274; -1.025574;
1.151475; 0.137100; -0.918243; -1.094574;
1.161488; 0.162537; -0.901260; -1.128769;
1.171501; 0.172119; -0.864151; -1.137558;
1.181513; 0.172928; -0.808960; -1.099884;
1.191526; 0.153564; -0.748383; -1.020081;
1.201539; 0.096786; -0.684601; -0.944168;
1.211552; 0.026505; -0.608505; -0.889832;
1.221565; -0.030533; -0.514633; -0.835175;
1.231578; -0.078522; -0.416687; -0.777405;
1.241590; -0.118881; -0.324799; -0.726440;
1.251603; -0.153534; -0.249390; -0.683655;
1.261616; -0.191208; -0.192398; -0.672592;
1.271629; -0.226257; -0.142502; -0.693237;
1.281642; -0.242676; -0.106110; -0.715546;
1.291655; -0.250336; -0.085800; -0.748108;
1.301667; -0.237518; -0.079483; -0.795975;
1.311680; -0.195572; -0.091614; -0.848312;
1.321693; -0.142990; -0.153442; -0.893982;
1.331706; -0.088654; -0.260681; -0.944839;
1.341719; -0.035873; -0.411957; -0.995316;
1.351732; 0.019775; -0.589981; -1.046066;
1.361744; 0.062759; -0.748291; -1.088959;
1.371757; 0.088089; -0.859192; -1.113571;
1.381770; 0.108673; -0.897324; -1.127899;
1.391783; 0.132004; -0.853745; -1.118088;
1.401796; 0.140991; -0.770508; -1.066330;
1.411809; 0.114807; -0.692017; -0.998367;
1.421821; 0.069534; -0.618256; -0.933823;
1.431834; 0.018158; -0.529358; -0.881439;
1.441847; -0.052795; -0.424103; -0.839264;
1.451860; -0.124207; -0.316849; -0.795563;
1.461873; -0.176880; -0.220673; -0.742401;
1.471886; -0.215057; -0.134750; -0.704666;
1.481898; -0.221436; -0.068726; -0.695435;
1.491911; -0.152817; -0.052368; -0.708374;
1.501924; -0.069443; -0.090836; -0.732574;
1.511937; -0.038574; -0.182800; -0.771576;
1.521950; -0.041748; -0.342880; -0.823822;
1.531963; -0.043243; -0.529602; -0.891571;
1.541975; -0.025009; -0.689178; -0.958939;
1.551988; 0.021652; -0.788055; -1.010071;
1.562001; 0.077621; -0.822281; -1.055893;
1.572014; 0.119522; -0.806198; -1.088333;
1.582027; 0.139557; -0.768021; -1.083939;
1.592040; 0.141708; -0.737595; -1.040573;
1.602052; 0.127579; -0.718307; -0.990936;
1.612065; 0.102081; -0.690598; -0.949066;
1.622078; 0.077927; -0.653275; -0.901978;
1.632091; 0.059540; -0.609375; -0.853912;
1.642104; 0.036560; -0.556107; -0.807404;
1.652116; 0.012802; -0.501801; -0.765549;
1.662129; -0.018768; -0.446747; -0.736725;
1.672142; -0.062515; -0.379791; -0.717682;
1.682155; -0.098572; -0.312347; -0.698120;
1.692168; -0.129333; -0.258835; -0.683441;
1.702181; -0.161392; -0.227203; -0.687592;
1.712193; -0.189072; -0.214417; -0.723602;
1.722206; -0.200165; -0.212082; -0.775955;
1.732220; -0.168182; -0.231674; -0.824188;
1.742232; -0.112137; -0.284500; -0.877243;
1.752245; -0.050003; -0.365189; -0.912247;
1.762258; 0.012741; -0.483490; -0.939713;
1.772270; 0.065414; -0.625763; -0.983978;
1.782284; 0.104004; -0.762833; -1.031265;
1.792296; 0.126709; -0.855728; -1.073792;
1.802310; 0.144547; -0.875183; -1.106705;
1.812322; 0.169601; -0.825882; -1.116821;
1.822336; 0.183029; -0.742569; -1.095367;
1.832347; 0.169769; -0.663803; -1.044693;
1.842361; 0.144836; -0.603134; -0.978165;
