timestamp; x; y; z;
0.000000; -0.089859; -0.424103; -0.927704;
0.010011; -0.110001; -0.447479; -0.948288;
0.020023; -0.117783; -0.441818; -0.961502;
0.030034; -0.099426; -0.448105; -0.959732;
0.040046; -0.087814; -0.450073; -0.955353;
0.050057; -0.096039; -0.449158; -0.953857;
0.060069; -0.103271; -0.449722; -0.947311;
0.070081; -0.108337; -0.449905; -0.929443;
0.080092; -0.116974; -0.450653; -0.915909;
0.090104; -0.121872; -0.448471; -0.914917;
0.100115; -0.124191; -0.442703; -0.918823;
0.110127; -0.118942; -0.434631; -0.914963;
0.120138; -0.113876; -0.435730; -0.906128;
0.130150; -0.118729; -0.438797; -0.905350;
0.140161; -0.119629; -0.438354; -0.907761;
0.150173; -0.113556; -0.434814; -0.907471;
0.160185; -0.114319; -0.427719; -0.899780;
0.170196; -0.120438; -0.425537; -0.894455;
0.180208; -0.122040; -0.426971; -0.893982;
0.190219; -0.127640; -0.433746; -0.890244;
0.200231; -0.134216; -0.443878; -0.892929;
0.210242; -0.132187; -0.446121; -0.895752;
0.220254; -0.128189; -0.445938; -0.888245;
0.230265; -0.126465; -0.449371; -0.881500;
0.240277; -0.125473; -0.449005; -0.881058;
0.250288; -0.120041; -0.446609; -0.877747;
0.260300; -0.115997; -0.445389; -0.875626;
0.270312; -0.116531; -0.443268; -0.889648;
0.280323; -0.114594; -0.435669; -0.905807;
0.290335; -0.110474; -0.429901; -0.902466;
0.300346; -0.114532; -0.431503; -0.899643;
0.310358; -0.123093; -0.440140; -0.898193;
0.320369; -0.133743; -0.449692; -0.886993;
0.330381; -0.148514; -0.456451; -0.870941;
0.340392; -0.151108; -0.456711; -0.866409;
0.350404; -0.142090; -0.444717; -0.877274;
0.360415; -0.128601; -0.432800; -0.890823;
0.370427; -0.120422; -0.430618; -0.906555;
0.380439; -0.114166; -0.435349; -0.921722;
0.390450; -0.116074; -0.437622; -0.931549;
0.400462; -0.122635; -0.436798; -0.934616;
0.410473; -0.128464; -0.434753; -0.931305;
0.420485; -0.134491; -0.429001; -0.921402;
0.430496; -0.138077; -0.426544; -0.911301;
0.440508; -0.142944; -0.430328; -0.907455;
0.450519; -0.149887; -0.433685; -0.905838;
0.460531; -0.150284; -0.434738; -0.906601;
0.470542; -0.148438; -0.431183; -0.902405;
0.480554; -0.147675; -0.424896; -0.896011;
