timestamp; x; y; z;
0.000000; 0.208847; -0.383560; -0.905334;
0.011262; 0.209320; -0.381607; -0.906448;
0.021274; 0.208511; -0.382507; -0.907242;
0.031285; 0.201889; -0.380966; -0.909073;
0.041297; 0.201141; -0.379547; -0.905685;
0.051308; 0.205856; -0.379181; -0.902817;
0.061320; 0.204803; -0.378494; -0.904953;
0.071331; 0.203217; -0.378357; -0.907089;
0.081343; 0.202698; -0.377823; -0.908264;
0.091354; 0.206848; -0.373856; -0.912735;
0.101366; 0.210419; -0.370682; -0.919937;
0.111377; 0.209351; -0.371475; -0.923050;
0.121389; 0.207413; -0.374420; -0.921661;
0.131400; 0.207001; -0.376755; -0.915863;
0.141412; 0.206757; -0.378571; -0.909927;
0.151423; 0.205185; -0.382507; -0.905106;
0.161435; 0.204422; -0.385239; -0.900513;
0.171446; 0.206772; -0.386368; -0.898270;
0.181457; 0.207016; -0.385620; -0.899460;
0.191469; 0.208725; -0.385300; -0.904434;
0.201480; 0.212006; -0.386169; -0.908752;
0.211492; 0.212311; -0.385880; -0.912674;
0.221503; 0.209656; -0.383896; -0.911346;
0.231515; 0.207138; -0.383087; -0.908249;
0.241526; 0.205597; -0.383453; -0.906448;
0.251538; 0.206940; -0.383316; -0.901779;
0.261549; 0.205811; -0.381836; -0.909195;
0.271561; 0.205048; -0.378281; -0.911224;
0.281572; 0.204483; -0.377411; -0.910782;
0.291584; 0.204071; -0.379517; -0.911240;
0.301595; 0.207199; -0.379547; -0.911728;
0.311607; 0.209061; -0.377289; -0.912430;
0.321618; 0.209290; -0.376602; -0.914001;
0.331629; 0.207611; -0.376297; -0.912491;
0.341641; 0.205109; -0.374466; -0.907608;
0.351652; 0.202194; -0.375824; -0.902206;
0.361664; 0.201294; -0.376541; -0.899155;
0.371675; 0.202393; -0.377167; -0.899048;
0.381687; 0.206009; -0.377151; -0.905136;
0.391698; 0.209274; -0.377365; -0.911499;
0.401710; 0.209259; -0.378372; -0.913330;
0.411721; 0.207916; -0.382675; -0.914322;
0.421733; 0.209778; -0.385406; -0.916824;
0.431744; 0.211655; -0.388474; -0.919540;
0.441756; 0.212234; -0.389374; -0.915176;
0.451767; 0.211334; -0.389450; -0.905472;
0.461779; 0.209854; -0.391876; -0.899536;
0.471790; 0.207596; -0.390900; -0.895309;
0.481802; 0.204056; -0.389236; -0.895462;
0.491813; 0.201904; -0.388931; -0.895676;
0.501824; 0.202072; -0.390320; -0.896820;
0.511836; 0.202316; -0.389923; -0.902664;
0.521847; 0.201126; -0.391251; -0.909973;
0.531859; 0.205582; -0.390366; -0.915268;
0.541870; 0.209076; -0.384613; -0.919098;
0.551882; 0.208069; -0.379807; -0.919647;
0.561893; 0.204910; -0.378571; -0.917267;
0.571905; 0.204102; -0.377213; -0.910263;
0.581916; 0.204727; -0.374573; -0.903702;
0.591928; 0.204254; -0.374252; -0.902664;
0.601939; 0.204575; -0.376526; -0.905182;
0.611951; 0.208206; -0.379333; -0.904739;
0.621962; 0.209747; -0.381699; -0.909470;
0.631974; 0.209915; -0.383270; -0.909760;
0.641985; 0.209473; -0.384399; -0.904266;
0.651997; 0.209854; -0.387024; -0.901886;
0.662008; 0.211792; -0.388245; -0.901901;
0.672020; 0.213196; -0.387558; -0.901123;
0.682031; 0.212036; -0.387558; -0.900833;
0.692042; 0.208450; -0.390320; -0.900284;
0.702054; 0.207779; -0.391113; -0.901016;
0.712065; 0.206253; -0.390823; -0.903778;
0.722077; 0.206314; -0.390106; -0.906357;
0.732088; 0.209152; -0.386597; -0.905762;
0.742100; 0.208939; -0.385742; -0.906250;
0.752111; 0.209579; -0.386368; -0.911545;
0.762123; 0.206512; -0.387146; -0.913193;
0.772134; 0.201035; -0.388336; -0.912247;
0.782146; 0.201447; -0.390564; -0.912216;
0.792157; 0.204865; -0.387787; -0.918121;
0.802169; 0.206024; -0.382278; -0.924072;
0.812180; 0.207031; -0.378555; -0.922684;
0.822192; 0.205765; -0.378235; -0.915955;
0.832203; 0.201050; -0.381485; -0.907776;
0.842215; 0.197983; -0.383682; -0.899979;
0.852226; 0.198303; -0.382980; -0.896698;
0.862238; 0.203384; -0.379608; -0.894531;
0.872249; 0.207993; -0.378296; -0.895493;
0.882260; 0.207870; -0.381073; -0.901230;
0.892272; 0.207230; -0.384018; -0.906052;
0.902283; 0.203842; -0.386353; -0.909821;
0.912295; 0.202133; -0.387115; -0.907883;
0.922306; 0.204834; -0.384995; -0.905701;
0.932318; 0.208145; -0.383682; -0.905670;
0.942329; 0.207764; -0.385056; -0.905487;
0.952341; 0.203491; -0.386414; -0.903259;
0.962352; 0.203049; -0.384491; -0.902740;
0.972364; 0.205048; -0.383377; -0.905533;
0.982375; 0.205780; -0.383438; -0.908920;
0.992387; 0.205719; -0.386978; -0.912643;
1.002398; 0.206375; -0.388153; -0.913742;
1.012410; 0.207031; -0.386398; -0.913605;
1.022421; 0.207581; -0.382507; -0.912613;
1.032433; 0.208069; -0.380768; -0.911987;
1.042444; 0.204742; -0.384338; -0.907394;
1.052455; 0.199921; -0.386902; -0.904114;
1.062467; 0.199829; -0.387543; -0.902298;
1.072478; 0.201248; -0.384720; -0.904953;
1.082490; 0.201065; -0.383835; -0.907196;
1.092502; 0.201324; -0.384491; -0.905746;
1.102514; 0.201721; -0.387604; -0.907471;
1.112525; 0.204346; -0.387619; -0.909271;
1.122537; 0.204895; -0.385666; -0.912628;
1.132548; 0.204910; -0.383743; -0.913345;
1.142560; 0.205627; -0.379761; -0.908997;
1.152571; 0.205856; -0.374481; -0.905319;
1.162583; 0.206436; -0.374634; -0.906494;
1.172594; 0.205872; -0.377472; -0.906876;
1.182606; 0.204208; -0.380615; -0.909271;
1.192617; 0.203949; -0.382065; -0.910614;
1.202629; 0.205109; -0.382767; -0.911407;
1.212640; 0.206070; -0.383179; -0.912689;
1.222652; 0.207153; -0.383820; -0.910828;
1.232663; 0.204575; -0.386414; -0.906052;
1.242675; 0.198883; -0.389572; -0.904617;
1.252686; 0.197311; -0.390762; -0.903107;
1.262697; 0.198395; -0.388077; -0.901672;
1.272709; 0.199234; -0.383987; -0.899719;
1.282720; 0.199951; -0.381012; -0.898972;
1.292732; 0.201950; -0.378860; -0.900970;
1.302743; 0.204132; -0.378342; -0.901550;
1.312755; 0.204773; -0.379013; -0.904846;
1.322766; 0.205505; -0.379013; -0.909241;
1.332778; 0.204742; -0.379120; -0.911636;
1.342789; 0.204071; -0.382889; -0.915756;
1.352801; 0.202240; -0.386200; -0.919083;
1.362812; 0.202347; -0.387085; -0.920044;
1.372824; 0.203369; -0.384781; -0.917938;
1.382835; 0.207169; -0.381958; -0.915634;
1.392847; 0.209381; -0.379211; -0.910843;
1.402858; 0.208206; -0.378601; -0.904984;
1.412870; 0.205444; -0.379440; -0.900269;
1.422881; 0.202560; -0.380493; -0.897873;
1.432893; 0.202484; -0.380814; -0.898895;
1.442904; 0.202713; -0.381973; -0.902328;
1.452916; 0.202255; -0.381714; -0.907425;
1.462927; 0.203842; -0.382126; -0.907944;
1.472938; 0.204865; -0.382614; -0.907272;
1.482950; 0.206192; -0.381012; -0.909500;
1.492961; 0.207413; -0.380386; -0.912582;
1.502973; 0.206314; -0.380463; -0.913452;
1.512984; 0.204147; -0.381943; -0.910721;
1.522996; 0.202972; -0.384476; -0.907394;
1.533007; 0.202942; -0.385605; -0.903671;
1.543019; 0.203781; -0.385391; -0.904877;
1.553030; 0.203552; -0.387436; -0.907944;
1.563042; 0.204575; -0.388290; -0.911133;
1.573053; 0.207993; -0.388657; -0.912033;
1.583065; 0.209290; -0.389099; -0.911987;
1.593076; 0.210159; -0.387665; -0.909668;
1.603088; 0.211868; -0.384567; -0.905991;
1.613099; 0.211365; -0.383163; -0.902924;
1.623111; 0.210037; -0.383804; -0.903442;
1.633122; 0.206802; -0.386551; -0.902512;
1.643134; 0.201935; -0.386749; -0.901489;
1.653145; 0.201492; -0.385651; -0.898361;
1.663157; 0.203232; -0.384933; -0.899673;
1.673168; 0.207230; -0.383087; -0.903915;
1.683179; 0.211029; -0.381943; -0.909988;
1.693191; 0.211639; -0.382599; -0.915344;
1.703202; 0.211212; -0.384460; -0.918213;
1.713214; 0.210617; -0.385178; -0.916733;
1.723225; 0.206589; -0.386414; -0.912003;
1.733237; 0.205475; -0.385757; -0.908279;
1.743248; 0.206314; -0.384628; -0.906937;
1.753260; 0.207016; -0.384201; -0.908600;
1.763271; 0.205795; -0.384537; -0.911087;
1.773283; 0.204575; -0.385040; -0.911957;
1.783294; 0.204773; -0.388046; -0.910599;
1.793306; 0.205475; -0.388733; -0.908737;
1.803317; 0.205673; -0.384979; -0.906296;
1.813329; 0.205109; -0.382996; -0.908234;
1.823340; 0.207687; -0.379562; -0.907501;
1.833352; 0.207703; -0.379623; -0.909500;
1.843363; 0.206024; -0.382050; -0.911819;
1.853375; 0.205246; -0.382050; -0.912872;
1.863386; 0.204544; -0.381195; -0.913162;
1.873398; 0.205399; -0.379608; -0.909866;
1.883409; 0.205200; -0.377945; -0.907700;
1.893421; 0.202591; -0.379166; -0.908463;
1.903432; 0.202942; -0.376434; -0.909256;
1.913443; 0.203430; -0.370438; -0.908676;
1.923455; 0.201004; -0.370270; -0.910080;
1.933466; 0.199142; -0.374878; -0.912979;
1.943478; 0.200073; -0.376068; -0.912613;
1.953489; 0.202347; -0.376266; -0.909180;
1.963501; 0.200607; -0.378525; -0.901703;
1.973512; 0.199234; -0.383667; -0.898010;
1.983524; 0.200089; -0.385193; -0.900970;
1.993535; 0.202194; -0.384033; -0.903214;
2.003547; 0.201843; -0.383560; -0.905304;
2.013558; 0.201477; -0.384476; -0.908600;
2.023570; 0.201508; -0.380753; -0.905075;
2.033581; 0.199219; -0.379242; -0.904968;
2.043593; 0.200516; -0.380310; -0.906219;
2.053604; 0.199539; -0.382080; -0.908478;
2.063616; 0.203156; -0.380981; -0.914902;
2.073627; 0.207947; -0.379257; -0.917572;
2.083639; 0.207001; -0.381241; -0.918915;
2.093649; 0.206528; -0.385254; -0.915771;
2.103661; 0.206345; -0.385406; -0.911057;
2.113672; 0.204803; -0.385452; -0.909546;
2.123683; 0.204727; -0.387939; -0.907745;
2.133695; 0.205826; -0.388596; -0.907715;
2.143706; 0.209106; -0.385330; -0.908340;
2.153718; 0.211151; -0.383377; -0.909821;
2.163729; 0.208740; -0.382874; -0.909027;
2.173741; 0.206146; -0.384689; -0.908875;
2.183752; 0.202377; -0.384186; -0.910172;
2.193764; 0.200684; -0.380295; -0.909821;
2.203775; 0.199783; -0.377670; -0.909027;
2.213787; 0.197220; -0.374802; -0.910004;
2.223798; 0.197372; -0.375397; -0.912796;
2.233810; 0.198608; -0.376984; -0.913025;
2.243821; 0.199661; -0.377884; -0.912643;
2.253833; 0.200150; -0.380173; -0.910583;
2.263844; 0.200180; -0.380936; -0.910080;
2.273856; 0.200027; -0.379410; -0.909073;
2.283867; 0.200851; -0.377350; -0.905701;
2.293879; 0.201309; -0.377182; -0.902695;
2.303890; 0.198395; -0.378693; -0.903778;
2.313902; 0.199356; -0.378677; -0.907852;
2.323913; 0.200363; -0.380173; -0.910339;
2.333925; 0.197464; -0.381226; -0.912292;
2.343936; 0.197449; -0.381866; -0.910309;
2.353948; 0.199692; -0.380814; -0.905899;
2.363959; 0.201859; -0.381775; -0.906754;
2.373970; 0.203568; -0.381378; -0.912369;
2.383982; 0.205490; -0.382782; -0.916870;
2.393993; 0.207184; -0.385635; -0.918564;
2.404005; 0.205399; -0.385284; -0.914337;
2.414016; 0.202377; -0.381088; -0.908997;
2.424028; 0.200684; -0.378403; -0.904938;
2.434039; 0.202560; -0.378235; -0.901520;
2.444051; 0.205795; -0.380447; -0.901093;
2.454062; 0.204056; -0.384460; -0.906387;
2.464074; 0.203918; -0.386642; -0.914581;
2.474085; 0.202301; -0.385849; -0.916840;
2.484097; 0.202011; -0.385101; -0.914062;
2.494108; 0.201843; -0.383575; -0.911377;
2.504120; 0.199844; -0.382263; -0.910156;
2.514131; 0.196640; -0.379471; -0.909332;
2.524143; 0.197586; -0.375366; -0.906708;
2.534154; 0.196548; -0.372971; -0.901337;
2.544166; 0.197433; -0.374069; -0.899918;
2.554177; 0.197342; -0.376633; -0.904663;
2.564189; 0.198929; -0.378983; -0.910217;
2.574200; 0.200241; -0.378891; -0.914047;
2.584212; 0.200363; -0.380768; -0.915283;
2.594223; 0.199738; -0.380432; -0.914566;
2.604235; 0.201706; -0.379791; -0.910904;
2.614246; 0.202377; -0.379288; -0.906540;
2.624258; 0.201111; -0.379852; -0.906738;
2.634269; 0.203812; -0.379883; -0.911316;
2.644280; 0.205780; -0.380203; -0.913467;
2.654292; 0.205338; -0.381638; -0.915741;
2.664303; 0.204742; -0.384308; -0.915787;
2.674315; 0.203888; -0.383636; -0.913788;
2.684326; 0.204468; -0.383194; -0.912292;
2.694338; 0.205261; -0.382095; -0.913681;
2.704349; 0.205612; -0.378769; -0.910797;
2.714361; 0.202942; -0.379059; -0.906830;
2.724372; 0.201294; -0.380219; -0.905914;
2.734384; 0.199966; -0.381760; -0.906586;
2.744395; 0.198517; -0.384552; -0.904083;
2.754407; 0.195953; -0.384888; -0.903046;
2.764418; 0.198868; -0.382477; -0.900085;
2.774430; 0.198288; -0.381256; -0.900558;
2.784441; 0.197922; -0.381378; -0.905060;
2.794453; 0.200729; -0.379730; -0.911972;
2.804464; 0.201019; -0.379562; -0.915314;
2.814476; 0.200485; -0.379929; -0.913757;
2.824487; 0.201157; -0.380127; -0.910141;
2.834499; 0.200943; -0.380859; -0.907257;
2.844510; 0.201263; -0.381805; -0.908554;
2.854522; 0.204529; -0.381699; -0.910721;
2.864533; 0.205154; -0.384140; -0.913986;
2.874545; 0.208374; -0.388245; -0.918015;
2.884556; 0.211121; -0.389786; -0.918579;
2.894568; 0.208817; -0.388107; -0.916534;
2.904579; 0.205505; -0.385010; -0.913010;
2.914590; 0.207230; -0.382843; -0.907974;
2.924602; 0.204941; -0.380539; -0.905731;
2.934613; 0.199966; -0.381439; -0.906296;
2.944625; 0.196503; -0.380386; -0.907547;
2.954636; 0.196976; -0.377747; -0.910217;
2.964648; 0.197754; -0.374893; -0.909714;
2.974659; 0.196991; -0.374237; -0.909393;
2.984671; 0.195923; -0.376297; -0.905975;
2.994682; 0.196686; -0.376617; -0.904266;
3.004694; 0.198654; -0.376846; -0.906525;
3.014705; 0.201614; -0.376953; -0.909439;
3.024717; 0.201080; -0.380981; -0.911133;
3.034728; 0.198502; -0.384293; -0.912491;
3.044740; 0.198242; -0.384567; -0.913055;
3.054751; 0.198532; -0.382416; -0.913574;
3.064763; 0.197357; -0.379150; -0.911484;
3.074774; 0.198166; -0.378738; -0.907242;
3.084786; 0.199402; -0.378784; -0.904053;
3.094797; 0.199448; -0.381180; -0.901825;
3.104809; 0.198883; -0.381638; -0.906525;
3.114820; 0.200623; -0.381989; -0.914719;
3.124832; 0.205780; -0.381897; -0.920761;
3.134843; 0.207611; -0.382507; -0.925339;
3.144855; 0.206497; -0.381760; -0.924484;
3.154866; 0.205307; -0.381042; -0.919418;
3.164878; 0.206604; -0.383179; -0.911392;
3.174889; 0.205765; -0.385712; -0.908264;
3.184901; 0.202744; -0.385452; -0.906158;
3.194912; 0.196930; -0.383530; -0.904434;
3.204924; 0.193954; -0.381454; -0.902145;
3.214935; 0.193634; -0.382431; -0.901047;
3.224947; 0.193558; -0.381805; -0.903946;
3.234958; 0.193359; -0.382645; -0.907990;
3.244969; 0.192505; -0.381546; -0.909088;
3.254981; 0.192627; -0.380539; -0.907303;
3.264992; 0.195587; -0.378357; -0.906754;
3.275004; 0.196579; -0.375900; -0.906815;
3.285015; 0.196899; -0.376007; -0.905533;
3.295027; 0.196899; -0.377762; -0.905853;
3.305038; 0.197083; -0.378540; -0.906494;
3.315050; 0.197372; -0.379898; -0.908264;
3.325061; 0.198257; -0.380539; -0.909973;
3.335073; 0.197693; -0.383667; -0.912247;
3.345084; 0.198776; -0.384308; -0.915176;
3.355096; 0.200668; -0.381897; -0.916962;
3.365107; 0.201889; -0.379425; -0.917053;
3.375119; 0.200836; -0.377701; -0.913589;
3.385130; 0.199203; -0.376999; -0.908905;
3.395142; 0.195709; -0.376297; -0.907440;
3.405153; 0.197830; -0.375931; -0.907501;
3.415165; 0.199753; -0.375122; -0.910294;
3.425176; 0.197586; -0.376923; -0.913239;
3.435188; 0.197144; -0.379288; -0.912643;
3.445199; 0.198227; -0.380615; -0.908844;
3.455211; 0.196808; -0.379684; -0.905991;
3.465222; 0.194748; -0.378143; -0.904938;
3.475234; 0.195312; -0.379517; -0.903992;
3.485245; 0.197784; -0.380905; -0.906158;
3.495257; 0.198273; -0.382156; -0.906281;
