timestamp; x; y; z;
0.000000; 0.273315; -0.383316; -0.915909;
0.010012; 0.285538; -0.398651; -0.923889;
0.020024; 0.304428; -0.408752; -0.940308;
0.030035; 0.316605; -0.419266; -0.967957;
0.040047; 0.322266; -0.424698; -1.008789;
0.050059; 0.324036; -0.407730; -1.040512;
0.060070; 0.343185; -0.382477; -1.072662;
0.070082; 0.322464; -0.346771; -1.127441;
0.080094; 0.351578; -0.373871; -1.203400;
0.090106; 0.323563; -0.398514; -0.973160;
0.100117; 0.265106; -0.391129; -0.969223;
0.110129; 0.186386; -0.361801; -0.955368;
0.120141; 0.126740; -0.295898; -0.960861;
0.130153; 0.072464; -0.210541; -1.005829;
0.140164; 0.041382; -0.165833; -1.024048;
0.150176; 0.001694; -0.178894; -0.939407;
0.160188; -0.049515; -0.210968; -0.817719;
0.170199; -0.087357; -0.239609; -0.716415;
0.180211; -0.075714; -0.264160; -0.634552;
0.190223; 0.128403; -0.246063; -0.613403;
0.200235; 0.592957; -0.168518; -0.756500;
0.210246; 0.772202; -0.165024; -0.886734;
0.220258; 0.628845; -0.241501; -0.935944;
0.230270; 0.442688; -0.292862; -0.894638;
0.240281; 0.408203; -0.402405; -0.831680;
0.250293; 0.311890; -0.500702; -0.823120;
0.260305; 0.204437; -0.496964; -0.918045;
0.270317; 0.152893; -0.355270; -1.067184;
0.280328; 0.173416; -0.231598; -1.101227;
0.290340; 0.107498; -0.255585; -1.237961;
0.300352; 0.018372; -0.357590; -1.195663;
0.310363; 0.005432; -0.462921; -1.073212;
0.320375; -0.015625; -0.449295; -0.987457;
0.330387; 0.032883; -0.398773; -0.937119;
0.340399; 0.121185; -0.388580; -0.937485;
0.350410; 0.160172; -0.355881; -0.916931;
0.360422; 0.187958; -0.325867; -0.897827;
0.370434; 0.222214; -0.317230; -0.879120;
0.380446; 0.241867; -0.327042; -0.843124;
0.390457; 0.204483; -0.335266; -0.782715;
0.400469; 0.137344; -0.308517; -0.784348;
0.410481; 0.085663; -0.258057; -0.799866;
0.420492; 0.048615; -0.210892; -0.824234;
0.430504; 0.042297; -0.132446; -0.845947;
0.440516; 0.051682; -0.183136; -0.808624;
0.450528; 0.063950; -0.290512; -0.822952;
0.460539; 0.052658; -0.314026; -0.855865;
0.470551; 0.012787; -0.247543; -0.910110;
0.480563; 0.024826; -0.191025; -0.952469;
0.490574; 0.072800; -0.143631; -0.978592;
0.500586; 0.136063; -0.122894; -0.995926;
0.510598; 0.177795; -0.129776; -1.013153;
0.520610; 0.175583; -0.155975; -1.029816;
0.530621; 0.128235; -0.184387; -1.049423;
0.540633; 0.034073; -0.200577; -1.047485;
0.550645; -0.002365; -0.199692; -1.055298;
0.560657; -0.038101; -0.170975; -1.105377;
0.570668; -0.065186; -0.179031; -1.084534;
0.580680; -0.050827; -0.175613; -1.026657;
0.590692; 0.085876; -0.144928; -0.939575;
0.600704; 0.227020; -0.093689; -0.859512;
0.610715; 0.315231; -0.072876; -0.837952;
