timestamp; x; y; z;
0.000000; 0.099396; -0.055542; -1.001358;
0.010012; 0.099930; -0.056122; -1.001617;
0.020023; 0.099426; -0.057449; -1.001144;
0.030034; 0.100037; -0.057053; -1.001678;
0.040045; 0.101044; -0.057434; -1.001083;
0.050057; 0.099945; -0.056961; -1.001297;
0.060068; 0.100021; -0.056442; -1.000977;
0.070079; 0.099426; -0.057053; -1.001038;
0.080091; 0.100220; -0.056580; -1.000427;
0.090102; 0.100769; -0.056549; -1.001587;
0.100113; 0.099670; -0.056793; -1.001419;
0.110125; 0.099213; -0.055923; -1.002060;
0.120136; 0.098999; -0.054626; -1.002548;
0.130147; 0.099274; -0.054123; -1.001221;
0.140158; 0.098495; -0.056000; -1.001663;
0.150170; 0.098846; -0.055573; -1.001266;
0.160181; 0.098495; -0.056351; -1.001480;
0.170192; 0.099045; -0.057617; -1.001801;
0.180204; 0.099579; -0.057251; -1.001495;
0.190215; 0.099579; -0.057159; -1.001587;
0.200226; 0.099258; -0.056854; -1.001480;
0.210237; 0.099258; -0.056747; -1.001358;
0.220249; 0.100113; -0.055801; -1.000732;
0.230260; 0.099075; -0.055573; -1.001862;
0.240271; 0.099197; -0.054703; -1.002197;
0.250283; 0.099182; -0.055405; -1.001633;
0.260294; 0.099075; -0.056320; -1.001175;
0.270305; 0.099854; -0.056656; -1.001144;
0.280316; 0.098831; -0.055832; -1.001541;
0.290328; 0.098740; -0.056824; -1.001526;
0.300339; 0.099289; -0.056351; -1.001266;
0.310350; 0.099548; -0.056213; -1.002625;
0.320362; 0.100021; -0.056076; -1.002335;
0.330373; 0.100281; -0.056030; -1.001083;
0.340372; 0.100052; -0.056305; -1.000778;
0.350351; 0.100204; -0.056915; -1.000565;
0.360330; 0.099518; -0.056351; -1.001678;
0.370308; 0.099396; -0.057053; -1.000961;
0.380287; 0.098709; -0.056534; -1.001373;
0.390266; 0.099091; -0.057114; -1.002045;
0.400244; 0.098846; -0.057129; -1.000809;
0.410222; 0.098343; -0.056671; -1.000534;
0.420200; 0.099335; -0.056808; -1.000534;
0.430179; 0.099319; -0.056610; -1.001312;
0.440157; 0.099350; -0.056732; -1.001770;
0.450136; 0.099274; -0.055817; -1.001755;
0.460112; 0.099548; -0.054352; -1.002304;
0.470089; 0.099442; -0.054367; -1.002136;
0.480066; 0.099152; -0.054153; -1.002487;
0.490043; 0.099030; -0.054276; -1.001740;
0.500020; 0.099106; -0.055191; -1.001709;
0.509998; 0.098801; -0.055283; -1.001053;
0.519975; 0.099670; -0.056396; -1.001968;
0.529952; 0.100159; -0.057449; -1.001465;
0.539929; 0.099747; -0.057663; -1.001419;
0.549907; 0.100586; -0.056931; -1.001678;
0.559883; 0.099243; -0.057251; -1.001617;
0.569860; 0.099823; -0.057175; -1.001694;
0.579837; 0.100174; -0.057129; -1.001221;
0.589814; 0.099411; -0.056396; -1.000305;
0.599790; 0.099243; -0.056488; -1.001343;
0.609767; 0.099564; -0.056122; -1.001541;
0.619743; 0.098938; -0.056946; -1.001801;
0.629721; 0.099365; -0.055588; -1.001144;
0.639698; 0.099792; -0.056793; -1.001572;
0.649675; 0.099655; -0.056946; -1.001007;
