timestamp; x; y; z;
0.000000; 0.052048; -0.420975; -0.889267;
0.010012; 0.048965; -0.428818; -0.852371;
0.020025; 0.070343; -0.417389; -0.882568;
0.030037; 0.079834; -0.399658; -0.874191;
0.040050; 0.076385; -0.391205; -0.855835;
0.050063; 0.103653; -0.433090; -0.862411;
0.060075; 0.138443; -0.456055; -0.918335;
0.070088; 0.175842; -0.491135; -0.955597;
0.080100; 0.174988; -0.495972; -0.996490;
0.090113; 0.175323; -0.437653; -0.978363;
0.100126; 0.171356; -0.349564; -0.897690;
0.110138; 0.161743; -0.274811; -0.886841;
0.120151; 0.187347; -0.222458; -0.899857;
0.130163; 0.184906; -0.206085; -0.883911;
0.140176; -0.011581; -0.209030; -0.905670;
0.150189; 0.038651; -0.395401; -0.842117;
0.160201; 0.105835; -0.456863; -0.786423;
0.170214; 0.082230; -0.384995; -0.892105;
0.180226; 0.158493; -0.396210; -0.884033;
0.190239; 0.252945; -0.416779; -0.867294;
0.200252; 0.187485; -0.396088; -0.957077;
0.210264; 0.129898; -0.389221; -0.992783;
0.220277; 0.172882; -0.347397; -0.987671;
0.230289; 0.211578; -0.304214; -1.017151;
0.240302; 0.214935; -0.309631; -1.035736;
0.250314; 0.202408; -0.303986; -1.021500;
0.260327; 0.222351; -0.325638; -0.967026;
0.270340; 0.207458; -0.360245; -0.927628;
0.280352; 0.152298; -0.368973; -0.884109;
0.290365; 0.143509; -0.355576; -0.866287;
0.300377; 0.156509; -0.382904; -0.919708;
0.310390; 0.117462; -0.386841; -0.874344;
0.320403; 0.122025; -0.343430; -0.853241;
0.330415; 0.164673; -0.330734; -0.883713;
0.340428; 0.151749; -0.338623; -0.920471;
0.350440; 0.156250; -0.323776; -0.941269;
0.360453; 0.186966; -0.337494; -0.962860;
0.370466; 0.181046; -0.358170; -0.993668;
0.380478; 0.181091; -0.354172; -0.984680;
0.390491; 0.184784; -0.364624; -0.946808;
0.400503; 0.167953; -0.373245; -0.911911;
0.410516; 0.148804; -0.358215; -0.890656;
0.420529; 0.153976; -0.346436; -0.882385;
0.430541; 0.162170; -0.365860; -0.895996;
0.440554; 0.171432; -0.377335; -0.932938;
0.450566; 0.183701; -0.366470; -0.959503;
0.460579; 0.196442; -0.350601; -0.975510;
0.470591; 0.213455; -0.333588; -0.978561;
0.480604; 0.212585; -0.337601; -0.960831;
0.490617; 0.165894; -0.384094; -0.955948;
0.500629; 0.045258; -0.260742; -0.954468;
