timestamp; x; y; z;
0.000000; 0.051208; -0.472046; -1.000580;
0.010012; 0.151154; -0.447388; -0.975983;
0.020025; 0.148193; -0.471634; -1.005310;
0.030038; 0.135849; -0.510773; -0.996460;
0.040051; 0.163025; -0.541733; -0.937180;
0.050063; 0.216370; -0.551590; -0.931213;
0.060076; 0.275208; -0.568512; -0.968796;
0.070089; 0.325272; -0.601547; -1.027100;
0.080101; 0.345001; -0.642639; -1.087051;
0.090114; 0.340347; -0.688232; -1.103745;
0.100127; 0.286743; -0.722931; -1.083496;
0.110139; 0.236115; -0.647430; -0.960190;
0.120152; 0.175751; -0.558105; -0.909119;
0.130165; 0.084946; -0.546600; -0.877106;
0.140178; -0.010971; -0.485825; -0.795792;
0.150190; -0.084152; -0.361298; -0.739609;
0.160203; -0.127579; -0.233871; -0.727570;
0.170216; -0.171783; -0.132996; -0.708817;
0.180228; -0.209763; -0.064362; -0.682693;
0.190241; -0.229065; -0.029678; -0.669846;
0.200254; -0.248230; -0.036362; -0.685699;
0.210266; -0.262711; -0.095337; -0.729401;
0.220279; -0.187393; -0.155121; -0.760376;
0.230292; -0.129456; -0.231522; -0.822739;
0.240305; -0.092377; -0.325928; -0.898224;
0.250317; -0.012634; -0.409515; -0.988205;
0.260330; 0.119247; -0.491425; -1.137024;
0.270343; 0.208221; -0.574310; -1.065399;
0.280355; 0.211731; -0.710724; -1.089798;
0.290368; 0.194641; -0.803116; -1.296310;
0.300381; 0.358673; -0.717285; -1.313217;
0.310393; 0.361877; -0.579559; -1.150391;
0.320406; 0.210388; -0.520065; -1.092102;
0.330419; 0.045471; -0.440079; -1.054306;
0.340432; -0.057404; -0.305786; -0.963745;
0.350444; -0.124100; -0.184464; -0.831192;
0.360457; -0.205246; -0.108459; -0.713715;
0.370470; -0.270950; -0.042847; -0.640701;
0.380482; -0.297195; 0.011932; -0.591797;
0.390495; -0.304733; 0.025894; -0.571976;
0.400508; -0.299820; -0.019745; -0.594803;
0.410521; -0.266953; -0.107376; -0.647751;
0.420533; -0.201141; -0.201050; -0.699768;
0.430546; -0.095474; -0.314560; -0.779022;
0.440559; 0.036392; -0.458679; -0.885742;
0.450571; 0.156464; -0.623734; -1.022736;
0.460584; 0.269257; -0.779083; -1.160080;
0.470597; 0.360809; -0.842804; -1.291077;
0.480609; 0.450562; -0.791687; -1.369171;
0.490622; 0.515182; -0.735977; -1.365280;
0.500635; 0.488235; -0.683868; -1.310074;
0.510648; 0.352463; -0.584961; -1.228027;
0.520660; 0.191849; -0.468521; -1.128387;
0.530673; 0.072891; -0.360260; -1.010406;
0.540686; -0.017776; -0.279129; -0.883789;
0.550698; -0.097885; -0.227737; -0.776550;
0.560711; -0.155945; -0.201477; -0.686279;
0.570724; -0.195938; -0.183823; -0.604141;
0.580736; -0.227539; -0.176361; -0.565079;
0.590749; -0.243958; -0.181213; -0.557053;
0.600762; -0.241394; -0.194931; -0.557419;
0.610775; -0.224457; -0.216080; -0.578583;
0.620787; -0.201859; -0.240601; -0.611908;
0.630800; -0.167435; -0.268173; -0.631851;
0.640813; -0.119888; -0.304306; -0.633560;
0.650825; -0.037292; -0.350204; -0.628601;
0.660838; 0.077072; -0.403748; -0.631073;
0.670851; 0.204605; -0.494720; -0.689713;
0.680864; 0.327225; -0.682144; -0.921036;
0.690876; 0.476318; -0.808563; -1.224884;
0.700889; 0.661560; -0.758057; -1.417343;
0.710902; 0.823257; -0.662415; -1.481430;
0.720914; 0.884628; -0.606018; -1.456100;
0.730927; 0.806137; -0.558044; -1.372910;
0.740940; 0.614059; -0.520447; -1.277664;
0.750952; 0.393051; -0.482071; -1.203278;
0.760965; 0.198456; -0.419006; -1.122192;
0.770978; 0.033295; -0.330811; -1.020996;
0.780991; -0.095581; -0.232117; -0.913300;
0.791003; -0.175201; -0.148285; -0.805374;
0.801016; -0.210434; -0.081482; -0.716934;
0.811029; -0.213806; -0.030441; -0.642120;
0.821041; -0.214417; 0.013809; -0.590042;
0.831054; -0.220596; 0.038696; -0.561935;
0.841067; -0.211319; 0.028946; -0.554123;
0.851080; -0.173126; -0.020737; -0.603012;
0.861092; -0.098907; -0.096359; -0.683075;
0.871105; 0.015198; -0.182266; -0.766129;
0.881118; 0.142502; -0.286240; -0.870560;
0.891130; 0.274048; -0.425919; -0.990723;
0.901143; 0.393936; -0.603043; -1.111008;
0.911156; 0.482254; -0.754715; -1.209976;
0.921168; 0.536606; -0.818542; -1.265701;
0.931181; 0.552078; -0.792679; -1.284958;
0.941194; 0.506775; -0.696793; -1.246582;
0.951207; 0.415833; -0.588623; -1.157486;
0.961219; 0.308456; -0.476151; -1.079376;
0.971232; 0.195511; -0.355042; -0.995682;
0.981245; 0.094574; -0.264420; -0.913452;
0.991257; 0.015060; -0.204300; -0.842529;
1.001270; -0.035873; -0.164719; -0.782791;
1.011283; -0.071030; -0.133530; -0.744125;
1.021296; -0.105637; -0.108887; -0.730042;
1.031308; -0.138611; -0.090134; -0.722672;
1.041321; -0.152115; -0.076538; -0.719574;
1.051334; -0.141647; -0.065964; -0.728226;
1.061346; -0.112671; -0.064270; -0.755676;
1.071359; -0.065018; -0.083130; -0.804352;
1.081372; -0.004486; -0.119156; -0.876465;
1.091384; 0.079559; -0.159744; -0.940689;
1.101397; 0.183182; -0.206680; -0.975998;
1.111410; 0.280319; -0.275543; -0.996735;
1.121423; 0.352341; -0.372299; -1.016388;
1.131435; 0.405411; -0.476028; -1.025314;
1.141448; 0.447556; -0.562103; -1.025558;
1.151461; 0.469482; -0.618622; -1.046204;
1.161473; 0.494095; -0.621857; -1.067123;
1.171486; 0.537460; -0.591492; -1.049591;
1.181499; 0.553970; -0.560959; -1.017242;
1.191512; 0.522034; -0.543320; -0.983124;
1.201524; 0.453934; -0.537964; -0.947052;
1.211537; 0.386612; -0.529968; -0.908783;
1.221550; 0.337021; -0.504425; -0.864761;
1.231562; 0.296600; -0.470261; -0.819458;
1.241575; 0.245865; -0.436813; -0.779312;
1.251588; 0.182541; -0.413300; -0.751526;
1.261600; 0.121277; -0.396927; -0.729401;
1.271613; 0.076584; -0.376556; -0.697922;
1.281626; 0.049973; -0.347351; -0.658020;
1.291639; 0.054626; -0.326248; -0.622833;
1.301651; 0.085968; -0.330673; -0.614258;
1.311664; 0.137192; -0.361832; -0.650330;
1.321677; 0.213577; -0.411133; -0.743774;
