timestamp; x; y; z;
0.000000; -0.175766; -0.487213; -0.676392;
0.010012; -0.149292; -0.542496; -0.751343;
0.020024; -0.120850; -0.610626; -0.820297;
0.030036; -0.078873; -0.579422; -0.771637;
0.040048; -0.075211; -0.473007; -0.730301;
0.050060; -0.064636; -0.382126; -0.734863;
0.060072; -0.051163; -0.350327; -0.786041;
0.070084; 0.055786; -0.338409; -0.955292;
0.080096; 0.131042; -0.428558; -1.120102;
0.090108; 0.178925; -0.429352; -1.033707;
0.100119; 0.054276; -0.473434; -0.972931;
0.110131; 0.044296; -0.515640; -0.958755;
0.120143; 0.097321; -0.533783; -0.971970;
0.130155; 0.138580; -0.525650; -0.989410;
0.140167; 0.196167; -0.539520; -0.993164;
0.150179; 0.147308; -0.533920; -1.019318;
0.160191; 0.115036; -0.515381; -0.968567;
0.170203; 0.110916; -0.495026; -0.869370;
0.180215; 0.068970; -0.525436; -0.697495;
0.190227; -0.028641; -0.592438; -0.681381;
0.200238; -0.000549; -0.627197; -0.816345;
0.210250; 0.100937; -0.616989; -1.047119;
0.220262; 0.377716; -0.650009; -1.304306;
0.230274; 0.149078; -0.654297; -0.822784;
0.240286; 0.101807; -0.619019; -0.871292;
0.250298; 0.127090; -0.570969; -0.832108;
0.260311; 0.129532; -0.477890; -0.794678;
0.270323; 0.129456; -0.416885; -0.771133;
0.280335; 0.160980; -0.376389; -0.741226;
0.290347; 0.145081; -0.371445; -0.734650;
0.300359; 0.111908; -0.349396; -0.760376;
0.310371; 0.122406; -0.401443; -0.788849;
0.320382; 0.118515; -0.511688; -0.853882;
0.330394; 0.106354; -0.586166; -0.896088;
0.340406; 0.145798; -0.596741; -0.891281;
0.350418; 0.188950; -0.562271; -0.891983;
0.360430; 0.178833; -0.518082; -0.877640;
0.370442; 0.138748; -0.481506; -0.866455;
0.380454; 0.110321; -0.479904; -0.910217;
0.390466; 0.113861; -0.500229; -0.939896;
0.400478; 0.125519; -0.517792; -0.931931;
0.410490; 0.123383; -0.541656; -0.914291;
0.420502; 0.124588; -0.561005; -0.898087;
0.430513; 0.129745; -0.556061; -0.866302;
0.440525; 0.132507; -0.546616; -0.852463;
0.450537; 0.149887; -0.545303; -0.856842;
0.460549; 0.184219; -0.550995; -0.860489;
0.470561; 0.204437; -0.555527; -0.872269;
0.480573; 0.192657; -0.573502; -0.878799;
0.490585; 0.188080; -0.565155; -0.832031;
0.500597; 0.156158; -0.543213; -0.815308;
0.510609; 0.140610; -0.522751; -0.814560;
0.520621; 0.157440; -0.497772; -0.812271;
0.530633; 0.174438; -0.499207; -0.805740;
0.540644; 0.180603; -0.519485; -0.794357;
0.550656; 0.191788; -0.523071; -0.786423;
0.560668; 0.200607; -0.531540; -0.794510;
0.570680; 0.209167; -0.559677; -0.815964;
0.580692; 0.216171; -0.599548; -0.835022;
0.590704; 0.216949; -0.639969; -0.867523;
0.600716; 0.203751; -0.646072; -0.898712;
0.610728; 0.176056; -0.612213; -0.889481;
0.620740; 0.156876; -0.582230; -0.858261;
0.630752; 0.156952; -0.565598; -0.803665;
0.640764; 0.156052; -0.561188; -0.742767;
0.650776; 0.140884; -0.558517; -0.723938;
0.660787; 0.142944; -0.548828; -0.739380;
0.670799; 0.158890; -0.562744; -0.775894;
0.680811; 0.173126; -0.591522; -0.810486;
0.690823; 0.183212; -0.607986; -0.826157;
0.700835; 0.199127; -0.611725; -0.827591;
0.710847; 0.200653; -0.589432; -0.823471;
0.720859; 0.194077; -0.565765; -0.799606;
0.730871; 0.186783; -0.556259; -0.774719;
0.740883; 0.183441; -0.560989; -0.767822;
0.750895; 0.193909; -0.569992; -0.771027;
0.760906; 0.199493; -0.580582; -0.781601;
0.770918; 0.191284; -0.586823; -0.788528;
0.780930; 0.185455; -0.599655; -0.801147;
0.790942; 0.186432; -0.624298; -0.817047;
0.800954; 0.175842; -0.641006; -0.831635;
0.810966; 0.172913; -0.628403; -0.815689;
0.820978; 0.169281; -0.593506; -0.788513;
0.830990; 0.165512; -0.564667; -0.775803;
0.841002; 0.169662; -0.557358; -0.782700;
0.851014; 0.179840; -0.563812; -0.797684;
0.861026; 0.192383; -0.579010; -0.810242;
0.871037; 0.199432; -0.601212; -0.819183;
0.881049; 0.196640; -0.622681; -0.823822;
0.891061; 0.194397; -0.634399; -0.824173;
0.901073; 0.195297; -0.630524; -0.817871;
0.911085; 0.193481; -0.623398; -0.802673;
0.921097; 0.186569; -0.616562; -0.779175;
0.931109; 0.172256; -0.605438; -0.756912;
0.941121; 0.165344; -0.586319; -0.750015;
0.951133; 0.167252; -0.571213; -0.755890;
0.961145; 0.179443; -0.573486; -0.769760;
0.971157; 0.184784; -0.594086; -0.779892;
0.981169; 0.184326; -0.614883; -0.782883;
0.991180; 0.181000; -0.621124; -0.783340;
1.001192; 0.175690; -0.605438; -0.782120;
1.011204; 0.177261; -0.593735; -0.777924;
1.021216; 0.175613; -0.593063; -0.772720;
1.031228; 0.173157; -0.591293; -0.768036;
1.041240; 0.176117; -0.588882; -0.762924;
1.051252; 0.175140; -0.593018; -0.761215;
1.061264; 0.171967; -0.599197; -0.768829;
1.071276; 0.169937; -0.605347; -0.780579;
1.081288; 0.174728; -0.622513; -0.787567;
1.091299; 0.175308; -0.643463; -0.784454;
1.101311; 0.177765; -0.648270; -0.780167;
1.111323; 0.185501; -0.635406; -0.768509;
