timestamp; x; y; z;
0.000000; -0.011902; -0.462814; -0.859238;
0.010012; -0.034744; -0.475296; -0.857849;
0.020025; -0.025482; -0.473526; -0.878723;
0.030038; -0.008026; -0.471970; -0.897614;
0.040051; -0.001190; -0.482895; -0.892365;
0.050063; -0.009232; -0.511093; -0.881470;
0.060076; -0.012558; -0.528458; -0.921097;
0.070089; -0.004211; -0.507812; -0.945755;
0.080102; 0.009842; -0.501755; -0.926010;
0.090115; 0.000900; -0.515579; -0.865128;
0.100127; -0.011581; -0.502731; -0.876770;
0.110139; 0.005188; -0.467819; -0.947296;
0.120152; 0.016266; -0.462128; -0.959335;
0.130165; 0.029419; -0.475510; -0.900009;
0.140177; 0.026535; -0.471832; -0.873611;
0.150190; -0.024185; -0.485641; -0.907455;
0.160203; -0.035065; -0.498352; -0.897629;
0.170216; -0.022110; -0.512833; -0.874985;
0.180229; -0.022827; -0.529816; -0.848709;
0.190241; -0.035004; -0.533447; -0.844391;
0.200254; -0.037064; -0.518982; -0.856735;
0.210267; -0.020966; -0.501724; -0.870789;
0.220280; -0.015747; -0.490509; -0.873825;
0.230292; -0.011551; -0.495895; -0.861328;
0.240305; -0.032318; -0.504654; -0.862610;
0.250318; -0.059998; -0.512329; -0.860687;
0.260331; -0.070526; -0.518158; -0.846924;
0.270344; -0.076111; -0.526093; -0.829208;
0.280356; -0.067261; -0.515091; -0.828171;
0.290369; -0.045395; -0.492432; -0.849945;
0.300382; -0.032486; -0.478668; -0.877502;
0.310395; -0.034149; -0.475281; -0.900772;
0.320407; -0.041626; -0.479980; -0.900818;
0.330420; -0.044205; -0.489548; -0.890717;
0.340433; -0.041931; -0.497116; -0.880264;
0.350446; -0.040176; -0.504684; -0.863632;
0.360458; -0.042130; -0.510376; -0.847488;
0.370471; -0.035477; -0.503586; -0.845261;
0.380484; -0.041458; -0.498978; -0.854004;
0.390497; -0.036118; -0.502594; -0.858917;
0.400510; -0.033203; -0.497284; -0.867477;
0.410522; -0.026077; -0.472183; -0.883072;
0.420535; -0.039215; -0.448959; -0.914902;
