timestamp; x; y; z;
0.000000; 0.135590; -0.712570; -0.680740;
0.010012; 0.138168; -0.710907; -0.691116;
0.020025; 0.140579; -0.703766; -0.696365;
0.030037; 0.141571; -0.697189; -0.695389;
0.040050; 0.143005; -0.692444; -0.693237;
0.050062; 0.143997; -0.693649; -0.692795;
0.060074; 0.140274; -0.695541; -0.694138;
0.070087; 0.136581; -0.698273; -0.698196;
0.080099; 0.132385; -0.703354; -0.706223;
0.090112; 0.130066; -0.707932; -0.716141;
0.100124; 0.132446; -0.707932; -0.727188;
0.110136; 0.137207; -0.706512; -0.735062;
0.120149; 0.142075; -0.703308; -0.736786;
0.130161; 0.146637; -0.698837; -0.731155;
0.140174; 0.150558; -0.695709; -0.724411;
0.150186; 0.153168; -0.690552; -0.717621;
0.160198; 0.150696; -0.691162; -0.708435;
0.170211; 0.143066; -0.695404; -0.699097;
0.180223; 0.132950; -0.703430; -0.691437;
0.190236; 0.130478; -0.707581; -0.685425;
0.200248; 0.131638; -0.709641; -0.684723;
0.210260; 0.130966; -0.715851; -0.688889;
0.220273; 0.132431; -0.717056; -0.693192;
0.230285; 0.137466; -0.715164; -0.695724;
0.240298; 0.136673; -0.713898; -0.693024;
0.250310; 0.135254; -0.714706; -0.691864;
0.260322; 0.133255; -0.715836; -0.689743;
0.270335; 0.132050; -0.712692; -0.691177;
0.280347; 0.138428; -0.706848; -0.691055;
0.290360; 0.153656; -0.712265; -0.692780;
0.300372; 0.187424; -0.740158; -0.696091;
0.310384; 0.228241; -0.792282; -0.697876;
0.320397; 0.236847; -0.859055; -0.707672;
0.330409; 0.228561; -0.893448; -0.721405;
0.340422; 0.234070; -0.894257; -0.743011;
0.350434; 0.236649; -0.888824; -0.754410;
0.360446; 0.217819; -0.873276; -0.763763;
0.370459; 0.207565; -0.823318; -0.750870;
0.380471; 0.179382; -0.769150; -0.721695;
0.390484; 0.149094; -0.725372; -0.684341;
0.400496; 0.121567; -0.686569; -0.652847;
0.410508; 0.084991; -0.650620; -0.635422;
0.420521; 0.057220; -0.613464; -0.626328;
0.430533; 0.041382; -0.591919; -0.634689;
0.440546; 0.032059; -0.579498; -0.653122;
0.450558; 0.019073; -0.576447; -0.684189;
0.460570; 0.003296; -0.570847; -0.708725;
0.470583; -0.011185; -0.558044; -0.721176;
0.480595; -0.023010; -0.542343; -0.729324;
0.490608; -0.032150; -0.523926; -0.732559;
0.500620; -0.037704; -0.508575; -0.730515;
0.510632; -0.039612; -0.495026; -0.722931;
0.520645; -0.022858; -0.489838; -0.722809;
0.530657; -0.004944; -0.500244; -0.722244;
0.540670; 0.009293; -0.533020; -0.702896;
0.550682; 0.037033; -0.592438; -0.683533;
0.560695; 0.086838; -0.652679; -0.681046;
0.570707; 0.136673; -0.715607; -0.699966;
0.580719; 0.167526; -0.795959; -0.725876;
0.590732; 0.207886; -0.881683; -0.754944;
0.600744; 0.243774; -0.948257; -0.789886;
0.610757; 0.276108; -0.983047; -0.824478;
0.620769; 0.294174; -0.992966; -0.846878;
0.630781; 0.292892; -0.980225; -0.864029;
0.640794; 0.294556; -0.953690; -0.853104;
0.650806; 0.281860; -0.918915; -0.811523;
0.660819; 0.256195; -0.882889; -0.763458;
0.670831; 0.206024; -0.828781; -0.738235;
0.680843; 0.140884; -0.747498; -0.707382;
0.690856; 0.073349; -0.661530; -0.660919;
0.700868; 0.007675; -0.586761; -0.596085;
0.710881; -0.057892; -0.520630; -0.536469;
0.720893; -0.113678; -0.465210; -0.497971;
0.730905; -0.149582; -0.406113; -0.478226;
0.740918; -0.156769; -0.361115; -0.471664;
0.750930; -0.138153; -0.345169; -0.479813;
0.760943; -0.137192; -0.356308; -0.525482;
0.770955; -0.140717; -0.386002; -0.580627;
0.780967; -0.107269; -0.429611; -0.634079;
0.790980; -0.051468; -0.498077; -0.692154;
0.800992; -0.001999; -0.585968; -0.766342;
0.811005; 0.052002; -0.645584; -0.818710;
0.821017; 0.128632; -0.702332; -0.843491;
0.831026; 0.192810; -0.773041; -0.857620;
0.841039; 0.248611; -0.842590; -0.862518;
0.851051; 0.274231; -0.918945; -0.862732;
0.861064; 0.297699; -0.996338; -0.885452;
0.871076; 0.338104; -1.034988; -0.891785;
0.881088; 0.350510; -1.031876; -0.885635;
0.891101; 0.338486; -0.999908; -0.858444;
0.901113; 0.336472; -0.961670; -0.806351;
0.911126; 0.329483; -0.940063; -0.760757;
0.921138; 0.308792; -0.919418; -0.725723;
0.931151; 0.278534; -0.884247; -0.697861;
0.941163; 0.237320; -0.846786; -0.684158;
0.951175; 0.182297; -0.800339; -0.672852;
0.961188; 0.124832; -0.747620; -0.661011;
0.971200; 0.077087; -0.687988; -0.638718;
0.981213; 0.029388; -0.628494; -0.616272;
0.991225; -0.021286; -0.574951; -0.594635;
1.001237; -0.065323; -0.527115; -0.582764;
1.011250; -0.083984; -0.483566; -0.579681;
1.021262; -0.089783; -0.442184; -0.581238;
1.031275; -0.099884; -0.413132; -0.593903;
1.041287; -0.114990; -0.409210; -0.612686;
1.051299; -0.120956; -0.421799; -0.638916;
1.061312; -0.101913; -0.431152; -0.673477;
1.071324; -0.076187; -0.436874; -0.693756;
1.081337; -0.055084; -0.461960; -0.699097;
1.091349; -0.023254; -0.515625; -0.699768;
1.101362; 0.024063; -0.579117; -0.700378;
1.111374; 0.075180; -0.651596; -0.711288;
1.121386; 0.122330; -0.739029; -0.738388;
1.131399; 0.167191; -0.819839; -0.767273;
1.141411; 0.217880; -0.889114; -0.799362;
1.151423; 0.259537; -0.940689; -0.836304;
1.161436; 0.283524; -0.962128; -0.873444;
1.171448; 0.302292; -0.953781; -0.895004;
1.181461; 0.315903; -0.934311; -0.907516;
1.191473; 0.310226; -0.914429; -0.888443;
1.201485; 0.283905; -0.901367; -0.830276;
1.211498; 0.248993; -0.885910; -0.768875;
1.221510; 0.208466; -0.856339; -0.724579;
1.231523; 0.168350; -0.809921; -0.690948;
1.241535; 0.127121; -0.761108; -0.660355;
1.251548; 0.092468; -0.713638; -0.641220;
1.261560; 0.059494; -0.658905; -0.623993;
1.271572; 0.013947; -0.597855; -0.617371;
1.281585; -0.031784; -0.538925; -0.626770;
1.291597; -0.064102; -0.475952; -0.630859;
1.301610; -0.082199; -0.417023; -0.624420;
1.311622; -0.095901; -0.371353; -0.601547;
1.321634; -0.102249; -0.344513; -0.571594;
1.331647; -0.079544; -0.351425; -0.549515;
1.341659; -0.035080; -0.414871; -0.551437;
1.351672; 0.013077; -0.515671; -0.588974;
1.361684; 0.041794; -0.624374; -0.630859;
1.371697; 0.062943; -0.741943; -0.669281;
1.381709; 0.088181; -0.825348; -0.705109;
1.391721; 0.130920; -0.861237; -0.737244;
1.401734; 0.193100; -0.882401; -0.777756;
1.411746; 0.255829; -0.907898; -0.873032;
1.421759; 0.293304; -0.944504; -0.874817;
1.431771; 0.331955; -0.972473; -0.856918;
1.441783; 0.355408; -0.978714; -0.850281;
1.451796; 0.343460; -0.980179; -0.797531;
1.461808; 0.327576; -0.968292; -0.745880;
1.471821; 0.307510; -0.928146; -0.724854;
1.481833; 0.279312; -0.888794; -0.718903;
1.491845; 0.237671; -0.860779; -0.721786;
1.501858; 0.197845; -0.824203; -0.716431;
1.511870; 0.162918; -0.778366; -0.708450;
1.521883; 0.123856; -0.732147; -0.693939;
1.531895; 0.081223; -0.685089; -0.661957;
1.541907; 0.043457; -0.647156; -0.627335;
1.551920; 0.013641; -0.615372; -0.594589;
1.561932; -0.005829; -0.587479; -0.575897;
1.571945; -0.024887; -0.558350; -0.572876;
1.581957; -0.044647; -0.535110; -0.581116;
1.591970; -0.059601; -0.517502; -0.584244;
1.601982; -0.066986; -0.500244; -0.586639;
1.611994; -0.058838; -0.486084; -0.583786;
1.622007; -0.038559; -0.494415; -0.584106;
1.632019; 0.001312; -0.537689; -0.601898;
1.642032; 0.050735; -0.595551; -0.644135;
1.652044; 0.097321; -0.641098; -0.699448;
1.662056; 0.148132; -0.702484; -0.739227;
1.672069; 0.190475; -0.795212; -0.781677;
1.682081; 0.236023; -0.889938; -0.830032;
1.692094; 0.287704; -0.949524; -0.857071;
1.702106; 0.323090; -0.986389; -0.879105;
1.712118; 0.328491; -1.016541; -0.883041;
1.722131; 0.323807; -1.024475; -0.872421;
1.732143; 0.316315; -1.012558; -0.845200;
1.742156; 0.295822; -0.984711; -0.825073;
1.752168; 0.260468; -0.928360; -0.808380;
1.762180; 0.225586; -0.842972; -0.782242;
1.772193; 0.170959; -0.749252; -0.751144;
1.782205; 0.108612; -0.664810; -0.701569;
1.792218; 0.046478; -0.589844; -0.629379;
1.802230; -0.019974; -0.529572; -0.565521;
1.812243; -0.071930; -0.482559; -0.508835;
1.822255; -0.106140; -0.448166; -0.473022;
1.832267; -0.119125; -0.432220; -0.468292;
1.842280; -0.123230; -0.428787; -0.500168;
1.852292; -0.122330; -0.437347; -0.563049;
1.862305; -0.114380; -0.457916; -0.627609;
1.872317; -0.098068; -0.475967; -0.674026;
1.882329; -0.059540; -0.492294; -0.701752;
1.892342; -0.027756; -0.509079; -0.714127;
1.902354; -0.001831; -0.544006; -0.707840;
1.912367; 0.039383; -0.609299; -0.694962;
1.922379; 0.074432; -0.674911; -0.681900;
1.932392; 0.108505; -0.749390; -0.701477;
1.942404; 0.144608; -0.819305; -0.730331;
1.952416; 0.185440; -0.878586; -0.761444;
1.962429; 0.235229; -0.926147; -0.798203;
1.972441; 0.294861; -0.956497; -0.833221;
1.982454; 0.326324; -0.977631; -0.864700;
1.992466; 0.327454; -0.994141; -0.865692;
2.002478; 0.314758; -1.006409; -0.836487;
2.012491; 0.292358; -0.987747; -0.787704;
2.022503; 0.258408; -0.947250; -0.741119;
2.032516; 0.220856; -0.899536; -0.702042;
2.042528; 0.179550; -0.848801; -0.674637;
2.052540; 0.141006; -0.782776; -0.659210;
2.062553; 0.112320; -0.707535; -0.637955;
2.072565; 0.079254; -0.641556; -0.609467;
2.082578; 0.028397; -0.592102; -0.577042;
2.092590; -0.018967; -0.557251; -0.555237;
2.102603; -0.051788; -0.528625; -0.541122;
2.112615; -0.070709; -0.502625; -0.546387;
2.122627; -0.083649; -0.485733; -0.564056;
2.132640; -0.092102; -0.479477; -0.591690;
2.142652; -0.095016; -0.486694; -0.621140;
2.152665; -0.090286; -0.500381; -0.657532;
2.162677; -0.063431; -0.507141; -0.682663;
2.172689; -0.034286; -0.515106; -0.701599;
2.182702; -0.009140; -0.538513; -0.701279;
2.192714; 0.026978; -0.588516; -0.688766;
2.202727; 0.072021; -0.660706; -0.678696;
2.212739; 0.115616; -0.752182; -0.688965;
2.222751; 0.168396; -0.848541; -0.733276;
2.232764; 0.234253; -0.922256; -0.781662;
2.242776; 0.288422; -0.958893; -0.833801;
2.252789; 0.318207; -0.973907; -0.879761;
2.262801; 0.315216; -0.973785; -0.905167;
2.272814; 0.288406; -0.954666; -0.895218;
2.282826; 0.272949; -0.926178; -0.847092;
2.292838; 0.263229; -0.900726; -0.788742;
2.302851; 0.235672; -0.860992; -0.741287;
2.312863; 0.198013; -0.812180; -0.707764;
2.322876; 0.162354; -0.760132; -0.685974;
2.332888; 0.118896; -0.710571; -0.659134;
2.342900; 0.072617; -0.666107; -0.627441;
2.352913; 0.035736; -0.630783; -0.601868;
2.362925; 0.006714; -0.598511; -0.588669;
2.372938; -0.016525; -0.566086; -0.583572;
2.382950; -0.035950; -0.537979; -0.588989;
2.392963; -0.049423; -0.523727; -0.605118;
2.402975; -0.056839; -0.512466; -0.627899;
2.412987; -0.059586; -0.504578; -0.647217;
2.423000; -0.055008; -0.511444; -0.655167;
2.433012; -0.036362; -0.526535; -0.645172;
2.443025; 0.006454; -0.543396; -0.631897;
2.453037; 0.055984; -0.598877; -0.642761;
2.463049; 0.089066; -0.682251; -0.659943;
2.473062; 0.122086; -0.774124; -0.676895;
2.483074; 0.179062; -0.861206; -0.707489;
2.493087; 0.240158; -0.934830; -0.749130;
2.503099; 0.272781; -0.992996; -0.806305;
2.513111; 0.283432; -1.018845; -0.856125;
2.523124; 0.288086; -1.001205; -0.879410;
2.533136; 0.292389; -0.957336; -0.868042;
2.543149; 0.290817; -0.917480; -0.817368;
2.553161; 0.273453; -0.891159; -0.765045;
2.563174; 0.236053; -0.857468; -0.719070;
2.573186; 0.186310; -0.808029; -0.685776;
2.583198; 0.135590; -0.747742; -0.660919;
2.593211; 0.091782; -0.691284; -0.641266;
2.603223; 0.050552; -0.636383; -0.611588;
2.613236; 0.006210; -0.588440; -0.590836;
2.623248; -0.032028; -0.553787; -0.582733;
2.633260; -0.058090; -0.526276; -0.584076;
2.643273; -0.064041; -0.509460; -0.593323;
2.653285; -0.060226; -0.506271; -0.617126;
2.663298; -0.063477; -0.510162; -0.644547;
2.673310; -0.066833; -0.522095; -0.652512;
2.683323; -0.048859; -0.542450; -0.654999;
2.693335; -0.015335; -0.567917; -0.659088;
2.703347; 0.016510; -0.599213; -0.667923;
2.713360; 0.052475; -0.635971; -0.679367;
2.723372; 0.096512; -0.698334; -0.691238;
2.733385; 0.135925; -0.774506; -0.703094;
2.743397; 0.178741; -0.854218; -0.723694;
2.753409; 0.216095; -0.925461; -0.752228;
2.763422; 0.247589; -0.971481; -0.788742;
2.773434; 0.270966; -0.985214; -0.820404;
2.783447; 0.272720; -0.963013; -0.846619;
2.793459; 0.270157; -0.927856; -0.847672;
2.803472; 0.264099; -0.902603; -0.823318;
2.813484; 0.244308; -0.869781; -0.785370;
2.823496; 0.203995; -0.826950; -0.739944;
2.833509; 0.151978; -0.781342; -0.694870;
2.843521; 0.097061; -0.730896; -0.656723;
2.853534; 0.039886; -0.669083; -0.626266;
2.863546; -0.011246; -0.603638; -0.596252;
2.873558; -0.047745; -0.544052; -0.565475;
2.883571; -0.069397; -0.500031; -0.544617;
2.893583; -0.082458; -0.468094; -0.544678;
2.903596; -0.092041; -0.451660; -0.558273;
2.913608; -0.089645; -0.461838; -0.588211;
2.923621; -0.069595; -0.485519; -0.630051;
2.933633; -0.036224; -0.518463; -0.654938;
2.943645; -0.004471; -0.563934; -0.663223;
2.953658; 0.038300; -0.621384; -0.660507;
2.963670; 0.077179; -0.703552; -0.666595;
2.973683; 0.112503; -0.794952; -0.682816;
2.983695; 0.153229; -0.881409; -0.721298;
2.993707; 0.194962; -0.933472; -0.768890;
3.003720; 0.230682; -0.949341; -0.815369;
3.013732; 0.253540; -0.942245; -0.853470;
3.023745; 0.263290; -0.913239; -0.867355;
3.033757; 0.256958; -0.878296; -0.853333;
3.043770; 0.248642; -0.860733; -0.806854;
3.053782; 0.236145; -0.838181; -0.753738;
3.063794; 0.206863; -0.804276; -0.708252;
3.073807; 0.166382; -0.776413; -0.675171;
3.083819; 0.126801; -0.752762; -0.652985;
3.093832; 0.090759; -0.719101; -0.634735;
3.103844; 0.062057; -0.684143; -0.616531;
3.113856; 0.042603; -0.657608; -0.615372;
3.123869; 0.029419; -0.633652; -0.632812;
3.133881; 0.017380; -0.607941; -0.654922;
3.143894; 0.008759; -0.590851; -0.676727;
3.153906; -0.000732; -0.578827; -0.686707;
3.163919; -0.003036; -0.570679; -0.692047;
3.173931; -0.009293; -0.568481; -0.691452;
3.183943; -0.017242; -0.573471; -0.685928;
3.193956; -0.014740; -0.580414; -0.668182;
3.203968; 0.012238; -0.604416; -0.653793;
3.213981; 0.050522; -0.643646; -0.656494;
3.223993; 0.087067; -0.693802; -0.666946;
3.234005; 0.143448; -0.773972; -0.673950;
3.244018; 0.200104; -0.870438; -0.683853;
3.254030; 0.232269; -0.961929; -0.717331;
3.264043; 0.249603; -1.023865; -0.769272;
3.274055; 0.257935; -1.037338; -0.821701;
3.284068; 0.260010; -0.997375; -0.861618;
3.294080; 0.256317; -0.923584; -0.860901;
3.304092; 0.250183; -0.863373; -0.819489;
3.314105; 0.222107; -0.820007; -0.760712;
3.324117; 0.180496; -0.771469; -0.703461;
3.334130; 0.136353; -0.712936; -0.650055;
3.344142; 0.097290; -0.662613; -0.609650;
3.354155; 0.061981; -0.629135; -0.581589;
3.364167; 0.035614; -0.616714; -0.585709;
3.374179; 0.002548; -0.607239; -0.614090;
3.384192; -0.030838; -0.600098; -0.653397;
3.394204; -0.049652; -0.591339; -0.672043;
3.404217; -0.059280; -0.583527; -0.688675;
3.414229; -0.066589; -0.575363; -0.690582;
3.424241; -0.072464; -0.565399; -0.683472;
3.434254; -0.074951; -0.553894; -0.670074;
3.444266; -0.073853; -0.542053; -0.662354;
3.454279; -0.070435; -0.532913; -0.658340;
3.464291; -0.057495; -0.533630; -0.667770;
3.474304; -0.038315; -0.535873; -0.686249;
3.484316; -0.017960; -0.547134; -0.691818;
3.494328; 0.006058; -0.578323; -0.689117;
3.504341; 0.032578; -0.621521; -0.681381;
3.514353; 0.068878; -0.678131; -0.683456;
3.524366; 0.108124; -0.755234; -0.699997;
3.534378; 0.153122; -0.854233; -0.728729;
3.544391; 0.197205; -0.945633; -0.774994;
3.554403; 0.237473; -0.998932; -0.816330;
3.564415; 0.256073; -1.012985; -0.851562;
3.574428; 0.254974; -0.992645; -0.871094;
3.584440; 0.250809; -0.953873; -0.860992;
3.594453; 0.250122; -0.909454; -0.818741;
3.604465; 0.241043; -0.861649; -0.758240;
3.614477; 0.211899; -0.814102; -0.703186;
3.624490; 0.175110; -0.768539; -0.662506;
3.634502; 0.135025; -0.726013; -0.628036;
3.644515; 0.092606; -0.690735; -0.593674;
3.654527; 0.056915; -0.666565; -0.572662;
3.664540; 0.020996; -0.650879; -0.568604;
3.674552; -0.015472; -0.642136; -0.590881;
3.684564; -0.043213; -0.635376; -0.620468;
3.694577; -0.054352; -0.617950; -0.636612;
3.704589; -0.055893; -0.601303; -0.657822;
3.714602; -0.062958; -0.582001; -0.670349;
3.724614; -0.072998; -0.571259; -0.664581;
3.734627; -0.073502; -0.569336; -0.653000;
3.744639; -0.059509; -0.560715; -0.650604;
3.754651; -0.039902; -0.554947; -0.657059;
3.764664; -0.017059; -0.566223; -0.679169;
3.774676; 0.020981; -0.597351; -0.689957;
3.784689; 0.053192; -0.648743; -0.695236;
3.794701; 0.084686; -0.713242; -0.701721;
3.804713; 0.116135; -0.787918; -0.713074;
3.814726; 0.152878; -0.870209; -0.742432;
3.824738; 0.186340; -0.942535; -0.791840;
3.834750; 0.201706; -0.969345; -0.832550;
3.844762; 0.205536; -0.952774; -0.855103;
3.854775; 0.210815; -0.909485; -0.853653;
3.864787; 0.208435; -0.862854; -0.826935;
3.874799; 0.196259; -0.824387; -0.779510;
3.884812; 0.171005; -0.784271; -0.725006;
3.894824; 0.133621; -0.742218; -0.676590;
3.904837; 0.094147; -0.705490; -0.636703;
3.914849; 0.060730; -0.675720; -0.605576;
3.924862; 0.036545; -0.655106; -0.594376;
3.934874; 0.026459; -0.643616; -0.609711;
3.944886; 0.007278; -0.635300; -0.650970;
3.954899; -0.017059; -0.629700; -0.681061;
3.964911; -0.027557; -0.626816; -0.690048;
3.974924; -0.030487; -0.614014; -0.691177;
3.984936; -0.039581; -0.601990; -0.686554;
3.994949; -0.050430; -0.592819; -0.670090;
4.004961; -0.052292; -0.586823; -0.654144;
4.014973; -0.049515; -0.578827; -0.655869;
4.024986; -0.048935; -0.565353; -0.663971;
4.034998; -0.032730; -0.563873; -0.663773;
4.045011; 0.010193; -0.591187; -0.658127;
4.055023; 0.057281; -0.644913; -0.658783;
4.065035; 0.082474; -0.711533; -0.673386;
4.075048; 0.110260; -0.789841; -0.691589;
4.085060; 0.142075; -0.873032; -0.715439;
4.095073; 0.170517; -0.948441; -0.749435;
4.105085; 0.191696; -0.988937; -0.783508;
4.115098; 0.206436; -0.976028; -0.816788;
4.125110; 0.213821; -0.930389; -0.830780;
4.135122; 0.212143; -0.884857; -0.818787;
4.145135; 0.203049; -0.842987; -0.781403;
4.155147; 0.184204; -0.799225; -0.730301;
4.165160; 0.149368; -0.757370; -0.684708;
4.175172; 0.111893; -0.720642; -0.650742;
4.185185; 0.082016; -0.688385; -0.627258;
4.195197; 0.060303; -0.664474; -0.623230;
4.205209; 0.039948; -0.643890; -0.629578;
4.215222; 0.015976; -0.630341; -0.656174;
4.225234; -0.005859; -0.623779; -0.677765;
4.235247; -0.020157; -0.621475; -0.684265;
4.245259; -0.030869; -0.612534; -0.684647;
