timestamp; x; y; z;
0.000000; 0.043518; -0.138306; -0.855347;
0.010012; 0.075562; -0.195007; -0.848267;
0.020024; 0.118362; -0.263168; -0.860764;
0.030035; 0.175568; -0.336075; -0.890152;
0.040047; 0.242599; -0.414124; -0.942749;
0.050059; 0.327988; -0.489594; -0.984772;
0.060071; 0.413574; -0.566666; -1.011688;
0.070083; 0.487762; -0.659271; -1.034927;
0.080094; 0.541885; -0.754913; -1.048599;
0.090106; 0.576996; -0.820618; -1.041748;
0.100118; 0.588837; -0.859955; -1.007874;
0.110130; 0.576035; -0.874664; -0.968658;
0.120142; 0.548508; -0.851364; -0.932007;
0.130153; 0.517410; -0.811707; -0.904922;
0.140165; 0.474777; -0.749786; -0.894897;
0.150177; 0.394409; -0.671173; -0.915253;
0.160189; 0.278580; -0.565155; -0.943481;
0.170201; 0.156357; -0.415451; -0.939270;
0.180213; 0.028946; -0.214493; -0.878815;
0.190224; -0.088150; -0.007904; -0.773911;
0.200236; -0.191544; 0.167267; -0.690430;
0.210248; -0.275345; 0.294022; -0.634201;
0.220260; -0.317993; 0.340805; -0.606720;
0.230272; -0.343719; 0.345932; -0.588135;
0.240283; -0.357422; 0.320587; -0.588348;
0.250295; -0.342926; 0.244217; -0.637527;
0.260307; -0.285034; 0.137955; -0.709763;
0.270319; -0.190125; 0.035126; -0.820908;
0.280331; -0.067734; -0.057007; -0.940796;
0.290343; 0.076721; -0.161240; -1.020142;
0.300354; 0.215515; -0.303360; -1.086441;
0.310366; 0.341507; -0.473450; -1.161316;
0.320378; 0.427902; -0.621750; -1.227097;
0.330390; 0.486145; -0.725540; -1.283798;
0.340402; 0.529404; -0.780426; -1.303604;
0.350413; 0.546387; -0.798523; -1.270126;
0.360425; 0.544937; -0.789337; -1.185059;
0.370437; 0.530594; -0.765732; -1.098969;
0.380449; 0.497681; -0.729904; -1.017029;
0.390461; 0.429184; -0.678558; -0.964630;
0.400473; 0.344620; -0.599030; -0.941147;
0.410484; 0.269821; -0.490631; -0.913055;
0.420496; 0.181915; -0.361938; -0.873383;
0.430508; 0.094086; -0.211044; -0.819534;
0.440520; -0.003372; -0.078201; -0.751724;
0.450532; -0.084030; 0.012360; -0.689133;
0.460543; -0.143753; 0.082748; -0.643509;
0.470555; -0.184006; 0.109695; -0.623901;
0.480567; -0.201660; 0.099808; -0.629822;
0.490579; -0.193268; 0.064087; -0.684738;
0.500591; -0.149094; 0.004044; -0.784973;
0.510603; -0.084122; -0.063080; -0.859848;
0.520614; 0.000946; -0.143738; -0.922287;
0.530626; 0.097015; -0.255981; -0.975220;
0.540638; 0.189667; -0.388962; -1.006104;
0.550650; 0.284210; -0.535965; -1.048004;
0.560662; 0.388580; -0.683365; -1.095978;
0.570673; 0.470398; -0.801987; -1.146973;
0.580685; 0.516327; -0.856369; -1.182297;
0.590697; 0.537628; -0.851593; -1.181458;
0.600709; 0.526169; -0.816071; -1.147202;
0.610721; 0.468292; -0.762527; -1.093399;
0.620733; 0.376465; -0.679398; -1.039444;
0.630744; 0.287354; -0.557693; -0.990677;
0.640756; 0.200043; -0.406631; -0.931122;
0.650768; 0.104599; -0.236496; -0.870300;
0.660780; 0.021713; -0.077621; -0.816330;
0.670792; -0.040329; 0.035278; -0.744324;
0.680803; -0.092606; 0.111008; -0.696655;
0.690815; -0.148041; 0.138626; -0.661835;
0.700827; -0.193161; 0.107513; -0.662582;
0.710839; -0.192688; 0.054932; -0.711288;
0.720852; -0.165543; 0.004868; -0.784470;
0.730864; -0.123749; -0.027664; -0.850845;
0.740875; -0.050323; -0.070755; -0.892853;
0.750887; 0.037903; -0.160965; -0.917938;
0.760899; 0.126434; -0.279938; -0.941864;
0.770911; 0.222519; -0.423767; -0.966385;
0.780923; 0.313675; -0.586578; -1.007797;
0.790934; 0.397903; -0.721436; -1.056046;
0.800946; 0.461594; -0.778336; -1.104462;
0.810958; 0.500244; -0.784439; -1.136154;
0.820970; 0.518646; -0.780167; -1.138504;
0.830982; 0.506912; -0.759552; -1.106613;
0.840993; 0.449127; -0.720856; -1.069809;
0.851005; 0.363571; -0.647980; -1.042480;
0.861017; 0.266754; -0.539413; -1.024429;
0.871029; 0.156555; -0.398499; -0.996262;
0.881041; 0.040405; -0.230392; -0.947861;
0.891053; -0.054489; -0.063812; -0.887009;
0.901064; -0.115204; 0.083038; -0.804672;
0.911076; -0.165756; 0.184570; -0.726410;
0.921088; -0.207260; 0.239624; -0.663834;
0.931100; -0.234650; 0.222458; -0.632599;
0.941112; -0.192963; 0.138290; -0.652298;
0.951123; -0.121918; 0.012924; -0.697388;
0.961135; -0.055420; -0.116699; -0.755890;
0.971147; 0.026794; -0.247177; -0.840454;
0.981159; 0.114517; -0.398590; -0.896515;
0.991171; 0.219818; -0.529114; -0.958649;
1.001183; 0.331055; -0.606339; -1.024155;
1.011194; 0.422943; -0.641434; -1.109482;
1.021206; 0.485153; -0.649399; -1.092056;
1.031218; 0.540680; -0.680405; -1.244751;
1.041230; 0.525558; -0.705902; -1.225128;
1.051242; 0.535583; -0.704025; -1.255707;
1.061254; 0.485916; -0.707458; -1.132370;
1.071265; 0.437378; -0.672287; -1.079895;
1.081277; 0.356720; -0.610397; -1.056992;
1.091289; 0.255737; -0.477234; -1.013824;
1.101301; 0.158020; -0.342255; -0.966339;
1.111313; 0.072739; -0.223541; -0.909607;
1.121324; -0.015228; -0.119919; -0.838287;
1.131336; -0.088028; -0.037888; -0.759521;
1.141348; -0.143860; 0.018631; -0.688843;
1.151360; -0.184036; 0.052490; -0.628281;
1.161372; -0.206024; 0.055679; -0.593369;
1.171383; -0.202866; 0.028671; -0.595490;
1.181395; -0.168823; -0.026276; -0.644638;
1.191407; -0.106735; -0.087830; -0.711624;
1.201419; -0.025391; -0.143402; -0.789703;
1.211431; 0.069580; -0.210312; -0.870224;
1.221443; 0.158981; -0.299133; -0.948532;
1.231454; 0.250229; -0.399994; -1.033401;
1.241466; 0.349365; -0.494843; -1.123383;
1.251478; 0.433701; -0.578400; -1.195694;
1.261490; 0.483871; -0.653412; -1.236984;
1.271502; 0.490265; -0.703491; -1.238434;
1.281514; 0.475800; -0.716431; -1.213760;
1.291525; 0.458115; -0.684677; -1.168472;
1.301537; 0.417908; -0.625687; -1.109863;
1.311549; 0.356598; -0.557098; -1.052750;
1.321561; 0.282364; -0.481781; -1.003601;
1.331573; 0.192780; -0.391098; -0.963593;
1.341584; 0.117706; -0.287842; -0.915604;
1.351596; 0.053528; -0.192673; -0.850800;
1.361608; -0.010437; -0.120789; -0.782455;
1.371620; -0.068268; -0.070450; -0.729828;
1.381632; -0.125061; -0.027985; -0.710190;
1.391644; -0.174835; 0.007126; -0.705200;
1.401655; -0.190781; 0.039139; -0.720551;
1.411667; -0.181000; 0.069717; -0.742981;
1.421679; -0.155869; 0.086365; -0.766205;
1.431691; -0.099411; 0.068771; -0.786667;
1.441703; -0.018188; 0.001343; -0.814560;
1.451714; 0.058075; -0.102966; -0.845612;
1.461726; 0.141586; -0.212601; -0.887024;
1.471738; 0.239899; -0.342789; -0.941376;
1.481750; 0.301437; -0.502487; -1.008713;
1.491762; 0.338486; -0.645996; -1.071442;
1.501774; 0.397919; -0.713364; -1.108398;
1.511785; 0.461975; -0.715363; -1.135651;
1.521797; 0.502808; -0.690308; -1.147354;
1.531809; 0.520844; -0.658310; -1.137405;
1.541821; 0.521851; -0.633270; -1.112488;
