timestamp; x; y; z;
0.000000; -0.071579; 0.122162; -0.985916;
0.010013; -0.017212; 0.039871; -1.024261;
0.020025; 0.043381; -0.066956; -1.064056;
0.030038; 0.082047; -0.165314; -1.091507;
0.040051; 0.115921; -0.241898; -1.098175;
0.050064; 0.146561; -0.288101; -1.089828;
0.060076; 0.169586; -0.307037; -1.067108;
0.070089; 0.164062; -0.291183; -1.044754;
0.080102; 0.123932; -0.249435; -1.024979;
0.090114; 0.073395; -0.194595; -0.991638;
0.100127; 0.042633; -0.139954; -0.951736;
0.110140; 0.027985; -0.095673; -0.927887;
0.120152; 0.031281; -0.064438; -0.937286;
0.130165; 0.046143; -0.054657; -0.975067;
0.140178; 0.074921; -0.068573; -1.015076;
0.150190; 0.120560; -0.108032; -1.044647;
0.160203; 0.138809; -0.156998; -1.060242;
0.170216; 0.149887; -0.189957; -1.063492;
0.180229; 0.150955; -0.195312; -1.063812;
0.190241; 0.118149; -0.179626; -1.048630;
0.200254; 0.078812; -0.147232; -1.025085;
0.210267; 0.047272; -0.106735; -0.997009;
0.220279; 0.027206; -0.067139; -0.968704;
0.230292; 0.010956; -0.033249; -0.951981;
0.240305; -0.002975; -0.016327; -0.946274;
0.250317; -0.007935; -0.019669; -0.945114;
0.260330; -0.006088; -0.040421; -0.949509;
0.270343; -0.000565; -0.065155; -0.953857;
0.280355; 0.010071; -0.086685; -0.956299;
0.290368; 0.026596; -0.106064; -0.958923;
0.300381; 0.044540; -0.121780; -0.964569;
0.310394; 0.060120; -0.133316; -0.976273;
0.320406; 0.065033; -0.139297; -0.993591;
0.330419; 0.062820; -0.142715; -1.001831;
0.340432; 0.065552; -0.139099; -1.001404;
0.350444; 0.071106; -0.131134; -0.993622;
0.360457; 0.075577; -0.127563; -0.992325;
0.370470; 0.081787; -0.137436; -0.996765;
0.380482; 0.088165; -0.152344; -0.999512;
0.390495; 0.088638; -0.160629; -1.003143;
0.400508; 0.088120; -0.165085; -1.008575;
0.410521; 0.086563; -0.165955; -1.010651;
0.420533; 0.080978; -0.161942; -1.007416;
0.430546; 0.077408; -0.150757; -1.000793;
0.440559; 0.073502; -0.132080; -0.993149;
0.450571; 0.074310; -0.122589; -0.993790;
0.460584; 0.080978; -0.122238; -0.997574;
0.470597; 0.088104; -0.131638; -1.000931;
0.480609; 0.086548; -0.143433; -1.004913;
0.490622; 0.091125; -0.153122; -1.001541;
0.500635; 0.088669; -0.162613; -1.001236;
0.510647; 0.083847; -0.163437; -1.002731;
0.520660; 0.082077; -0.159653; -0.996841;
0.530673; 0.083725; -0.159805; -0.989044;
0.540685; 0.086456; -0.160339; -0.986816;
0.550698; 0.097534; -0.157379; -0.998642;
0.560711; 0.100510; -0.155960; -1.019531;
0.570724; 0.095062; -0.159515; -1.027679;
0.580736; 0.085510; -0.156006; -1.025391;
0.590749; 0.072372; -0.143860; -1.008484;
0.600762; 0.064606; -0.132935; -0.990234;
0.610774; 0.063858; -0.127136; -0.982056;
0.620787; 0.058456; -0.132706; -0.982635;
0.630800; 0.058273; -0.142014; -0.983444;
0.640812; 0.064026; -0.143890; -0.991043;
0.650825; 0.069824; -0.145691; -1.005508;
0.660838; 0.072830; -0.145508; -1.011688;
0.670850; 0.069199; -0.147202; -1.011078;
0.680863; 0.062500; -0.147995; -1.004425;
0.690876; 0.061325; -0.149048; -0.994156;
0.700889; 0.067886; -0.150345; -0.981735;
0.710901; 0.080902; -0.152023; -0.982498;
0.720914; 0.089523; -0.152512; -0.997406;
0.730927; 0.089188; -0.151245; -1.021118;
0.740939; 0.091644; -0.150635; -1.031052;
0.750952; 0.090729; -0.149139; -1.026886;
0.760965; 0.091141; -0.147369; -1.019455;
0.770977; 0.093002; -0.148300; -1.012085;
0.780990; 0.091370; -0.155685; -1.001801;
0.791003; 0.083252; -0.165298; -0.988632;
0.801015; 0.082260; -0.173538; -0.979156;
0.811028; 0.093155; -0.175323; -0.978760;
0.821041; 0.106064; -0.170868; -0.991058;
0.831054; 0.111847; -0.164429; -1.002609;
0.841066; 0.122314; -0.158112; -1.000961;
0.851079; 0.124802; -0.148315; -1.004135;
0.861092; 0.114227; -0.144775; -1.008514;
0.871104; 0.117828; -0.137009; -1.015259;
0.881117; 0.123016; -0.112732; -1.022079;
0.891130; 0.120560; -0.096436; -1.022659;
0.901142; 0.114532; -0.082077; -1.021317;
