timestamp; x; y; z;
0.000000; 0.139694; -0.175598; -0.983414;
0.010011; 0.144363; -0.173065; -0.984634;
0.020023; 0.144409; -0.172577; -0.983582;
0.030034; 0.139816; -0.173965; -0.988007;
0.040045; 0.134689; -0.178482; -0.994995;
0.050057; 0.131393; -0.181488; -1.004120;
0.060068; 0.132233; -0.180435; -1.005615;
0.070079; 0.130890; -0.181381; -0.998123;
0.080090; 0.126709; -0.180527; -0.993057;
0.090102; 0.127747; -0.177582; -0.982101;
0.100113; 0.126541; -0.176346; -0.972275;
0.110124; 0.124786; -0.176468; -0.973175;
0.120135; 0.124374; -0.171402; -0.975311;
0.130147; 0.120590; -0.172226; -0.974731;
0.140158; 0.115646; -0.178299; -0.971497;
0.150169; 0.109787; -0.187515; -0.976044;
0.160180; 0.108566; -0.195694; -0.984680;
0.170192; 0.111710; -0.195374; -0.983566;
0.180203; 0.113800; -0.191391; -0.979691;
0.190214; 0.118713; -0.185654; -0.976654;
0.200225; 0.124817; -0.180313; -0.974258;
0.210237; 0.125549; -0.178528; -0.977493;
0.220248; 0.117950; -0.178421; -0.980026;
0.230259; 0.113037; -0.179733; -0.986832;
0.240271; 0.111786; -0.180481; -0.984619;
0.250282; 0.107422; -0.185013; -0.980957;
0.260293; 0.104660; -0.187759; -0.980728;
0.270304; 0.104126; -0.188995; -0.980347;
0.280316; 0.109177; -0.187454; -0.981384;
0.290327; 0.114380; -0.184952; -0.980225;
0.300338; 0.113968; -0.186386; -0.977310;
0.310349; 0.109818; -0.190811; -0.977615;
0.320361; 0.108917; -0.192184; -0.985672;
0.330372; 0.115738; -0.190369; -0.983353;
0.340383; 0.118195; -0.189346; -0.983215;
0.350394; 0.108688; -0.195374; -0.985092;
0.360406; 0.105469; -0.200836; -0.976364;
0.370417; 0.111511; -0.203339; -0.979126;
0.380428; 0.113831; -0.207413; -0.984482;
0.390439; 0.112885; -0.212967; -0.981827;
0.400451; 0.107239; -0.216644; -0.974045;
0.410462; 0.100723; -0.216980; -0.960510;
0.420473; 0.099564; -0.215591; -0.946564;
0.430485; 0.103424; -0.216644; -0.944794;
0.440496; 0.105118; -0.219940; -0.950272;
0.450507; 0.102768; -0.221283; -0.959244;
0.460518; 0.103622; -0.218979; -0.964859;
0.470530; 0.109482; -0.211060; -0.967865;
0.480541; 0.115112; -0.197906; -0.966400;
0.490552; 0.120514; -0.185425; -0.967499;
0.500563; 0.125793; -0.173920; -0.965073;
0.510575; 0.129959; -0.168793; -0.959152;
0.520586; 0.133270; -0.168961; -0.966339;
0.530597; 0.133530; -0.171188; -0.975937;
0.540608; 0.135803; -0.176178; -0.979660;
0.550620; 0.139862; -0.185303; -0.979782;
0.560631; 0.139633; -0.195206; -0.978363;
0.570642; 0.137527; -0.204910; -0.982819;
0.580653; 0.137070; -0.206421; -0.988693;
0.590665; 0.136734; -0.201370; -0.992950;
0.600676; 0.139542; -0.198242; -0.991501;
0.610687; 0.134079; -0.200653; -0.998611;
0.620699; 0.132034; -0.198074; -1.010544;
0.630710; 0.135880; -0.191345; -1.014511;
0.640721; 0.136322; -0.186783; -1.011307;
0.650732; 0.128220; -0.182312; -1.005798;
0.660744; 0.121368; -0.179550; -0.987427;
0.670755; 0.110535; -0.183655; -0.973694;
0.680766; 0.107025; -0.192200; -0.971497;
0.690777; 0.102615; -0.196640; -0.986969;
0.700789; 0.099609; -0.197128; -1.000412;
0.710800; 0.110229; -0.190033; -0.991531;
0.720811; 0.120377; -0.183258; -0.982300;
0.730822; 0.116974; -0.183136; -0.977768;
0.740834; 0.109314; -0.187225; -0.982208;
0.750845; 0.106567; -0.187195; -0.986679;
0.760856; 0.109085; -0.180054; -0.994904;
0.770868; 0.103455; -0.175461; -1.006363;
0.780879; 0.099091; -0.170364; -1.004181;
0.790890; 0.097397; -0.162247; -0.998566;
0.800901; 0.098557; -0.154343; -0.996719;
0.810913; 0.100555; -0.150955; -0.988846;
0.820924; 0.096207; -0.153717; -0.985260;
0.830935; 0.089310; -0.158585; -1.001434;
0.840946; 0.097198; -0.162704; -0.997101;
0.850958; 0.093719; -0.163849; -0.990585;
0.860969; 0.093338; -0.162247; -0.978546;
0.870980; 0.098419; -0.154724; -0.975906;
0.880991; 0.096725; -0.148605; -0.977585;
0.891003; 0.091797; -0.145401; -0.982117;
0.901014; 0.091522; -0.141556; -0.997818;
0.911025; 0.099487; -0.136963; -1.006287;
0.921037; 0.109268; -0.140045; -0.999802;
0.931048; 0.104401; -0.151382; -1.001740;
0.941059; 0.102661; -0.159561; -0.993103;
0.951070; 0.102814; -0.158188; -0.987839;
0.961082; 0.105118; -0.153732; -0.989655;
0.971093; 0.111633; -0.153290; -0.992828;
0.981104; 0.118271; -0.140045; -1.003876;
0.991115; 0.113449; -0.128296; -1.004425;
1.001127; 0.123093; -0.125732; -1.001907;
1.011138; 0.149765; -0.128220; -1.016174;
1.021149; 0.128281; -0.112518; -1.025452;
1.031161; 0.118881; -0.122757; -1.008118;
1.041172; 0.087097; -0.144333; -0.988861;
1.051183; 0.080872; -0.159790; -0.973434;
1.061194; 0.086594; -0.149307; -0.984909;
1.071206; 0.102585; -0.131195; -0.973129;
1.081217; 0.107437; -0.135162; -0.951920;
1.091228; 0.106003; -0.152191; -0.946838;
1.101239; 0.116211; -0.163513; -0.972931;
1.111251; 0.128220; -0.166718; -0.998749;
1.121262; 0.133957; -0.177689; -1.037186;
1.131273; 0.141373; -0.178558; -1.058578;
1.141284; 0.140884; -0.167450; -1.057526;
1.151296; 0.134201; -0.158020; -1.046295;
1.161307; 0.124176; -0.154648; -1.029892;
1.171318; 0.119110; -0.150879; -1.018127;
1.181329; 0.115356; -0.146286; -1.010559;
1.191341; 0.112610; -0.141800; -0.997635;
1.201352; 0.105881; -0.134537; -0.987747;
1.211363; 0.094421; -0.130249; -0.980209;
1.221375; 0.088181; -0.130020; -0.973099;
1.231386; 0.090561; -0.126160; -0.969055;
1.241397; 0.095917; -0.124451; -0.970322;
1.251408; 0.100693; -0.122025; -0.982483;
1.261420; 0.104858; -0.123322; -0.988342;
1.271431; 0.102676; -0.128372; -0.984863;
1.281442; 0.096756; -0.128860; -0.979721;
1.291453; 0.093781; -0.123047; -0.966370;
1.301465; 0.096161; -0.120651; -0.948288;
1.311476; 0.096039; -0.127060; -0.944183;
1.321487; 0.089981; -0.133316; -0.956772;
1.331499; 0.087723; -0.136627; -0.968994;
1.341510; 0.088806; -0.139343; -0.972473;
1.351521; 0.089645; -0.140518; -0.965942;
1.361532; 0.088394; -0.139191; -0.956497;
1.371544; 0.089279; -0.141525; -0.961304;
1.381559; 0.095932; -0.147507; -0.970413;
1.391570; 0.108383; -0.150497; -0.981232;
1.401581; 0.114685; -0.148422; -0.991928;
1.411593; 0.114914; -0.146210; -0.994949;
1.421604; 0.109711; -0.142471; -0.992630;
1.431615; 0.102280; -0.138107; -0.999313;
1.441627; 0.105637; -0.136398; -0.998367;
1.451638; 0.106735; -0.136810; -0.983200;
1.461649; 0.100525; -0.139160; -0.973312;
1.471660; 0.090225; -0.142410; -0.972839;
1.481672; 0.086578; -0.144012; -0.974518;
1.491683; 0.092697; -0.140366; -0.977432;
1.501694; 0.102020; -0.134949; -0.982193;
1.511705; 0.108902; -0.128418; -0.983704;
1.521717; 0.106766; -0.128571; -0.992966;
1.531728; 0.105652; -0.136353; -0.999069;
1.541739; 0.108582; -0.141708; -1.003479;
1.551751; 0.113251; -0.142227; -1.007370;
1.561762; 0.115631; -0.138489; -0.997574;
1.571773; 0.111771; -0.138733; -0.979935;
1.581784; 0.107986; -0.142792; -0.977219;
1.591796; 0.108109; -0.145081; -0.986877;
1.601807; 0.110916; -0.142914; -0.989838;
1.611818; 0.115997; -0.134888; -0.987030;
1.621829; 0.121109; -0.122589; -0.992966;
1.631841; 0.123062; -0.111328; -1.001694;
1.641852; 0.128082; -0.112198; -1.008041;
1.651863; 0.129822; -0.117523; -1.011566;
1.661875; 0.126205; -0.124847; -1.014709;
1.671886; 0.120895; -0.132095; -1.009613;
