timestamp; area; px1; py1; px2; py2; px3; py3; px4; py4;
0; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
1; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
2; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
3; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
4; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
5; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
6; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
7; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
8; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
9; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
10; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
11; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
12; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
13; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
14; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
15; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
16; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
17; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
18; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
20; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
21; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
22; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
23; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
24; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
25; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
26; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
27; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
28; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
29; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
30; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
31; 13105.50; 38.00; 20.00; 33.00; 131.00; 145.00; 142.00; 154.00; 24.00;
32; 14028.00; 35.00; 17.00; 31.00; 133.00; 146.00; 143.00; 155.00; 21.00;
33; 13718.00; 34.00; 19.00; 31.00; 134.00; 145.00; 143.00; 152.00; 22.00;
34; 13255.00; 35.00; 19.00; 31.00; 131.00; 145.00; 140.00; 151.00; 22.00;
35; 13181.50; 33.00; 20.00; 32.00; 132.00; 144.00; 139.00; 150.00; 21.00;
36; 12891.00; 33.00; 21.00; 33.00; 132.00; 144.00; 138.00; 149.00; 22.00;
37; 12660.00; 32.00; 21.00; 33.00; 131.00; 143.00; 136.00; 147.00; 21.00;
38; 12546.00; 31.00; 21.00; 33.00; 131.00; 141.00; 135.00; 146.00; 20.00;
39; 12432.50; 30.00; 21.00; 32.00; 131.00; 141.00; 133.00; 144.00; 20.00;
40; 12155.00; 142.00; 20.00; 30.00; 21.00; 32.00; 130.00; 140.00; 132.00;
41; 11937.00; 30.00; 20.00; 34.00; 128.00; 141.00; 128.00; 142.00; 18.00;
42; 11881.00; 143.00; 17.00; 31.00; 19.00; 35.00; 126.00; 141.00; 128.00;
43; 11663.50; 144.00; 17.00; 34.00; 19.00; 37.00; 125.00; 142.00; 128.00;
44; 11449.50; 36.00; 18.00; 39.00; 123.00; 142.00; 127.00; 146.00; 17.00;
45; 11343.00; 38.00; 18.00; 40.00; 122.00; 144.00; 126.00; 147.00; 17.00;
46; 11082.50; 40.00; 18.00; 41.00; 121.00; 143.00; 126.00; 148.00; 18.00;
47; 11079.00; 41.00; 18.00; 42.00; 121.00; 145.00; 125.00; 148.00; 17.00;
48; 10869.50; 42.00; 18.00; 43.00; 120.00; 145.00; 124.00; 148.00; 17.00;
49; 10766.50; 148.00; 17.00; 42.00; 18.00; 43.00; 118.00; 145.00; 124.00;
50; 10767.00; 149.00; 17.00; 44.00; 17.00; 44.00; 119.00; 146.00; 123.00;
51; 10716.00; 149.00; 17.00; 45.00; 17.00; 44.00; 119.00; 146.00; 123.00;
52; 10663.50; 44.00; 18.00; 44.00; 119.00; 146.00; 123.00; 149.00; 18.00;
53; 10662.00; 44.00; 18.00; 45.00; 119.00; 146.00; 123.00; 149.00; 17.00;
54; 10662.00; 149.00; 18.00; 44.00; 19.00; 45.00; 120.00; 146.00; 124.00;
55; 10611.00; 46.00; 19.00; 45.00; 120.00; 147.00; 124.00; 149.00; 18.00;
56; 10559.00; 149.00; 18.00; 45.00; 20.00; 45.00; 119.00; 147.00; 124.00;
57; 10510.00; 149.00; 20.00; 45.00; 20.00; 45.00; 121.00; 145.00; 125.00;
58; 10609.00; 44.00; 21.00; 45.00; 122.00; 146.00; 125.00; 148.00; 19.00;
59; 10609.00; 148.00; 19.00; 44.00; 21.00; 45.00; 122.00; 146.00; 125.00;
60; 10558.00; 44.00; 21.00; 45.00; 121.00; 146.00; 125.00; 148.00; 19.00;
61; 10609.00; 148.00; 18.00; 44.00; 20.00; 45.00; 121.00; 146.00; 124.00;
62; 10609.00; 148.00; 18.00; 44.00; 20.00; 45.00; 121.00; 146.00; 124.00;
63; 10609.00; 44.00; 20.00; 45.00; 121.00; 146.00; 124.00; 148.00; 18.00;
64; 10713.00; 148.00; 17.00; 44.00; 19.00; 44.00; 120.00; 146.00; 124.00;
65; 10713.00; 44.00; 18.00; 44.00; 120.00; 146.00; 123.00; 148.00; 17.00;
66; 10713.00; 148.00; 17.00; 44.00; 18.00; 44.00; 120.00; 146.00; 123.00;
67; 10713.00; 44.00; 18.00; 44.00; 120.00; 146.00; 123.00; 148.00; 17.00;
68; 10662.00; 148.00; 17.00; 44.00; 18.00; 44.00; 119.00; 146.00; 123.00;
69; 10713.00; 148.00; 16.00; 44.00; 18.00; 44.00; 119.00; 146.00; 123.00;
70; 10611.00; 148.00; 16.00; 44.00; 18.00; 44.00; 118.00; 145.00; 123.00;
71; 10611.00; 46.00; 17.00; 45.00; 118.00; 147.00; 122.00; 149.00; 16.00;
72; 10610.00; 149.00; 16.00; 45.00; 18.00; 45.00; 118.00; 147.00; 122.00;
73; 10456.50; 148.00; 17.00; 46.00; 18.00; 45.00; 119.00; 145.00; 123.00;
74; 10506.00; 147.00; 17.00; 44.00; 20.00; 45.00; 120.00; 146.00; 123.00;
75; 10504.00; 146.00; 17.00; 44.00; 20.00; 46.00; 121.00; 146.00; 124.00;
76; 10558.00; 147.00; 18.00; 44.00; 20.00; 44.00; 120.00; 146.00; 124.00;
77; 10507.00; 146.00; 18.00; 44.00; 21.00; 45.00; 122.00; 147.00; 123.00;
78; 10609.00; 147.00; 19.00; 44.00; 21.00; 44.00; 122.00; 146.00; 125.00;
79; 10609.00; 147.00; 19.00; 44.00; 21.00; 44.00; 121.00; 147.00; 125.00;
80; 10608.00; 146.00; 18.00; 44.00; 21.00; 45.00; 122.00; 147.00; 125.00;
81; 10609.00; 147.00; 19.00; 45.00; 21.00; 44.00; 122.00; 147.00; 125.00;
82; 10557.50; 147.00; 19.00; 44.00; 22.00; 45.00; 122.00; 147.00; 125.00;
83; 10557.00; 147.00; 19.00; 45.00; 21.00; 45.00; 122.00; 147.00; 125.00;
84; 10455.50; 148.00; 20.00; 45.00; 21.00; 45.00; 121.00; 147.00; 124.00;
85; 10406.00; 148.00; 18.00; 47.00; 20.00; 45.00; 119.00; 147.00; 124.00;
86; 10404.00; 148.00; 18.00; 46.00; 20.00; 46.00; 120.00; 147.00; 123.00;
87; 10404.00; 148.00; 17.00; 47.00; 19.00; 46.00; 119.00; 147.00; 123.00;
88; 10406.00; 149.00; 17.00; 47.00; 19.00; 46.00; 118.00; 147.00; 123.00;
89; 10508.50; 47.00; 19.00; 46.00; 118.00; 148.00; 123.00; 150.00; 17.00;
90; 10558.00; 149.00; 17.00; 46.00; 19.00; 46.00; 119.00; 148.00; 123.00;
91; 10558.00; 149.00; 17.00; 46.00; 19.00; 46.00; 119.00; 148.00; 123.00;
92; 10609.00; 149.00; 17.00; 46.00; 19.00; 46.00; 120.00; 147.00; 124.00;
93; 10660.50; 149.00; 17.00; 46.00; 19.00; 46.00; 120.00; 148.00; 124.00;
94; 10713.00; 149.00; 17.00; 46.00; 19.00; 45.00; 120.00; 148.00; 124.00;
95; 10713.00; 149.00; 17.00; 46.00; 19.00; 45.00; 120.00; 148.00; 124.00;
96; 10561.00; 47.00; 19.00; 45.00; 120.00; 146.00; 125.00; 149.00; 18.00;
97; 10611.00; 149.00; 18.00; 46.00; 20.00; 45.00; 120.00; 147.00; 125.00;
98; 10609.50; 149.00; 20.00; 45.00; 21.00; 45.00; 121.00; 148.00; 125.00;
99; 10559.00; 149.00; 20.00; 45.00; 21.00; 45.00; 121.00; 147.00; 125.00;
100; 10558.50; 149.00; 20.00; 45.00; 21.00; 46.00; 122.00; 146.00; 126.00;
101; 10557.50; 149.00; 19.00; 45.00; 22.00; 46.00; 122.00; 146.00; 126.00;
102; 10609.00; 148.00; 19.00; 45.00; 22.00; 45.00; 122.00; 147.00; 126.00;
103; 10660.50; 148.00; 19.00; 45.00; 22.00; 45.00; 122.00; 148.00; 126.00;
104; 10764.50; 149.00; 19.00; 45.00; 21.00; 45.00; 122.00; 148.00; 126.00;
105; 10763.50; 148.00; 19.00; 45.00; 21.00; 45.00; 123.00; 148.00; 126.00;
