timestamp; area; px1; py1; px2; py2; px3; py3; px4; py4;
0; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
1; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
2; 12465.00; 25.00; 22.00; 23.00; 129.00; 130.00; 142.00; 138.00; 23.00;
3; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
4; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
5; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
6; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
7; 12981.50; 27.00; 20.00; 24.00; 129.00; 134.00; 143.00; 142.00; 22.00;
8; 12883.50; 31.00; 18.00; 26.00; 127.00; 136.00; 141.00; 145.00; 21.00;
9; 12778.50; 32.00; 17.00; 27.00; 125.00; 136.00; 140.00; 146.00; 20.00;
10; 12778.50; 32.00; 17.00; 27.00; 125.00; 136.00; 140.00; 146.00; 20.00;
11; 12726.50; 32.00; 16.00; 27.00; 123.00; 136.00; 139.00; 146.00; 19.00;
12; 12775.00; 32.00; 16.00; 27.00; 125.00; 135.00; 140.00; 145.00; 19.00;
13; 12874.50; 30.00; 17.00; 26.00; 126.00; 135.00; 140.00; 144.00; 19.00;
14; 12928.00; 29.00; 17.00; 26.00; 126.00; 135.00; 140.00; 144.00; 19.00;
15; 12890.00; 29.00; 17.00; 25.00; 125.00; 133.00; 141.00; 144.00; 19.00;
16; 12995.50; 29.00; 17.00; 25.00; 126.00; 134.00; 141.00; 144.00; 19.00;
17; 12936.00; 28.00; 18.00; 25.00; 126.00; 135.00; 141.00; 144.00; 21.00;
18; 12981.50; 28.00; 18.00; 26.00; 127.00; 135.00; 141.00; 144.00; 20.00;
19; 12928.00; 29.00; 18.00; 26.00; 127.00; 135.00; 141.00; 144.00; 20.00;
20; 12928.00; 30.00; 18.00; 27.00; 127.00; 136.00; 141.00; 145.00; 20.00;
21; 12928.00; 31.00; 18.00; 28.00; 127.00; 137.00; 141.00; 146.00; 20.00;
22; 12838.00; 32.00; 18.00; 28.00; 127.00; 136.00; 142.00; 147.00; 22.00;
23; 12883.50; 32.00; 19.00; 29.00; 127.00; 138.00; 142.00; 148.00; 22.00;
24; 12869.00; 33.00; 20.00; 30.00; 128.00; 140.00; 142.00; 148.00; 22.00;
25; 12808.00; 34.00; 20.00; 32.00; 128.00; 141.00; 142.00; 149.00; 22.00;
26; 12691.00; 36.00; 20.00; 34.00; 127.00; 143.00; 140.00; 151.00; 21.00;
27; 12637.50; 38.00; 19.00; 37.00; 126.00; 145.00; 139.00; 154.00; 21.00;
28; 12591.00; 41.00; 18.00; 38.00; 125.00; 146.00; 139.00; 155.00; 20.00;
29; 12487.50; 42.00; 18.00; 39.00; 124.00; 147.00; 138.00; 157.00; 21.00;
30; 12585.00; 43.00; 18.00; 40.00; 126.00; 148.00; 138.00; 157.00; 20.00;
31; 12568.00; 41.00; 20.00; 41.00; 128.00; 149.00; 138.00; 157.00; 22.00;
32; 12568.00; 42.00; 20.00; 41.00; 127.00; 150.00; 138.00; 157.00; 21.00;
33; 12526.50; 44.00; 18.00; 42.00; 125.00; 150.00; 137.00; 159.00; 20.00;
34; 12481.00; 45.00; 16.00; 42.00; 123.00; 150.00; 135.00; 160.00; 19.00;
35; 12563.00; 43.00; 18.00; 43.00; 127.00; 150.00; 136.00; 158.00; 19.00;
36; 12498.00; 41.00; 21.00; 42.00; 128.00; 150.00; 137.00; 156.00; 20.00;
37; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
38; 12345.50; 43.00; 18.00; 43.00; 125.00; 149.00; 135.00; 158.00; 19.00;
39; 12443.50; 42.00; 20.00; 42.00; 128.00; 149.00; 136.00; 156.00; 19.00;
40; 12329.50; 40.00; 22.00; 41.00; 129.00; 148.00; 137.00; 154.00; 21.00;
41; 12182.50; 43.00; 19.00; 41.00; 125.00; 148.00; 135.00; 156.00; 20.00;
42; 12214.50; 45.00; 15.00; 41.00; 121.00; 148.00; 134.00; 158.00; 19.00;
43; 12369.50; 44.00; 14.00; 41.00; 121.00; 148.00; 133.00; 158.00; 17.00;
44; 12468.00; 41.00; 16.00; 39.00; 123.00; 146.00; 134.00; 156.00; 17.00;
45; 12462.00; 40.00; 16.00; 38.00; 123.00; 146.00; 134.00; 154.00; 17.00;
46; 12533.00; 39.00; 14.00; 37.00; 122.00; 145.00; 133.00; 155.00; 18.00;
47; 12733.50; 37.00; 15.00; 36.00; 125.00; 144.00; 134.00; 152.00; 16.00;
48; 12668.00; 33.00; 18.00; 34.00; 127.00; 142.00; 135.00; 149.00; 18.00;
49; 12559.50; 33.00; 18.00; 34.00; 126.00; 141.00; 135.00; 149.00; 18.00;
50; 12398.50; 36.00; 16.00; 36.00; 123.00; 143.00; 133.00; 151.00; 17.00;
51; 12303.00; 38.00; 15.00; 37.00; 121.00; 144.00; 133.00; 153.00; 18.00;
52; 12336.50; 37.00; 17.00; 38.00; 124.00; 144.00; 133.00; 152.00; 17.00;
53; 12278.50; 37.00; 17.00; 38.00; 124.00; 144.00; 133.00; 151.00; 17.00;
54; 12129.00; 39.00; 15.00; 38.00; 121.00; 143.00; 132.00; 152.00; 16.00;
55; 12245.00; 41.00; 13.00; 39.00; 120.00; 145.00; 131.00; 154.00; 15.00;
56; 12234.00; 40.00; 14.00; 39.00; 121.00; 145.00; 131.00; 153.00; 15.00;
57; 12115.50; 39.00; 16.00; 39.00; 122.00; 145.00; 131.00; 152.00; 16.00;
58; 12124.50; 41.00; 14.00; 40.00; 120.00; 146.00; 130.00; 154.00; 15.00;
59; 12089.50; 44.00; 12.00; 41.00; 118.00; 147.00; 130.00; 156.00; 15.00;
60; 12135.50; 43.00; 13.00; 41.00; 119.00; 147.00; 130.00; 156.00; 15.00;
61; 12240.00; 41.00; 15.00; 40.00; 122.00; 146.00; 132.00; 155.00; 17.00;
62; 12181.50; 41.00; 15.00; 40.00; 122.00; 146.00; 132.00; 154.00; 17.00;
63; 12200.00; 42.00; 14.00; 40.00; 120.00; 146.00; 132.00; 156.00; 17.00;
64; 12292.50; 42.00; 15.00; 40.00; 122.00; 147.00; 132.00; 155.00; 16.00;
65; 12225.00; 40.00; 17.00; 40.00; 124.00; 146.00; 133.00; 153.00; 17.00;
66; 12115.50; 41.00; 17.00; 41.00; 123.00; 147.00; 132.00; 154.00; 17.00;
67; 12083.50; 45.00; 14.00; 42.00; 120.00; 148.00; 131.00; 157.00; 16.00;
68; 12135.50; 45.00; 13.00; 43.00; 119.00; 149.00; 130.00; 158.00; 15.00;
69; 12177.00; 43.00; 15.00; 42.00; 121.00; 148.00; 131.00; 156.00; 15.00;
70; 12226.00; 41.00; 17.00; 41.00; 123.00; 148.00; 132.00; 155.00; 17.00;
71; 12240.00; 43.00; 16.00; 41.00; 122.00; 148.00; 133.00; 156.00; 17.00;
72; 12245.00; 43.00; 15.00; 42.00; 121.00; 149.00; 132.00; 158.00; 18.00;
73; 12351.00; 43.00; 15.00; 42.00; 122.00; 149.00; 132.00; 158.00; 17.00;
74; 12341.00; 42.00; 17.00; 42.00; 124.00; 149.00; 133.00; 157.00; 18.00;
75; 12336.50; 42.00; 17.00; 42.00; 124.00; 149.00; 133.00; 156.00; 17.00;
76; 12240.00; 44.00; 15.00; 43.00; 122.00; 149.00; 132.00; 158.00; 17.00;
77; 12304.00; 45.00; 14.00; 43.00; 121.00; 149.00; 132.00; 159.00; 16.00;
78; 12345.50; 43.00; 15.00; 43.00; 122.00; 149.00; 132.00; 158.00; 16.00;
79; 12246.00; 43.00; 15.00; 42.00; 120.00; 148.00; 132.00; 158.00; 16.00;
80; 12298.50; 44.00; 14.00; 42.00; 121.00; 149.00; 131.00; 158.00; 16.00;
81; 12345.50; 43.00; 15.00; 42.00; 122.00; 149.00; 132.00; 157.00; 16.00;
82; 12452.00; 41.00; 16.00; 41.00; 123.00; 148.00; 133.00; 156.00; 16.00;
83; 12457.00; 42.00; 15.00; 41.00; 122.00; 149.00; 132.00; 157.00; 16.00;
84; 12520.50; 43.00; 14.00; 42.00; 122.00; 150.00; 132.00; 159.00; 17.00;
85; 12627.50; 43.00; 14.00; 42.00; 122.00; 150.00; 132.00; 159.00; 15.00;
86; 12515.00; 44.00; 14.00; 43.00; 122.00; 151.00; 132.00; 159.00; 16.00;
87; 12521.00; 45.00; 14.00; 43.00; 122.00; 151.00; 132.00; 160.00; 16.00;
88; 12462.00; 45.00; 14.00; 44.00; 121.00; 151.00; 132.00; 160.00; 15.00;
89; 12462.00; 45.00; 15.00; 44.00; 122.00; 151.00; 133.00; 160.00; 16.00;
90; 12444.00; 43.00; 18.00; 44.00; 125.00; 151.00; 134.00; 158.00; 17.00;
91; 12444.00; 43.00; 18.00; 44.00; 126.00; 151.00; 134.00; 158.00; 18.00;
92; 12394.00; 44.00; 17.00; 44.00; 124.00; 152.00; 133.00; 159.00; 18.00;
93; 12351.00; 46.00; 16.00; 45.00; 122.00; 152.00; 133.00; 161.00; 17.00;
94; 12288.00; 47.00; 16.00; 46.00; 122.00; 153.00; 132.00; 161.00; 16.00;
95; 12345.50; 47.00; 15.00; 46.00; 122.00; 153.00; 132.00; 161.00; 16.00;
96; 12341.00; 47.00; 15.00; 46.00; 122.00; 153.00; 131.00; 161.00; 15.00;
97; 12298.50; 46.00; 15.00; 45.00; 122.00; 151.00; 132.00; 161.00; 17.00;
98; 12398.50; 46.00; 15.00; 44.00; 123.00; 152.00; 132.00; 159.00; 16.00;
99; 12564.00; 43.00; 16.00; 43.00; 124.00; 151.00; 133.00; 159.00; 17.00;
100; 12843.50; 42.00; 16.00; 41.00; 125.00; 151.00; 134.00; 158.00; 16.00;
101; 13020.50; 41.00; 15.00; 40.00; 125.00; 150.00; 135.00; 158.00; 16.00;
102; 13185.00; 41.00; 15.00; 41.00; 126.00; 152.00; 135.00; 159.00; 16.00;
103; 13185.00; 41.00; 15.00; 41.00; 126.00; 152.00; 135.00; 159.00; 16.00;
104; 13304.50; 42.00; 14.00; 41.00; 126.00; 152.00; 135.00; 160.00; 15.00;
