timestamp; area; px1; py1; px2; py2; px3; py3; px4; py4;
0; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
1; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
2; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
3; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
4; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
5; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
6; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;
7; 12523.00; 38.00; 5.00; 32.00; 110.00; 136.00; 131.00; 153.00; 10.00;
8; 12462.50; 39.00; 6.00; 33.00; 111.00; 137.00; 131.00; 154.00; 11.00;
9; 12398.50; 40.00; 7.00; 34.00; 112.00; 137.00; 132.00; 154.00; 11.00;
10; 12285.50; 41.00; 8.00; 35.00; 113.00; 137.00; 133.00; 154.00; 12.00;
11; 12217.00; 42.00; 10.00; 36.00; 114.00; 139.00; 133.00; 155.00; 13.00;
12; 12168.50; 43.00; 11.00; 37.00; 114.00; 140.00; 134.00; 156.00; 14.00;
13; 12155.50; 44.00; 12.00; 38.00; 116.00; 141.00; 135.00; 156.00; 15.00;
14; 12049.00; 44.00; 14.00; 39.00; 117.00; 142.00; 136.00; 157.00; 18.00;
15; 12049.00; 45.00; 15.00; 39.00; 117.00; 143.00; 137.00; 157.00; 18.00;
16; 12148.00; 45.00; 16.00; 40.00; 119.00; 144.00; 138.00; 158.00; 19.00;
17; 12168.50; 46.00; 16.00; 40.00; 119.00; 143.00; 139.00; 159.00; 19.00;
18; 12318.00; 46.00; 16.00; 40.00; 120.00; 145.00; 139.00; 159.00; 19.00;
19; 12379.50; 46.00; 16.00; 40.00; 120.00; 145.00; 139.00; 160.00; 19.00;
20; 12438.00; 47.00; 15.00; 40.00; 120.00; 145.00; 139.00; 160.00; 18.00;
21; 12540.00; 45.00; 15.00; 40.00; 120.00; 145.00; 139.00; 160.00; 18.00;
22; 12592.50; 45.00; 15.00; 39.00; 120.00; 146.00; 138.00; 160.00; 18.00;
23; 12468.50; 45.00; 15.00; 40.00; 120.00; 145.00; 138.00; 159.00; 17.00;
24; 12522.00; 44.00; 15.00; 39.00; 119.00; 146.00; 137.00; 159.00; 17.00;
25; 12622.50; 44.00; 14.00; 40.00; 120.00; 146.00; 137.00; 159.00; 16.00;
26; 12522.00; 44.00; 14.00; 39.00; 118.00; 146.00; 136.00; 159.00; 16.00;
27; 12561.50; 43.00; 14.00; 39.00; 120.00; 144.00; 136.00; 158.00; 15.00;
28; 12666.50; 42.00; 13.00; 38.00; 120.00; 145.00; 135.00; 157.00; 15.00;
29; 12666.50; 41.00; 13.00; 37.00; 120.00; 144.00; 135.00; 156.00; 15.00;
30; 12555.50; 39.00; 14.00; 35.00; 119.00; 142.00; 135.00; 154.00; 15.00;
31; 12651.00; 38.00; 13.00; 34.00; 120.00; 142.00; 134.00; 152.00; 14.00;
32; 12703.00; 36.00; 13.00; 33.00; 121.00; 140.00; 134.00; 151.00; 14.00;
33; 12744.00; 34.00; 14.00; 32.00; 123.00; 140.00; 134.00; 149.00; 15.00;
34; 12626.00; 33.00; 15.00; 32.00; 123.00; 139.00; 134.00; 148.00; 15.00;
35; 12402.50; 36.00; 14.00; 34.00; 121.00; 141.00; 132.00; 149.00; 14.00;
36; 12340.00; 36.00; 14.00; 36.00; 120.00; 142.00; 131.00; 150.00; 13.00;
37; 12177.00; 38.00; 14.00; 37.00; 119.00; 143.00; 130.00; 151.00; 13.00;
38; 11905.50; 40.00; 14.00; 39.00; 117.00; 144.00; 129.00; 152.00; 13.00;
39; 11744.00; 154.00; 13.00; 43.00; 13.00; 42.00; 117.00; 145.00; 128.00;
40; 11637.00; 155.00; 13.00; 45.00; 13.00; 43.00; 116.00; 147.00; 127.00;
41; 11479.00; 46.00; 14.00; 44.00; 115.00; 147.00; 127.00; 156.00; 13.00;
42; 11412.00; 156.00; 13.00; 47.00; 15.00; 46.00; 117.00; 148.00; 127.00;
43; 11421.50; 48.00; 15.00; 46.00; 117.00; 148.00; 128.00; 157.00; 14.00;
44; 11473.00; 48.00; 16.00; 46.00; 118.00; 149.00; 129.00; 157.00; 15.00;
45; 10624.00; 154.00; 18.00; 49.00; 19.00; 48.00; 118.00; 147.00; 127.00;
46; 11473.00; 47.00; 18.00; 46.00; 120.00; 148.00; 131.00; 157.00; 17.00;
47; 11572.00; 157.00; 17.00; 47.00; 19.00; 46.00; 121.00; 150.00; 131.00;
48; 11627.50; 47.00; 19.00; 46.00; 122.00; 150.00; 132.00; 157.00; 18.00;
49; 11679.00; 157.00; 18.00; 47.00; 20.00; 46.00; 123.00; 150.00; 133.00;
50; 11629.50; 157.00; 18.00; 48.00; 19.00; 46.00; 123.00; 149.00; 133.00;
51; 11791.50; 47.00; 19.00; 46.00; 123.00; 150.00; 133.00; 158.00; 18.00;
52; 11844.00; 47.00; 19.00; 46.00; 123.00; 151.00; 133.00; 158.00; 18.00;
53; 11840.00; 158.00; 17.00; 47.00; 19.00; 46.00; 123.00; 151.00; 132.00;
54; 11844.00; 158.00; 17.00; 47.00; 18.00; 46.00; 122.00; 151.00; 132.00;
55; 11901.00; 47.00; 18.00; 46.00; 122.00; 151.00; 132.00; 159.00; 17.00;
56; 11901.00; 47.00; 18.00; 46.00; 122.00; 151.00; 132.00; 159.00; 17.00;
57; 11901.00; 47.00; 18.00; 46.00; 122.00; 151.00; 132.00; 159.00; 17.00;
58; 11901.00; 159.00; 17.00; 47.00; 18.00; 46.00; 122.00; 151.00; 132.00;
59; 11849.00; 47.00; 18.00; 46.00; 122.00; 151.00; 132.00; 159.00; 18.00;
60; 11849.00; 159.00; 18.00; 47.00; 18.00; 46.00; 122.00; 151.00; 132.00;
61; 11849.00; 159.00; 18.00; 47.00; 18.00; 46.00; 122.00; 151.00; 132.00;
62; 11901.00; 158.00; 16.00; 47.00; 18.00; 45.00; 121.00; 151.00; 132.00;
63; 12006.00; 158.00; 16.00; 46.00; 18.00; 45.00; 122.00; 151.00; 132.00;
64; 12006.00; 158.00; 16.00; 46.00; 18.00; 45.00; 122.00; 151.00; 132.00;
65; 11953.50; 158.00; 17.00; 46.00; 18.00; 45.00; 122.00; 151.00; 132.00;
66; 12006.00; 158.00; 16.00; 46.00; 18.00; 45.00; 122.00; 151.00; 132.00;
67; 11901.00; 158.00; 18.00; 46.00; 18.00; 45.00; 122.00; 151.00; 132.00;
68; 11953.50; 158.00; 17.00; 46.00; 18.00; 45.00; 122.00; 151.00; 132.00;
69; 11901.00; 158.00; 17.00; 46.00; 18.00; 45.00; 121.00; 151.00; 132.00;
70; 11849.00; 158.00; 18.00; 47.00; 18.00; 45.00; 122.00; 151.00; 132.00;
71; 11740.00; 48.00; 18.00; 46.00; 122.00; 151.00; 132.00; 158.00; 18.00;
72; 11840.50; 46.00; 19.00; 46.00; 122.00; 151.00; 132.00; 158.00; 17.00;
73; 11783.50; 157.00; 17.00; 47.00; 19.00; 46.00; 123.00; 151.00; 132.00;
74; 11679.00; 157.00; 17.00; 48.00; 19.00; 46.00; 122.00; 151.00; 132.00;
75; 11624.00; 157.00; 18.00; 47.00; 20.00; 46.00; 122.00; 151.00; 132.00;
76; 11620.00; 157.00; 18.00; 47.00; 20.00; 47.00; 123.00; 151.00; 132.00;
77; 11520.50; 158.00; 19.00; 47.00; 20.00; 47.00; 122.00; 150.00; 132.00;
78; 11624.00; 158.00; 19.00; 47.00; 20.00; 47.00; 123.00; 151.00; 132.00;
79; 11624.00; 158.00; 19.00; 47.00; 20.00; 47.00; 123.00; 151.00; 132.00;
80; 11676.00; 158.00; 19.00; 47.00; 20.00; 47.00; 123.00; 152.00; 132.00;
81; 11620.00; 157.00; 18.00; 47.00; 20.00; 47.00; 123.00; 151.00; 132.00;
82; 11676.00; 157.00; 18.00; 47.00; 20.00; 46.00; 123.00; 151.00; 132.00;
83; 11624.00; 157.00; 18.00; 47.00; 20.00; 46.00; 122.00; 151.00; 132.00;
84; 11676.00; 157.00; 18.00; 47.00; 20.00; 46.00; 123.00; 151.00; 132.00;
85; 11572.00; 157.00; 18.00; 48.00; 20.00; 46.00; 122.00; 151.00; 132.00;
86; 11670.00; 156.00; 18.00; 46.00; 21.00; 46.00; 124.00; 151.00; 132.00;
87; 11670.00; 156.00; 18.00; 46.00; 21.00; 46.00; 124.00; 151.00; 132.00;
88; 11617.50; 156.00; 18.00; 46.00; 21.00; 46.00; 123.00; 151.00; 132.00;
89; 11620.00; 156.00; 18.00; 47.00; 20.00; 46.00; 123.00; 151.00; 132.00;
90; 11674.00; 156.00; 18.00; 47.00; 20.00; 46.00; 124.00; 150.00; 133.00;
91; 11725.00; 156.00; 18.00; 46.00; 21.00; 46.00; 124.00; 151.00; 133.00;
92; 11728.50; 156.00; 18.00; 46.00; 21.00; 45.00; 123.00; 151.00; 133.00;
93; 11728.50; 46.00; 21.00; 45.00; 124.00; 151.00; 133.00; 156.00; 19.00;
94; 11624.00; 156.00; 19.00; 46.00; 21.00; 45.00; 123.00; 150.00; 133.00;
95; 11567.50; 156.00; 20.00; 46.00; 22.00; 46.00; 125.00; 149.00; 134.00;
96; 11563.00; 155.00; 19.00; 46.00; 22.00; 46.00; 125.00; 149.00; 134.00;
97; 11561.50; 155.00; 19.00; 46.00; 22.00; 46.00; 125.00; 150.00; 133.00;
98; 11513.00; 155.00; 19.00; 46.00; 22.00; 45.00; 123.00; 150.00; 133.00;
99; 11565.00; 155.00; 19.00; 46.00; 22.00; 45.00; 124.00; 150.00; 133.00;
100; 11567.50; 155.00; 19.00; 47.00; 21.00; 45.00; 124.00; 150.00; 133.00;
101; 11620.00; 155.00; 18.00; 46.00; 21.00; 45.00; 123.00; 150.00; 133.00;
102; 11620.00; 155.00; 19.00; 46.00; 21.00; 45.00; 124.00; 150.00; 133.00;
103; 11620.00; 155.00; 19.00; 45.00; 21.00; 45.00; 124.00; 149.00; 133.00;
104; 11564.00; 154.00; 19.00; 45.00; 21.00; 45.00; 124.00; 149.00; 133.00;
