timestamp; x; y; z;
0.000000; 0.022675; -0.411575; -0.971191;
0.010011; 0.023666; -0.409744; -0.956146;
0.020022; 0.016800; -0.409058; -0.939636;
0.030033; 0.012344; -0.411560; -0.919220;
0.040044; 0.007095; -0.413132; -0.899857;
0.050055; 0.004700; -0.412979; -0.887924;
0.060066; 0.003891; -0.411850; -0.893021;
0.070077; 0.007782; -0.412567; -0.904266;
0.080088; 0.014267; -0.410614; -0.907486;
0.090099; 0.016220; -0.406387; -0.909927;
0.100110; 0.009354; -0.401901; -0.917236;
0.110121; 0.000092; -0.397385; -0.916168;
0.120132; -0.003296; -0.394028; -0.909698;
0.130143; -0.003082; -0.396118; -0.911469;
0.140154; 0.002289; -0.397751; -0.919891;
0.150165; 0.010010; -0.400391; -0.926620;
0.160176; 0.012390; -0.404449; -0.930679;
0.170187; 0.014984; -0.404739; -0.926834;
0.180198; 0.014633; -0.404099; -0.928787;
0.190209; 0.014679; -0.402817; -0.930130;
0.200220; 0.014557; -0.400742; -0.937637;
0.210231; 0.012543; -0.396881; -0.941025;
0.220242; 0.005310; -0.390869; -0.933701;
0.230253; -0.006790; -0.383194; -0.918060;
0.240264; -0.023605; -0.371521; -0.902847;
0.250275; -0.037125; -0.359177; -0.891830;
0.260286; -0.046982; -0.351410; -0.879684;
0.270297; -0.054169; -0.344360; -0.867386;
0.280308; -0.060516; -0.341644; -0.857895;
0.290319; -0.064407; -0.341614; -0.851135;
0.300330; -0.063522; -0.338776; -0.839951;
0.310341; -0.060272; -0.342255; -0.846573;
0.320352; -0.048264; -0.357376; -0.883392;
0.330363; -0.025787; -0.373947; -0.934540;
0.340374; 0.003418; -0.382217; -0.979279;
0.350385; 0.027206; -0.383652; -1.017532;
0.360396; 0.032104; -0.382706; -1.049194;
0.370407; 0.025635; -0.379486; -1.059265;
0.380418; 0.015717; -0.377975; -1.047668;
0.390429; 0.006836; -0.372894; -1.023376;
0.400440; -0.000839; -0.367599; -0.999603;
