timestamp; x; y; z;
0.000000; 0.117661; -0.592361; -0.798889;
0.010011; 0.117538; -0.598206; -0.785126;
0.020022; 0.117752; -0.597382; -0.788635;
0.030033; 0.122498; -0.593140; -0.793228;
0.040045; 0.131805; -0.597031; -0.791611;
0.050056; 0.137375; -0.605988; -0.789871;
0.060067; 0.138229; -0.615494; -0.790085;
0.070078; 0.139175; -0.620834; -0.790558;
0.080089; 0.139557; -0.624985; -0.791687;
0.090101; 0.136536; -0.628006; -0.790680;
0.100112; 0.134567; -0.625412; -0.788223;
0.110123; 0.136307; -0.619583; -0.790009;
0.120134; 0.138565; -0.616440; -0.786957;
0.130145; 0.144257; -0.618347; -0.782684;
0.140157; 0.154617; -0.624527; -0.782318;
0.150168; 0.164215; -0.637756; -0.786285;
0.160179; 0.164719; -0.654465; -0.791229;
0.170190; 0.162201; -0.661484; -0.791595;
0.180203; 0.164764; -0.656952; -0.784729;
0.190214; 0.154144; -0.652374; -0.782547;
0.200225; 0.149765; -0.645782; -0.780563;
0.210236; 0.154053; -0.634796; -0.775208;
0.220247; 0.159836; -0.626419; -0.770584;
0.230259; 0.159790; -0.627213; -0.780823;
0.240270; 0.160126; -0.631546; -0.790878;
0.250281; 0.157227; -0.634766; -0.794586;
0.260292; 0.145798; -0.637100; -0.801773;
0.270303; 0.135651; -0.634705; -0.805435;
0.280315; 0.126205; -0.626266; -0.809097;
0.290326; 0.126144; -0.620224; -0.820007;
0.300337; 0.126862; -0.615631; -0.868439;
0.310348; 0.128098; -0.609955; -0.912170;
0.320359; 0.131683; -0.607788; -0.919937;
0.330371; 0.119171; -0.602173; -0.925949;
0.340382; 0.102066; -0.587509; -0.918793;
0.350393; 0.088928; -0.577042; -0.887451;
0.360404; 0.071365; -0.568451; -0.837402;
0.370415; 0.050446; -0.556107; -0.793289;
0.380427; 0.028137; -0.548874; -0.754974;
0.390438; 0.017838; -0.553894; -0.718689;
0.400449; 0.019043; -0.561920; -0.689804;
0.410460; 0.018600; -0.567596; -0.672134;
0.420471; 0.016647; -0.573044; -0.664886;
0.430483; 0.025131; -0.574280; -0.656647;
0.440494; 0.039978; -0.573700; -0.654007;
0.450505; 0.044601; -0.580933; -0.665009;
0.460516; 0.056885; -0.595856; -0.687469;
0.470527; 0.069641; -0.616089; -0.731537;
0.480539; 0.070984; -0.634430; -0.786301;
0.490550; 0.081787; -0.639023; -0.818924;
0.500561; 0.090469; -0.631165; -0.854095;
0.510572; 0.095795; -0.615448; -0.870026;
0.520583; 0.093750; -0.601303; -0.858185;
0.530595; 0.083557; -0.592987; -0.838959;
0.540606; 0.069504; -0.594604; -0.821411;
0.550617; 0.063644; -0.607452; -0.801620;
0.560628; 0.062729; -0.620956; -0.785156;
0.570639; 0.065369; -0.629196; -0.773041;
0.580651; 0.075165; -0.629242; -0.765686;
0.590662; 0.075897; -0.626785; -0.775513;
0.600673; 0.083542; -0.621033; -0.786560;
0.610684; 0.094131; -0.610733; -0.800079;
0.620696; 0.095520; -0.599213; -0.814407;
0.630707; 0.087204; -0.595703; -0.807968;
0.640718; 0.072281; -0.607117; -0.791107;
0.650729; 0.056427; -0.617371; -0.768951;
0.660740; 0.051743; -0.615341; -0.751587;
0.670752; 0.050888; -0.609512; -0.740799;
0.680763; 0.052155; -0.607971; -0.749527;
0.690774; 0.068985; -0.605637; -0.761444;
0.700785; 0.085144; -0.610291; -0.782455;
0.710796; 0.098587; -0.614838; -0.823578;
0.720808; 0.110977; -0.616791; -0.849579;
0.730819; 0.110352; -0.618164; -0.853394;
0.740830; 0.100327; -0.614319; -0.846619;
0.750841; 0.090500; -0.610397; -0.824356;
0.760852; 0.078781; -0.607834; -0.797318;
0.770864; 0.066162; -0.609375; -0.776443;
0.780875; 0.059967; -0.613556; -0.766296;
0.790886; 0.065002; -0.615814; -0.765488;
0.800897; 0.077835; -0.618347; -0.773560;
0.810908; 0.094650; -0.615921; -0.787598;
0.820920; 0.102646; -0.612213; -0.810440;
0.830931; 0.107010; -0.610077; -0.829483;
0.840942; 0.110626; -0.606949; -0.836502;
0.850953; 0.107971; -0.607513; -0.835007;
0.860965; 0.104034; -0.614487; -0.818558;
0.870976; 0.093613; -0.623489; -0.795395;
0.880987; 0.086365; -0.629074; -0.771866;
0.890998; 0.081329; -0.631577; -0.746979;
0.901009; 0.078979; -0.631088; -0.730011;
0.911021; 0.077515; -0.629852; -0.717148;
0.921032; 0.087173; -0.624008; -0.706284;
0.931043; 0.105545; -0.619446; -0.716660;
0.941054; 0.117599; -0.626999; -0.751740;
0.951065; 0.134140; -0.638275; -0.800186;
0.961077; 0.151901; -0.638641; -0.849167;
0.971088; 0.152878; -0.637253; -0.895813;
0.981099; 0.143158; -0.639313; -0.926041;
0.991110; 0.133102; -0.637924; -0.934692;
1.001121; 0.120697; -0.630875; -0.926834;
