timestamp; x; y; z;
0.000000; 0.098312; -0.427582; -0.903244;
0.010010; 0.118500; -0.450195; -0.914383;
0.020021; 0.109039; -0.494278; -0.924744;
0.030032; 0.107178; -0.536926; -0.935181;
0.040043; 0.103027; -0.554810; -0.905685;
0.050054; 0.104431; -0.566757; -0.888519;
0.060065; 0.081863; -0.580032; -0.854507;
0.070076; 0.054550; -0.558258; -0.837418;
0.080087; 0.015930; -0.558060; -0.814331;
0.090098; -0.004517; -0.567032; -0.805557;
0.100109; -0.035873; -0.571152; -0.779755;
0.110120; -0.053253; -0.555847; -0.787018;
0.120130; -0.032089; -0.513657; -0.804596;
0.130141; -0.018021; -0.488266; -0.813171;
0.140152; -0.009079; -0.479813; -0.832626;
0.150163; -0.000519; -0.468903; -0.859619;
0.160174; -0.000107; -0.454559; -0.887222;
0.170185; 0.019714; -0.425903; -0.907776;
0.180196; 0.043701; -0.391312; -0.927612;
0.190207; 0.071411; -0.394775; -0.948868;
0.200218; 0.103958; -0.424332; -0.976059;
0.210229; 0.110977; -0.438293; -0.988373;
0.220239; 0.112900; -0.434875; -0.991104;
0.230250; 0.140793; -0.444427; -0.948776;
0.240261; 0.115891; -0.478363; -0.875015;
0.250272; 0.052719; -0.507080; -0.833344;
0.260283; 0.013229; -0.521637; -0.813721;
0.270294; 0.004501; -0.512848; -0.797485;
0.280305; -0.016251; -0.508499; -0.785950;
0.290316; -0.031906; -0.516098; -0.768997;
0.300327; -0.033218; -0.516541; -0.773880;
0.310338; -0.021301; -0.501938; -0.812271;
0.320348; -0.005463; -0.500153; -0.876572;
0.330359; -0.001572; -0.517944; -0.950623;
0.340370; 0.017334; -0.527466; -0.997711;
0.350381; 0.051636; -0.490448; -1.006256;
0.360392; 0.066650; -0.468491; -0.998749;
0.370403; 0.074966; -0.475082; -0.978119;
0.380414; 0.083084; -0.463898; -0.939865;
0.390425; 0.092331; -0.429306; -0.901077;
0.400436; 0.082657; -0.399292; -0.882599;
0.410447; 0.054398; -0.412079; -0.865326;
0.420457; 0.030014; -0.434784; -0.849518;
0.430468; 0.008057; -0.471222; -0.856155;
0.440479; -0.000473; -0.495544; -0.872803;
0.450490; -0.029022; -0.530930; -0.910446;
0.460501; -0.038193; -0.561142; -0.924088;
0.470512; -0.016388; -0.555695; -0.949005;
0.480523; -0.012558; -0.512192; -0.956299;
0.490534; -0.022751; -0.449432; -0.936539;
0.500545; -0.030518; -0.409302; -0.880035;
0.510556; -0.042221; -0.413925; -0.799179;
0.520566; -0.062469; -0.467194; -0.717239;
0.530577; -0.038330; -0.547363; -0.678146;
0.540588; 0.017029; -0.529236; -0.692825;
0.550599; 0.048752; -0.519135; -0.756836;
0.560610; 0.055466; -0.538803; -0.847748;
0.570621; 0.067154; -0.552521; -0.903458;
0.580632; 0.086029; -0.544388; -0.938293;
0.590643; 0.086853; -0.527252; -0.968994;
0.600654; 0.073303; -0.514572; -0.967957;
0.610665; 0.061035; -0.506134; -0.940002;
0.620676; 0.053070; -0.503952; -0.910614;
0.630686; 0.039276; -0.498672; -0.887756;
0.640697; 0.030945; -0.480637; -0.870407;
0.650708; 0.035172; -0.448242; -0.865021;
0.660719; 0.020401; -0.432938; -0.848480;
0.670730; 0.008072; -0.446793; -0.833725;
0.680741; -0.007965; -0.463837; -0.816772;
0.690752; -0.029449; -0.471848; -0.804169;
0.700763; -0.035507; -0.457504; -0.802719;
0.710774; -0.001099; -0.429764; -0.799561;
0.720785; 0.014236; -0.412552; -0.876160;
0.730795; 0.008774; -0.390640; -0.914124;
0.740806; -0.015457; -0.368454; -0.964661;
0.750817; -0.062393; -0.371567; -0.996536;
0.760828; -0.053360; -0.352127; -0.984222;
0.770839; -0.059509; -0.323090; -0.907135;
0.780850; -0.072906; -0.318634; -0.839355;
0.790861; -0.095505; -0.326904; -0.833969;
0.800872; -0.099655; -0.336563; -0.887970;
0.810883; -0.097473; -0.392731; -0.938629;
0.820894; -0.076920; -0.438278; -0.974014;
0.830904; -0.045380; -0.423172; -1.037888;
0.840915; -0.013672; -0.380585; -1.138184;
0.850926; 0.038101; -0.351379; -1.197479;
0.860937; 0.069672; -0.346985; -1.203262;
0.870948; 0.074203; -0.346207; -1.193130;
0.880959; 0.091980; -0.330399; -1.186676;
0.890970; 0.098969; -0.328293; -1.189804;
0.900981; 0.063889; -0.353348; -1.146713;
0.910992; 0.019470; -0.370621; -1.046600;
0.921003; -0.022232; -0.384323; -0.930603;
0.931013; -0.054764; -0.394165; -0.822266;
0.941024; -0.078613; -0.391800; -0.731461;
0.951035; -0.099533; -0.389801; -0.676041;
0.961046; -0.112259; -0.402191; -0.658981;
0.971057; -0.118073; -0.427048; -0.674026;
0.981068; -0.114456; -0.444672; -0.696335;
0.991079; -0.099777; -0.433472; -0.707123;
1.001090; -0.094147; -0.414490; -0.733368;
1.011101; -0.102707; -0.410416; -0.759918;
1.021112; -0.107895; -0.410477; -0.779999;
1.031123; -0.107010; -0.435165; -0.810364;
1.041133; -0.125031; -0.508438; -0.871353;
1.051144; -0.122009; -0.533981; -0.934326;
1.061155; -0.066208; -0.480209; -1.006104;
1.071166; -0.006821; -0.425613; -1.046219;
1.081177; -0.021729; -0.430069; -1.083206;
1.091188; -0.082184; -0.453995; -1.130386;
1.101199; -0.109558; -0.453918; -1.121445;
1.111210; -0.132385; -0.496307; -1.105240;
1.121221; -0.135208; -0.472733; -1.012680;
1.131232; -0.138687; -0.389755; -0.921616;
1.141242; -0.134125; -0.346771; -0.893173;
1.151253; -0.137283; -0.359070; -0.871246;
1.161264; -0.153809; -0.369873; -0.853134;
1.171275; -0.168854; -0.346542; -0.830231;
1.181286; -0.149292; -0.305923; -0.806900;
1.191297; -0.163239; -0.338959; -0.796082;
1.201308; -0.204941; -0.393341; -0.811066;
1.211319; -0.218491; -0.440964; -0.848740;
1.221330; -0.246948; -0.508377; -0.902191;
1.231341; -0.231964; -0.516617; -0.902084;
1.241351; -0.196701; -0.462463; -0.892166;
1.251362; -0.184509; -0.446747; -0.872025;
1.261373; -0.192551; -0.514587; -0.817490;
1.271384; -0.205490; -0.540726; -0.744659;
1.281395; -0.179413; -0.526505; -0.743607;
1.291406; -0.139236; -0.479477; -0.772964;
1.301417; -0.101593; -0.382599; -0.763565;
1.311428; -0.093353; -0.356567; -0.760406;
1.321439; -0.086075; -0.465057; -0.849777;
1.331450; -0.100403; -0.427750; -0.882202;
1.341460; -0.133881; -0.378220; -0.893204;
1.351471; -0.132599; -0.388245; -0.979630;
1.361482; -0.119659; -0.398636; -1.007248;
1.371493; -0.125839; -0.378342; -1.011307;
1.381504; -0.145355; -0.351242; -1.021149;
1.391515; -0.163162; -0.335617; -1.026321;
1.401526; -0.177124; -0.323944; -0.992889;
1.411537; -0.192337; -0.328873; -0.932053;
1.421548; -0.196808; -0.342484; -0.871429;
1.431559; -0.184341; -0.370361; -0.831573;
1.441569; -0.157349; -0.436722; -0.871063;
1.451580; -0.125000; -0.475540; -0.982849;
1.461591; -0.091217; -0.467041; -1.132904;
1.471602; -0.064163; -0.445221; -1.275116;
1.481613; -0.057053; -0.421417; -1.330658;
1.491624; -0.072220; -0.405350; -1.293137;
1.501635; -0.107025; -0.397827; -1.170471;
1.511646; -0.168793; -0.426407; -1.014999;
1.521657; -0.196518; -0.471344; -0.821030;
1.531668; -0.200470; -0.523987; -0.582352;
1.541679; -0.239288; -0.495163; -0.419724;
1.551689; -0.365402; -0.371002; -0.499100;
1.561700; -0.299606; -0.216278; -0.560089;
1.571711; -0.221329; -0.234955; -0.536743;
1.581722; -0.299042; -0.297562; -0.585861;
1.591733; -0.327438; -0.275406; -0.693390;
1.601744; -0.314316; -0.275742; -0.789398;
1.611755; -0.312790; -0.315414; -0.866302;
1.621766; -0.291092; -0.315277; -0.938873;
1.631777; -0.259552; -0.301331; -0.951843;
1.641788; -0.190521; -0.318710; -0.910843;
1.651798; -0.220718; -0.331131; -1.123016;
1.661809; -0.251038; -0.364975; -1.229965;
1.671820; -0.175049; -0.324768; -1.124054;
1.681831; -0.270599; -0.307938; -1.166290;
1.691842; -0.270523; -0.292053; -1.164536;
1.701853; -0.209564; -0.243500; -1.116409;
1.711864; -0.223450; -0.205795; -1.080673;
1.721875; -0.193939; -0.266052; -1.028397;
1.731886; -0.163269; -0.328445; -0.932419;
1.741897; -0.142899; -0.308060; -0.883148;
1.751907; -0.162811; -0.305756; -0.923752;
1.761918; -0.172379; -0.323212; -0.912903;
1.771929; -0.159119; -0.336929; -0.840469;
1.781940; -0.161865; -0.333084; -0.791962;
1.791951; -0.152603; -0.325638; -0.760101;
1.801962; -0.130951; -0.325836; -0.747192;
1.811973; -0.120651; -0.318329; -0.778671;
1.821984; -0.114914; -0.306183; -0.834549;
1.831995; -0.110367; -0.311935; -0.889465;
1.842005; -0.107269; -0.310150; -0.940903;
1.852016; -0.125351; -0.334198; -1.128189;
1.862027; -0.179047; -0.398941; -1.246292;
1.872038; -0.134338; -0.399490; -1.246780;
1.882049; -0.118530; -0.405090; -1.254913;
1.892060; -0.146149; -0.362274; -1.232346;
1.902071; -0.190353; -0.311188; -1.194107;
1.912082; -0.185593; -0.259277; -1.109085;
1.922093; -0.145416; -0.208771; -1.010239;
1.932104; -0.094482; -0.171143; -0.881134;
1.942115; -0.071869; -0.162506; -0.777771;
1.952125; -0.139587; -0.186890; -0.719772;
1.962136; -0.252457; -0.236130; -0.698715;
1.972147; -0.286682; -0.251694; -0.734024;
1.982158; -0.185867; -0.283401; -0.834930;
1.992169; -0.184799; -0.322083; -0.841965;
2.002180; -0.168259; -0.316162; -0.777664;
2.012191; -0.178986; -0.339340; -0.735855;
2.022202; -0.225372; -0.379257; -0.694443;
2.032213; -0.266373; -0.416245; -0.708511;
2.042224; -0.294479; -0.446289; -0.782608;
2.052234; -0.284927; -0.395370; -0.892441;
2.062245; -0.195557; -0.321732; -1.046906;
2.072256; -0.079544; -0.294098; -1.150848;
2.082267; -0.027985; -0.304031; -1.213577;
2.092278; -0.025269; -0.319366; -1.248001;
2.102289; -0.021637; -0.309464; -1.217407;
2.112300; -0.035538; -0.296494; -1.150238;
2.122311; -0.061340; -0.307159; -1.077698;
2.132322; -0.085541; -0.334045; -1.015594;
2.142333; -0.091278; -0.346695; -0.973892;
2.152343; -0.086288; -0.342880; -0.945038;
2.162354; -0.079910; -0.328873; -0.923340;
2.172365; -0.068436; -0.333267; -0.907272;
2.182376; -0.073135; -0.349167; -0.869003;
2.192387; -0.096146; -0.377029; -0.805649;
2.202398; -0.125488; -0.399155; -0.740082;
2.212409; -0.162384; -0.419586; -0.692886;
2.222420; -0.164749; -0.441330; -0.655014;
2.232431; -0.154556; -0.483765; -0.641495;
2.242442; -0.150162; -0.529907; -0.670547;
2.252452; -0.138809; -0.556839; -0.728683;
2.262463; -0.124298; -0.565002; -0.821274;
2.272474; -0.110199; -0.545242; -0.934036;
2.282485; -0.072006; -0.496140; -1.035034;
2.292496; -0.027985; -0.439850; -1.082245;
2.302507; 0.011688; -0.379547; -1.084167;
2.312518; 0.025314; -0.339050; -1.071335;
2.322529; 0.013306; -0.325516; -1.079330;
2.332540; -0.007828; -0.326126; -1.083374;
2.342551; -0.037537; -0.339874; -1.059784;
2.352561; -0.067383; -0.367691; -1.023621;
2.362572; -0.091202; -0.397903; -0.979889;
2.372583; -0.098068; -0.421844; -0.936417;
2.382594; -0.096756; -0.440125; -0.901031;
2.392605; -0.097672; -0.448929; -0.864899;
2.402616; -0.104233; -0.450333; -0.827393;
2.412627; -0.109329; -0.450562; -0.788437;
2.422638; -0.111008; -0.452072; -0.747574;
2.432649; -0.114380; -0.458130; -0.721329;
2.442660; -0.106201; -0.466583; -0.707794;
2.452671; -0.090469; -0.473328; -0.700806;
2.462681; -0.080139; -0.479691; -0.727890;
2.472692; -0.062454; -0.489151; -0.786911;
2.482703; -0.045364; -0.495682; -0.879333;
2.492714; -0.039230; -0.498703; -1.003464;
2.502725; -0.010056; -0.477737; -1.091309;
2.512736; 0.015259; -0.447617; -1.126709;
2.522747; 0.028549; -0.421570; -1.120026;
2.532758; 0.042801; -0.386322; -1.086639;
2.542769; 0.035019; -0.349991; -1.049088;
2.552780; 0.003479; -0.335785; -1.013733;
2.562790; -0.032425; -0.345444; -0.968262;
2.572801; -0.056320; -0.365570; -0.916138;
2.582812; -0.066864; -0.381256; -0.869598;
2.592823; -0.068161; -0.392960; -0.830902;
2.602834; -0.066818; -0.400696; -0.795059;
2.612845; -0.055130; -0.399353; -0.762299;
2.622856; -0.058853; -0.411179; -0.741043;
2.632867; -0.063660; -0.443741; -0.729309;
2.642878; -0.051575; -0.464264; -0.724152;
2.652889; -0.015854; -0.469666; -0.745987;
2.662899; 0.007797; -0.498917; -0.818146;
2.672910; 0.000717; -0.516083; -0.914734;
2.682921; 0.014496; -0.513214; -0.980560;
2.692932; 0.027817; -0.507187; -1.013428;
2.702943; 0.033173; -0.493423; -1.031311;
2.712954; 0.042145; -0.463821; -1.033829;
2.722965; 0.048248; -0.427841; -1.020523;
2.732976; 0.044724; -0.394318; -0.989670;
2.742987; 0.029114; -0.368042; -0.954056;
2.752998; 0.003738; -0.350632; -0.914780;
2.763008; -0.021042; -0.344391; -0.882660;
2.773019; -0.034393; -0.348083; -0.853424;
2.783030; -0.042648; -0.360794; -0.836548;
2.793041; -0.045532; -0.376266; -0.838394;
2.803052; -0.034546; -0.384109; -0.848633;
2.813063; -0.003937; -0.386902; -0.861359;
2.823074; 0.012451; -0.390106; -0.914978;
2.833085; 0.013153; -0.390396; -0.996170;
2.843096; 0.020950; -0.393814; -1.050552;
2.853107; 0.028931; -0.401276; -1.069336;
2.863117; 0.033432; -0.395599; -1.073730;
2.873128; 0.040497; -0.379578; -1.061493;
2.883139; 0.043961; -0.362991; -1.043701;
2.893150; 0.044373; -0.352615; -1.024124;
2.903161; 0.039230; -0.350723; -0.995560;
2.913172; 0.031998; -0.356430; -0.961258;
2.923183; 0.024658; -0.364822; -0.925171;
2.933194; 0.016159; -0.373077; -0.890259;
2.943205; 0.007217; -0.387238; -0.868469;
2.953216; 0.003036; -0.396210; -0.857513;
2.963227; 0.005142; -0.402267; -0.854843;
2.973237; 0.015244; -0.407913; -0.858429;
2.983248; 0.013580; -0.422104; -0.874359;
2.993259; 0.011215; -0.433838; -0.895325;
3.003270; 0.025421; -0.429977; -0.898895;
3.013281; 0.042236; -0.428375; -0.903900;
3.023292; 0.050446; -0.437302; -0.915878;
3.033303; 0.040787; -0.454727; -0.916595;
3.043314; 0.031540; -0.466675; -0.909439;
3.053325; 0.027832; -0.467026; -0.904404;
3.063335; 0.021393; -0.462616; -0.899994;
3.073346; 0.014664; -0.454788; -0.891113;
3.083357; 0.012741; -0.450912; -0.883575;
3.093368; 0.013306; -0.452682; -0.885925;
3.103379; 0.012115; -0.448212; -0.887253;
3.113390; 0.008987; -0.442093; -0.888275;
3.123401; 0.010605; -0.437515; -0.894958;
3.133412; 0.014420; -0.430710; -0.902130;
3.143423; 0.020844; -0.429764; -0.900131;
3.153434; 0.021927; -0.432800; -0.893539;
3.163445; 0.018372; -0.437729; -0.896286;
3.173455; 0.016388; -0.444534; -0.903564;
3.183466; 0.016937; -0.445068; -0.915558;
3.193477; 0.013168; -0.440140; -0.935303;
3.203488; 0.012466; -0.436264; -0.952454;
3.213499; 0.013153; -0.429733; -0.953461;
3.223510; 0.004440; -0.423599; -0.948563;
3.233521; -0.005066; -0.412170; -0.934097;
3.243532; -0.007370; -0.401749; -0.910980;
3.253543; -0.005814; -0.394211; -0.894058;
3.263554; -0.009415; -0.391495; -0.901764;
3.273564; -0.001419; -0.398651; -0.923019;
3.283575; 0.017273; -0.412979; -0.946442;
3.293586; 0.018906; -0.419815; -0.966522;
3.303597; 0.018250; -0.419861; -0.974197;
3.313608; 0.021057; -0.416290; -0.964523;
3.323619; 0.018539; -0.412201; -0.940430;
3.333630; 0.011261; -0.409225; -0.912857;
3.343641; 0.004639; -0.408844; -0.883987;
3.353652; 0.001205; -0.412735; -0.859390;
3.363663; -0.000397; -0.419449; -0.837585;
3.373673; -0.000046; -0.426788; -0.823975;
3.383684; 0.004852; -0.432007; -0.822556;
3.393695; 0.012115; -0.432907; -0.829544;
3.403706; 0.026291; -0.433121; -0.859589;
3.413717; 0.044052; -0.439133; -0.914536;
3.423728; 0.061783; -0.447266; -0.968628;
3.433739; 0.074463; -0.451721; -1.006760;
3.443750; 0.073776; -0.451569; -1.031647;
3.453761; 0.067352; -0.447220; -1.040466;
3.463772; 0.060822; -0.439346; -1.035599;
3.473782; 0.054062; -0.427368; -1.010574;
3.483793; 0.044983; -0.417496; -0.973404;
3.493804; 0.033905; -0.411758; -0.931335;
3.503815; 0.021439; -0.410278; -0.890259;
3.513826; 0.008347; -0.414307; -0.853699;
3.523837; -0.004578; -0.420731; -0.822464;
3.533848; -0.015167; -0.425766; -0.797592;
3.543859; -0.023483; -0.430069; -0.779388;
3.553870; -0.027496; -0.429794; -0.769485;
3.563881; -0.024277; -0.428040; -0.770905;
3.573891; -0.008377; -0.423645; -0.797028;
3.583902; 0.004852; -0.415680; -0.857971;
3.593913; 0.017685; -0.413315; -0.911057;
