timestamp; x; y; z;
0.000000; -0.099899; -0.267471; -0.969391;
0.010012; -0.101242; -0.269638; -0.955841;
0.020023; -0.098785; -0.273926; -0.944641;
0.030035; -0.098007; -0.274277; -0.944397;
0.040046; -0.098206; -0.273575; -0.948746;
0.050058; -0.098251; -0.274338; -0.955643;
0.060070; -0.098465; -0.272797; -0.964752;
0.070081; -0.103928; -0.272598; -0.975906;
0.080093; -0.106689; -0.274658; -0.982376;
0.090104; -0.105469; -0.271255; -0.982712;
0.100116; -0.106186; -0.264603; -0.975555;
0.110128; -0.104965; -0.261383; -0.968903;
0.120139; -0.104111; -0.259018; -0.966537;
0.130151; -0.103470; -0.258179; -0.968719;
0.140162; -0.101028; -0.256393; -0.969849;
0.150174; -0.097214; -0.254013; -0.973007;
0.160186; -0.094116; -0.256119; -0.976517;
0.170197; -0.091980; -0.259796; -0.981415;
0.180209; -0.089630; -0.264709; -0.986649;
0.190220; -0.088303; -0.268723; -0.990372;
0.200232; -0.086731; -0.268982; -0.990448;
0.210244; -0.082230; -0.266098; -0.983475;
0.220255; -0.082230; -0.264481; -0.966293;
0.230267; -0.084122; -0.266708; -0.951111;
0.240278; -0.087234; -0.271667; -0.941772;
0.250290; -0.084198; -0.275253; -0.939941;
0.260301; -0.078506; -0.275742; -0.946640;
0.270313; -0.076233; -0.272369; -0.957413;
0.280325; -0.077454; -0.268829; -0.963654;
0.290336; -0.082993; -0.264847; -0.961151;
0.300348; -0.089294; -0.258148; -0.953964;
0.310359; -0.092880; -0.252243; -0.948654;
0.320371; -0.096191; -0.253632; -0.947861;
0.330383; -0.098221; -0.261505; -0.951263;
0.340394; -0.096527; -0.271484; -0.964188;
0.350406; -0.090073; -0.278214; -0.980972;
0.360417; -0.082214; -0.277634; -0.987411;
0.370429; -0.078827; -0.271393; -0.984833;
0.380441; -0.081482; -0.263977; -0.971024;
0.390452; -0.086517; -0.260361; -0.946701;
0.400464; -0.097961; -0.266846; -0.922318;
0.410475; -0.105225; -0.273727; -0.912796;
0.420487; -0.096283; -0.275909; -0.912399;
0.430499; -0.087616; -0.279434; -0.918762;
0.440510; -0.080841; -0.285828; -0.921600;
0.450522; -0.073715; -0.292526; -0.922272;
0.460533; -0.066315; -0.292358; -0.923035;
0.470545; -0.061676; -0.292053; -0.925583;
0.480556; -0.054504; -0.295959; -0.942123;
0.490568; -0.055878; -0.301682; -0.972092;
0.500580; -0.055679; -0.307999; -1.008698;
0.510591; -0.038879; -0.301193; -1.064529;
0.520603; -0.011368; -0.280045; -1.096802;
0.530614; -0.014511; -0.275070; -1.095184;
0.540626; -0.036957; -0.284592; -1.068787;
0.550638; -0.056870; -0.295822; -1.031525;
0.560649; -0.066513; -0.308365; -0.995605;
0.570661; -0.070404; -0.321655; -0.966019;
0.580672; -0.070816; -0.323898; -0.955551;
0.590684; -0.068909; -0.318726; -0.953949;
0.600696; -0.057892; -0.310196; -0.946381;
0.610707; -0.051117; -0.304153; -0.939789;
0.620719; -0.055786; -0.302246; -0.943024;
0.630730; -0.062469; -0.299667; -0.961472;
0.640742; -0.067795; -0.290268; -0.998779;
0.650754; -0.061752; -0.274628; -1.037369;
0.660765; -0.061478; -0.269638; -1.055176;
0.670777; -0.064255; -0.268021; -1.045364;
0.680788; -0.068726; -0.265121; -1.018478;
0.690800; -0.072968; -0.262756; -0.981171;
0.700811; -0.076630; -0.266510; -0.944321;
0.710823; -0.081589; -0.276459; -0.912521;
0.720835; -0.087250; -0.282288; -0.884171;
0.730846; -0.089676; -0.280579; -0.857742;
0.740858; -0.080383; -0.274918; -0.843307;
0.750869; -0.060471; -0.266541; -0.837051;
0.760881; -0.050797; -0.266403; -0.847748;
0.770893; -0.049789; -0.275818; -0.856308;
0.780904; -0.049179; -0.300949; -0.870590;
0.790916; -0.052597; -0.319916; -0.900330;
0.800927; -0.052368; -0.330002; -0.923538;
0.810939; -0.046005; -0.338074; -0.946671;
0.820951; -0.047409; -0.347488; -0.976334;
0.830962; -0.030075; -0.336044; -1.014542;
0.840974; -0.018204; -0.329849; -1.073563;
0.850985; -0.023636; -0.323166; -1.121307;
0.860997; -0.011337; -0.317032; -1.138748;
0.871008; 0.012421; -0.316422; -1.132629;
0.881020; -0.012512; -0.326080; -1.085617;
0.891032; -0.042404; -0.326553; -1.023315;
0.901043; -0.038559; -0.315750; -0.955582;
0.911055; -0.028595; -0.297913; -0.875565;
0.921066; -0.039169; -0.295654; -0.785934;
0.931078; -0.054382; -0.303757; -0.728470;
0.941090; -0.059738; -0.307083; -0.720932;
0.951101; -0.048615; -0.302063; -0.750641;
0.961113; -0.035446; -0.304382; -0.803253;
0.971124; -0.034683; -0.323029; -0.901764;
0.981136; -0.047821; -0.329254; -1.063354;
0.991148; -0.042953; -0.307281; -1.230789;
1.001159; -0.032837; -0.289581; -1.291016;
1.011171; -0.005432; -0.306442; -1.271194;
1.021182; 0.000900; -0.320908; -1.203552;
1.031194; -0.043701; -0.344788; -1.089005;
1.041205; -0.059738; -0.341797; -0.964798;
1.051217; -0.041519; -0.315567; -0.807739;
1.061229; -0.039337; -0.312790; -0.655167;
1.071240; -0.045395; -0.311874; -0.569626;
1.081252; -0.045166; -0.296417; -0.529602;
1.091263; -0.043335; -0.302505; -0.569702;
1.101275; -0.033218; -0.317093; -0.672043;
1.111287; -0.011490; -0.354507; -0.836746;
1.121298; -0.036743; -0.381027; -1.068024;
1.131310; -0.041412; -0.350586; -1.274841;
1.141321; -0.025269; -0.348618; -1.423599;
1.151333; 0.009583; -0.380005; -1.499481;
1.161345; 0.038132; -0.399551; -1.490097;
1.171356; 0.051956; -0.408630; -1.386688;
1.181368; 0.020569; -0.426208; -1.208908;
1.191379; 0.004822; -0.426849; -1.024155;
1.201391; -0.006516; -0.403305; -0.866852;
1.211403; -0.018875; -0.356262; -0.719589;
1.221414; -0.039597; -0.310791; -0.590042;
1.231426; -0.034744; -0.329880; -0.535461;
1.241437; -0.023804; -0.371979; -0.572754;
1.251449; -0.044052; -0.343658; -0.574753;
1.261461; -0.065689; -0.307083; -0.603729;
1.271472; -0.081909; -0.313416; -0.715057;
1.281484; -0.076447; -0.339249; -0.892166;
1.291495; -0.067612; -0.332047; -1.058197;
1.301507; -0.065292; -0.306793; -1.195847;
1.311518; -0.055649; -0.296768; -1.280548;
