timestamp; x; y; z;
0.000000; 0.143906; -0.401215; -0.927933;
0.010012; 0.140533; -0.403564; -0.909546;
0.020024; 0.121033; -0.403641; -0.873779;
0.030036; 0.124908; -0.412079; -0.837036;
0.040047; 0.143265; -0.425003; -0.860718;
0.050059; 0.165665; -0.421844; -0.886703;
0.060071; 0.180801; -0.430801; -0.887161;
0.070083; 0.172897; -0.433411; -0.879135;
0.080094; 0.162491; -0.413574; -0.883575;
0.090106; 0.170837; -0.406967; -0.899780;
0.100118; 0.180618; -0.406281; -0.923477;
0.110130; 0.182632; -0.401688; -0.931519;
0.120141; 0.177841; -0.414658; -0.936142;
0.130153; 0.181213; -0.419006; -0.956726;
0.140165; 0.180145; -0.415283; -0.955109;
0.150177; 0.169403; -0.416458; -0.943268;
0.160188; 0.161438; -0.411423; -0.929840;
0.170200; 0.149658; -0.409027; -0.908478;
0.180212; 0.147064; -0.408768; -0.907654;
0.190224; 0.145218; -0.401306; -0.904449;
0.200235; 0.138077; -0.403152; -0.894272;
0.210247; 0.138031; -0.402832; -0.893417;
0.220259; 0.142700; -0.396118; -0.902054;
0.230271; 0.143585; -0.397202; -0.906021;
0.240282; 0.146652; -0.400635; -0.902237;
0.250294; 0.140411; -0.407730; -0.900940;
0.260306; 0.144394; -0.408035; -0.907959;
0.270318; 0.143753; -0.413849; -0.917938;
0.280329; 0.150330; -0.408508; -0.924744;
0.290341; 0.148773; -0.407410; -0.924866;
0.300353; 0.142578; -0.412186; -0.918472;
0.310365; 0.138000; -0.416504; -0.901535;
0.320376; 0.131851; -0.413589; -0.887909;
0.330388; 0.130768; -0.410492; -0.888336;
0.340400; 0.133240; -0.404175; -0.889038;
0.350411; 0.142288; -0.403198; -0.898941;
0.360423; 0.152649; -0.399673; -0.921478;
0.370435; 0.153091; -0.392258; -0.928665;
0.380447; 0.156784; -0.388489; -0.927277;
0.390459; 0.152145; -0.387100; -0.927795;
0.400470; 0.141479; -0.398804; -0.909866;
0.410482; 0.126465; -0.418549; -0.891296;
0.420494; 0.127426; -0.420670; -0.891357;
0.430505; 0.135025; -0.413040; -0.895584;
0.440517; 0.139465; -0.407333; -0.905823;
0.450529; 0.149200; -0.397766; -0.917450;
0.460541; 0.154572; -0.401154; -0.922363;
0.470552; 0.156448; -0.407333; -0.929672;
0.480564; 0.148087; -0.411514; -0.924515;
0.490576; 0.135361; -0.415359; -0.906281;
0.500588; 0.129929; -0.411118; -0.892410;
0.510599; 0.127518; -0.405579; -0.886780;
0.520611; 0.134644; -0.402008; -0.893799;
0.530623; 0.138916; -0.400726; -0.904083;
