timestamp; x; y; z;
0.000000; 0.124771; -0.450882; -1.015594;
0.010011; 0.034821; -0.490662; -1.031296;
0.020023; -0.027847; -0.490784; -1.001282;
0.030035; 0.024994; -0.402939; -1.014053;
0.040047; 0.198456; -0.417404; -1.099091;
0.050059; 0.300568; -0.518158; -1.091003;
0.060070; 0.294144; -0.547531; -1.087204;
0.070082; 0.220016; -0.486343; -1.101578;
0.080094; 0.090210; -0.356796; -1.053223;
0.090106; -0.043808; -0.243271; -0.998520;
0.100118; -0.101654; -0.135574; -0.993210;
0.110129; -0.098450; -0.072311; -1.082825;
0.120141; -0.129990; -0.120071; -1.157486;
0.130153; -0.122406; -0.179291; -1.052444;
0.140165; -0.084076; -0.169037; -1.020721;
0.150177; 0.040955; -0.173050; -1.046356;
0.160188; 0.123611; -0.200165; -1.027817;
0.170200; 0.040604; -0.212982; -1.015900;
0.180212; -0.061340; -0.211136; -1.052414;
0.190224; -0.089996; -0.243729; -1.078827;
0.200236; -0.069534; -0.291168; -1.120728;
0.210247; -0.033279; -0.314926; -1.186859;
0.220259; 0.020523; -0.306793; -1.192596;
0.230271; 0.077499; -0.277863; -1.112198;
0.240283; 0.155289; -0.206573; -1.022202;
0.250295; 0.098694; -0.198776; -0.919250;
0.260306; 0.007278; -0.256042; -0.825455;
0.270318; -0.091263; -0.319611; -0.739624;
0.280330; -0.202606; -0.390594; -0.847672;
0.290342; -0.114548; -0.385620; -0.962189;
0.300354; -0.018707; -0.350647; -1.020432;
0.310365; 0.051331; -0.383255; -1.017212;
0.320377; 0.112976; -0.375229; -0.992310;
0.330389; 0.083313; -0.305969; -0.946930;
0.340401; -0.022247; -0.290253; -0.834198;
0.350413; -0.098648; -0.294327; -0.782120;
0.360424; -0.087692; -0.295044; -0.870087;
0.370436; -0.050049; -0.319794; -0.973984;
0.380448; -0.033325; -0.337158; -1.005081;
0.390460; -0.054626; -0.345291; -0.965271;
0.400472; -0.026688; -0.391052; -0.980316;
0.410483; 0.063065; -0.412277; -1.026871;
0.420495; 0.088654; -0.366119; -1.042191;
0.430507; 0.015854; -0.301392; -1.026764;
0.440519; -0.084595; -0.277115; -0.929535;
0.450531; -0.050232; -0.229645; -0.898453;
0.460543; 0.050262; -0.211960; -0.995377;
0.470554; 0.105011; -0.265869; -1.033264;
0.480566; 0.115128; -0.259720; -1.055939;
0.490578; 0.084534; -0.230865; -1.065353;
0.500590; 0.080002; -0.240189; -1.043716;
0.510602; 0.129333; -0.213379; -1.009277;
0.520613; 0.144638; -0.170624; -0.992004;
0.530625; 0.061295; -0.181519; -0.959106;
0.540637; -0.016754; -0.225555; -0.889481;
0.550649; -0.065201; -0.270554; -0.889328;
0.560661; -0.112610; -0.322098; -0.947601;
0.570672; -0.113083; -0.355576; -1.014465;
0.580684; -0.046982; -0.391846; -1.028580;
0.590696; -0.040985; -0.393356; -1.019897;
0.600708; -0.012085; -0.390976; -0.995392;
0.610720; 0.009583; -0.378769; -0.977829;
0.620731; 0.002899; -0.323532; -0.946396;
0.630743; -0.005798; -0.283920; -0.946960;
0.640755; -0.003281; -0.277283; -0.927094;
0.650767; 0.001434; -0.270264; -0.905594;
0.660779; 0.006729; -0.284592; -0.899841;
0.670790; 0.008881; -0.292618; -0.907898;
0.680802; -0.004227; -0.291199; -0.946060;
0.690814; -0.010971; -0.291534; -0.937454;
0.700826; -0.005798; -0.279984; -0.908630;
0.710838; 0.009232; -0.280899; -0.884262;
0.720849; 0.036819; -0.278854; -0.894318;
0.730861; 0.051437; -0.270172; -0.925522;
0.740873; 0.047134; -0.251266; -0.924423;
0.750885; 0.009857; -0.238342; -0.928909;
0.760897; -0.020248; -0.238464; -0.968887;
0.770908; -0.015091; -0.255890; -0.986755;
0.780920; -0.024231; -0.258621; -1.005524;
0.790932; -0.030258; -0.276627; -1.002060;
0.800944; 0.002258; -0.292862; -0.974625;
0.810956; -0.010162; -0.280579; -0.973679;
0.820967; -0.040054; -0.305832; -0.966202;
0.830979; -0.037643; -0.301071; -0.990768;
0.840991; -0.047409; -0.300644; -0.969894;
0.851003; -0.013992; -0.333221; -0.960632;
0.861015; -0.047211; -0.316940; -1.054123;
0.871026; -0.081131; -0.347748; -1.047134;
0.881038; -0.074081; -0.360046; -1.004333;
0.891050; -0.071777; -0.341629; -0.974625;
0.901062; -0.089874; -0.328506; -0.962769;
0.911074; -0.095779; -0.308151; -0.977249;
0.921085; -0.073441; -0.292206; -0.988174;
0.931097; -0.054184; -0.302353; -0.984634;
0.941109; -0.016663; -0.309738; -0.978256;
0.951121; 0.059891; -0.317200; -0.965149;
0.961133; 0.086014; -0.318207; -0.929840;
