timestamp; x; y; z;
0.000000; 0.060486; -0.339935; -0.948303;
0.010012; 0.050507; -0.322510; -0.947769;
0.020024; 0.049362; -0.306702; -0.944290;
0.030036; 0.049332; -0.303085; -0.956879;
0.040047; 0.065002; -0.308762; -0.961411;
0.050059; 0.059509; -0.305237; -0.962173;
0.060071; 0.049271; -0.309158; -0.970016;
0.070083; 0.046341; -0.316650; -0.967850;
0.080095; 0.053070; -0.318222; -0.960770;
0.090107; 0.061813; -0.314423; -0.952637;
0.100118; 0.068024; -0.314362; -0.948410;
0.110130; 0.072098; -0.314514; -0.946472;
0.120142; 0.077087; -0.309250; -0.949341;
0.130154; 0.080505; -0.303940; -0.948456;
0.140166; 0.085175; -0.306091; -0.950928;
0.150177; 0.084579; -0.305969; -0.957748;
0.160189; 0.071487; -0.300171; -0.959320;
0.170201; 0.055710; -0.294907; -0.959717;
0.180213; 0.050140; -0.292877; -0.957352;
0.190225; 0.036560; -0.294632; -0.965607;
0.200236; 0.026993; -0.300156; -0.971909;
0.210248; 0.021927; -0.305740; -0.968521;
0.220260; 0.023926; -0.308289; -0.972549;
0.230272; 0.031097; -0.308624; -0.971588;
0.240284; 0.039093; -0.313019; -0.968750;
0.250295; 0.045883; -0.315674; -0.966690;
0.260307; 0.057800; -0.314758; -0.958084;
0.270319; 0.065948; -0.314056; -0.944763;
0.280331; 0.063599; -0.313690; -0.944214;
0.290343; 0.057449; -0.313629; -0.947647;
0.300354; 0.045181; -0.311539; -0.946564;
0.310366; 0.027328; -0.303452; -0.953247;
0.320378; 0.018890; -0.301147; -0.960510;
0.330390; 0.013901; -0.305847; -0.965683;
0.340402; 0.013443; -0.306717; -0.966934;
0.350413; 0.017868; -0.304840; -0.965591;
0.360425; 0.016342; -0.307755; -0.963165;
0.370437; 0.029816; -0.311020; -0.959396;
0.380449; 0.045731; -0.318802; -0.957123;
0.390461; 0.043823; -0.336273; -0.963379;
0.400473; 0.033966; -0.345642; -0.978607;
0.410484; 0.018463; -0.340912; -0.964920;
0.420496; 0.008636; -0.328033; -0.953201;
0.430508; 0.004776; -0.313873; -0.969635;
0.440520; 0.020813; -0.304718; -0.968033;
0.450532; 0.040405; -0.300949; -0.962585;
0.460543; 0.039978; -0.291595; -0.969772;
0.470555; 0.025146; -0.280884; -0.969009;
0.480567; 0.014420; -0.277924; -0.964661;
0.490579; 0.009735; -0.283463; -0.971283;
0.500591; 0.011581; -0.293579; -0.991486;
0.510602; 0.013748; -0.298096; -1.010345;
0.520614; 0.009583; -0.306168; -0.978317;
0.530626; 0.009842; -0.313477; -0.959900;
0.540638; 0.018204; -0.313141; -0.969574;
0.550650; 0.029343; -0.308533; -0.973618;
0.560661; 0.038391; -0.302429; -0.973938;
0.570673; 0.015060; -0.289230; -0.968384;
0.580685; -0.015137; -0.269897; -0.958145;
0.590697; -0.017334; -0.264587; -0.946701;
0.600709; -0.010834; -0.273438; -0.980621;
0.610720; -0.004333; -0.279190; -1.007446;
0.620732; -0.003387; -0.284897; -0.999603;
0.630744; -0.004196; -0.293259; -0.985519;
0.640756; 0.006104; -0.297821; -0.982193;
0.650768; 0.025177; -0.295654; -0.980240;
0.660780; 0.045807; -0.293930; -0.965820;
0.670791; 0.059891; -0.296753; -0.959549;
0.680803; 0.055725; -0.300217; -0.960144;
0.690815; 0.046921; -0.301941; -0.963837;
0.700827; 0.042435; -0.303497; -0.964981;
0.710839; 0.040863; -0.307037; -0.955078;
0.720850; 0.027542; -0.303024; -0.957367;
0.730862; 0.015427; -0.294571; -0.959457;
0.740874; 0.010544; -0.287628; -0.960495;
0.750886; 0.005417; -0.284927; -0.951111;
0.760898; 0.008942; -0.287079; -0.951920;
0.770909; 0.017288; -0.293671; -0.962875;
0.780921; 0.026108; -0.299637; -0.961075;
0.790933; 0.034531; -0.300323; -0.948502;
0.800945; 0.041824; -0.300568; -0.951584;
0.810957; 0.040497; -0.302429; -0.963699;
0.820968; 0.034119; -0.297668; -0.962982;
0.830980; 0.024948; -0.288803; -0.955551;
0.840992; 0.018814; -0.286133; -0.960922;
0.851004; 0.010605; -0.289352; -0.958450;
0.861016; 0.011520; -0.294678; -0.954269;
0.871027; 0.016403; -0.295395; -0.969925;
0.881039; 0.023193; -0.295883; -0.958466;
0.891051; 0.040726; -0.284927; -0.929550;
0.901063; 0.039215; -0.289154; -0.955704;
0.911075; 0.027344; -0.303635; -0.942551;
0.921087; 0.021805; -0.305878; -0.942963;
0.931098; 0.014084; -0.304123; -0.954208;
0.941110; 0.000244; -0.308365; -0.952911;
0.951122; -0.013840; -0.315842; -0.950668;
0.961134; -0.013840; -0.315109; -0.947418;
0.971146; -0.016006; -0.318726; -0.956207;
0.981157; -0.025238; -0.326157; -0.969162;
0.991169; -0.032333; -0.325500; -0.980225;
1.001181; -0.036179; -0.322678; -0.985199;
1.011193; -0.029800; -0.321777; -0.986252;
1.021205; -0.018677; -0.323395; -0.982101;
1.031216; -0.005371; -0.330490; -0.974731;
1.041228; 0.015076; -0.327652; -0.954865;
1.051240; 0.024002; -0.326019; -0.942993;
1.061252; 0.025803; -0.325562; -0.938553;
1.071264; 0.019714; -0.322693; -0.940842;
1.081275; 0.019012; -0.319962; -0.944168;
1.091287; 0.021194; -0.318207; -0.948303;
1.101299; 0.012817; -0.322540; -0.945648;
1.111311; 0.001297; -0.325531; -0.941116;
1.121323; -0.003815; -0.323517; -0.950241;
1.131335; -0.001801; -0.329239; -0.953735;
1.141346; 0.003052; -0.333466; -0.955246;
1.151358; 0.012741; -0.329193; -0.955292;
1.161370; 0.016220; -0.324326; -0.952774;
1.171382; 0.012329; -0.322678; -0.957687;
1.181394; 0.013962; -0.325241; -0.954346;
1.191405; 0.015305; -0.324066; -0.943649;
1.201417; 0.013260; -0.326508; -0.937027;
1.211429; 0.014984; -0.333710; -0.937668;
1.221441; 0.010910; -0.341827; -0.937378;
1.231453; 0.004410; -0.347076; -0.939529;
1.241464; -0.003784; -0.349823; -0.953217;
1.251476; -0.012009; -0.350784; -0.963409;
1.261488; -0.016830; -0.348877; -0.966293;
1.271500; -0.018173; -0.346054; -0.967773;
1.281512; -0.020004; -0.345825; -0.965195;
1.291523; -0.020081; -0.348190; -0.958221;
1.301535; -0.017746; -0.353165; -0.953079;
1.311547; -0.022659; -0.362885; -0.958832;
1.321559; -0.028915; -0.372238; -0.954285;
1.331571; -0.030502; -0.376663; -0.964951;
1.341582; -0.027374; -0.378174; -0.973679;
1.351594; -0.023026; -0.374283; -0.968735;
1.361606; -0.023315; -0.369858; -0.961044;
1.371618; -0.029297; -0.367584; -0.957611;
1.381630; -0.033127; -0.367905; -0.958252;
1.391642; -0.032974; -0.373169; -0.961182;
1.401653; -0.033173; -0.374573; -0.976166;
1.411665; -0.028870; -0.369492; -0.977341;
1.421677; -0.023758; -0.359802; -0.966904;
1.431689; -0.016312; -0.352737; -0.964096;
1.441701; -0.010315; -0.347580; -0.967697;
1.451712; -0.008270; -0.345673; -0.965912;
1.461724; -0.005173; -0.345322; -0.953491;
1.471736; -0.004684; -0.344818; -0.945312;
1.481748; -0.004807; -0.345810; -0.938217;
1.491760; -0.005386; -0.346603; -0.938843;
1.501771; -0.011169; -0.350647; -0.946335;
1.511783; -0.027893; -0.356293; -0.950790;
1.521795; -0.041122; -0.349899; -0.947357;
1.531807; -0.038269; -0.347534; -0.948929;
1.541819; -0.034195; -0.358536; -0.958847;
1.551830; -0.024628; -0.361160; -0.946960;
1.561842; -0.002304; -0.358536; -0.931488;
1.571854; 0.013382; -0.362289; -0.918411;
1.581866; 0.015701; -0.372284; -0.919205;
1.591878; 0.004974; -0.374039; -0.927032;
1.601890; -0.007294; -0.364594; -0.923553;
1.611901; -0.012695; -0.354324; -0.920227;
1.621913; -0.010529; -0.340927; -0.928635;
1.631925; -0.012741; -0.337723; -0.928589;
1.641937; -0.016861; -0.336548; -0.923218;
1.651949; -0.025269; -0.341232; -0.926453;
1.661960; -0.028534; -0.357361; -0.928589;
1.671972; -0.029755; -0.380615; -0.929916;
1.681984; -0.037674; -0.402878; -0.925583;
1.691996; -0.046600; -0.419189; -0.907715;
1.702008; -0.050186; -0.432373; -0.897049;
1.712019; -0.058701; -0.434006; -0.890106;
1.722031; -0.069839; -0.431305; -0.891571;
1.732043; -0.088242; -0.435684; -0.889511;
1.742055; -0.112595; -0.437988; -0.895386;
1.752067; -0.123596; -0.438950; -0.907913;
1.762078; -0.126755; -0.446198; -0.922318;
1.772090; -0.126419; -0.453751; -0.928024;
1.782102; -0.128021; -0.457977; -0.934875;
1.792114; -0.130219; -0.460083; -0.941391;
1.802126; -0.137253; -0.465561; -0.940933;
1.812137; -0.141251; -0.465286; -0.944580;
1.822149; -0.137070; -0.465942; -0.940384;
1.832161; -0.136200; -0.464874; -0.925476;
1.842173; -0.131821; -0.455490; -0.907562;
1.852185; -0.119507; -0.445633; -0.904922;
1.862197; -0.101746; -0.435410; -0.917496;
1.872208; -0.103088; -0.421158; -0.917633;
1.882220; -0.104691; -0.410217; -0.924927;
1.892232; -0.103149; -0.404221; -0.944870;
1.902244; -0.099060; -0.395432; -0.956436;
1.912256; -0.095520; -0.381439; -0.955551;
1.922267; -0.090607; -0.371078; -0.951614;
1.932279; -0.086700; -0.367966; -0.952362;
1.942291; -0.078156; -0.365631; -0.953018;
1.952303; -0.067200; -0.360977; -0.946304;
1.962315; -0.051056; -0.356110; -0.937271;
1.972326; -0.036804; -0.357315; -0.929184;
1.982338; -0.030945; -0.365082; -0.910889;
1.992350; -0.026581; -0.367691; -0.903137;
2.002362; -0.024643; -0.374466; -0.900772;
2.012374; -0.021622; -0.379089; -0.886612;
2.022385; -0.012833; -0.378571; -0.878967;
2.032397; -0.007477; -0.379028; -0.878448;
2.042409; -0.000397; -0.379120; -0.873688;
2.052421; 0.005920; -0.381012; -0.871262;
2.062433; 0.004959; -0.385971; -0.876236;
2.072444; -0.001999; -0.395233; -0.888565;
2.082456; -0.012680; -0.401398; -0.891495;
2.092468; -0.012848; -0.402130; -0.877930;
2.102480; -0.009598; -0.403839; -0.876190;
2.112492; -0.006363; -0.409073; -0.877075;
2.122503; -0.014954; -0.408707; -0.871979;
2.132515; -0.027191; -0.406494; -0.869156;
2.142527; -0.028198; -0.407684; -0.872650;
2.152539; -0.029694; -0.410355; -0.885605;
2.162551; -0.036514; -0.415115; -0.899506;
2.172563; -0.036865; -0.413986; -0.898544;
2.182574; -0.037643; -0.416718; -0.901031;
2.192586; -0.040817; -0.423676; -0.908234;
2.202598; -0.040619; -0.427643; -0.902252;
2.212610; -0.040268; -0.431061; -0.896820;
2.222622; -0.033493; -0.435379; -0.889481;
2.232633; -0.031494; -0.438354; -0.883194;
2.242645; -0.035034; -0.437668; -0.893021;
2.252657; -0.049408; -0.437485; -0.915466;
2.262669; -0.072083; -0.436951; -0.930542;
2.272681; -0.085648; -0.437439; -0.941559;
2.282692; -0.085953; -0.443787; -0.956604;
2.292704; -0.081345; -0.453217; -0.958038;
2.302716; -0.076538; -0.455658; -0.953995;
2.312728; -0.070984; -0.460236; -0.944672;
2.322740; -0.066757; -0.468445; -0.940247;
2.332751; -0.064514; -0.478073; -0.943771;
2.342763; -0.057739; -0.495972; -0.942886;
2.352775; -0.049637; -0.514389; -0.935867;
2.362787; -0.047897; -0.518753; -0.913834;
2.372799; -0.055908; -0.510300; -0.892410;
2.382811; -0.062500; -0.495148; -0.890808;
2.392822; -0.066818; -0.477783; -0.903641;
2.402834; -0.078827; -0.464584; -0.911209;
2.412846; -0.096924; -0.450516; -0.916061;
2.422858; -0.112778; -0.435181; -0.918106;
2.432870; -0.119583; -0.422836; -0.916458;
2.442881; -0.127304; -0.411301; -0.914139;
2.452893; -0.136108; -0.401123; -0.916931;
2.462905; -0.138611; -0.393143; -0.918839;
2.472917; -0.138824; -0.389725; -0.909927;
2.482929; -0.134399; -0.390579; -0.889725;
2.492940; -0.122543; -0.394745; -0.865936;
2.502952; -0.110489; -0.401703; -0.856796;
2.512964; -0.106567; -0.405136; -0.849701;
2.522976; -0.111526; -0.407074; -0.835693;
2.532988; -0.123215; -0.410263; -0.839081;
2.543000; -0.133972; -0.410446; -0.852112;
2.553011; -0.137955; -0.405823; -0.864914;
2.563023; -0.136276; -0.396576; -0.875443;
2.573035; -0.128235; -0.393890; -0.886475;
2.583047; -0.117203; -0.397491; -0.891998;
2.593059; -0.109283; -0.404068; -0.892578;
2.603070; -0.101654; -0.416840; -0.885834;
2.613082; -0.097977; -0.432632; -0.880905;
2.623094; -0.088287; -0.447662; -0.878632;
2.633106; -0.078323; -0.459869; -0.874390;
2.643118; -0.080658; -0.466064; -0.863358;
2.653129; -0.082016; -0.464981; -0.857315;
2.663141; -0.083252; -0.463638; -0.857727;
2.673153; -0.089096; -0.460327; -0.875031;
2.683165; -0.105042; -0.455063; -0.897156;
2.693177; -0.123795; -0.447495; -0.918915;
2.703188; -0.125809; -0.443970; -0.940063;
2.713200; -0.118164; -0.443100; -0.957550;
2.723212; -0.108902; -0.436844; -0.964203;
2.733224; -0.100357; -0.432602; -0.960983;
2.743236; -0.085541; -0.435028; -0.953247;
2.753248; -0.071548; -0.440201; -0.951385;
2.763259; -0.068649; -0.445312; -0.947189;
2.773271; -0.075470; -0.444519; -0.941849;
2.783283; -0.080429; -0.441818; -0.935120;
2.793295; -0.078506; -0.441071; -0.935577;
2.803307; -0.073273; -0.443054; -0.945694;
2.813318; -0.071335; -0.444855; -0.957550;
2.823330; -0.074936; -0.446030; -0.963058;
2.833342; -0.075287; -0.449997; -0.958344;
2.843354; -0.068390; -0.455460; -0.960770;
2.853366; -0.059662; -0.460251; -0.963516;
2.863377; -0.051132; -0.462250; -0.950333;
2.873389; -0.039429; -0.467911; -0.931091;
2.883401; -0.035477; -0.475403; -0.912857;
2.893413; -0.048950; -0.477890; -0.900650;
2.903425; -0.064392; -0.476868; -0.887360;
2.913436; -0.070526; -0.471893; -0.884171;
2.923448; -0.070755; -0.470001; -0.891968;
2.933460; -0.072067; -0.461700; -0.902802;
2.943472; -0.078522; -0.450012; -0.906433;
2.953484; -0.082062; -0.443008; -0.897751;
2.963495; -0.081604; -0.440460; -0.896713;
2.973507; -0.080627; -0.442490; -0.904648;
2.983519; -0.078278; -0.451111; -0.904312;
2.993531; -0.076950; -0.467880; -0.895691;
3.003544; -0.071960; -0.485168; -0.889420;
3.013556; -0.077240; -0.494583; -0.873383;
3.023567; -0.094894; -0.491196; -0.855072;
3.033579; -0.102432; -0.488159; -0.844864;
3.043591; -0.105896; -0.480576; -0.843201;
3.053603; -0.113693; -0.471970; -0.855316;
3.063615; -0.124939; -0.467789; -0.867096;
3.073626; -0.128403; -0.464813; -0.869766;
3.083638; -0.122543; -0.466370; -0.873337;
3.093650; -0.115021; -0.474304; -0.879730;
3.103662; -0.113098; -0.480591; -0.874130;
3.113674; -0.107727; -0.490570; -0.865631;
3.123685; -0.100067; -0.510208; -0.856476;
3.133697; -0.094803; -0.530319; -0.837067;
3.143709; -0.095840; -0.538803; -0.813339;
3.153721; -0.110565; -0.533051; -0.801239;
3.163733; -0.122040; -0.524445; -0.802261;
3.173744; -0.126526; -0.516235; -0.815430;
3.183756; -0.127808; -0.510208; -0.837753;
3.193768; -0.136124; -0.500946; -0.853485;
3.203780; -0.149704; -0.489288; -0.870361;
3.213792; -0.154861; -0.478439; -0.886551;
3.223804; -0.150208; -0.477249; -0.893646;
3.233815; -0.143875; -0.480560; -0.898987;
3.243827; -0.141083; -0.480225; -0.906052;
3.253839; -0.134293; -0.481918; -0.902191;
3.263851; -0.124771; -0.493591; -0.888046;
3.273863; -0.120834; -0.499405; -0.878998;
3.283874; -0.125534; -0.501419; -0.862671;
3.293886; -0.130829; -0.505096; -0.845367;
3.303898; -0.132996; -0.507889; -0.846207;
3.313910; -0.133301; -0.505936; -0.865356;
3.323922; -0.135223; -0.504761; -0.876923;
3.333933; -0.134521; -0.504837; -0.873001;
3.343945; -0.128616; -0.499924; -0.885971;
3.353957; -0.125458; -0.502945; -0.896423;
3.363969; -0.125320; -0.513916; -0.892868;
3.373981; -0.118958; -0.522751; -0.887589;
3.383992; -0.109192; -0.535965; -0.886230;
3.394004; -0.102066; -0.558044; -0.865891;
3.404016; -0.094711; -0.572372; -0.832779;
3.414028; -0.099350; -0.573883; -0.812256;
3.424040; -0.109192; -0.571655; -0.796204;
3.434051; -0.109619; -0.567902; -0.789551;
3.444063; -0.108505; -0.562347; -0.797836;
3.454075; -0.108459; -0.554443; -0.812302;
3.464087; -0.106888; -0.541016; -0.825867;
3.474099; -0.104721; -0.530457; -0.838074;
3.484111; -0.096222; -0.525452; -0.839905;
3.494122; -0.084991; -0.527695; -0.836319;
3.504134; -0.078033; -0.531006; -0.832016;
3.514146; -0.071564; -0.534958; -0.834763;
3.524158; -0.068344; -0.542679; -0.841751;
3.534170; -0.060349; -0.551224; -0.834610;
3.544181; -0.057343; -0.556686; -0.831680;
3.554193; -0.068314; -0.552994; -0.834610;
3.564205; -0.084030; -0.548157; -0.836319;
3.574217; -0.097229; -0.544281; -0.849335;
3.584229; -0.103760; -0.537201; -0.867920;
3.594240; -0.111115; -0.531540; -0.875275;
3.604252; -0.109467; -0.529160; -0.869888;
3.614264; -0.102478; -0.531281; -0.873230;
3.624276; -0.098358; -0.542969; -0.872787;
3.634288; -0.093658; -0.556442; -0.852982;
3.644300; -0.090378; -0.573883; -0.830444;
3.654311; -0.084045; -0.594513; -0.812271;
3.664323; -0.088333; -0.609024; -0.790024;
3.674335; -0.102890; -0.611588; -0.767624;
