timestamp; x; y; z;
0.000000; 0.003815; -0.618042; -0.651413;
0.010012; 0.021927; -0.622009; -0.702347;
0.020023; 0.055176; -0.640915; -0.791931;
0.030035; 0.079987; -0.671066; -0.871597;
0.040047; 0.085220; -0.693481; -0.888443;
0.050059; 0.076096; -0.693268; -0.844070;
0.060070; 0.039581; -0.681915; -0.780914;
0.070082; 0.011017; -0.675446; -0.724182;
0.080094; 0.000320; -0.671844; -0.707718;
0.090105; 0.002213; -0.669342; -0.729492;
0.100117; 0.012924; -0.668900; -0.768616;
0.110129; 0.029465; -0.669785; -0.819183;
0.120142; 0.045471; -0.664627; -0.860657;
0.130153; 0.048737; -0.646667; -0.853027;
0.140165; 0.038147; -0.626373; -0.812897;
0.150177; 0.006638; -0.615707; -0.747711;
0.160189; -0.025055; -0.612930; -0.699188;
0.170200; -0.042435; -0.620438; -0.682159;
0.180212; -0.052551; -0.635696; -0.691406;
0.190224; -0.056900; -0.646576; -0.707794;
0.200236; -0.045395; -0.651993; -0.729843;
0.210247; -0.030762; -0.657211; -0.765701;
0.220259; -0.025970; -0.661438; -0.789230;
0.230271; -0.028015; -0.662277; -0.781219;
0.240283; -0.033234; -0.658188; -0.766235;
0.250294; -0.038223; -0.655502; -0.757233;
0.260306; -0.038223; -0.657745; -0.750656;
0.270318; -0.034546; -0.660599; -0.752914;
0.280329; -0.032272; -0.660538; -0.759521;
0.290341; -0.031143; -0.658112; -0.755157;
0.300353; -0.045868; -0.653961; -0.738846;
0.310365; -0.049774; -0.641129; -0.703247;
0.320376; -0.051697; -0.641495; -0.693375;
0.330388; -0.052383; -0.648544; -0.710297;
0.340400; -0.050186; -0.647491; -0.730576;
0.350412; -0.050568; -0.645050; -0.741745;
0.360423; -0.047806; -0.641556; -0.747330;
0.370435; -0.046753; -0.639404; -0.757538;
0.380447; -0.046326; -0.644547; -0.764725;
0.390459; -0.046570; -0.648483; -0.765274;
0.400470; -0.050644; -0.646225; -0.759903;
0.410482; -0.055267; -0.647781; -0.753922;
0.420494; -0.052200; -0.652267; -0.759567;
0.430506; -0.045624; -0.659912; -0.783752;
0.440517; -0.040283; -0.661682; -0.792740;
0.450529; -0.030701; -0.652420; -0.791748;
0.460541; -0.020737; -0.644806; -0.791931;
0.470552; -0.017288; -0.644867; -0.778961;
0.480564; -0.018509; -0.649048; -0.758942;
0.490576; -0.019958; -0.653809; -0.745026;
0.500588; -0.015778; -0.659576; -0.733490;
0.510599; -0.006790; -0.664474; -0.735779;
0.520611; -0.001556; -0.663956; -0.741455;
0.530623; 0.002319; -0.662125; -0.741257;
0.540635; 0.002228; -0.665176; -0.749084;
0.550646; -0.001389; -0.670502; -0.756805;
0.560658; -0.001984; -0.672180; -0.756958;
0.570670; -0.004654; -0.669556; -0.765762;
0.580682; -0.000778; -0.666580; -0.775635;
0.590693; 0.003250; -0.659317; -0.777588;
0.600705; 0.002350; -0.657242; -0.781433;
0.610717; -0.002121; -0.660995; -0.790878;
0.620729; -0.006989; -0.662506; -0.787933;
0.630740; -0.015350; -0.664810; -0.776825;
0.640752; -0.019852; -0.659393; -0.767395;
0.650764; -0.025925; -0.650055; -0.760803;
0.660776; -0.032227; -0.645035; -0.751907;
0.670787; -0.037018; -0.638443; -0.743866;
0.680799; -0.045517; -0.635010; -0.740112;
0.690811; -0.050674; -0.638580; -0.733490;
0.700822; -0.046707; -0.644852; -0.734207;
0.710834; -0.041595; -0.650620; -0.752838;
0.720846; -0.029160; -0.647690; -0.781036;
0.730858; -0.015671; -0.641129; -0.813110;
0.740869; -0.010300; -0.636520; -0.827301;
0.750881; -0.012604; -0.634415; -0.814713;
0.760893; -0.021759; -0.639938; -0.805252;
0.770905; -0.030899; -0.645584; -0.799759;
0.780916; -0.030258; -0.644028; -0.779358;
0.790928; -0.029495; -0.638016; -0.761841;
0.800940; -0.031448; -0.637192; -0.756088;
0.810952; -0.033691; -0.642166; -0.753799;
0.820963; -0.036850; -0.645172; -0.749817;
0.830975; -0.037903; -0.644272; -0.750443;
0.840987; -0.042862; -0.639084; -0.759399;
0.850999; -0.046265; -0.636276; -0.770798;
0.861010; -0.048935; -0.639465; -0.774017;
0.871022; -0.053467; -0.644775; -0.773697;
0.881034; -0.047775; -0.649124; -0.779343;
0.891046; -0.038177; -0.645813; -0.782394;
0.901057; -0.032806; -0.640884; -0.778778;
0.911069; -0.030319; -0.634598; -0.772659;
0.921081; -0.028290; -0.628693; -0.768295;
0.931093; -0.025803; -0.626373; -0.764938;
0.941104; -0.023575; -0.631027; -0.760208;
0.951116; -0.022705; -0.639008; -0.758987;
0.961128; -0.021088; -0.655136; -0.764297;
0.971139; -0.017838; -0.667282; -0.779373;
0.981151; -0.018448; -0.665726; -0.795197;
0.991163; -0.021530; -0.659149; -0.804703;
1.001175; -0.023926; -0.649475; -0.804138;
1.011186; -0.026184; -0.638321; -0.796997;
1.021198; -0.026810; -0.627335; -0.794113;
1.031210; -0.030777; -0.622330; -0.788422;
1.041222; -0.033966; -0.620224; -0.779739;
1.051233; -0.037949; -0.623581; -0.771286;
