timestamp; x; y; z;
0.000000; -0.222015; -0.186172; -0.922058;
0.010012; -0.218781; -0.172974; -0.942566;
0.020024; -0.217529; -0.186783; -0.949997;
0.030035; -0.192734; -0.235672; -0.944031;
0.040047; -0.177368; -0.283997; -0.945831;
0.050059; -0.185715; -0.312698; -0.955078;
0.060071; -0.185837; -0.354324; -0.937088;
0.070083; -0.207947; -0.379715; -0.930588;
0.080095; -0.253784; -0.426514; -0.981216;
0.090106; -0.320129; -0.407898; -0.996185;
0.100118; -0.260193; -0.280945; -0.960114;
0.110130; -0.174240; -0.266022; -0.879272;
0.120142; -0.225098; -0.283569; -0.880173;
0.130154; -0.274673; -0.290771; -0.936768;
0.140166; -0.262680; -0.316498; -0.909851;
0.150177; -0.254761; -0.337158; -0.904572;
0.160189; -0.273254; -0.364899; -0.977020;
0.170201; -0.284500; -0.368713; -0.975632;
0.180213; -0.301132; -0.311218; -0.950958;
0.190225; -0.271713; -0.239548; -0.967819;
0.200237; -0.284805; -0.206207; -1.010635;
0.210248; -0.244507; -0.162888; -1.052490;
0.220260; -0.181046; -0.152863; -1.028732;
0.230272; -0.307861; -0.262207; -1.067810;
0.240284; -0.219177; -0.389709; -0.885513;
0.250296; -0.058426; -0.328705; -0.820648;
0.260307; 0.023941; -0.253448; -0.916702;
0.270319; -0.014816; -0.248550; -0.961243;
0.280331; -0.022034; -0.234055; -0.953217;
0.290343; 0.012558; -0.209991; -0.952347;
0.300355; -0.064880; -0.194153; -0.970612;
0.310367; -0.331329; -0.274033; -0.918915;
0.320378; -0.033768; -0.247498; -0.770996;
0.330390; 0.090347; -0.276352; -0.940048;
0.340402; -0.134308; -0.337906; -0.982361;
0.350414; -0.240906; -0.313339; -0.896606;
0.360426; -0.130173; -0.281418; -0.912125;
0.370438; -0.071121; -0.273819; -0.998550;
0.380449; -0.223343; -0.221237; -0.981613;
0.390461; -0.218018; -0.184525; -1.039719;
0.400473; -0.210464; -0.205414; -1.095154;
0.410485; -0.135498; -0.227722; -1.097168;
0.420497; -0.058472; -0.226440; -1.046097;
0.430509; -0.031128; -0.235397; -1.029617;
0.440520; -0.076248; -0.267960; -0.994064;
0.450532; -0.117859; -0.254608; -0.984253;
0.460544; -0.144196; -0.251328; -0.974716;
0.470556; -0.155945; -0.256409; -0.956192;
0.480568; -0.163834; -0.267441; -0.947006;
0.490580; -0.156708; -0.272430; -0.946320;
0.500591; -0.141830; -0.277344; -0.946716;
0.510603; -0.129807; -0.278061; -0.942139;
0.520615; -0.121841; -0.273361; -0.933792;
0.530627; -0.118088; -0.254456; -0.933716;
0.540639; -0.121674; -0.238480; -0.930435;
0.550651; -0.130859; -0.221588; -0.926376;
0.560663; -0.122681; -0.214966; -0.944809;
0.570675; -0.124390; -0.218857; -0.967361;
0.580687; -0.108887; -0.223160; -0.987701;
0.590699; -0.098206; -0.220947; -1.004593;
0.600711; -0.087494; -0.223404; -1.007919;
0.610722; -0.065506; -0.232101; -0.996750;
0.620734; -0.054474; -0.250641; -0.993652;
0.630746; -0.056396; -0.259109; -0.961395;
0.640758; -0.056549; -0.275726; -0.946976;
0.650770; -0.050735; -0.289398; -0.935699;
0.660781; -0.118927; -0.288086; -0.942093;
0.670793; -0.168304; -0.273972; -0.924255;
0.680805; -0.121811; -0.275848; -0.950134;
0.690817; -0.149185; -0.284180; -0.961487;
0.700829; -0.165359; -0.275757; -0.952011;
0.710841; -0.168991; -0.270233; -0.969360;
0.720852; -0.159500; -0.262650; -0.977188;
0.730864; -0.149567; -0.253952; -0.977386;
0.740876; -0.145172; -0.250732; -0.987366;
0.750888; -0.136826; -0.252228; -0.994278;
0.760900; -0.113632; -0.270935; -0.981705;
0.770912; -0.113831; -0.281433; -0.968750;
0.780923; -0.140717; -0.292587; -0.948547;
0.790935; -0.182175; -0.325439; -0.929108;
0.800947; -0.239792; -0.356720; -0.929321;
0.810959; -0.289230; -0.355682; -0.957001;
0.820971; -0.311325; -0.350357; -0.978210;
0.830983; -0.299683; -0.327606; -0.995178;
0.840994; -0.266602; -0.303406; -1.007034;
0.851006; -0.229095; -0.289902; -1.005997;
0.861018; -0.193192; -0.273392; -0.998825;
0.871030; -0.155640; -0.266556; -0.989502;
0.881042; -0.127090; -0.263519; -0.969620;
0.891053; -0.107010; -0.266418; -0.947433;
0.901065; -0.107773; -0.281937; -0.934143;
0.911077; -0.138107; -0.296509; -0.914154;
0.921089; -0.188660; -0.310013; -0.908722;
0.931101; -0.239853; -0.320328; -0.909164;
0.941113; -0.278687; -0.325684; -0.919922;
0.951124; -0.290146; -0.332428; -0.931580;
0.961136; -0.283630; -0.326736; -0.942978;
0.971148; -0.261368; -0.316376; -0.944885;
0.981160; -0.238525; -0.309570; -0.940308;
0.991172; -0.205139; -0.302353; -0.940475;
1.001184; -0.169647; -0.315384; -0.926498;
1.011195; -0.143036; -0.328415; -0.911362;
1.021207; -0.145370; -0.322937; -0.902939;
1.031219; -0.182953; -0.311768; -0.906067;
1.041231; -0.223251; -0.295303; -0.924805;
1.051243; -0.247391; -0.289474; -0.934708;
1.061254; -0.265762; -0.294434; -0.940002;
1.071266; -0.270844; -0.302826; -0.933090;
1.081278; -0.264313; -0.318115; -0.925751;
1.091290; -0.251984; -0.322845; -0.915070;
1.101302; -0.236465; -0.314072; -0.929245;
1.111314; -0.222458; -0.327911; -0.931061;
1.121325; -0.207748; -0.341553; -0.938568;
1.131337; -0.211044; -0.337616; -0.932907;
1.141349; -0.203033; -0.329071; -0.932587;
1.151361; -0.200714; -0.311310; -0.937241;
1.161373; -0.209122; -0.291031; -0.940353;
1.171385; -0.209702; -0.285034; -0.934906;
1.181396; -0.208450; -0.292953; -0.936142;
1.191408; -0.206207; -0.301468; -0.933029;
1.201420; -0.197845; -0.309967; -0.941010;
1.211432; -0.189194; -0.317276; -0.945007;
1.221444; -0.183517; -0.313751; -0.943268;
1.231456; -0.173035; -0.323853; -0.936127;
1.241467; -0.171829; -0.334305; -0.933380;
1.251479; -0.180496; -0.332809; -0.919479;
1.261491; -0.199570; -0.327087; -0.913666;
1.271503; -0.225220; -0.321960; -0.921844;
1.281515; -0.237823; -0.319611; -0.923523;
1.291527; -0.234055; -0.317383; -0.934677;
1.301538; -0.227432; -0.318298; -0.939697;
1.311550; -0.216492; -0.313751; -0.942337;
1.321562; -0.212952; -0.314484; -0.950821;
1.331574; -0.219604; -0.323135; -0.960083;
1.341586; -0.224197; -0.344574; -0.960068;
1.351597; -0.235931; -0.357315; -0.946838;
1.361609; -0.252686; -0.353760; -0.935623;
1.371621; -0.260193; -0.338058; -0.927063;
1.381633; -0.257736; -0.324829; -0.921463;
1.391645; -0.252014; -0.317657; -0.911423;
1.401657; -0.246933; -0.314819; -0.913116;
1.411668; -0.245972; -0.314880; -0.920212;
1.421680; -0.243668; -0.307388; -0.930481;
1.431692; -0.244293; -0.301880; -0.934708;
1.441704; -0.239441; -0.304764; -0.941101;
1.451716; -0.236847; -0.318604; -0.941574;
1.461728; -0.233322; -0.338776; -0.921265;
1.471739; -0.237701; -0.349884; -0.906158;
1.481751; -0.246475; -0.344879; -0.888626;
1.491763; -0.247330; -0.330185; -0.885223;
1.501775; -0.244553; -0.318192; -0.883606;
1.511787; -0.240662; -0.311447; -0.892380;
1.521798; -0.238205; -0.307632; -0.904434;
1.531810; -0.235260; -0.309494; -0.919189;
1.541822; -0.234222; -0.310379; -0.929321;
1.551833; -0.236496; -0.312164; -0.940262;
1.561845; -0.234192; -0.317993; -0.943573;
1.571857; -0.221786; -0.336044; -0.936874;
1.581868; -0.211319; -0.349991; -0.929062;
1.591880; -0.206726; -0.357727; -0.905487;
1.601892; -0.205368; -0.362747; -0.885193;
1.611904; -0.217743; -0.354584; -0.881790;
1.621916; -0.227112; -0.341095; -0.888855;
1.631928; -0.234818; -0.334976; -0.895355;
1.641939; -0.237305; -0.332382; -0.910034;
1.651951; -0.231598; -0.328049; -0.925919;
1.661963; -0.219574; -0.324860; -0.929794;
1.671975; -0.208084; -0.320984; -0.938126;
1.681987; -0.201172; -0.327515; -0.941162;
1.691998; -0.205734; -0.342422; -0.946609;
1.702010; -0.222092; -0.354950; -0.948792;
1.712022; -0.239670; -0.372208; -0.942429;
1.722034; -0.258545; -0.385178; -0.932800;
1.732046; -0.279785; -0.378708; -0.927338;
1.742058; -0.283554; -0.371552; -0.925278;
1.752069; -0.278290; -0.361679; -0.933456;
1.762081; -0.263336; -0.349289; -0.942734;
1.772093; -0.247314; -0.340973; -0.947433;
1.782105; -0.238358; -0.331024; -0.948761;
1.792117; -0.234421; -0.324829; -0.954239;
1.802129; -0.231644; -0.333420; -0.945190;
1.812140; -0.226517; -0.349091; -0.936859;
1.822152; -0.221527; -0.364822; -0.923950;
1.832164; -0.215256; -0.377899; -0.907227;
1.842176; -0.217010; -0.375763; -0.893158;
1.852188; -0.221176; -0.374725; -0.881317;
1.862200; -0.228928; -0.367630; -0.888901;
1.872211; -0.239380; -0.366058; -0.892502;
1.882223; -0.240906; -0.363358; -0.903442;
1.892235; -0.236099; -0.363190; -0.914169;
1.902247; -0.233704; -0.366196; -0.919418;
1.912259; -0.234787; -0.359482; -0.932327;
1.922270; -0.234894; -0.365997; -0.935043;
1.932282; -0.232208; -0.377182; -0.949371;
1.942294; -0.222656; -0.386810; -0.954163;
1.952306; -0.222076; -0.379364; -0.956680;
1.962318; -0.230392; -0.368378; -0.957275;
1.972330; -0.243835; -0.355240; -0.960602;
1.982341; -0.248260; -0.350189; -0.963242;
1.992353; -0.248795; -0.350113; -0.961349;
2.002365; -0.235062; -0.355591; -0.956879;
2.012377; -0.217697; -0.364441; -0.943954;
2.022389; -0.201859; -0.359406; -0.931122;
2.032401; -0.185745; -0.346451; -0.937927;
2.042412; -0.174622; -0.354965; -0.936005;
2.052424; -0.167755; -0.377960; -0.917770;
2.062436; -0.172150; -0.396255; -0.901123;
2.072448; -0.185211; -0.394684; -0.884979;
2.082460; -0.179047; -0.394714; -0.874374;
2.092472; -0.167160; -0.390411; -0.865967;
2.102483; -0.147141; -0.375809; -0.854630;
2.112495; -0.126266; -0.353882; -0.874969;
2.122507; -0.102463; -0.327621; -0.916412;
2.132519; -0.100082; -0.316711; -0.942825;
2.142531; -0.109482; -0.318375; -0.970001;
2.152542; -0.121582; -0.339600; -0.978653;
2.162554; -0.136002; -0.367386; -0.969391;
2.172566; -0.138992; -0.388016; -0.943710;
2.182578; -0.144653; -0.398483; -0.917953;
2.192590; -0.152390; -0.406525; -0.898270;
2.202602; -0.156555; -0.406143; -0.889816;
2.212613; -0.158798; -0.401825; -0.884613;
2.222625; -0.146408; -0.403915; -0.873016;
2.232637; -0.129074; -0.405014; -0.854477;
2.242649; -0.100983; -0.382706; -0.870132;
2.252661; -0.099777; -0.371140; -0.892029;
2.262673; -0.107361; -0.381424; -0.913803;
2.272684; -0.136948; -0.413254; -0.932587;
2.282696; -0.199234; -0.425934; -0.932236;
2.292708; -0.249222; -0.429337; -0.925201;
2.302720; -0.282486; -0.423126; -0.919174;
2.312732; -0.278702; -0.408218; -0.906815;
2.322743; -0.252167; -0.394104; -0.926315;
2.332755; -0.223282; -0.357513; -0.970123;
2.342767; -0.205978; -0.334885; -1.009369;
2.352779; -0.206299; -0.320862; -1.048401;
2.362791; -0.213745; -0.322540; -1.051086;
2.372803; -0.204041; -0.355713; -1.020447;
2.382814; -0.199173; -0.389954; -0.976730;
2.392826; -0.213181; -0.412796; -0.921982;
2.402838; -0.229141; -0.429611; -0.881149;
2.412850; -0.260742; -0.448135; -0.838898;
2.422862; -0.285965; -0.454193; -0.816818;
2.432874; -0.290771; -0.457825; -0.815079;
2.442885; -0.281372; -0.443054; -0.827728;
2.452897; -0.249512; -0.426407; -0.845200;
2.462909; -0.218079; -0.404022; -0.865555;
2.472921; -0.180527; -0.379242; -0.889542;
2.482933; -0.153778; -0.372421; -0.904236;
2.492945; -0.127335; -0.383575; -0.885910;
2.502956; -0.120804; -0.408463; -0.876770;
2.512968; -0.136429; -0.421265; -0.870667;
2.522980; -0.161011; -0.423553; -0.860855;
2.532992; -0.191269; -0.421768; -0.853699;
2.543004; -0.207611; -0.433960; -0.845749;
2.553016; -0.217239; -0.452026; -0.843521;
2.563027; -0.206406; -0.449417; -0.839996;
2.573039; -0.189316; -0.451126; -0.840134;
2.583051; -0.184830; -0.446320; -0.854156;
2.593063; -0.180573; -0.425247; -0.898773;
2.603075; -0.168686; -0.440964; -0.918915;
2.613086; -0.161301; -0.461960; -0.910095;
2.623098; -0.151932; -0.478058; -0.886002;
2.633110; -0.147751; -0.490814; -0.868103;
2.643122; -0.138275; -0.493607; -0.835693;
2.653134; -0.131592; -0.493896; -0.821411;
2.663146; -0.126343; -0.478500; -0.831497;
2.673157; -0.122604; -0.455978; -0.845901;
2.683169; -0.112427; -0.426056; -0.876297;
2.693181; -0.102417; -0.411469; -0.890701;
