timestamp; x; y; z;
0.000000; 0.272034; -0.726303; -0.712158;
0.010011; 0.277771; -0.719482; -0.696732;
0.020023; 0.255402; -0.709045; -0.691040;
0.030035; 0.266876; -0.723602; -0.682434;
0.040046; 0.285583; -0.737244; -0.692200;
0.050058; 0.303818; -0.745056; -0.715836;
0.060070; 0.308304; -0.759445; -0.751785;
0.070082; 0.294510; -0.787598; -0.775406;
0.080093; 0.271393; -0.804916; -0.758881;
0.090105; 0.247025; -0.816284; -0.732224;
0.100117; 0.232056; -0.837753; -0.715042;
0.110128; 0.221710; -0.864594; -0.709091;
0.120140; 0.225021; -0.877609; -0.699890;
0.130152; 0.257431; -0.868103; -0.671082;
0.140164; 0.282608; -0.864426; -0.659210;
0.150175; 0.289246; -0.875565; -0.662262;
0.160187; 0.289871; -0.905624; -0.676422;
0.170199; 0.265366; -0.946167; -0.715195;
0.180211; 0.248566; -0.978638; -0.754791;
0.190222; 0.249191; -1.000916; -0.775986;
0.200234; 0.250504; -1.009598; -0.780151;
0.210246; 0.247116; -1.013443; -0.771942;
0.220257; 0.240219; -1.015396; -0.757874;
0.230269; 0.239471; -1.002869; -0.758652;
0.240281; 0.245361; -0.982010; -0.760834;
0.250293; 0.260071; -0.959732; -0.743332;
0.260304; 0.274826; -0.943817; -0.713867;
0.270316; 0.277390; -0.946503; -0.669952;
0.280328; 0.266525; -0.960587; -0.633423;
0.290339; 0.250839; -0.980698; -0.609848;
0.300351; 0.245224; -0.996780; -0.599289;
0.310363; 0.249817; -0.994125; -0.584564;
0.320375; 0.264938; -0.969482; -0.567108;
0.330386; 0.269501; -0.949112; -0.566330;
0.340398; 0.275452; -0.929626; -0.569962;
0.350410; 0.299179; -0.907303; -0.557983;
0.360422; 0.305054; -0.896698; -0.535477;
0.370433; 0.282928; -0.898499; -0.530609;
0.380445; 0.251526; -0.899933; -0.531708;
0.390457; 0.216415; -0.901886; -0.535431;
0.400468; 0.177048; -0.905930; -0.533676;
0.410480; 0.140549; -0.903610; -0.513275;
0.420492; 0.114868; -0.883209; -0.484863;
0.430504; 0.110535; -0.850601; -0.446198;
0.440515; 0.112885; -0.841782; -0.410278;
0.450527; 0.083405; -0.876312; -0.406342;
0.460539; 0.045624; -0.911346; -0.421982;
0.470551; 0.037323; -0.917221; -0.428024;
0.480562; 0.040207; -0.899780; -0.442017;
0.490574; 0.052689; -0.878525; -0.439590;
0.500586; 0.065079; -0.861176; -0.431396;
0.510597; 0.072571; -0.848343; -0.429810;
0.520609; 0.078308; -0.831650; -0.434875;
0.530621; 0.080536; -0.814529; -0.434799;
0.540633; 0.083725; -0.795578; -0.427307;
0.550644; 0.090042; -0.764221; -0.412292;
0.560656; 0.085892; -0.739441; -0.397614;
0.570668; 0.072342; -0.731705; -0.376846;
0.580680; 0.056992; -0.735519; -0.345749;
0.590691; 0.038361; -0.752502; -0.330460;
0.600703; 0.024155; -0.761841; -0.326126;
0.610715; 0.037460; -0.721741; -0.325821;
0.620726; 0.061829; -0.678711; -0.356995;
0.630738; 0.064835; -0.669907; -0.387558;
0.640750; 0.056107; -0.672012; -0.404724;
0.650762; 0.061783; -0.654587; -0.407730;
0.660773; 0.063431; -0.637283; -0.411133;
0.670785; 0.051941; -0.639526; -0.419495;
0.680797; 0.044968; -0.644653; -0.414490;
0.690808; 0.047104; -0.652985; -0.407120;
0.700820; 0.037430; -0.677658; -0.387451;
0.710832; 0.031464; -0.695862; -0.359985;
0.720844; 0.038605; -0.702042; -0.350998;
0.730855; 0.034851; -0.710541; -0.372879;
0.740867; 0.026886; -0.728058; -0.418335;
0.750879; 0.029877; -0.743576; -0.458176;
0.760891; 0.034271; -0.736908; -0.487381;
0.770902; 0.039215; -0.718216; -0.506897;
0.780914; 0.046951; -0.698853; -0.516846;
0.790926; 0.049179; -0.678757; -0.515121;
0.800938; 0.027924; -0.688293; -0.512848;
0.810950; -0.005814; -0.731415; -0.519196;
0.820962; -0.021835; -0.775970; -0.540680;
0.830974; -0.004135; -0.784592; -0.550690;
0.840985; 0.002167; -0.771957; -0.552811;
0.850997; -0.009995; -0.766953; -0.561249;
0.861009; -0.018951; -0.762009; -0.568436;
0.871021; -0.027954; -0.763062; -0.567719;
0.881032; -0.034103; -0.771301; -0.555161;
0.891044; -0.029709; -0.773773; -0.552826;
0.901056; -0.026291; -0.775467; -0.561996;
0.911067; -0.032562; -0.789856; -0.578094;
0.921079; -0.043167; -0.811966; -0.597748;
0.931091; -0.041016; -0.809464; -0.603531;
0.941103; -0.027420; -0.794296; -0.607758;
0.951114; -0.025970; -0.788010; -0.603912;
0.961126; -0.034546; -0.785263; -0.600647;
0.971138; -0.032669; -0.774475; -0.594009;
0.981149; -0.039581; -0.772125; -0.582947;
0.991161; -0.051422; -0.787323; -0.568298;
1.001173; -0.062134; -0.808090; -0.559204;
1.011185; -0.063080; -0.824036; -0.561554;
1.021196; -0.061096; -0.830872; -0.569260;
1.031208; -0.055954; -0.834793; -0.571182;
1.041220; -0.047836; -0.831787; -0.569061;
1.051232; -0.042953; -0.828430; -0.571030;
1.061243; -0.037552; -0.829819; -0.570969;
1.071255; -0.024689; -0.828400; -0.567093;
1.081267; -0.018143; -0.828644; -0.576736;
1.091278; -0.018951; -0.838089; -0.587158;
1.101290; -0.019760; -0.855560; -0.586380;
1.111302; -0.016983; -0.861038; -0.579041;
1.121314; -0.011307; -0.853500; -0.572220;
1.131325; -0.005981; -0.850525; -0.562317;
1.141337; -0.000793; -0.856888; -0.554626;
1.151349; -0.001663; -0.864716; -0.556885;
1.161361; 0.000931; -0.863968; -0.565399;
1.171372; 0.007599; -0.865982; -0.574371;
1.181384; 0.003555; -0.869141; -0.583115;
1.191396; -0.000793; -0.871643; -0.589005;
1.201407; 0.003296; -0.871338; -0.589386;
1.211419; 0.007050; -0.870682; -0.580521;
1.221431; 0.007431; -0.867996; -0.563095;
1.231443; 0.009644; -0.859100; -0.550644;
1.241454; 0.009628; -0.857880; -0.549515;
1.251466; 0.001938; -0.867310; -0.547150;
1.261478; -0.007141; -0.882523; -0.543015;
1.271490; -0.008957; -0.882706; -0.545868;
1.281501; -0.004028; -0.872131; -0.551270;
1.291513; 0.000809; -0.859787; -0.555588;
1.301525; 0.004410; -0.845490; -0.558624;
1.311536; 0.008118; -0.837341; -0.556793;
1.321548; 0.015396; -0.831116; -0.542450;
1.331560; 0.014160; -0.834549; -0.523331;
1.341572; 0.005188; -0.846664; -0.512222;
1.351583; 0.000107; -0.847885; -0.506058;
1.361595; 0.002960; -0.836853; -0.501053;
1.371607; 0.003311; -0.833664; -0.502991;
1.381618; -0.002777; -0.839447; -0.505814;
1.391630; -0.013107; -0.843307; -0.498764;
1.401642; -0.013947; -0.843567; -0.495575;
1.411654; -0.001480; -0.840500; -0.507278;
1.421665; 0.015488; -0.836868; -0.516968;
1.431677; 0.032227; -0.839005; -0.513565;
1.441689; 0.040421; -0.848694; -0.512650;
1.451701; 0.040848; -0.860565; -0.516861;
1.461712; 0.040451; -0.867310; -0.518967;
1.471724; 0.038147; -0.876144; -0.522507;
1.481736; 0.033203; -0.884811; -0.525360;
1.491747; 0.033539; -0.878265; -0.519455;
1.501759; 0.035278; -0.872177; -0.514740;
1.511771; 0.035370; -0.871201; -0.510910;
1.521783; 0.037735; -0.864105; -0.507339;
1.531794; 0.038406; -0.861038; -0.505905;
1.541806; 0.035553; -0.863373; -0.506577;
1.551818; 0.034744; -0.861603; -0.509033;
1.561830; 0.031509; -0.864456; -0.515686;
1.571841; 0.025650; -0.867004; -0.526001;
1.581853; 0.025436; -0.864365; -0.527847;
1.591865; 0.026062; -0.856842; -0.515686;
1.601876; 0.021713; -0.855179; -0.503143;
1.611888; 0.014435; -0.866241; -0.496231;
1.621900; 0.006729; -0.877289; -0.493668;
1.631912; 0.000977; -0.876022; -0.497223;
1.641923; 0.002609; -0.863953; -0.501602;
1.651935; 0.016052; -0.848801; -0.500702;
1.661947; 0.026779; -0.847855; -0.508896;
1.671958; 0.036560; -0.851746; -0.519196;
1.681970; 0.044418; -0.856705; -0.526077;
1.691982; 0.043869; -0.865738; -0.540985;
1.701994; 0.032593; -0.873322; -0.554657;
1.712005; 0.022980; -0.872147; -0.551224;
1.722017; 0.024384; -0.863022; -0.547638;
1.732029; 0.020340; -0.857773; -0.540100;
1.742041; 0.011871; -0.856720; -0.519958;
1.752052; 0.000671; -0.855392; -0.505371;
1.762064; -0.004242; -0.853592; -0.500244;
1.772076; -0.005417; -0.848434; -0.503540;
1.782087; -0.010986; -0.844528; -0.512756;
1.792099; -0.011414; -0.838715; -0.519287;
1.802110; 0.000885; -0.828964; -0.525009;
1.812122; 0.015793; -0.825180; -0.535141;
1.822133; 0.018265; -0.828644; -0.537827;
1.832145; 0.018860; -0.833633; -0.536102;
1.842157; 0.021561; -0.836655; -0.532120;
1.852168; 0.018250; -0.839020; -0.523773;
1.862180; 0.005508; -0.841995; -0.524872;
1.872192; -0.000488; -0.838623; -0.531296;
1.882204; 0.001450; -0.817245; -0.544525;
1.892215; 0.004501; -0.795288; -0.555603;
1.902227; 0.000320; -0.778336; -0.566223;
1.912239; -0.002792; -0.751740; -0.579071;
1.922251; -0.000671; -0.720795; -0.587250;
1.932262; -0.004730; -0.697647; -0.593475;
1.942274; -0.016235; -0.685242; -0.586395;
1.952286; -0.012238; -0.681641; -0.571442;
1.962297; -0.000198; -0.680527; -0.568283;
1.972309; 0.005325; -0.672470; -0.578598;
1.982321; 0.008606; -0.661270; -0.605652;
1.992333; 0.001480; -0.659042; -0.642868;
2.002344; -0.036102; -0.679169; -0.663925;
2.012356; -0.063492; -0.686966; -0.654953;
2.022368; -0.057434; -0.658798; -0.640335;
2.032380; -0.032272; -0.619690; -0.619339;
2.042391; -0.011200; -0.612015; -0.583649;
2.052403; 0.112808; -0.674500; -0.549393;
2.062415; 0.100937; -0.820557; -0.378677;
2.072426; 0.036652; -0.851974; -0.438446;
2.082438; 0.131439; -0.756561; -0.637024;
2.092450; 0.127380; -0.700592; -0.790421;
2.102462; 0.090500; -0.747253; -0.847168;
2.112473; 0.092270; -0.753494; -0.773254;
2.122485; 0.077866; -0.725616; -0.661591;
2.132497; 0.048996; -0.688919; -0.577301;
2.142508; 0.054260; -0.638901; -0.532394;
2.152520; 0.061005; -0.593002; -0.525772;
2.162532; 0.059296; -0.574799; -0.562271;
2.172544; 0.049393; -0.580460; -0.623367;
2.182555; 0.026566; -0.592773; -0.685242;
2.192567; -0.005142; -0.619568; -0.740616;
2.202579; -0.056427; -0.667908; -0.772507;
2.212591; -0.086227; -0.699051; -0.743454;
2.222602; -0.066254; -0.695312; -0.705231;
2.232614; -0.051422; -0.611572; -0.673904;
2.242626; 0.033524; -0.567123; -0.651566;
2.252637; 0.086746; -0.597931; -0.662384;
2.262649; 0.111588; -0.652420; -0.678711;
2.272661; 0.105179; -0.688705; -0.747910;
2.282673; 0.073669; -0.722137; -0.811691;
2.292684; 0.011047; -0.768982; -0.855362;
2.302696; -0.072662; -0.817795; -0.866653;
2.312708; -0.115875; -0.834808; -0.774796;
2.322720; -0.082565; -0.791245; -0.642563;
2.332731; -0.031052; -0.715454; -0.573776;
2.342743; -0.012177; -0.677979; -0.539017;
2.352755; 0.039291; -0.658676; -0.542969;
2.362766; 0.062653; -0.660324; -0.653381;
2.372778; 0.079971; -0.676376; -0.793854;
2.382790; 0.061890; -0.703964; -0.886505;
2.392802; 0.014297; -0.717834; -0.920151;
2.402813; -0.006302; -0.681244; -0.875214;
2.412825; -0.006149; -0.651993; -0.795700;
2.422837; -0.011536; -0.636246; -0.705505;
2.432849; -0.023041; -0.610550; -0.665222;
2.442860; -0.017059; -0.572235; -0.660172;
2.452872; -0.016190; -0.537216; -0.671295;
2.462884; -0.050064; -0.559662; -0.695480;
2.472895; -0.110855; -0.628021; -0.725403;
2.482907; -0.133072; -0.645599; -0.738068;
2.492919; -0.144745; -0.640427; -0.763306;
2.502931; -0.180267; -0.676376; -0.764389;
2.512942; -0.153931; -0.687347; -0.773956;
2.522954; -0.076172; -0.675858; -0.808929;
2.532966; -0.025787; -0.685989; -0.838837;
2.542977; 0.003708; -0.694992; -0.864746;
2.552989; 0.004211; -0.708267; -0.896500;
2.563001; -0.008347; -0.724503; -0.909836;
2.573013; -0.009689; -0.714203; -0.915710;
2.583024; -0.010803; -0.669647; -0.919037;
