timestamp; x; y; z;
0.000000; 0.186783; -0.349792; -0.924347;
0.010011; 0.160263; -0.370453; -0.909149;
0.020023; 0.147507; -0.390991; -0.902847;
0.030035; 0.140610; -0.397446; -0.893402;
0.040047; 0.138519; -0.401749; -0.882568;
0.050058; 0.149918; -0.400146; -0.875153;
0.060070; 0.161774; -0.394913; -0.882706;
0.070082; 0.172363; -0.394547; -0.898132;
0.080093; 0.186646; -0.399597; -0.918488;
0.090105; 0.207001; -0.407104; -0.952087;
0.100117; 0.221527; -0.419189; -0.986740;
0.110128; 0.228912; -0.434311; -1.010513;
0.120143; 0.239334; -0.444702; -1.016251;
0.130155; 0.244690; -0.451599; -0.998825;
0.140167; 0.242462; -0.458878; -0.976288;
0.150178; 0.241730; -0.459122; -0.955231;
0.160190; 0.241943; -0.464172; -0.935349;
0.170202; 0.236618; -0.463608; -0.928314;
0.180213; 0.253967; -0.452438; -0.950684;
0.190225; 0.273270; -0.436493; -0.966888;
0.200237; 0.270950; -0.452164; -1.043533;
0.210249; 0.287964; -0.464539; -1.138687;
0.220260; 0.312943; -0.471970; -1.217316;
0.230272; 0.332687; -0.475311; -1.232254;
0.240284; 0.333298; -0.484558; -1.195755;
0.250295; 0.313660; -0.500229; -1.161407;
0.260307; 0.307190; -0.521164; -1.120895;
0.270319; 0.304962; -0.548386; -1.084686;
0.280331; 0.308197; -0.562241; -1.082169;
0.290342; 0.320908; -0.550415; -1.095276;
0.300354; 0.335617; -0.522110; -1.078232;
0.310366; 0.349365; -0.508316; -1.036102;
0.320377; 0.347687; -0.500534; -1.003998;
0.330389; 0.342392; -0.512314; -0.993607;
0.340401; 0.332321; -0.525101; -0.976913;
0.350413; 0.322327; -0.522537; -0.963547;
0.360424; 0.320877; -0.510254; -0.936539;
0.370436; 0.311584; -0.503326; -0.920105;
0.380448; 0.276382; -0.526855; -0.919052;
0.390459; 0.273285; -0.546982; -0.906616;
0.400471; 0.286987; -0.558762; -0.902939;
0.410483; 0.290024; -0.567413; -0.906250;
0.420495; 0.302856; -0.563766; -0.901016;
0.430506; 0.332886; -0.553070; -0.879547;
0.440518; 0.353897; -0.557480; -0.866531;
0.450530; 0.357681; -0.565582; -0.858185;
0.460541; 0.346481; -0.567993; -0.839951;
0.470553; 0.332855; -0.560852; -0.805634;
0.480565; 0.317932; -0.562714; -0.785477;
0.490576; 0.322571; -0.555771; -0.759979;
0.500588; 0.347260; -0.530945; -0.735886;
0.510600; 0.362579; -0.522034; -0.741150;
0.520612; 0.356430; -0.535110; -0.748642;
0.530623; 0.346481; -0.528336; -0.749161;
0.540635; 0.329376; -0.495544; -0.761673;
0.550647; 0.300491; -0.461548; -0.777802;
0.560659; 0.256989; -0.422928; -0.767883;
0.570670; 0.199814; -0.367310; -0.716782;
0.580682; 0.162933; -0.313934; -0.651917;
0.590694; 0.132553; -0.293701; -0.590591;
0.600705; 0.058044; -0.311768; -0.532791;
0.610717; -0.022110; -0.337738; -0.490448;
0.620729; -0.077942; -0.361877; -0.471008;
0.630740; -0.132385; -0.393311; -0.494202;
0.640752; -0.135208; -0.411682; -0.537994;
0.650764; -0.115112; -0.428467; -0.596954;
0.660776; -0.096024; -0.463516; -0.708221;
0.670787; -0.084488; -0.489471; -0.826248;
0.680799; -0.103714; -0.505920; -0.808105;
0.690811; -0.184525; -0.588196; -0.864761;
0.700822; -0.288879; -0.579315; -0.807281;
0.710834; -0.310593; -0.539078; -0.738571;
0.720846; -0.311981; -0.511993; -0.723236;
0.730858; -0.316620; -0.460007; -0.669205;
0.740869; -0.306717; -0.432663; -0.616760;
0.750881; -0.284729; -0.431931; -0.581726;
0.760893; -0.257355; -0.458221; -0.556671;
0.770904; -0.236649; -0.521774; -0.610519;
0.780916; -0.236115; -0.586868; -0.673492;
0.790928; -0.230057; -0.639236; -0.725311;
0.800940; -0.230576; -0.670090; -0.758545;
0.810951; -0.237579; -0.674286; -0.758270;
0.820963; -0.242477; -0.667419; -0.724380;
0.830975; -0.224625; -0.664536; -0.686844;
0.840986; -0.207489; -0.662918; -0.679260;
0.850998; -0.195602; -0.661499; -0.684601;
0.861010; -0.188675; -0.659866; -0.701309;
0.871022; -0.192032; -0.660965; -0.725418;
0.881033; -0.188583; -0.659210; -0.750488;
0.891045; -0.186371; -0.656540; -0.777557;
0.901057; -0.190506; -0.644028; -0.795792;
0.911068; -0.191208; -0.625671; -0.799866;
0.921080; -0.187302; -0.617554; -0.791855;
0.931092; -0.183136; -0.615402; -0.783951;
0.941104; -0.193436; -0.627350; -0.775467;
0.951115; -0.204849; -0.640167; -0.766632;
0.961127; -0.209625; -0.639267; -0.750641;
0.971139; -0.207047; -0.634109; -0.730286;
0.981150; -0.208282; -0.632965; -0.726013;
0.991162; -0.210495; -0.631882; -0.734116;
1.001174; -0.205399; -0.635727; -0.745239;
1.011186; -0.195801; -0.636612; -0.754288;
1.021197; -0.192062; -0.635544; -0.765610;
1.031209; -0.186295; -0.631989; -0.780197;
1.041221; -0.172302; -0.625641; -0.780121;
1.051232; -0.151855; -0.626755; -0.772675;
1.061244; -0.147705; -0.640930; -0.770889;
1.071256; -0.142960; -0.655396; -0.765610;
1.081268; -0.141083; -0.671494; -0.754242;
1.091279; -0.145477; -0.685974; -0.737457;
1.101291; -0.143082; -0.692383; -0.730453;
1.111303; -0.144623; -0.700546; -0.731796;
1.121312; -0.147171; -0.701019; -0.731750;
1.131324; -0.146561; -0.691330; -0.729233;
1.141336; -0.146317; -0.678665; -0.722900;
1.151348; -0.143295; -0.667297; -0.717377;
1.161359; -0.135559; -0.658707; -0.712830;
1.171371; -0.125336; -0.659653; -0.710236;
1.181383; -0.119049; -0.669754; -0.710373;
1.191394; -0.111862; -0.682083; -0.716080;
1.201406; -0.111160; -0.698212; -0.725403;
1.211418; -0.113922; -0.710907; -0.729553;
1.221430; -0.111237; -0.713257; -0.730087;
1.231441; -0.109634; -0.709656; -0.728897;
1.241453; -0.110153; -0.703018; -0.729111;
1.251465; -0.107010; -0.693466; -0.727005;
1.261476; -0.107834; -0.688171; -0.724823;
1.271488; -0.105240; -0.680359; -0.721207;
1.281500; -0.097916; -0.676315; -0.713501;
1.291512; -0.096191; -0.684982; -0.713272;
1.301523; -0.101807; -0.697830; -0.722092;
1.311535; -0.102432; -0.703888; -0.730927;
1.321547; -0.095901; -0.700836; -0.735367;
1.331558; -0.089874; -0.700027; -0.736786;
1.341570; -0.091339; -0.701767; -0.733841;
1.351582; -0.095627; -0.703735; -0.729355;
1.361594; -0.102875; -0.706238; -0.727036;
1.371605; -0.110703; -0.704178; -0.726440;
1.381617; -0.112396; -0.697769; -0.725342;
1.391629; -0.110901; -0.691757; -0.720184;
1.401640; -0.106766; -0.685638; -0.714447;
1.411652; -0.100418; -0.682800; -0.712677;
1.421664; -0.099808; -0.688248; -0.715500;
1.431676; -0.100388; -0.693359; -0.719086;
1.441687; -0.099945; -0.696045; -0.731812;
1.451699; -0.101898; -0.697495; -0.740555;
1.461711; -0.101685; -0.694885; -0.738525;
1.471722; -0.097351; -0.689423; -0.726852;
1.481734; -0.099869; -0.693665; -0.713715;
1.491746; -0.105743; -0.703613; -0.706589;
1.501758; -0.107727; -0.710236; -0.705750;
1.511769; -0.109756; -0.709000; -0.708588;
1.521781; -0.108978; -0.703934; -0.716644;
1.531793; -0.100037; -0.692108; -0.726196;
1.541804; -0.101807; -0.689682; -0.730301;
1.551816; -0.101334; -0.686340; -0.730774;
1.561828; -0.095718; -0.683655; -0.723465;
1.571840; -0.097305; -0.690353; -0.711945;
1.581851; -0.100723; -0.696945; -0.705917;
1.591863; -0.106140; -0.702515; -0.707047;
1.601875; -0.108459; -0.703705; -0.717026;
1.611886; -0.104584; -0.699844; -0.727417;
1.621898; -0.104477; -0.695984; -0.735855;
1.631910; -0.103821; -0.694260; -0.733139;
1.641921; -0.109512; -0.692261; -0.728943;
1.651933; -0.110474; -0.690079; -0.723190;
1.661945; -0.112350; -0.688736; -0.717026;
1.671957; -0.112549; -0.687042; -0.714325;
1.681968; -0.109177; -0.685867; -0.712875;
1.691980; -0.111633; -0.685486; -0.715683;
1.701992; -0.114929; -0.685516; -0.716339;
1.712003; -0.112259; -0.684479; -0.714340;
1.722015; -0.112656; -0.682983; -0.719208;
1.732027; -0.114197; -0.682526; -0.723740;
1.742039; -0.112335; -0.680084; -0.722595;
1.752050; -0.108170; -0.683487; -0.720215;
1.762062; -0.101425; -0.692673; -0.719070;
1.772074; -0.094345; -0.700684; -0.720490;
1.782085; -0.092941; -0.708542; -0.725128;
1.792097; -0.093079; -0.710724; -0.730240;
1.802109; -0.093903; -0.705017; -0.732468;
1.812121; -0.093689; -0.695923; -0.729279;
1.822132; -0.095078; -0.687729; -0.724319;
1.832144; -0.097961; -0.682510; -0.720932;
1.842156; -0.094086; -0.679428; -0.710907;
1.852168; -0.094650; -0.680023; -0.706665;
1.862179; -0.097137; -0.686066; -0.723465;
1.872191; -0.103180; -0.691132; -0.745712;
1.882203; -0.111496; -0.691238; -0.761108;
1.892214; -0.115555; -0.680710; -0.768600;
1.902226; -0.130936; -0.673065; -0.787323;
1.912238; -0.135529; -0.658829; -0.777756;
1.922249; -0.158859; -0.644379; -0.775192;
1.932261; -0.173904; -0.633911; -0.764313;
1.942273; -0.208786; -0.633392; -0.772324;
1.952285; -0.232147; -0.633133; -0.777740;
1.962296; -0.231735; -0.618988; -0.784180;
1.972308; -0.242783; -0.594009; -0.799011;
1.982320; -0.265091; -0.572540; -0.793533;
1.992331; -0.277039; -0.559677; -0.768387;
2.002343; -0.271149; -0.534210; -0.733871;
2.012355; -0.268616; -0.509583; -0.721619;
2.022367; -0.266632; -0.525421; -0.716141;
2.032378; -0.283676; -0.557892; -0.735031;
2.042390; -0.279358; -0.587845; -0.784821;
2.052402; -0.264893; -0.592941; -0.811722;
2.062413; -0.244537; -0.588409; -0.811310;
2.072425; -0.211319; -0.533920; -0.953384;
2.082437; -0.178909; -0.561432; -0.873871;
2.092449; -0.248672; -0.606644; -0.792633;
2.102460; -0.282181; -0.610229; -0.730515;
2.112472; -0.253250; -0.566345; -0.684921;
2.122482; -0.273727; -0.506317; -0.896484;
2.132494; -0.174988; -0.473740; -0.888336;
2.142505; -0.097488; -0.478683; -0.747101;
2.152517; -0.117889; -0.507751; -0.740753;
2.162529; -0.144852; -0.526672; -0.724304;
2.172540; -0.167191; -0.517746; -0.705734;
2.182552; -0.174759; -0.510559; -0.678360;
2.192564; -0.170654; -0.516830; -0.656708;
2.202575; -0.176895; -0.539795; -0.642731;
2.212587; -0.185364; -0.588074; -0.621063;
2.222599; -0.188431; -0.631561; -0.624634;
2.232611; -0.202896; -0.634552; -0.648193;
2.242622; -0.200058; -0.613861; -0.660294;
2.252634; -0.180756; -0.597610; -0.685242;
2.262646; -0.131470; -0.571518; -0.715210;
2.272658; -0.053055; -0.510101; -0.750748;
2.282669; 0.004883; -0.463837; -0.791061;
2.292681; 0.033890; -0.467194; -0.814148;
2.302693; 0.025223; -0.495285; -0.823624;
2.312704; -0.017029; -0.537994; -0.822739;
2.322716; -0.046921; -0.591553; -0.802063;
2.332728; -0.060104; -0.638214; -0.777573;
2.342740; -0.065308; -0.666351; -0.751755;
2.352751; -0.060654; -0.677658; -0.716721;
2.362763; -0.047409; -0.670654; -0.668854;
2.372775; -0.015869; -0.656448; -0.645752;
2.382786; 0.012558; -0.665833; -0.652740;
2.392798; 0.007355; -0.672195; -0.683762;
2.402810; 0.046402; -0.668213; -0.693863;
2.412822; 0.097610; -0.665207; -0.714371;
2.422833; 0.152206; -0.624954; -0.781326;
2.432845; 0.181915; -0.602234; -0.834763;
2.442857; 0.163773; -0.627975; -0.900970;
2.452868; 0.127151; -0.644440; -0.943268;
2.462880; 0.098145; -0.629242; -0.929611;
2.472892; 0.080231; -0.607452; -0.893112;
2.482903; 0.075287; -0.593063; -0.836533;
2.492915; 0.071472; -0.585480; -0.796463;
2.502927; 0.059814; -0.573410; -0.781967;
2.512939; 0.040726; -0.561203; -0.794144;
2.522950; 0.020233; -0.550934; -0.823196;
2.532962; 0.041214; -0.554245; -0.857056;
2.542974; 0.034348; -0.592392; -0.821045;
2.552985; 0.057938; -0.546768; -0.819778;
2.562997; 0.091263; -0.507446; -0.873566;
2.573009; 0.052261; -0.539856; -0.882935;
2.583021; 0.064163; -0.533737; -0.865784;
2.593032; 0.076111; -0.534775; -0.843903;
2.603044; 0.089676; -0.537399; -0.824219;
2.613056; 0.115128; -0.555984; -0.807999;
2.623067; 0.149765; -0.613022; -0.832001;
2.633079; 0.171173; -0.650696; -0.856628;
2.643091; 0.204407; -0.655304; -0.895081;
2.653103; 0.219040; -0.636169; -0.960861;
2.663114; 0.204010; -0.606705; -0.967819;
2.673126; 0.195023; -0.561691; -0.945969;
2.683138; 0.193237; -0.525314; -0.933350;
2.693150; 0.178070; -0.519974; -0.897507;
2.703161; 0.156281; -0.512390; -0.860245;
2.713173; 0.093674; -0.535751; -0.798325;
2.723185; 0.113800; -0.545547; -0.749100;
2.733196; 0.122086; -0.547394; -0.772812;
2.743208; 0.113358; -0.554596; -0.803375;
2.753220; 0.137222; -0.563889; -0.846603;
2.763231; 0.158386; -0.601624; -0.887695;
2.773243; 0.193649; -0.656006; -0.907471;
2.783255; 0.239456; -0.710953; -0.923904;
2.793267; 0.301239; -0.738754; -0.948120;
2.803278; 0.358154; -0.711731; -0.957870;
2.813290; 0.354675; -0.633347; -0.971085;
2.823302; 0.282196; -0.572433; -0.969208;
2.833313; 0.234909; -0.506897; -0.975006;
2.843325; 0.208923; -0.436188; -0.984619;
2.853337; 0.171249; -0.469894; -0.940857;
2.863349; 0.140900; -0.485977; -0.881165;
2.873360; 0.131195; -0.429153; -0.832382;
2.883372; 0.110764; -0.398819; -0.800018;
2.893384; 0.052307; -0.445465; -0.790848;
2.903395; 0.026245; -0.461960; -0.856400;
2.913407; 0.034103; -0.469635; -0.919250;
2.923419; 0.036987; -0.461655; -0.969803;
2.933431; 0.032394; -0.452301; -0.993439;
2.943442; 0.035156; -0.443085; -0.966644;
2.953454; 0.021652; -0.440170; -0.913910;
2.963466; 0.001297; -0.435287; -0.891693;
2.973478; -0.003067; -0.420044; -0.880646;
2.983489; 0.002380; -0.414429; -0.879349;
2.993501; 0.020035; -0.427231; -0.884857;
3.003513; 0.036804; -0.433701; -0.888336;
3.013524; 0.026611; -0.419312; -0.907196;
3.023536; 0.040024; -0.424850; -0.920563;
3.033548; 0.057037; -0.419952; -0.929886;
3.043560; 0.073563; -0.397537; -0.936890;
3.053571; 0.088333; -0.384750; -0.956146;
3.063583; 0.092270; -0.372986; -0.977707;
3.073595; 0.084198; -0.371841; -0.992966;
3.083606; 0.060394; -0.386551; -0.987106;
3.093618; 0.043427; -0.413605; -0.966736;
3.103630; 0.015808; -0.421097; -0.891235;
3.113641; 0.052124; -0.452133; -0.948181;
