timestamp; x; y; z;
0.000000; 0.057648; -0.430649; -0.850769;
0.010011; 0.053665; -0.427963; -0.870575;
0.020023; 0.049545; -0.428955; -0.887299;
0.030035; 0.052826; -0.430969; -0.897034;
0.040046; 0.063629; -0.437683; -0.903244;
0.050058; 0.080933; -0.438522; -0.908539;
0.060069; 0.091446; -0.440720; -0.910187;
0.070081; 0.094498; -0.456284; -0.909637;
0.080093; 0.110672; -0.475861; -0.912766;
0.090104; 0.126343; -0.486084; -0.911835;
0.100116; 0.130203; -0.475418; -0.903763;
0.110127; 0.118774; -0.458633; -0.896530;
0.120139; 0.097778; -0.457199; -0.887344;
0.130151; 0.082977; -0.453873; -0.872360;
0.140162; 0.070633; -0.448288; -0.865128;
0.150174; 0.060638; -0.444534; -0.868698;
0.160186; 0.054398; -0.450684; -0.876694;
0.170197; 0.058426; -0.478699; -0.896149;
0.180209; 0.082474; -0.454330; -0.911011;
0.190220; 0.071762; -0.442001; -0.913300;
0.200232; 0.065842; -0.438904; -0.906525;
0.210244; 0.076202; -0.437531; -0.893448;
0.220255; 0.078354; -0.443176; -0.897736;
0.230267; 0.086014; -0.454315; -0.908554;
0.240278; 0.096115; -0.459442; -0.916275;
0.250290; 0.100983; -0.453461; -0.929703;
0.260302; 0.078537; -0.440521; -0.924561;
0.270313; 0.058319; -0.424072; -0.893723;
0.280325; 0.053452; -0.423233; -0.878616;
0.290337; 0.060471; -0.420685; -0.886230;
0.300348; 0.061813; -0.422699; -0.899918;
0.310360; 0.058182; -0.426788; -0.914688;
0.320372; 0.066208; -0.425247; -0.927490;
0.330383; 0.063095; -0.433472; -0.928131;
0.340395; 0.055389; -0.441437; -0.908752;
0.350406; 0.049332; -0.441711; -0.892181;
0.360418; 0.045380; -0.440201; -0.885422;
0.370430; 0.049576; -0.442047; -0.882401;
0.380441; 0.060501; -0.445404; -0.888260;
0.390453; 0.069305; -0.446198; -0.902786;
0.400464; 0.071320; -0.442596; -0.911453;
0.410476; 0.071060; -0.442078; -0.907761;
0.420488; 0.065094; -0.444702; -0.899246;
0.430499; 0.061859; -0.444443; -0.894119;
0.440511; 0.062119; -0.438751; -0.894104;
0.450523; 0.061203; -0.437607; -0.894760;
0.460534; 0.060715; -0.439438; -0.903564;
0.470546; 0.061981; -0.442200; -0.910126;
0.480557; 0.068192; -0.440063; -0.914200;
0.490569; 0.075027; -0.440292; -0.916687;
0.500581; 0.070114; -0.445068; -0.907196;
0.510592; 0.068954; -0.446213; -0.894058;
0.520604; 0.070068; -0.448944; -0.894104;
0.530615; 0.073746; -0.448944; -0.900467;
0.540627; 0.070816; -0.449249; -0.902710;
0.550639; 0.066116; -0.445145; -0.904465;
0.560650; 0.061264; -0.443176; -0.897034;
0.570662; 0.057175; -0.444534; -0.885345;
0.580674; 0.056824; -0.447342; -0.879578;
0.590685; 0.062943; -0.445740; -0.894333;
0.600697; 0.069336; -0.447586; -0.908997;
0.610709; 0.071075; -0.449997; -0.916138;
0.620720; 0.068954; -0.447464; -0.914093;
0.630732; 0.064026; -0.446579; -0.903381;
0.640743; 0.060928; -0.449738; -0.893082;
0.650755; 0.062698; -0.448883; -0.893509;
0.660767; 0.071243; -0.445633; -0.906357;
0.670778; 0.071793; -0.445908; -0.915939;
0.680790; 0.074539; -0.446213; -0.918198;
0.690801; 0.068192; -0.448868; -0.915726;
0.700813; 0.061493; -0.447693; -0.922150;
0.710825; 0.070862; -0.441193; -0.948471;
0.720836; 0.069595; -0.434250; -0.971161;
0.730848; 0.071457; -0.430161; -0.988251;
0.740859; 0.066757; -0.441391; -0.992981;
0.750871; 0.063904; -0.446045; -0.989319;
0.760883; 0.058212; -0.455063; -0.997864;
0.770894; 0.044678; -0.465576; -1.024872;
0.780906; 0.020248; -0.470596; -1.033478;
0.790918; 0.011856; -0.458588; -1.039841;
0.800929; 0.021530; -0.438995; -1.053543;
0.810941; 0.028732; -0.429871; -1.062744;
0.820953; 0.049454; -0.437027; -1.052521;
0.830964; 0.052612; -0.442749; -1.046753;
0.840976; 0.029160; -0.460251; -1.030319;
0.850987; -0.003082; -0.457031; -0.995697;
0.860999; -0.016235; -0.437195; -0.971222;
0.871011; -0.029297; -0.434647; -0.978806;
0.881022; -0.022003; -0.423386; -1.008041;
0.891034; -0.007187; -0.409927; -1.017838;
0.901045; -0.007462; -0.411743; -1.003738;
0.911057; -0.003525; -0.412231; -0.985626;
0.921069; 0.013641; -0.407242; -0.981384;
0.931080; 0.028214; -0.417786; -0.992722;
0.941092; 0.038895; -0.433685; -1.009613;
0.951104; 0.046524; -0.440140; -1.017868;
0.961115; 0.029251; -0.430801; -1.036346;
0.971127; 0.014374; -0.430252; -1.044998;
0.981138; 0.021729; -0.438797; -1.032928;
0.991150; 0.027740; -0.453003; -1.013123;
1.001162; 0.023697; -0.475754; -0.983521;
1.011173; 0.032501; -0.489120; -0.958801;
1.021185; 0.042740; -0.490799; -0.974701;
1.031197; 0.058670; -0.501144; -0.980484;
1.041208; 0.061920; -0.506470; -0.955688;
1.051220; 0.053116; -0.509186; -0.907516;
1.061231; 0.055695; -0.522720; -0.856537;
1.071243; 0.067902; -0.534180; -0.846420;
1.081255; 0.085922; -0.551056; -0.884293;
1.091266; 0.094757; -0.547791; -0.886932;
1.101278; 0.098450; -0.558945; -0.827988;
1.111290; 0.083572; -0.581558; -0.762115;
1.121301; 0.077744; -0.594742; -0.703384;
1.131313; 0.065567; -0.614883; -0.683548;
1.141324; 0.043594; -0.623566; -0.703049;
1.151336; 0.040344; -0.622940; -0.678635;
1.161348; 0.027832; -0.624130; -0.625977;
1.171359; 0.022171; -0.635178; -0.594543;
1.181371; 0.015457; -0.657806; -0.575180;
1.191383; 0.027420; -0.674103; -0.554779;
1.201394; 0.034363; -0.690521; -0.548386;
1.211406; 0.045486; -0.697556; -0.543152;
1.221417; 0.050995; -0.702164; -0.545670;
1.231429; 0.039368; -0.704117; -0.524536;
1.241441; 0.029266; -0.702621; -0.490204;
1.251452; 0.031509; -0.708099; -0.493103;
1.261464; 0.046509; -0.708160; -0.525925;
1.271475; 0.055008; -0.713715; -0.574921;
1.281487; 0.053284; -0.725830; -0.593384;
1.291499; 0.058563; -0.729935; -0.583191;
1.301510; 0.056747; -0.737854; -0.583633;
1.311522; 0.053375; -0.739120; -0.581268;
1.321534; 0.047836; -0.730881; -0.558243;
