timestamp; x; y; z;
0.000000; 0.174667; -0.639099; -0.719727;
0.010011; 0.176468; -0.632172; -0.702118;
0.020023; 0.188965; -0.632065; -0.702682;
0.030035; 0.194794; -0.650726; -0.723831;
0.040047; 0.214035; -0.677292; -0.756409;
0.050058; 0.228210; -0.684296; -0.778152;
0.060070; 0.225388; -0.680206; -0.788406;
0.070082; 0.212036; -0.676025; -0.776611;
0.080093; 0.196564; -0.670731; -0.751892;
0.090105; 0.176300; -0.675262; -0.732849;
0.100117; 0.154236; -0.666580; -0.709244;
0.110129; 0.142075; -0.642365; -0.690857;
0.120140; 0.138840; -0.616211; -0.693771;
0.130152; 0.140335; -0.609283; -0.708176;
0.140164; 0.142471; -0.622269; -0.732483;
0.150175; 0.156433; -0.640030; -0.756073;
0.160187; 0.167374; -0.662231; -0.769119;
0.170199; 0.174423; -0.662994; -0.778305;
0.180211; 0.157303; -0.656082; -0.775589;
0.190222; 0.142685; -0.648727; -0.759689;
0.200234; 0.124817; -0.625504; -0.738358;
0.210246; 0.115082; -0.598953; -0.713638;
0.220257; 0.097748; -0.587372; -0.694901;
0.230269; 0.097900; -0.605453; -0.694382;
0.240281; 0.097900; -0.619843; -0.713013;
0.250293; 0.088348; -0.629471; -0.701126;
0.260304; 0.094254; -0.636337; -0.726959;
0.270316; 0.125488; -0.640533; -0.759293;
0.280328; 0.118362; -0.676804; -0.808197;
0.290339; 0.130402; -0.687576; -0.859329;
0.300351; 0.153915; -0.662415; -0.879425;
0.310363; 0.167023; -0.641434; -0.871994;
0.320375; 0.164963; -0.623901; -0.847107;
0.330386; 0.146896; -0.620682; -0.812042;
0.340398; 0.144531; -0.632050; -0.763794;
0.350410; 0.148117; -0.671005; -0.723541;
0.360422; 0.165741; -0.761993; -0.679413;
0.370433; 0.182037; -0.781967; -0.664764;
0.380445; 0.193893; -0.726868; -0.682968;
0.390457; 0.237808; -0.689682; -0.732590;
0.400468; 0.248215; -0.689484; -0.753082;
0.410480; 0.246567; -0.704559; -0.744522;
0.420492; 0.235992; -0.717773; -0.720093;
0.430503; 0.216705; -0.702148; -0.704056;
0.440515; 0.187775; -0.670883; -0.678268;
