timestamp; x; y; z;
0.000000; 0.200714; -0.570496; -0.770569;
0.010012; 0.194199; -0.567947; -0.758972;
0.020024; 0.193649; -0.568207; -0.756592;
0.030036; 0.199539; -0.574203; -0.776047;
0.040047; 0.205185; -0.571289; -0.813446;
0.050059; 0.213135; -0.559509; -0.836639;
0.060071; 0.216110; -0.554611; -0.840057;
0.070083; 0.209747; -0.556137; -0.833801;
0.080094; 0.199020; -0.556778; -0.823486;
0.090106; 0.195068; -0.559036; -0.820404;
0.100118; 0.202225; -0.569794; -0.832382;
0.110130; 0.209045; -0.582169; -0.840668;
0.120141; 0.218430; -0.588989; -0.831421;
0.130153; 0.226440; -0.594727; -0.818985;
0.140165; 0.221146; -0.590225; -0.833496;
0.150176; 0.206421; -0.592728; -0.848099;
0.160188; 0.200363; -0.589142; -0.875610;
0.170200; 0.202469; -0.566223; -0.900192;
0.180212; 0.195816; -0.564148; -0.882553;
0.190222; 0.183899; -0.585327; -0.869247;
0.200234; 0.174744; -0.608536; -0.870071;
0.210246; 0.162262; -0.616638; -0.925522;
0.220258; 0.156876; -0.599564; -0.975571;
0.230269; 0.160049; -0.583893; -1.004639;
0.240281; 0.155533; -0.583176; -1.020538;
0.250293; 0.145370; -0.587708; -1.018280;
0.260305; 0.140442; -0.599091; -1.021774;
0.270316; 0.126480; -0.604843; -1.040710;
0.280328; 0.128250; -0.591248; -1.064301;
0.290340; 0.125763; -0.580124; -1.075058;
0.300352; 0.100250; -0.580841; -1.065491;
0.310363; 0.070633; -0.574417; -1.018494;
0.320375; 0.020142; -0.581696; -0.946609;
0.330387; -0.014816; -0.565964; -0.872192;
0.340399; -0.044235; -0.551346; -0.826202;
0.350410; -0.029770; -0.526749; -0.800323;
0.360422; -0.030609; -0.478912; -0.921494;
0.370434; 0.111588; -0.407471; -0.832993;
0.380445; 0.113541; -0.336868; -0.910645;
0.390457; -0.000031; -0.403595; -0.924377;
0.400469; -0.167557; -0.474243; -0.978149;
0.410481; 0.035675; -0.482300; -0.811722;
0.420492; 0.044952; -0.448456; -0.816116;
0.430504; -0.049286; -0.390289; -0.843689;
0.440516; -0.077911; -0.412094; -0.836517;
0.450528; -0.131180; -0.513565; -0.897171;
0.460539; -0.224762; -0.585175; -0.939499;
0.470551; -0.257217; -0.558594; -0.959717;
0.480563; -0.177979; -0.477676; -0.920197;
0.490575; -0.065094; -0.384598; -0.794861;
