timestamp; x; y; z;
0.000000; 0.030029; -0.598389; -0.770721;
0.010013; 0.031799; -0.598373; -0.774567;
0.020025; 0.029312; -0.602707; -0.777100;
0.030038; 0.026947; -0.605820; -0.764542;
0.040051; 0.032410; -0.612823; -0.750565;
0.050063; 0.045853; -0.639160; -0.761597;
0.060076; 0.044342; -0.676498; -0.756516;
0.070088; 0.046112; -0.661591; -0.770538;
0.080101; 0.049728; -0.637833; -0.770584;
0.090114; 0.052017; -0.623566; -0.751694;
0.100126; 0.052048; -0.598099; -0.752304;
0.110139; 0.040955; -0.573822; -0.762726;
0.120151; 0.030701; -0.566711; -0.769592;
0.130164; 0.027542; -0.573639; -0.782181;
0.140176; 0.017090; -0.593460; -0.780319;
0.150189; 0.005783; -0.615448; -0.801514;
0.160202; 0.002808; -0.625061; -0.804443;
0.170214; -0.003143; -0.626358; -0.806061;
0.180227; -0.010117; -0.627151; -0.809067;
0.190239; -0.010040; -0.622391; -0.819717;
0.200252; -0.000504; -0.596558; -0.837494;
0.210264; -0.007721; -0.572449; -0.851517;
0.220277; -0.021118; -0.560974; -0.849701;
0.230290; -0.034393; -0.558441; -0.842850;
0.240302; -0.073135; -0.571945; -0.854446;
0.250315; -0.125793; -0.590424; -0.880630;
0.260327; -0.166321; -0.592453; -0.913437;
0.270340; -0.184204; -0.558487; -0.927689;
0.280352; -0.178513; -0.494339; -0.922150;
0.290365; -0.169724; -0.438187; -0.928024;
0.300378; -0.153259; -0.389832; -0.954605;
0.310390; -0.143097; -0.358749; -0.997192;
0.320403; -0.174408; -0.363205; -1.068039;
0.330415; -0.230881; -0.369080; -1.137070;
0.340428; -0.277588; -0.355972; -1.177231;
0.350440; -0.300339; -0.310074; -1.178787;
0.360453; -0.309097; -0.255692; -1.116409;
0.370466; -0.316483; -0.222397; -1.021484;
0.380478; -0.319397; -0.200302; -0.916229;
0.390491; -0.318924; -0.200394; -0.813339;
0.400503; -0.311981; -0.219131; -0.759094;
0.410516; -0.288345; -0.235352; -0.736954;
0.420528; -0.248642; -0.248596; -0.726410;
0.430541; -0.202896; -0.277878; -0.719269;
0.440554; -0.148315; -0.312805; -0.726013;
0.450566; -0.078049; -0.336288; -0.741272;
0.460579; -0.011688; -0.365875; -0.767776;
0.470591; 0.053619; -0.403488; -0.785873;
0.480604; 0.114944; -0.433990; -0.811310;
0.490616; 0.151398; -0.459564; -0.846237;
0.500629; 0.161331; -0.478271; -0.873627;
0.510642; 0.187317; -0.484467; -0.896194;
0.520654; 0.190918; -0.501556; -0.908722;
0.530667; 0.187729; -0.505478; -0.896713;
0.540679; 0.210175; -0.502899; -0.890717;
0.550692; 0.217987; -0.506790; -0.899918;
0.560700; 0.220047; -0.511108; -0.899155;
0.570713; 0.234558; -0.510498; -0.902542;
0.580726; 0.259583; -0.497177; -0.890076;
0.590738; 0.271118; -0.497772; -0.861237;
0.600751; 0.272583; -0.518280; -0.863312;
0.610763; 0.280914; -0.521301; -0.896805;
0.620776; 0.285736; -0.517059; -0.932465;
0.630789; 0.279266; -0.525360; -0.976212;
0.640801; 0.268066; -0.521957; -0.999359;
0.650814; 0.272751; -0.505417; -0.986816;
0.660826; 0.269379; -0.513046; -0.939285;
0.670839; 0.259659; -0.535797; -0.881058;
0.680851; 0.249435; -0.553925; -0.840118;
0.690864; 0.240356; -0.565567; -0.831207;
0.700876; 0.244583; -0.559738; -0.837448;
0.710889; 0.255493; -0.549805; -0.854172;
0.720902; 0.270355; -0.540665; -0.901230;
0.730914; 0.281525; -0.524078; -0.950714;
0.740927; 0.290573; -0.508759; -0.972809;
0.750939; 0.278839; -0.502853; -0.970016;
0.760952; 0.260193; -0.506104; -0.929443;
0.770965; 0.244400; -0.514465; -0.889648;
0.780977; 0.229706; -0.515915; -0.850876;
0.790990; 0.210281; -0.525269; -0.833221;
0.801002; 0.199890; -0.525085; -0.837891;
0.811015; 0.202072; -0.505066; -0.849014;
0.821027; 0.198349; -0.491394; -0.851578;
0.831040; 0.185776; -0.487152; -0.853302;
0.841053; 0.182373; -0.480286; -0.848602;
0.851065; 0.182571; -0.480850; -0.846527;
0.861078; 0.177567; -0.497070; -0.848999;
0.871090; 0.173889; -0.506592; -0.842682;
0.881103; 0.159271; -0.509720; -0.832916;
0.891115; 0.151611; -0.501511; -0.827942;
0.901128; 0.160233; -0.481384; -0.822128;
0.911141; 0.168091; -0.471848; -0.843399;
0.921153; 0.169525; -0.471954; -0.880569;
0.931166; 0.163071; -0.480438; -0.908051;
0.941178; 0.154953; -0.488220; -0.916107;
0.951191; 0.151169; -0.486801; -0.909195;
0.961203; 0.143066; -0.492508; -0.891449;
0.971216; 0.128937; -0.496994; -0.885742;
0.981229; 0.127960; -0.488373; -0.897415;
0.991241; 0.127899; -0.479553; -0.914368;
1.001254; 0.127258; -0.474091; -0.934753;
1.011266; 0.129318; -0.467926; -0.944366;
1.021279; 0.124435; -0.461380; -0.940521;
1.031291; 0.121384; -0.453079; -0.922470;
1.041304; 0.127167; -0.447159; -0.909775;
1.051317; 0.127182; -0.444839; -0.918564;
1.061329; 0.134109; -0.442322; -0.932068;
1.071342; 0.135681; -0.443008; -0.937607;
1.081354; 0.127594; -0.451752; -0.927872;
1.091367; 0.115326; -0.461945; -0.911621;
1.101379; 0.109894; -0.469528; -0.906616;
1.111392; 0.111481; -0.472168; -0.913467;
1.121405; 0.123932; -0.459579; -0.923019;
1.131417; 0.129517; -0.450409; -0.928757;
1.141430; 0.123978; -0.454544; -0.921494;
1.151442; 0.115692; -0.462509; -0.918457;
1.161455; 0.115646; -0.466736; -0.925537;
1.171467; 0.123123; -0.470139; -0.927704;
1.181480; 0.134842; -0.475616; -0.919067;
1.191493; 0.147430; -0.475677; -0.911469;
1.201505; 0.158203; -0.473450; -0.908401;
1.211518; 0.167999; -0.472549; -0.912750;
1.221530; 0.188019; -0.470383; -0.909576;
1.231543; 0.230011; -0.467697; -0.895996;
1.241555; 0.282578; -0.478012; -0.872772;
1.251568; 0.318787; -0.497116; -0.843460;
1.261581; 0.343674; -0.529068; -0.816299;
1.271593; 0.367813; -0.560349; -0.799484;
1.281606; 0.401016; -0.575394; -0.776627;
1.291618; 0.433334; -0.579895; -0.747589;
1.301631; 0.463760; -0.575165; -0.752655;
1.311643; 0.513870; -0.562378; -0.759308;
1.321656; 0.587723; -0.535416; -0.735672;
1.331669; 0.640442; -0.514816; -0.718735;
1.341681; 0.666061; -0.470657; -0.748917;
1.351694; 0.704315; -0.476852; -0.759293;
1.361706; 0.740814; -0.570175; -0.784271;
1.371719; 0.781464; -0.640518; -0.826141;
1.381731; 0.834320; -0.655212; -0.855011;
1.391744; 0.814606; -0.687378; -0.896408;
1.401757; 0.759521; -0.695908; -0.907211;
1.411769; 0.739151; -0.701218; -0.880661;
1.421782; 0.711227; -0.697845; -0.879959;
1.431794; 0.610016; -0.660858; -0.922546;
1.441807; 0.513962; -0.635941; -0.947601;
1.451819; 0.686035; -0.667465; -0.786636;
1.461832; 0.758835; -0.587097; -0.669495;
