timestamp; x; y; z;
0.000000; 0.090897; -0.545425; -0.862579;
0.010012; 0.106735; -0.530609; -0.861588;
0.020024; 0.105225; -0.527344; -0.872498;
0.030036; 0.089996; -0.505707; -0.860413;
0.040048; 0.076492; -0.493820; -0.836914;
0.050060; 0.068054; -0.522171; -0.833023;
0.060072; 0.058685; -0.518829; -0.857895;
0.070084; 0.031006; -0.521942; -0.839371;
0.080096; 0.028824; -0.525528; -0.837616;
0.090108; 0.027206; -0.534195; -0.846161;
0.100120; 0.047653; -0.556061; -0.829819;
0.110132; 0.046097; -0.580933; -0.814270;
0.120144; 0.052567; -0.574265; -0.827255;
0.130156; 0.054855; -0.556137; -0.837799;
0.140168; 0.056519; -0.543930; -0.830429;
0.150180; 0.073380; -0.533386; -0.829193;
0.160192; 0.083145; -0.514694; -0.833298;
0.170204; 0.082581; -0.496735; -0.821350;
0.180216; 0.095520; -0.485306; -0.824097;
0.190228; 0.086533; -0.490829; -0.823532;
0.200240; 0.068451; -0.511139; -0.840378;
0.210252; 0.067337; -0.536758; -0.855637;
0.220264; 0.065918; -0.555695; -0.863174;
0.230276; 0.065155; -0.561005; -0.868195;
0.240288; 0.068298; -0.550888; -0.859879;
0.250300; 0.066483; -0.536163; -0.853958;
0.260312; 0.069611; -0.524002; -0.856995;
0.270324; 0.060486; -0.520035; -0.857147;
0.280336; 0.048920; -0.521362; -0.857712;
0.290348; 0.045898; -0.520966; -0.856308;
0.300360; 0.050278; -0.525482; -0.864685;
0.310371; 0.052963; -0.530197; -0.863235;
0.320383; 0.050629; -0.527802; -0.859344;
0.330395; 0.058029; -0.527237; -0.868622;
0.340407; 0.050049; -0.529053; -0.842606;
0.350419; 0.056824; -0.527756; -0.854950;
0.360431; 0.054916; -0.523056; -0.849976;
0.370443; 0.052475; -0.521729; -0.855850;
0.380455; 0.052185; -0.529846; -0.861603;
0.390467; 0.049423; -0.536316; -0.857147;
0.400479; 0.046143; -0.533997; -0.861160;
0.410491; 0.053528; -0.523438; -0.861923;
0.420503; 0.066650; -0.520004; -0.862289;
0.430515; 0.079575; -0.519745; -0.866150;
0.440527; 0.076691; -0.515839; -0.871414;
0.450539; 0.071991; -0.526840; -0.875305;
0.460551; 0.068741; -0.533600; -0.875931;
0.470563; 0.063416; -0.536880; -0.867645;
0.480575; 0.063370; -0.532242; -0.860687;
0.490587; 0.059860; -0.530670; -0.861664;
0.500599; 0.056458; -0.532181; -0.864868;
0.510611; 0.047516; -0.537155; -0.861572;
0.520623; 0.042969; -0.545807; -0.859787;
0.530635; 0.039856; -0.549774; -0.869675;
0.540647; 0.032883; -0.544586; -0.873672;
0.550659; 0.021881; -0.538330; -0.872726;
0.560671; 0.018875; -0.533585; -0.871262;
0.570683; 0.014526; -0.535461; -0.870743;
0.580695; 0.012970; -0.536789; -0.865204;
0.590707; 0.011581; -0.534988; -0.862808;
0.600719; 0.013977; -0.536819; -0.853470;
0.610731; 0.018204; -0.537186; -0.856583;
0.620743; 0.019577; -0.530609; -0.861206;
0.630755; 0.025085; -0.521774; -0.864899;
0.640767; 0.027344; -0.520859; -0.862076;
0.650779; 0.018341; -0.525314; -0.865631;
0.660790; 0.019165; -0.531143; -0.864960;
0.670802; 0.017456; -0.540985; -0.875519;
0.680815; 0.019363; -0.538223; -0.879303;
0.690827; 0.013382; -0.533798; -0.886154;
0.700839; 0.011765; -0.537476; -0.887634;
0.710851; 0.005768; -0.542068; -0.894531;
0.720863; -0.002411; -0.544388; -0.899506;
0.730875; -0.005524; -0.540848; -0.894226;
0.740885; -0.003403; -0.542236; -0.888550;
0.750898; -0.001282; -0.547424; -0.886658;
0.760910; -0.002487; -0.545059; -0.876190;
0.770922; 0.001480; -0.544296; -0.884201;
0.780934; -0.002228; -0.549515; -0.883438;
0.790946; -0.013092; -0.545578; -0.869125;
0.800958; -0.014069; -0.548477; -0.859802;
0.810969; -0.012054; -0.553085; -0.860458;
0.820982; -0.010544; -0.548386; -0.855774;
0.830994; -0.004196; -0.545837; -0.850891;
0.841006; 0.007889; -0.547409; -0.843246;
0.851018; 0.027985; -0.541946; -0.830566;
0.861030; 0.041641; -0.539230; -0.819916;
0.871042; 0.061066; -0.537537; -0.820877;
0.881053; 0.075195; -0.537674; -0.829407;
0.891065; 0.084122; -0.539551; -0.830505;
0.901078; 0.086960; -0.550735; -0.827896;
0.911090; 0.086456; -0.556488; -0.826950;
0.921102; 0.074753; -0.563004; -0.826813;
0.931114; 0.064331; -0.565063; -0.824951;
0.941126; 0.054718; -0.552322; -0.821487;
0.951138; 0.052521; -0.558075; -0.801971;
0.961149; 0.056274; -0.548691; -0.809204;
0.971162; 0.053421; -0.550827; -0.803635;
0.981174; 0.053223; -0.535477; -0.813370;
0.991186; 0.052032; -0.539185; -0.801254;
1.001198; 0.059860; -0.530975; -0.796982;
1.011210; 0.075256; -0.535889; -0.790359;
1.021222; 0.084961; -0.549133; -0.798859;
1.031233; 0.093597; -0.553635; -0.797516;
1.041245; 0.101379; -0.557159; -0.800995;
1.051258; 0.098450; -0.564651; -0.811600;
1.061270; 0.092941; -0.570236; -0.812286;
1.071282; 0.090576; -0.565765; -0.813843;
1.081294; 0.086899; -0.558762; -0.814453;
1.091306; 0.081543; -0.555420; -0.807831;
1.101317; 0.077896; -0.563721; -0.801743;
1.111329; 0.071533; -0.571503; -0.802170;
1.121342; 0.069717; -0.574173; -0.804276;
1.131354; 0.071991; -0.572601; -0.807983;
1.141366; 0.075394; -0.573639; -0.813202;
1.151378; 0.080627; -0.569611; -0.817963;
1.161390; 0.080673; -0.563660; -0.817566;
1.171402; 0.080292; -0.560318; -0.816910;
1.181413; 0.075089; -0.568283; -0.819748;
1.191426; 0.068268; -0.574112; -0.811646;
1.201437; 0.061676; -0.577316; -0.809158;
1.211449; 0.059006; -0.582977; -0.808640;
1.221461; 0.055099; -0.587311; -0.814224;
1.231473; 0.050125; -0.584869; -0.822662;
1.241485; 0.049225; -0.583969; -0.825470;
1.251496; 0.049530; -0.582230; -0.825745;
1.261509; 0.058762; -0.586411; -0.824585;
1.271521; 0.064285; -0.590485; -0.827042;
1.281533; 0.070099; -0.587921; -0.832809;
1.291545; 0.071259; -0.581863; -0.838531;
1.301557; 0.071442; -0.573624; -0.854935;
1.311569; 0.076111; -0.570068; -0.873871;
1.321580; 0.076508; -0.573288; -0.887283;
1.331592; 0.072205; -0.578705; -0.895294;
1.341605; 0.063141; -0.583298; -0.898117;
1.351617; 0.060486; -0.591263; -0.900116;
1.361629; 0.057358; -0.594788; -0.899673;
1.371641; 0.061157; -0.589630; -0.895218;
1.381653; 0.061600; -0.586456; -0.894440;
1.391664; 0.058777; -0.591019; -0.890945;
1.401676; 0.054993; -0.592911; -0.879150;
1.411689; 0.050522; -0.597549; -0.869507;
1.421701; 0.042465; -0.600464; -0.863022;
1.431713; 0.029892; -0.593124; -0.857132;
1.441725; 0.029190; -0.586243; -0.853821;
1.451737; 0.032562; -0.592331; -0.848633;
1.461749; 0.036057; -0.594040; -0.845734;
1.471760; 0.040756; -0.594254; -0.841278;
1.481772; 0.039062; -0.591263; -0.834763;
1.491785; 0.042892; -0.592087; -0.830048;
1.501797; 0.046753; -0.592468; -0.819244;
1.511809; 0.049332; -0.595306; -0.807312;
1.521821; 0.058548; -0.609146; -0.796082;
1.531833; 0.066025; -0.620728; -0.785217;
1.541844; 0.063431; -0.623047; -0.779404;
1.551856; 0.062775; -0.626999; -0.771591;
1.561869; 0.055679; -0.636108; -0.764603;
1.571881; 0.045425; -0.637390; -0.753540;
1.581893; 0.035278; -0.644485; -0.742523;
1.591905; 0.028366; -0.645584; -0.734024;
1.601917; 0.025894; -0.643341; -0.724640;
1.611929; 0.023834; -0.641754; -0.714462;
1.621940; 0.022720; -0.640839; -0.710007;
1.631954; 0.021179; -0.642502; -0.714737;
1.641966; 0.023804; -0.643677; -0.712479;
1.651979; 0.023895; -0.644485; -0.706894;
1.661990; 0.024002; -0.649445; -0.704117;
1.672002; 0.022675; -0.656921; -0.698685;
1.682014; 0.018356; -0.660721; -0.697266;
1.692026; 0.017319; -0.661987; -0.700150;
1.702038; 0.013031; -0.665512; -0.709000;
1.712050; 0.014572; -0.666275; -0.710373;
1.722062; 0.017563; -0.663025; -0.718140;
1.732074; 0.020844; -0.660156; -0.724838;
1.742086; 0.026459; -0.659409; -0.720993;
1.752098; 0.030426; -0.653748; -0.718475;
1.762110; 0.032257; -0.648834; -0.724915;
1.772122; 0.031113; -0.647141; -0.726639;
1.782134; 0.029984; -0.645233; -0.737701;
1.792146; 0.026917; -0.647858; -0.749283;
1.802158; 0.023010; -0.651047; -0.749176;
1.812170; 0.022552; -0.651764; -0.749161;
1.822182; 0.023254; -0.655380; -0.743744;
1.832194; 0.025711; -0.659256; -0.741562;
1.842206; 0.026108; -0.661407; -0.740387;
1.852218; 0.024612; -0.659592; -0.735245;
1.862230; 0.022751; -0.654800; -0.735092;
1.872242; 0.024551; -0.654037; -0.740280;
1.882254; 0.018005; -0.647781; -0.747986;
1.892266; 0.017288; -0.638458; -0.755997;
1.902278; 0.022614; -0.636200; -0.759476;
1.912290; 0.032303; -0.636002; -0.757614;
1.922302; 0.038239; -0.636261; -0.746811;
1.932314; 0.044403; -0.638245; -0.733017;
1.942326; 0.046997; -0.646652; -0.724747;
1.952338; 0.049225; -0.651505; -0.720108;
1.962350; 0.048157; -0.662598; -0.721344;
1.972362; 0.048157; -0.675797; -0.719315;
1.982374; 0.047989; -0.678406; -0.729965;
1.992386; 0.049652; -0.674667; -0.734238;
2.002398; 0.052414; -0.670792; -0.733337;
2.012410; 0.052673; -0.666794; -0.735367;
2.022422; 0.058563; -0.656326; -0.751709;
2.032434; 0.065994; -0.651062; -0.767242;
