timestamp; x; y; z;
0.000000; 0.028107; -0.529022; -0.997894;
0.010013; 0.017136; -0.526932; -0.961029;
0.020025; -0.009262; -0.538864; -0.896255;
0.030038; -0.034912; -0.562317; -0.833542;
0.040050; -0.027267; -0.561310; -0.844757;
0.050063; -0.027039; -0.558350; -0.844559;
0.060075; -0.018021; -0.547638; -0.835266;
0.070088; -0.027451; -0.537384; -0.835236;
0.080100; -0.033234; -0.533340; -0.838074;
0.090113; -0.035263; -0.536575; -0.844650;
0.100125; -0.036453; -0.535294; -0.860107;
0.110138; -0.030762; -0.521957; -0.885269;
0.120150; -0.027832; -0.510101; -0.897202;
0.130163; -0.038513; -0.502335; -0.895721;
0.140175; -0.054993; -0.499832; -0.886368;
0.150188; -0.070969; -0.495773; -0.880569;
0.160200; -0.082703; -0.491821; -0.871140;
0.170213; -0.097672; -0.493576; -0.860077;
0.180225; -0.112244; -0.490936; -0.845825;
0.190238; -0.122375; -0.487274; -0.836716;
0.200250; -0.123383; -0.479050; -0.829605;
0.210263; -0.127502; -0.468872; -0.823502;
0.220275; -0.124359; -0.459671; -0.832199;
0.230288; -0.108414; -0.442535; -0.853043;
0.240300; -0.098099; -0.422562; -0.868256;
0.250313; -0.106445; -0.421448; -0.881561;
0.260325; -0.128830; -0.450241; -0.887177;
0.270338; -0.145493; -0.478378; -0.878632;
0.280350; -0.158615; -0.497162; -0.860931;
0.290363; -0.164307; -0.530548; -0.844666;
0.300375; -0.181885; -0.521118; -0.869064;
0.310388; -0.167892; -0.489441; -0.856277;
0.320400; -0.134186; -0.449005; -0.867050;
0.330413; -0.146942; -0.488571; -0.862488;
0.340425; -0.162262; -0.520020; -0.858047;
0.350438; -0.147369; -0.475586; -0.879730;
0.360450; -0.118027; -0.437180; -0.876846;
0.370463; -0.108658; -0.430954; -0.874222;
0.380475; -0.115891; -0.435181; -0.890060;
0.390488; -0.125885; -0.443542; -0.894150;
0.400500; -0.134827; -0.454071; -0.887177;
0.410513; -0.143600; -0.468475; -0.884430;
0.420525; -0.147095; -0.482742; -0.880707;
0.430538; -0.146545; -0.488724; -0.874893;
0.440550; -0.147751; -0.487885; -0.869034;
0.450563; -0.150452; -0.486282; -0.869507;
0.460575; -0.144028; -0.483780; -0.872177;
0.470588; -0.138733; -0.481339; -0.878891;
0.480600; -0.133270; -0.476868; -0.888000;
0.490613; -0.128189; -0.472626; -0.891785;
0.500626; -0.127213; -0.471054; -0.889496;
0.510638; -0.133789; -0.471619; -0.884048;
0.520650; -0.143463; -0.467346; -0.880417;
0.530663; -0.151688; -0.456116; -0.877441;
0.540675; -0.158081; -0.443878; -0.876831;
0.550688; -0.158676; -0.435684; -0.875443;
0.560701; -0.161530; -0.429855; -0.867691;
0.570713; -0.167999; -0.427200; -0.856934;
0.580726; -0.173431; -0.430099; -0.851059;
0.590738; -0.175049; -0.433655; -0.853867;
0.600751; -0.172974; -0.435364; -0.860229;
0.610763; -0.171448; -0.434631; -0.856415;
0.620776; -0.172897; -0.429993; -0.853989;
0.630788; -0.179611; -0.427109; -0.867935;
0.640801; -0.183990; -0.427063; -0.884476;
0.650813; -0.184967; -0.425201; -0.901123;
0.660826; -0.183838; -0.417892; -0.915619;
0.670838; -0.183350; -0.409927; -0.922440;
0.680851; -0.186234; -0.399643; -0.924713;
0.690863; -0.184738; -0.388199; -0.920746;
0.700876; -0.186172; -0.380951; -0.919174;
0.710888; -0.191269; -0.376862; -0.914734;
0.720901; -0.196899; -0.377289; -0.908234;
0.730913; -0.200562; -0.378204; -0.907898;
0.740926; -0.199677; -0.379868; -0.902527;
0.750938; -0.202423; -0.384857; -0.900177;
0.760951; -0.203552; -0.392715; -0.911240;
0.770963; -0.204956; -0.395081; -0.920471;
0.780976; -0.202591; -0.391724; -0.926208;
0.790988; -0.196625; -0.385025; -0.927734;
0.801001; -0.193253; -0.378891; -0.928650;
0.811013; -0.190186; -0.372971; -0.930649;
0.821026; -0.184006; -0.371536; -0.932373;
0.831038; -0.181702; -0.375336; -0.932983;
0.841051; -0.184662; -0.378860; -0.929352;
0.851063; -0.191132; -0.383255; -0.920395;
0.861076; -0.190659; -0.382629; -0.910614;
0.871088; -0.183823; -0.376709; -0.908310;
0.881101; -0.178467; -0.372986; -0.898605;
0.891113; -0.174591; -0.372894; -0.891022;
0.901126; -0.175415; -0.377090; -0.897095;
0.911138; -0.173706; -0.383179; -0.905518;
0.921151; -0.168411; -0.388611; -0.906540;
0.931163; -0.165222; -0.390152; -0.907150;
0.941176; -0.159073; -0.390076; -0.907288;
0.951188; -0.155579; -0.391891; -0.907043;
0.961201; -0.152679; -0.391235; -0.900467;
0.971213; -0.142288; -0.390732; -0.893356;
0.981226; -0.126862; -0.395218; -0.895325;
0.991238; -0.114258; -0.402054; -0.899017;
1.001251; -0.109604; -0.409042; -0.901642;
1.011263; -0.106567; -0.416046; -0.901886;
1.021276; -0.103195; -0.423279; -0.904129;
1.031288; -0.099136; -0.429749; -0.907837;
1.041301; -0.094788; -0.437729; -0.907578;
1.051313; -0.088577; -0.446686; -0.904663;
1.061326; -0.083145; -0.453110; -0.908188;
1.071338; -0.074860; -0.452972; -0.910309;
1.081351; -0.068619; -0.451645; -0.913513;
1.091363; -0.061295; -0.446655; -0.918701;
1.101376; -0.055847; -0.443100; -0.918533;
1.111388; -0.056870; -0.445496; -0.912338;
1.121401; -0.065140; -0.451584; -0.907242;
1.131413; -0.072006; -0.457230; -0.900955;
1.141426; -0.076263; -0.460297; -0.901154;
1.151438; -0.082123; -0.460602; -0.901413;
1.161451; -0.078934; -0.454559; -0.900803;
1.171463; -0.070190; -0.447159; -0.897781;
1.181476; -0.065430; -0.444138; -0.895721;
1.191488; -0.062347; -0.440689; -0.891647;
1.201501; -0.059769; -0.438507; -0.883362;
1.211513; -0.060867; -0.444534; -0.883179;
1.221526; -0.065796; -0.451477; -0.888245;
1.231538; -0.067627; -0.455307; -0.893509;
1.241551; -0.066925; -0.461975; -0.898987;
1.251563; -0.068420; -0.463089; -0.906815;
1.261576; -0.066345; -0.458359; -0.910065;
1.271588; -0.058197; -0.453552; -0.912598;
1.281601; -0.050720; -0.448685; -0.919403;
1.291613; -0.044296; -0.442245; -0.921890;
1.301626; -0.043945; -0.439774; -0.918640;
1.311638; -0.049026; -0.440826; -0.912979;
1.321651; -0.053741; -0.445984; -0.910934;
1.331663; -0.057190; -0.453156; -0.916504;
1.341676; -0.061142; -0.457947; -0.925781;
1.351688; -0.059341; -0.454895; -0.926361;
1.361701; -0.055145; -0.447983; -0.922440;
1.371713; -0.054062; -0.438690; -0.916367;
1.381726; -0.051743; -0.431808; -0.906342;
1.391738; -0.047546; -0.430679; -0.896194;
1.401751; -0.047470; -0.437149; -0.888992;
1.411763; -0.054443; -0.442398; -0.886856;
1.421776; -0.057846; -0.444733; -0.890259;
1.431788; -0.058899; -0.446716; -0.894394;
1.441801; -0.056671; -0.448761; -0.902847;
1.451813; -0.050705; -0.449234; -0.917587;
1.461826; -0.045456; -0.441055; -0.924728;
1.471838; -0.045303; -0.433365; -0.916489;
1.481851; -0.047882; -0.428162; -0.912720;
1.491863; -0.051575; -0.421936; -0.914581;
1.501876; -0.057449; -0.420013; -0.912979;
1.511889; -0.064880; -0.418533; -0.904541;
1.521901; -0.070709; -0.418625; -0.897873;
1.531914; -0.070831; -0.418503; -0.892487;
1.541926; -0.071060; -0.426819; -0.893234;
1.551939; -0.072723; -0.434906; -0.898376;
1.561951; -0.067596; -0.433334; -0.904785;
1.571964; -0.064758; -0.427734; -0.914413;
1.581976; -0.061569; -0.423859; -0.921158;
1.591989; -0.059387; -0.420853; -0.925385;
1.602001; -0.058472; -0.420242; -0.929688;
1.612014; -0.060577; -0.419342; -0.927887;
1.622026; -0.066147; -0.416641; -0.923325;
1.632039; -0.069122; -0.415176; -0.920883;
1.642051; -0.070038; -0.416992; -0.920547;
1.652064; -0.069870; -0.416794; -0.915344;
1.662076; -0.068390; -0.413086; -0.905823;
1.672089; -0.066391; -0.416275; -0.899811;
1.682101; -0.065033; -0.425125; -0.902802;
1.692114; -0.064880; -0.427353; -0.907257;
1.702126; -0.062271; -0.424484; -0.914413;
1.712139; -0.055359; -0.422485; -0.910187;
1.722151; -0.053299; -0.425797; -0.911301;
1.732164; -0.051849; -0.428635; -0.915543;
1.742176; -0.051910; -0.429169; -0.912277;
1.752189; -0.055069; -0.426666; -0.912231;
1.762201; -0.057907; -0.421295; -0.910172;
1.772214; -0.054764; -0.416550; -0.900238;
1.782229; -0.053253; -0.414291; -0.891388;
1.792242; -0.054199; -0.412201; -0.885544;
1.802254; -0.055725; -0.414139; -0.877701;
1.812267; -0.056931; -0.420609; -0.879150;
1.822279; -0.056808; -0.425186; -0.887558;
1.832292; -0.057510; -0.426651; -0.888321;
1.842304; -0.059143; -0.429138; -0.881149;
1.852317; -0.061615; -0.430588; -0.873123;
1.862329; -0.062424; -0.431152; -0.869720;
1.872342; -0.062775; -0.426010; -0.866089;
1.882354; -0.060303; -0.423553; -0.859009;
1.892367; -0.057007; -0.424683; -0.858749;
1.902379; -0.052582; -0.423477; -0.860352;
1.912392; -0.051056; -0.421295; -0.863144;
1.922404; -0.053070; -0.424225; -0.865082;
1.932417; -0.056961; -0.426163; -0.867737;
1.942429; -0.063049; -0.420639; -0.884369;
1.952442; -0.063461; -0.412598; -0.904022;
1.962454; -0.060028; -0.397766; -0.915527;
1.972467; -0.055405; -0.379593; -0.918228;
1.982479; -0.052597; -0.364807; -0.911133;
1.992492; -0.055771; -0.359558; -0.897369;
2.002504; -0.062592; -0.361755; -0.894165;
2.012517; -0.066803; -0.366119; -0.902542;
2.022529; -0.066208; -0.369690; -0.915894;
2.032542; -0.061935; -0.373947; -0.928131;
2.042554; -0.065475; -0.378860; -0.943237;
2.052567; -0.071304; -0.380524; -0.947464;
2.062579; -0.072784; -0.376205; -0.945389;
2.072592; -0.068802; -0.366394; -0.951172;
2.082604; -0.058075; -0.354095; -0.961472;
2.092617; -0.052078; -0.341599; -0.974823;
