timestamp; x; y; z;
0.000000; -0.061844; -0.421021; -0.841278;
0.010011; -0.059555; -0.461792; -0.839539;
0.020023; -0.063202; -0.488129; -0.847015;
0.030034; -0.070526; -0.497284; -0.859909;
0.040045; -0.073959; -0.499451; -0.876648;
0.050056; -0.072174; -0.495102; -0.890656;
0.060067; -0.073013; -0.481873; -0.903183;
0.070079; -0.074478; -0.466797; -0.908386;
0.080090; -0.069824; -0.452759; -0.911331;
0.090101; -0.060760; -0.441055; -0.915161;
0.100112; -0.055450; -0.431717; -0.912048;
0.110123; -0.052673; -0.423523; -0.900940;
0.120135; -0.049896; -0.419968; -0.895966;
0.130146; -0.046814; -0.424545; -0.902679;
0.140157; -0.051910; -0.436615; -0.907654;
0.150168; -0.061417; -0.449509; -0.902771;
0.160179; -0.069199; -0.459381; -0.900162;
0.170191; -0.073273; -0.463791; -0.903488;
0.180202; -0.078842; -0.461090; -0.903519;
0.190213; -0.078293; -0.463577; -0.897629;
0.200224; -0.071198; -0.466660; -0.893738;
0.210235; -0.061615; -0.465485; -0.896667;
0.220247; -0.057388; -0.459625; -0.904816;
0.230258; -0.052231; -0.450012; -0.910782;
0.240269; -0.054276; -0.443649; -0.902405;
0.250280; -0.059097; -0.441315; -0.896393;
0.260292; -0.061005; -0.447723; -0.897217;
0.270303; -0.062241; -0.458237; -0.901459;
0.280314; -0.068848; -0.462845; -0.909958;
0.290325; -0.070236; -0.455765; -0.913422;
0.300336; -0.063232; -0.451172; -0.910095;
0.310347; -0.052490; -0.453354; -0.915649;
0.320359; -0.042282; -0.459717; -0.921173;
0.330370; -0.043228; -0.463699; -0.911545;
0.340381; -0.048218; -0.466400; -0.895432;
0.350392; -0.055359; -0.474915; -0.892548;
0.360403; -0.063995; -0.477997; -0.900314;
0.370415; -0.071350; -0.472626; -0.894394;
0.380426; -0.068451; -0.458099; -0.900177;
0.390437; -0.058304; -0.452637; -0.890945;
0.400448; -0.078995; -0.444824; -0.919434;
0.410459; -0.087387; -0.453964; -0.934174;
0.420471; -0.067841; -0.479721; -0.906616;
0.430482; -0.054764; -0.484207; -0.889145;
0.440493; -0.058304; -0.483246; -0.887497;
0.450504; -0.043884; -0.490646; -0.895554;
0.460515; -0.017532; -0.517670; -0.895020;
0.470527; -0.011459; -0.514709; -0.919571;
0.480538; 0.002945; -0.482925; -0.958313;
0.490549; 0.016373; -0.501968; -0.920410;
0.500560; 0.029205; -0.508270; -0.906693;
0.510571; 0.052780; -0.517822; -0.886169;
0.520583; 0.088898; -0.529419; -0.916367;
0.530594; 0.104721; -0.547379; -0.961853;
0.540605; 0.103226; -0.557846; -0.985428;
0.550616; 0.098328; -0.551315; -0.994278;
0.560627; 0.092728; -0.538651; -0.990219;
0.570639; 0.082138; -0.519119; -0.985474;
0.580650; 0.080521; -0.511551; -0.977707;
0.590661; 0.098480; -0.520157; -0.989044;
0.600672; 0.122208; -0.534058; -0.984909;
0.610683; 0.140030; -0.510025; -0.980118;
0.620695; 0.161911; -0.475784; -0.963379;
0.630706; 0.178192; -0.461151; -0.942673;
0.640717; 0.167404; -0.435379; -0.940643;
0.650728; 0.164597; -0.448257; -0.890839;
0.660739; 0.150513; -0.472214; -0.832321;
0.670751; 0.131271; -0.447174; -0.864029;
0.680762; 0.118179; -0.413834; -0.866638;
0.690773; 0.111191; -0.382278; -0.867416;
0.700784; 0.125397; -0.317612; -0.990585;
0.710795; 0.100586; -0.298355; -0.930115;
0.720807; 0.148376; -0.332825; -0.800079;
0.730818; 0.130264; -0.386108; -0.831711;
0.740828; 0.065598; -0.478317; -0.848831;
0.750839; 0.111877; -0.537064; -0.881912;
0.760850; 0.057724; -0.532471; -0.999176;
0.770862; -0.083450; -0.556732; -1.099915;
0.780873; -0.047958; -0.638565; -1.085159;
0.790884; 0.048096; -0.741272; -0.994675;
0.800895; 0.036041; -0.745941; -0.970657;
0.810907; 0.097778; -0.726501; -0.959183;
0.820918; 0.172897; -0.669922; -0.973709;
0.830929; 0.232071; -0.599655; -0.999634;
0.840940; 0.263870; -0.513062; -1.022858;
0.850951; 0.263840; -0.440491; -1.035217;
0.860962; 0.236984; -0.400543; -1.012863;
0.870974; 0.185150; -0.390762; -0.985458;
0.880985; 0.136887; -0.399612; -0.944717;
0.890996; 0.084076; -0.445129; -0.898788;
0.901007; 0.030594; -0.511139; -0.869446;
0.911018; 0.012100; -0.569107; -0.840729;
0.921030; 0.006271; -0.598831; -0.836914;
0.931041; -0.010269; -0.581299; -0.861649;
0.941052; -0.020905; -0.535370; -0.872375;
0.951063; -0.030853; -0.518417; -0.895233;
0.961075; -0.042130; -0.510620; -0.903030;
0.971086; -0.052368; -0.498459; -0.888062;
0.981097; -0.058014; -0.493790; -0.857956;
0.991108; -0.058838; -0.492035; -0.830154;
1.001119; -0.065704; -0.501755; -0.820847;
1.011130; -0.066589; -0.538208; -0.830978;
1.021142; -0.069656; -0.579712; -0.857956;
1.031153; -0.076553; -0.612686; -0.886551;
1.041164; -0.085342; -0.637299; -0.914322;
1.051175; -0.109665; -0.648514; -0.935486;
1.061187; -0.131378; -0.638992; -0.929520;
1.071198; -0.127243; -0.608170; -0.884872;
1.081209; -0.108109; -0.583038; -0.836166;
1.091220; -0.093170; -0.570984; -0.803207;
1.101231; -0.091049; -0.564026; -0.783203;
1.111243; -0.095215; -0.554306; -0.765717;
1.121254; -0.088852; -0.545959; -0.737564;
1.131265; -0.075180; -0.530060; -0.708282;
1.141276; -0.059799; -0.515488; -0.679230;
1.151287; -0.057205; -0.521149; -0.649704;
1.161299; -0.059799; -0.532028; -0.632889;
1.171310; -0.068924; -0.527435; -0.634476;
1.181321; -0.066711; -0.494171; -0.643784;
1.191332; -0.035217; -0.435989; -0.645508;
1.201343; -0.007324; -0.377930; -0.646805;
1.211355; -0.001419; -0.343414; -0.642990;
1.221366; -0.023712; -0.337997; -0.636871;
1.231377; -0.062454; -0.353546; -0.625320;
1.241388; -0.093475; -0.382141; -0.604080;
1.251399; -0.113388; -0.413971; -0.587875;
1.261411; -0.134308; -0.449646; -0.598755;
1.271422; -0.156418; -0.487381; -0.620956;
1.281433; -0.173004; -0.513519; -0.643936;
1.291444; -0.211960; -0.553894; -0.674957;
