timestamp; x; y; z;
0.000000; 0.398010; -0.835037; -0.502411;
0.010012; 0.386810; -0.839340; -0.497849;
0.020023; 0.376099; -0.851837; -0.487793;
0.030035; 0.363937; -0.856674; -0.473068;
0.040047; 0.359558; -0.849030; -0.462677;
0.050058; 0.369431; -0.844131; -0.466187;
0.060070; 0.382950; -0.849335; -0.496506;
0.070082; 0.388336; -0.854431; -0.539368;
0.080093; 0.382248; -0.849594; -0.569717;
0.090105; 0.366760; -0.836563; -0.571976;
0.100116; 0.340897; -0.828964; -0.551178;
0.110128; 0.307861; -0.816406; -0.507874;
0.120140; 0.289185; -0.801056; -0.470642;
0.130151; 0.278320; -0.794174; -0.469604;
0.140163; 0.279373; -0.787552; -0.478912;
0.150175; 0.280243; -0.778229; -0.487442;
0.160186; 0.283615; -0.773026; -0.498764;
0.170198; 0.274338; -0.764786; -0.503693;
0.180210; 0.223999; -0.735580; -0.484604;
0.190221; 0.281967; -0.686615; -0.523071;
0.200233; 0.336868; -0.676758; -0.609436;
0.210244; 0.229401; -0.778046; -0.609390;
0.220256; 0.223663; -0.809814; -0.590363;
0.230268; 0.258316; -0.797852; -0.600418;
0.240279; 0.252289; -0.803665; -0.593246;
0.250291; 0.233643; -0.811310; -0.588577;
0.260303; 0.241531; -0.802765; -0.600372;
0.270314; 0.241318; -0.788025; -0.612961;
0.280326; 0.235825; -0.767426; -0.617844;
0.290337; 0.231247; -0.746964; -0.615906;
0.300349; 0.220551; -0.735321; -0.615723;
0.310361; 0.231491; -0.697861; -0.610260;
0.320372; 0.198563; -0.669495; -0.566116;
0.330384; 0.187668; -0.680832; -0.555939;
0.340396; 0.187683; -0.708755; -0.574463;
0.350407; 0.183655; -0.729904; -0.574814;
0.360419; 0.171783; -0.749359; -0.571747;
0.370430; 0.163193; -0.771790; -0.567841;
0.380442; 0.150177; -0.788788; -0.570938;
0.390454; 0.135696; -0.789536; -0.578308;
0.400465; 0.138290; -0.768478; -0.585358;
0.410477; 0.151154; -0.742264; -0.588654;
0.420489; 0.161621; -0.728485; -0.586761;
0.430500; 0.188995; -0.723312; -0.594177;
0.440512; 0.184204; -0.744080; -0.604919;
0.450524; 0.182343; -0.753845; -0.607422;
0.460535; 0.187317; -0.741058; -0.609924;
0.470547; 0.184189; -0.727051; -0.620041;
0.480558; 0.176193; -0.719330; -0.626999;
0.490570; 0.156265; -0.705200; -0.623154;
0.500582; 0.129257; -0.690826; -0.618896;
0.510593; 0.124725; -0.675995; -0.634415;
0.520605; 0.135284; -0.656998; -0.664307;
0.530617; 0.141098; -0.647537; -0.695740;
0.540627; 0.136887; -0.641312; -0.725632;
0.550640; 0.127274; -0.629471; -0.753311;
0.560652; 0.107651; -0.613525; -0.773254;
0.570662; 0.096588; -0.599045; -0.778778;
0.580675; 0.086197; -0.589798; -0.790466;
0.590686; 0.066910; -0.581451; -0.806488;
0.600697; 0.056213; -0.578308; -0.811508;
0.610710; 0.060349; -0.566711; -0.815491;
0.620721; 0.081772; -0.544281; -0.820358;
0.630732; 0.090195; -0.524734; -0.828003;
0.640745; 0.086136; -0.514847; -0.852936;
0.650756; 0.083084; -0.506058; -0.886597;
0.660767; 0.085403; -0.489624; -0.914322;
0.670779; 0.080139; -0.468246; -0.937622;
0.680791; 0.065704; -0.446960; -0.950043;
0.690803; 0.050369; -0.433792; -0.960068;
0.700814; 0.044403; -0.406357; -0.972855;
0.710826; 0.047211; -0.381027; -0.996445;
0.720838; 0.042542; -0.372635; -1.011490;
0.730848; 0.036865; -0.383453; -0.997925;
0.740861; 0.020035; -0.387299; -0.982254;
0.750873; 0.002228; -0.381454; -0.973083;
0.760883; -0.013901; -0.380249; -0.957108;
0.770896; -0.024048; -0.377121; -0.940689;
0.780907; -0.020309; -0.378632; -0.940842;
0.790918; -0.033768; -0.388504; -0.949463;
0.800931; -0.029602; -0.391449; -0.960617;
0.810942; -0.024719; -0.387665; -0.972595;
0.820953; -0.017334; -0.383438; -0.978333;
0.830966; -0.014359; -0.378311; -0.975937;
0.840977; -0.019333; -0.374649; -0.969528;
0.850988; -0.028152; -0.374588; -0.958191;
0.861001; -0.035461; -0.376236; -0.938858;
0.871012; -0.046219; -0.374557; -0.920944;
0.881023; -0.051407; -0.372772; -0.911469;
0.891035; -0.052368; -0.376770; -0.920563;
0.901047; -0.057587; -0.378159; -0.938248;
0.911059; -0.061371; -0.379471; -0.953949;
0.921070; -0.058670; -0.379868; -0.966888;
0.931082; -0.051804; -0.380508; -0.977936;
0.941094; -0.047867; -0.380219; -0.986389;
0.951104; -0.043442; -0.378830; -0.987701;
0.961117; -0.041000; -0.371948; -0.984436;
0.971129; -0.045609; -0.364838; -0.974396;
0.981139; -0.051102; -0.360306; -0.956818;
0.991152; -0.056305; -0.356750; -0.941986;
1.001163; -0.060791; -0.357132; -0.933304;
1.011174; -0.066544; -0.361633; -0.928619;
1.021187; -0.069839; -0.366150; -0.926437;
1.031198; -0.071594; -0.366806; -0.928680;
1.041209; -0.070969; -0.365479; -0.929764;
1.051222; -0.070770; -0.366150; -0.929596;
1.061233; -0.075180; -0.370544; -0.927750;
1.071244; -0.080505; -0.374039; -0.924149;
1.081257; -0.081543; -0.377502; -0.924133;
1.091268; -0.080383; -0.382202; -0.927048;
1.101279; -0.082291; -0.386353; -0.934509;
1.111291; -0.081940; -0.388763; -0.948044;
1.121303; -0.078491; -0.388000; -0.960129;
1.131315; -0.076233; -0.387451; -0.960983;
1.141326; -0.073914; -0.387604; -0.956680;
1.151338; -0.073990; -0.384064; -0.945374;
1.161350; -0.073608; -0.379974; -0.937271;
1.171360; -0.074295; -0.374207; -0.938049;
1.181373; -0.072845; -0.367905; -0.939316;
1.191384; -0.070557; -0.364517; -0.941910;
1.201395; -0.067535; -0.365906; -0.942520;
1.211408; -0.065903; -0.368210; -0.943420;
1.221419; -0.062927; -0.370117; -0.940231;
1.231430; -0.059586; -0.371475; -0.934769;
1.241443; -0.058990; -0.372101; -0.930145;
1.251454; -0.058578; -0.371887; -0.929276;
1.261465; -0.052887; -0.372009; -0.930283;
1.271478; -0.050720; -0.374893; -0.933014;
1.281489; -0.052338; -0.374725; -0.938995;
1.291500; -0.054443; -0.373535; -0.938766;
1.301513; -0.055359; -0.373718; -0.931671;
1.311524; -0.055130; -0.376434; -0.923416;
1.321535; -0.055267; -0.378906; -0.917328;
1.331547; -0.054169; -0.376572; -0.919373;
1.341559; -0.060410; -0.375778; -0.923813;
1.351571; -0.071289; -0.376755; -0.925140;
1.361582; -0.089279; -0.388489; -0.917419;
1.371594; -0.088531; -0.389496; -0.921844;
1.381606; -0.088516; -0.383072; -0.924713;
1.391616; -0.080566; -0.375824; -0.928818;
1.401629; -0.084518; -0.372650; -0.926987;
1.411640; -0.091949; -0.373657; -0.918488;
1.421651; -0.091705; -0.369476; -0.914810;
1.431664; -0.093018; -0.368698; -0.917664;
1.441675; -0.100266; -0.369339; -0.918274;
1.451686; -0.104660; -0.369583; -0.921036;
1.461699; -0.107269; -0.367889; -0.918564;
1.471710; -0.111359; -0.364731; -0.918243;
1.481721; -0.112305; -0.360886; -0.934830;
1.491734; -0.112762; -0.353592; -0.950531;
1.501745; -0.110214; -0.349030; -0.960510;
1.511756; -0.113327; -0.349548; -0.969315;
1.521768; -0.117279; -0.347687; -0.969177;
1.531780; -0.105865; -0.332321; -0.963043;
1.541791; -0.118973; -0.333282; -0.969650;
1.551803; -0.148651; -0.352646; -0.948395;
1.561815; -0.149139; -0.345459; -0.942276;
1.571827; -0.136887; -0.328018; -0.952759;
1.581838; -0.134766; -0.323242; -0.959579;
1.591850; -0.138550; -0.325165; -0.958450;
1.601862; -0.146393; -0.320099; -0.964523;
1.611872; -0.153580; -0.318893; -0.979202;
1.621885; -0.162735; -0.316467; -0.992676;
1.631896; -0.167694; -0.305359; -0.992371;
1.641907; -0.189056; -0.308456; -0.988632;
1.651920; -0.205841; -0.316147; -0.972565;
1.661931; -0.194382; -0.301300; -0.959427;
1.671942; -0.185577; -0.278061; -0.964996;
1.681955; -0.180817; -0.275101; -0.966507;
1.691966; -0.186417; -0.257690; -0.961121;
1.701977; -0.202057; -0.236755; -0.954651;
1.711990; -0.204361; -0.218536; -0.942322;
1.722001; -0.204849; -0.216583; -0.917130;
1.732012; -0.211548; -0.231384; -0.892746;
1.742024; -0.220718; -0.259720; -0.878006;
1.752036; -0.221390; -0.302170; -0.883850;
1.762048; -0.220856; -0.327667; -0.881851;
1.772059; -0.215607; -0.333679; -0.866028;
1.782071; -0.214127; -0.331802; -0.846115;
1.792083; -0.211594; -0.329529; -0.833832;
1.802094; -0.198151; -0.319839; -0.836792;
1.812106; -0.194412; -0.297668; -0.834091;
1.822118; -0.199234; -0.277740; -0.843369;
1.832128; -0.244827; -0.316879; -0.817474;
1.842141; -0.225937; -0.303650; -0.843079;
1.852152; -0.133392; -0.187683; -0.856583;
1.862163; -0.122513; -0.201035; -0.896606;
1.872176; -0.168549; -0.297913; -0.875763;
1.882187; -0.185577; -0.334824; -0.860535;
1.892198; -0.192657; -0.370026; -0.873108;
1.902211; -0.128326; -0.274231; -0.928589;
1.912222; -0.117386; -0.250610; -0.984344;
1.922233; -0.176392; -0.308273; -0.978760;
1.932246; -0.195724; -0.320435; -0.955673;
1.942257; -0.158844; -0.267151; -0.937408;
1.952268; -0.137756; -0.217773; -0.935257;
1.962280; -0.159882; -0.235886; -0.919708;
1.972292; -0.184082; -0.265549; -0.911591;
1.982304; -0.119583; -0.207443; -0.913666;
1.992315; -0.112564; -0.201996; -0.945908;
2.002327; -0.141129; -0.238174; -0.958389;
2.012339; -0.104813; -0.193008; -0.929398;
2.022350; -0.101425; -0.193359; -0.932800;
2.032362; -0.109070; -0.228958; -0.948700;
2.042374; -0.076096; -0.224182; -0.957962;
2.052384; -0.059631; -0.219971; -0.976456;
2.062397; -0.060471; -0.227707; -0.998001;
2.072408; -0.057968; -0.223007; -1.015182;
2.082419; -0.028717; -0.179443; -1.004578;
2.092432; -0.032639; -0.174911; -1.025238;
2.102443; -0.030396; -0.178802; -1.054077;
2.112454; -0.006958; -0.155457; -1.062057;
2.122467; -0.003418; -0.149521; -1.084091;
2.132478; -0.006561; -0.146866; -1.083862;
2.142489; -0.017273; -0.138794; -1.062836;
2.152502; -0.026749; -0.126312; -1.052307;
2.162513; -0.036850; -0.123184; -1.053604;
2.172524; -0.043320; -0.122833; -1.044327;
2.182536; -0.040009; -0.122894; -1.029343;
2.192548; -0.036880; -0.123062; -1.030899;
2.202560; -0.029709; -0.131149; -1.033417;
2.212571; -0.023483; -0.137894; -1.042221;
2.222583; -0.011444; -0.137177; -1.049698;
2.232595; -0.002182; -0.136139; -1.056656;
2.242605; 0.001419; -0.137238; -1.055939;
2.252618; 0.000366; -0.136414; -1.057770;
2.262630; -0.002243; -0.133133; -1.056046;
2.272640; -0.002029; -0.131561; -1.043762;
2.282653; 0.002472; -0.130753; -1.026215;
2.292664; 0.006149; -0.132294; -1.019882;
2.302675; 0.006714; -0.132996; -1.032333;
2.312688; 0.002457; -0.126816; -1.042725;
2.322699; -0.008209; -0.122543; -1.044388;
2.332710; -0.013046; -0.118256; -1.039124;
2.342723; -0.015442; -0.116028; -1.031555;
2.352734; -0.018082; -0.112564; -1.031403;
2.362745; -0.020386; -0.115479; -1.028595;
2.372758; -0.022141; -0.121094; -1.026917;
2.382769; -0.021027; -0.124603; -1.023987;
2.392780; -0.027512; -0.132156; -1.023499;
2.402792; -0.030380; -0.132629; -1.031601;
2.412804; -0.027695; -0.127014; -1.034760;
2.422816; -0.022583; -0.121628; -1.026764;
2.432827; -0.015900; -0.115448; -1.010895;
2.442839; -0.014648; -0.116211; -1.003433;
2.452851; -0.015884; -0.118179; -1.002243;
2.462861; -0.019180; -0.116104; -1.001526;
2.472874; -0.030411; -0.120544; -1.003281;
2.482886; -0.035492; -0.121048; -1.004562;
2.492897; -0.035889; -0.117004; -1.002731;
2.502909; -0.040878; -0.119644; -0.994537;
2.512920; -0.044586; -0.125214; -0.989410;
2.522932; -0.041458; -0.128036; -0.988556;
2.532944; -0.034088; -0.127563; -0.997452;
2.542955; -0.031723; -0.127838; -1.001175;
2.552967; -0.036102; -0.129150; -0.999252;
2.562979; -0.036102; -0.128586; -0.995926;
2.572990; -0.035507; -0.127945; -0.994873;
2.583002; -0.031921; -0.129807; -0.994080;
2.593014; -0.034088; -0.128220; -0.992447;
2.603025; -0.038696; -0.127914; -0.987244;
2.613037; -0.037720; -0.126068; -0.984070;
2.623049; -0.034561; -0.127106; -0.984909;
2.633060; -0.039917; -0.123520; -0.987122;
2.643072; -0.042542; -0.122543; -0.980972;
2.653083; -0.025925; -0.127014; -0.991074;
2.663095; -0.028091; -0.132538; -1.014557;
2.673107; -0.035156; -0.133881; -1.018433;
2.683118; -0.034729; -0.124146; -1.006668;
2.693130; -0.032623; -0.122467; -0.997360;
2.703142; -0.033020; -0.123062; -0.996582;
2.713153; -0.030243; -0.124100; -0.999512;
2.723165; -0.030334; -0.125778; -1.003159;
2.733177; -0.031311; -0.125397; -1.006302;
2.743188; -0.034363; -0.124207; -1.005020;
2.753200; -0.035538; -0.121719; -1.000412;
2.763211; -0.032669; -0.116074; -0.993668;
2.773223; -0.033127; -0.116531; -0.994186;
2.783235; -0.037277; -0.118378; -1.002838;
2.793246; -0.037170; -0.118347; -1.004440;
