timestamp; x; y; z;
0.000000; 0.057907; -0.423706; -0.845978;
0.010012; 0.080643; -0.418121; -0.869720;
0.020023; 0.106659; -0.461334; -0.905670;
0.030035; 0.106415; -0.513824; -0.895432;
0.040046; 0.069565; -0.587845; -0.843857;
0.050058; 0.074829; -0.608765; -0.775192;
0.060069; 0.088089; -0.526627; -0.747345;
0.070081; 0.062546; -0.572128; -0.798950;
0.080092; 0.040115; -0.689590; -0.902878;
0.090104; 0.018555; -0.752792; -0.903549;
0.100115; 0.018753; -0.756378; -0.857224;
0.110127; 0.044510; -0.650314; -0.771423;
0.120138; 0.203308; -0.510330; -0.715668;
0.130150; 0.436203; -0.374466; -0.998703;
0.140161; 0.348557; -0.363358; -0.749054;
0.150173; 0.252655; -0.414871; -0.826477;
0.160184; 0.140289; -0.435333; -0.950790;
0.170196; 0.075348; -0.389420; -0.895630;
0.180207; 0.083710; -0.381104; -0.786133;
0.190218; 0.086258; -0.408203; -0.703400;
0.200230; 0.050385; -0.423828; -0.709824;
0.210241; 0.033844; -0.464706; -0.750702;
0.220253; 0.043060; -0.508469; -0.821213;
0.230264; 0.117767; -0.446716; -0.967819;
0.240276; 0.355621; -0.263153; -1.252243;
0.250287; 0.191818; -0.286301; -1.189987;
0.260299; 0.080612; -0.354385; -1.055969;
0.270310; 0.090149; -0.425873; -1.111969;
0.280322; -0.016724; -0.525574; -0.968307;
0.290333; -0.059998; -0.558945; -0.889328;
0.300345; -0.074509; -0.579987; -0.820511;
0.310356; -0.081772; -0.544754; -0.789078;
0.320368; -0.037262; -0.454346; -0.775894;
0.330379; 0.019745; -0.373947; -0.800705;
0.340391; 0.056290; -0.307083; -0.848053;
0.350402; 0.042587; -0.314667; -0.882660;
0.360414; 0.021011; -0.353104; -0.896088;
0.370425; -0.012909; -0.412903; -0.896851;
0.380436; -0.049225; -0.467758; -0.886261;
0.390448; -0.068558; -0.504013; -0.880356;
0.400459; -0.082291; -0.521759; -0.876389;
0.410471; -0.082108; -0.504700; -0.867706;
0.420482; -0.076248; -0.475250; -0.846313;
0.430494; -0.063370; -0.449432; -0.835083;
0.440505; -0.031693; -0.411133; -0.844025;
0.450517; -0.012085; -0.395905; -0.870041;
0.460528; -0.026901; -0.415070; -0.900604;
0.470540; -0.036270; -0.433533; -0.909317;
0.480551; -0.039825; -0.454498; -0.901596;
0.490563; -0.045547; -0.468597; -0.882980;
0.500574; -0.035278; -0.479126; -0.861664;
0.510586; -0.022415; -0.467407; -0.855072;
0.520597; -0.019653; -0.460129; -0.849228;
0.530609; -0.027740; -0.468750; -0.841797;
0.540620; -0.026245; -0.477356; -0.834351;
0.550632; -0.025650; -0.491211; -0.837662;
0.560643; -0.019669; -0.502426; -0.860474;
0.570655; -0.006058; -0.516617; -0.880142;
0.580666; 0.002625; -0.525772; -0.890671;
0.590677; 0.002243; -0.525848; -0.896545;
0.600689; 0.004761; -0.512970; -0.884735;
0.610700; 0.005249; -0.505676; -0.867020;
0.620712; 0.004883; -0.506027; -0.857498;
0.630723; 0.007507; -0.498260; -0.858154;
0.640735; -0.001678; -0.507401; -0.855331;
0.650746; -0.009598; -0.527481; -0.847061;
0.660758; -0.006989; -0.536316; -0.847275;
0.670769; -0.000824; -0.523514; -0.855637;
0.680781; 0.012207; -0.494980; -0.858841;
0.690792; 0.010849; -0.484772; -0.854294;
0.700804; -0.000153; -0.498795; -0.853973;
0.710815; 0.001862; -0.508789; -0.867599;
0.720827; 0.007477; -0.513260; -0.883759;
0.730838; 0.015488; -0.509125; -0.891571;
0.740850; 0.016754; -0.500397; -0.908432;
0.750861; 0.012421; -0.497131; -0.927551;
0.760872; 0.004486; -0.490738; -0.943497;
0.770884; -0.013168; -0.475601; -0.973434;
0.780895; -0.043686; -0.447815; -1.015350;
0.790907; -0.082214; -0.409714; -1.033981;
0.800918; -0.108994; -0.374344; -1.022537;
0.810930; -0.120209; -0.341461; -0.988800;
0.820941; -0.133255; -0.314285; -0.953491;
0.830953; -0.150818; -0.297989; -0.938828;
0.840964; -0.165115; -0.284668; -0.935394;
0.850976; -0.164062; -0.291931; -0.944000;
0.860987; -0.154297; -0.312744; -0.938889;
0.870999; -0.139999; -0.322342; -0.920959;
0.881010; -0.137238; -0.365112; -0.895050;
0.891022; -0.141693; -0.415802; -0.863693;
0.901033; -0.132187; -0.454865; -0.831284;
0.911045; -0.108459; -0.478241; -0.845398;
0.921056; -0.073029; -0.487946; -0.864365;
0.931068; -0.031570; -0.482315; -0.869278;
0.941079; 0.009598; -0.451843; -0.882904;
0.951091; 0.029526; -0.430740; -0.880371;
0.961102; 0.034378; -0.435150; -0.864136;
0.971113; 0.022141; -0.450638; -0.851135;
0.981125; 0.018616; -0.451385; -0.841263;
0.991136; 0.021378; -0.454880; -0.841995;
1.001148; 0.013443; -0.467010; -0.852646;
1.011159; 0.002838; -0.475372; -0.872513;
1.021171; -0.003357; -0.475815; -0.884872;
1.031182; 0.001419; -0.465591; -0.879440;
1.041194; 0.012665; -0.453339; -0.887802;
1.051205; 0.019485; -0.443085; -0.887756;
1.061221; 0.040268; -0.433670; -0.868774;
1.071232; 0.048660; -0.449066; -0.838287;
1.081244; 0.038071; -0.472473; -0.826920;
1.091255; 0.042526; -0.471100; -0.830658;
1.101267; 0.067154; -0.460999; -0.849030;
1.111278; 0.082382; -0.456055; -0.868454;
1.121290; 0.081451; -0.465012; -0.894089;
1.131301; 0.064651; -0.479446; -0.913254;
1.141313; 0.055420; -0.475357; -0.912354;
1.151324; 0.053528; -0.462585; -0.894501;
1.161336; 0.043198; -0.463745; -0.877548;
1.171347; 0.040894; -0.464478; -0.880920;
1.181358; 0.039017; -0.460587; -0.890228;
