timestamp; x; y; z;
0.000000; 0.106522; -0.220306; -0.922470;
0.010011; 0.115082; -0.218262; -0.941101;
0.020022; 0.136185; -0.202667; -0.972305;
0.030033; 0.149567; -0.196014; -0.986023;
0.040044; 0.147324; -0.200928; -0.981995;
0.050055; 0.141052; -0.214096; -0.971161;
0.060066; 0.136200; -0.228485; -0.967773;
0.070077; 0.138107; -0.236008; -0.968658;
0.080089; 0.146378; -0.235611; -0.976212;
0.090100; 0.151993; -0.229721; -0.981308;
0.100111; 0.152267; -0.224045; -0.981186;
0.110122; 0.147751; -0.224289; -0.981369;
0.120133; 0.142548; -0.223785; -0.979065;
0.130144; 0.140167; -0.223480; -0.972397;
0.140155; 0.140945; -0.221542; -0.968658;
0.150167; 0.139603; -0.218277; -0.968216;
0.160178; 0.139786; -0.214462; -0.967346;
0.170189; 0.138992; -0.212280; -0.970276;
0.180200; 0.136368; -0.210999; -0.971329;
0.190211; 0.132370; -0.214020; -0.972778;
0.200222; 0.130112; -0.216309; -0.979782;
0.210234; 0.131683; -0.216675; -0.983109;
0.220245; 0.135391; -0.213287; -0.983643;
0.230256; 0.140060; -0.208389; -0.980164;
0.240267; 0.141830; -0.205139; -0.974716;
0.250278; 0.139236; -0.204361; -0.974258;
0.260289; 0.135757; -0.209229; -0.978806;
0.270300; 0.132492; -0.214340; -0.982895;
0.280312; 0.129227; -0.220428; -0.986252;
0.290323; 0.125687; -0.224625; -0.989655;
0.300334; 0.127640; -0.221588; -0.986206;
0.310345; 0.131287; -0.216782; -0.982941;
0.320356; 0.125000; -0.214737; -0.984314;
0.330367; 0.122559; -0.214340; -0.989960;
0.340378; 0.114334; -0.212753; -0.994278;
0.350389; 0.123077; -0.210541; -0.980576;
0.360401; 0.134155; -0.208969; -0.961670;
0.370412; 0.141205; -0.216782; -0.959900;
0.380423; 0.144180; -0.227173; -0.975601;
0.390434; 0.149063; -0.238297; -1.006134;
0.400445; 0.152481; -0.249939; -1.044769;
0.410456; 0.167679; -0.266983; -1.073517;
0.420467; 0.203888; -0.291290; -1.099228;
0.430479; 0.241440; -0.303040; -1.111832;
0.440490; 0.257721; -0.323013; -1.123413;
0.450501; 0.246582; -0.353317; -1.136185;
0.460512; 0.219208; -0.365036; -1.159653;
0.470523; 0.205170; -0.355042; -1.175812;
0.480534; 0.214478; -0.336548; -1.189041;
0.490545; 0.211899; -0.312836; -1.201904;
0.500557; 0.194626; -0.297928; -1.204300;
0.510568; 0.176559; -0.301193; -1.188034;
0.520579; 0.159073; -0.303970; -1.153595;
0.530590; 0.154068; -0.308960; -1.118057;
0.540601; 0.147537; -0.315277; -1.099884;
0.550612; 0.143234; -0.317917; -1.086365;
0.560623; 0.138367; -0.328400; -1.069183;
0.570635; 0.132034; -0.350998; -1.053543;
0.580646; 0.129135; -0.370819; -1.037872;
0.590657; 0.128876; -0.379120; -1.025436;
0.600668; 0.133575; -0.380142; -1.017365;
0.610679; 0.148422; -0.372681; -1.010025;
0.620690; 0.160065; -0.370804; -1.002197;
0.630702; 0.158997; -0.376114; -0.997498;
0.640713; 0.151001; -0.377823; -0.994904;
0.650724; 0.137421; -0.381073; -0.990417;
0.660735; 0.116119; -0.379868; -0.978378;
0.670746; 0.101303; -0.371887; -0.953934;
0.680757; 0.099579; -0.364716; -0.932053;
0.690768; 0.106186; -0.355240; -0.920807;
0.700780; 0.109695; -0.339371; -0.918472;
0.710791; 0.107117; -0.329559; -0.919052;
0.720802; 0.099045; -0.327957; -0.916885;
0.730813; 0.092178; -0.331467; -0.903870;
0.740824; 0.091293; -0.334229; -0.887772;
