timestamp; x; y; z;
0.000000; 0.298874; -0.569641; -0.805328;
0.010011; 0.304138; -0.569519; -0.810776;
0.020023; 0.307526; -0.570145; -0.814865;
0.030034; 0.302917; -0.569244; -0.811096;
0.040046; 0.296677; -0.568359; -0.797867;
0.050058; 0.291367; -0.573380; -0.787430;
0.060069; 0.283203; -0.580124; -0.782593;
0.070081; 0.274307; -0.579956; -0.771469;
0.080092; 0.274612; -0.577484; -0.767792;
0.090104; 0.278397; -0.567139; -0.766632;
0.100115; 0.281555; -0.560806; -0.768753;
0.110127; 0.281998; -0.562119; -0.767700;
0.120139; 0.283051; -0.564072; -0.770981;
0.130150; 0.286438; -0.569641; -0.778763;
0.140162; 0.285751; -0.582321; -0.782089;
0.150173; 0.284668; -0.594910; -0.781570;
0.160185; 0.291977; -0.596100; -0.782730;
0.170196; 0.297440; -0.596802; -0.786453;
0.180208; 0.305832; -0.590866; -0.790421;
0.190220; 0.317184; -0.582092; -0.801193;
0.200231; 0.317337; -0.586288; -0.807556;
0.210243; 0.318634; -0.595566; -0.805969;
0.220254; 0.319580; -0.599457; -0.806366;
0.230266; 0.324921; -0.593430; -0.811539;
0.240277; 0.320831; -0.588959; -0.814133;
0.250289; 0.312515; -0.593887; -0.812225;
0.260301; 0.309891; -0.595734; -0.816727;
0.270312; 0.310501; -0.601990; -0.823044;
0.280324; 0.317627; -0.615097; -0.821518;
0.290335; 0.324539; -0.617645; -0.822205;
0.300347; 0.327057; -0.610672; -0.841339;
0.310359; 0.335922; -0.611008; -0.863419;
0.320370; 0.338898; -0.613022; -0.880859;
0.330382; 0.337296; -0.611069; -0.894104;
0.340393; 0.333755; -0.614029; -0.898163;
0.350405; 0.324600; -0.614227; -0.888733;
0.360416; 0.309540; -0.617157; -0.881363;
0.370428; 0.291367; -0.621216; -0.875534;
0.380440; 0.282669; -0.615204; -0.874298;
0.390451; 0.281235; -0.603989; -0.875946;
0.400463; 0.271133; -0.596161; -0.882660;
0.410474; 0.268753; -0.584381; -0.873428;
0.420486; 0.254517; -0.581741; -0.857727;
0.430497; 0.240646; -0.589020; -0.835800;
0.440509; 0.220596; -0.598572; -0.820938;
0.450521; 0.203598; -0.606705; -0.804123;
0.460532; 0.195160; -0.605103; -0.789871;
0.470544; 0.185654; -0.604385; -0.777542;
0.480555; 0.174194; -0.605728; -0.767075;
0.490567; 0.170029; -0.604736; -0.754807;
0.500578; 0.159546; -0.609970; -0.749374;
0.510590; 0.156387; -0.616592; -0.746948;
0.520602; 0.156677; -0.616623; -0.752502;
0.530613; 0.144928; -0.624405; -0.759048;
0.540625; 0.139175; -0.622421; -0.754242;
0.550636; 0.133911; -0.610367; -0.742416;
0.560648; 0.122498; -0.610229; -0.735123;
0.570659; 0.120209; -0.611725; -0.726273;
0.580671; 0.109833; -0.623291; -0.718475;
0.590683; 0.092621; -0.648071; -0.705429;
0.600694; 0.075714; -0.666046; -0.689514;
0.610706; 0.066986; -0.670227; -0.677628;
0.620717; 0.058472; -0.673416; -0.664200;
0.630729; 0.050995; -0.675125; -0.656723;
0.640740; 0.051422; -0.664261; -0.658661;
0.650752; 0.057907; -0.652420; -0.654282;
0.660764; 0.065323; -0.656418; -0.661270;
0.670775; 0.062576; -0.662140; -0.670731;
0.680787; 0.059525; -0.667679; -0.666916;
0.690798; 0.052643; -0.673294; -0.660538;
0.700810; 0.047729; -0.673386; -0.653503;
0.710821; 0.048950; -0.668655; -0.645981;
0.720833; 0.038712; -0.675507; -0.638168;
0.730845; 0.034500; -0.682404; -0.622787;
0.740856; 0.038879; -0.685898; -0.616653;
0.750868; 0.027512; -0.708176; -0.614151;
0.760879; 0.023590; -0.722046; -0.610214;
0.770891; 0.031097; -0.720032; -0.613373;
0.780903; 0.036728; -0.716949; -0.615952;
0.790914; 0.039841; -0.720718; -0.615555;
0.800926; 0.042938; -0.728867; -0.621536;
0.810937; 0.038284; -0.732895; -0.623840;
0.820949; 0.039383; -0.739090; -0.615372;
0.830960; 0.032059; -0.749664; -0.619431;
0.840972; 0.033981; -0.747910; -0.626175;
0.850984; 0.039841; -0.746231; -0.626846;
0.860995; 0.043869; -0.741989; -0.629120;
0.871007; 0.056290; -0.732880; -0.629379;
0.881018; 0.055511; -0.734940; -0.630142;
0.891030; 0.056213; -0.734482; -0.629135;
0.901041; 0.060608; -0.728851; -0.628021;
0.911053; 0.059433; -0.727875; -0.629700;
0.921065; 0.059280; -0.734116; -0.626526;
0.931076; 0.062881; -0.744690; -0.634048;
0.941088; 0.063141; -0.753998; -0.641159;
0.951099; 0.062378; -0.758041; -0.640396;
0.961111; 0.070114; -0.756912; -0.639206;
0.971123; 0.086609; -0.743988; -0.656036;
