timestamp; x; y; z;
0.000000; 0.280334; -0.548904; -0.679092;
0.010011; 0.278564; -0.556931; -0.695938;
0.020023; 0.281296; -0.573395; -0.708817;
0.030034; 0.281189; -0.585327; -0.712433;
0.040045; 0.278580; -0.594803; -0.722809;
0.050057; 0.278259; -0.609558; -0.717682;
0.060068; 0.285751; -0.628662; -0.717072;
0.070080; 0.279083; -0.645370; -0.717407;
0.080091; 0.264145; -0.645187; -0.719284;
0.090102; 0.242889; -0.632950; -0.726242;
0.100114; 0.234726; -0.623886; -0.726028;
0.110125; 0.234039; -0.613937; -0.740738;
0.120136; 0.227692; -0.607269; -0.735229;
0.130148; 0.231369; -0.609894; -0.737671;
0.140159; 0.233078; -0.616196; -0.739853;
0.150170; 0.241928; -0.630814; -0.737122;
0.160182; 0.247772; -0.643723; -0.732147;
0.170193; 0.251251; -0.646866; -0.725739;
0.180205; 0.249084; -0.651413; -0.722198;
0.190216; 0.238922; -0.650040; -0.722961;
0.200227; 0.226639; -0.642822; -0.718521;
0.210239; 0.219208; -0.635254; -0.725708;
0.220250; 0.220398; -0.635071; -0.726242;
0.230261; 0.229370; -0.641434; -0.725830;
0.240273; 0.241745; -0.641479; -0.726440;
0.250284; 0.246826; -0.632553; -0.723450;
0.260296; 0.246704; -0.628906; -0.724762;
0.270307; 0.251297; -0.628494; -0.720062;
0.280318; 0.264450; -0.626938; -0.716232;
0.290330; 0.273087; -0.629395; -0.714172;
0.300341; 0.267761; -0.637558; -0.714920;
0.310352; 0.260330; -0.623581; -0.712463;
0.320364; 0.252151; -0.594040; -0.715118;
0.330375; 0.244247; -0.574707; -0.718079;
0.340386; 0.233612; -0.559357; -0.711761;
0.350398; 0.236877; -0.548294; -0.721039;
0.360409; 0.247391; -0.554642; -0.731598;
0.370421; 0.254852; -0.569260; -0.735947;
0.380432; 0.254822; -0.577423; -0.740005;
0.390443; 0.249634; -0.580322; -0.741470;
0.400455; 0.240097; -0.589737; -0.741714;
0.410466; 0.234787; -0.600143; -0.745087;
0.420477; 0.235992; -0.599594; -0.744324;
0.430489; 0.237015; -0.602417; -0.744553;
0.440500; 0.234695; -0.604675; -0.741882;
0.450511; 0.233551; -0.594040; -0.745438;
0.460523; 0.206558; -0.568558; -0.733109;
0.470534; 0.187653; -0.546494; -0.736450;
0.480546; 0.183365; -0.553864; -0.756866;
0.490557; 0.170273; -0.563644; -0.763504;
0.500568; 0.160202; -0.558105; -0.784714;
0.510580; 0.170502; -0.557327; -0.803421;
0.520591; 0.154343; -0.572876; -0.809372;
0.530602; 0.134293; -0.593781; -0.823944;
0.540614; 0.121719; -0.594894; -0.824188;
0.550625; 0.093567; -0.583130; -0.820312;
0.560636; 0.076965; -0.577667; -0.831146;
0.570648; 0.068329; -0.590225; -0.859879;
0.580659; 0.044647; -0.595123; -0.842422;
0.590671; 0.018753; -0.595032; -0.842453;
0.600682; -0.013092; -0.596222; -0.858536;
0.610693; -0.044983; -0.591370; -0.849686;
0.620705; -0.049393; -0.603638; -0.864822;
0.630716; -0.042328; -0.628098; -0.876312;
0.640727; -0.047440; -0.642334; -0.871521;
0.650739; -0.053802; -0.653748; -0.868835;
0.660750; -0.052750; -0.670532; -0.853867;
0.670762; -0.063797; -0.688782; -0.845566;
0.680773; -0.139404; -0.740891; -0.831314;
0.690784; -0.204376; -0.742157; -0.870880;
0.700796; -0.206619; -0.689148; -0.884445;
0.710807; -0.212616; -0.669266; -0.849533;
0.720818; -0.210541; -0.674225; -0.870529;
0.730830; -0.176636; -0.660889; -0.873825;
0.740841; -0.116608; -0.645660; -0.859344;
0.750853; -0.068924; -0.634613; -0.857071;
0.760864; -0.028366; -0.592896; -0.815247;
0.770875; 0.000885; -0.571732; -0.807785;
0.780887; 0.003052; -0.596283; -0.831558;
0.790898; 0.026550; -0.600464; -0.812103;
0.800909; 0.044037; -0.588593; -0.814194;
0.810921; 0.024918; -0.585724; -0.812790;
0.820932; 0.029160; -0.574692; -0.816589;
0.830943; 0.050278; -0.556015; -0.828644;
0.840955; 0.050873; -0.561584; -0.815918;
0.850966; 0.051697; -0.554321; -0.831070;
0.860978; 0.049011; -0.555298; -0.867477;
0.870989; 0.042877; -0.556030; -0.875519;
0.881000; 0.063797; -0.552658; -0.812805;
0.891012; 0.070389; -0.566986; -0.813644;
0.901023; 0.050125; -0.592896; -0.820541;
0.911034; 0.041061; -0.604645; -0.808960;
0.921046; 0.029434; -0.617554; -0.787689;
0.931057; 0.019394; -0.633331; -0.771484;
0.941069; 0.016586; -0.638016; -0.763519;
0.951080; 0.013977; -0.633408; -0.760651;
0.961091; 0.012054; -0.629196; -0.750809;
0.971103; 0.006958; -0.625290; -0.754166;
0.981114; -0.004547; -0.617310; -0.767609;
0.991125; -0.027283; -0.611893; -0.779953;
1.001137; -0.042633; -0.623337; -0.794327;
1.011148; -0.032944; -0.633560; -0.794205;
1.021160; -0.014175; -0.623764; -0.791229;
1.031171; 0.001862; -0.616104; -0.791504;
1.041182; 0.012024; -0.620041; -0.783386;
1.051194; 0.024582; -0.615997; -0.781799;
1.061205; 0.034073; -0.616470; -0.775162;
1.071216; 0.030151; -0.616974; -0.782104;
1.081228; 0.016754; -0.612961; -0.782410;
1.091239; 0.010178; -0.614273; -0.781860;
1.101250; 0.009140; -0.616669; -0.783859;
1.111262; 0.006592; -0.620651; -0.792862;
1.121273; 0.000153; -0.620239; -0.797653;
1.131285; -0.001755; -0.616669; -0.797028;
1.141296; -0.001221; -0.623138; -0.799698;
1.151307; -0.000076; -0.615707; -0.795517;
1.161319; 0.001205; -0.621674; -0.786499;
1.171330; 0.007065; -0.620255; -0.794189;
1.181341; 0.007584; -0.618637; -0.787689;
1.191353; 0.002487; -0.622772; -0.793518;
1.201364; -0.001816; -0.622787; -0.793808;
1.211376; 0.000061; -0.619537; -0.793549;
1.221387; -0.000748; -0.623703; -0.792999;
1.231398; 0.000031; -0.625366; -0.789032;
1.241410; 0.003174; -0.623306; -0.786652;
1.251421; 0.014832; -0.617126; -0.775497;
1.261432; -0.013947; -0.623154; -0.774658;
1.271444; -0.011002; -0.622375; -0.795059;
1.281455; 0.000565; -0.611313; -0.785263;
1.291467; -0.002609; -0.620743; -0.777954;
1.301478; -0.006073; -0.620819; -0.789383;
1.311489; 0.005600; -0.617691; -0.784988;
1.321501; -0.001740; -0.624603; -0.786682;
1.331512; -0.013168; -0.628494; -0.803864;
1.341523; -0.006104; -0.625549; -0.805511;
1.351535; 0.003815; -0.619751; -0.803436;
1.361547; 0.006516; -0.612152; -0.805450;
1.371558; 0.003799; -0.614609; -0.805893;
1.381570; 0.006439; -0.617035; -0.805618;
1.391581; 0.007507; -0.616074; -0.799255;
1.401593; 0.002411; -0.613571; -0.791870;
1.411604; 0.000641; -0.615768; -0.788834;
1.421615; 0.001968; -0.620331; -0.790634;
1.431627; 0.003021; -0.622345; -0.791458;
1.441638; 0.003983; -0.620789; -0.788727;
1.451649; 0.001938; -0.623184; -0.789261;
1.461661; -0.001343; -0.621094; -0.790024;
1.471672; -0.000702; -0.616501; -0.792526;
1.481684; -0.000854; -0.617645; -0.794556;
1.491695; 0.000397; -0.618088; -0.795441;
1.501706; 0.000671; -0.615829; -0.797668;
1.511718; 0.000198; -0.620453; -0.796021;
1.521729; 0.000244; -0.623810; -0.794891;
1.531740; 0.000381; -0.620712; -0.796112;
1.541752; -0.002106; -0.620193; -0.794052;
1.551763; -0.005707; -0.620255; -0.793488;
