timestamp; x; y; z;
0.000000; 0.475647; -0.507812; -0.847763;
0.010012; 0.504822; -0.574265; -0.892532;
0.020023; 0.463089; -0.571899; -0.819000;
0.030035; 0.461731; -0.452118; -0.793564;
0.040047; 0.446411; -0.440384; -0.737839;
0.050059; 0.430359; -0.462494; -0.631592;
0.060070; 0.492981; -0.505966; -0.649872;
0.070082; 0.485321; -0.485672; -0.706406;
0.080094; 0.621185; -0.516418; -0.841782;
0.090106; 0.729630; -0.561310; -0.983002;
0.100118; 0.731888; -0.577621; -0.784897;
0.110129; 0.696609; -0.538208; -0.573761;
0.120141; 0.665359; -0.430695; -0.737259;
0.130153; 0.429764; -0.244217; -0.890396;
0.140165; 0.273361; -0.162796; -0.847534;
0.150176; 0.244232; -0.230667; -0.844009;
0.160188; 0.343704; -0.286835; -1.005508;
0.170200; 0.422226; -0.382034; -1.145859;
0.180212; 0.410645; -0.426895; -0.919067;
0.190223; 0.461090; -0.343307; -0.737473;
0.200235; 0.408463; -0.173233; -0.571487;
0.210247; 0.324234; -0.084244; -0.486679;
0.220259; 0.290924; -0.144135; -0.583115;
0.230270; 0.328339; -0.246231; -0.695328;
0.240282; 0.419067; -0.209213; -0.737946;
0.250294; 0.571716; -0.125427; -0.813354;
0.260306; 0.627228; -0.075989; -0.803375;
0.270317; 0.541611; -0.045807; -0.700272;
0.280332; 0.536804; -0.053772; -0.657272;
0.290344; 0.656342; -0.119385; -0.685745;
0.300356; 0.747299; -0.183334; -0.698196;
0.310367; 0.822144; -0.225479; -0.673553;
0.320379; 0.879135; -0.217468; -0.659149;
0.330391; 0.830383; -0.177155; -0.733612;
0.340403; 0.701965; -0.190491; -0.859055;
0.350415; 0.512589; -0.235077; -0.921814;
0.360426; 0.419128; -0.224365; -0.822372;
0.370438; 0.397552; -0.178741; -0.707672;
0.380450; 0.400192; -0.182587; -0.631912;
0.390462; 0.486450; -0.279266; -0.729248;
0.400473; 0.544724; -0.331161; -0.704742;
0.410485; 0.555435; -0.654205; -0.542114;
0.420497; 0.344574; -0.956848; -0.436874;
0.430509; -0.078979; -0.553909; -0.810211;
0.440520; -0.227722; -0.148087; -0.777725;
0.450532; -0.072510; -0.160904; -0.723419;
0.460544; 0.079987; -0.196762; -1.068710;
0.470556; 0.157333; -0.296417; -1.356201;
0.480567; 0.295563; -0.635605; -1.273346;
0.490579; 0.628174; -0.485535; -1.239502;
0.500591; 0.602875; -0.261414; -1.155930;
0.510603; 0.366608; -0.181580; -1.332550;
0.520614; 0.273956; -0.013336; -1.554703;
0.530626; 0.151047; 0.022049; -1.584702;
0.540638; 0.152817; -0.201950; -1.354553;
0.550650; 0.230881; -0.281082; -0.982361;
0.560662; 0.334824; -0.273026; -0.725342;
0.570673; 0.398758; -0.248138; -0.509567;
0.580685; 0.507568; -0.371536; -0.511368;
0.590697; 0.517212; -0.455078; -0.610321;
0.600709; 0.370224; -0.451660; -0.729050;
0.610720; 0.264221; -0.468811; -0.749115;
0.620732; 0.145248; -0.475464; -0.953278;
0.630744; 0.104416; -0.420319; -1.152344;
0.640756; 0.129395; -0.370743; -1.053757;
0.650767; 0.266953; -0.339386; -0.950287;
0.660779; 0.269012; -0.305527; -1.009109;
0.670791; 0.293015; -0.278641; -0.990784;
0.680803; 0.349670; -0.235138; -0.946579;
0.690814; 0.399124; -0.242020; -0.893509;
0.700826; 0.414261; -0.295364; -0.859543;
0.710838; 0.399704; -0.285538; -0.834930;
0.720850; 0.367950; -0.302368; -0.815155;
0.730861; 0.300766; -0.325424; -0.822266;
0.740873; 0.326660; -0.348373; -0.842087;
0.750885; 0.375732; -0.319656; -0.927002;
0.760897; 0.333984; -0.316406; -0.947098;
0.770909; 0.328003; -0.344162; -0.919891;
0.780920; 0.340866; -0.336960; -0.927368;
0.790932; 0.357208; -0.336929; -0.911469;
0.800944; 0.363937; -0.337204; -0.901276;
0.810956; 0.363251; -0.326294; -0.906708;
0.820967; 0.313858; -0.319809; -0.924164;
0.830979; 0.282867; -0.303574; -0.946457;
0.840991; 0.301193; -0.298340; -0.937286;
0.851003; 0.313522; -0.311096; -0.901321;
0.861014; 0.294647; -0.322662; -0.881927;
0.871026; 0.306625; -0.337051; -0.868225;
0.881038; 0.312653; -0.349304; -0.871445;
0.891050; 0.291992; -0.358841; -0.884201;
0.901061; 0.277618; -0.364960; -0.899872;
0.911073; 0.292435; -0.361526; -0.911194;
0.921085; 0.301224; -0.356277; -0.908585;
0.931097; 0.303085; -0.350662; -0.899536;
0.941108; 0.311859; -0.348938; -0.888123;
0.951120; 0.311783; -0.346176; -0.891174;
0.961132; 0.308258; -0.348587; -0.891220;
0.971144; 0.302628; -0.347382; -0.896286;
0.981155; 0.299423; -0.346756; -0.901199;
0.991167; 0.302567; -0.343445; -0.896011;
1.001179; 0.293198; -0.341690; -0.901566;
1.011191; 0.295731; -0.339539; -0.899979;
1.021203; 0.309235; -0.341568; -0.893982;
1.031214; 0.328140; -0.349655; -0.896057;
1.041226; 0.322327; -0.351746; -0.897995;
1.051238; 0.308228; -0.348648; -0.888443;
1.061250; 0.307785; -0.346497; -0.888458;
1.071261; 0.307068; -0.340958; -0.899933;
1.081273; 0.294830; -0.333405; -0.908295;
1.091285; 0.280136; -0.330673; -0.916550;
1.101297; 0.291550; -0.322021; -0.922333;
1.111308; 0.304398; -0.317841; -0.911041;
1.121320; 0.304977; -0.320786; -0.889725;
1.131332; 0.301575; -0.329910; -0.880432;
1.141344; 0.303802; -0.335709; -0.885376;
1.151355; 0.308441; -0.339691; -0.892349;
1.161367; 0.305847; -0.345245; -0.896439;
1.171379; 0.310425; -0.349503; -0.897644;
1.181391; 0.316681; -0.347458; -0.895172;
1.191402; 0.319839; -0.343430; -0.892136;
1.201414; 0.322678; -0.343002; -0.890381;
1.211426; 0.330994; -0.338562; -0.895233;
1.221438; 0.334946; -0.330963; -0.906311;
1.231450; 0.341232; -0.323273; -0.909515;
1.241461; 0.332321; -0.317871; -0.914948;
1.251473; 0.320389; -0.316208; -0.919067;
1.261485; 0.318619; -0.314499; -0.905930;
1.271497; 0.331558; -0.312042; -0.890137;
1.281505; 0.321259; -0.301743; -0.886337;
1.291517; 0.292877; -0.318268; -0.823929;
1.301529; 0.419266; -0.337646; -0.870499;
1.311541; 0.410828; -0.315582; -0.906906;
1.321552; 0.338654; -0.335968; -0.884323;
1.331564; 0.351974; -0.320587; -0.864120;
1.341576; 0.341248; -0.359772; -0.892639;
1.351588; 0.359634; -0.358032; -0.922256;
1.361599; 0.364243; -0.346329; -0.912216;
1.371611; 0.358627; -0.351608; -0.903595;
1.381623; 0.357010; -0.351257; -0.881958;
1.391635; 0.356110; -0.339798; -0.869064;
1.401647; 0.357880; -0.339874; -0.906021;
1.411658; 0.348083; -0.345001; -0.923126;
1.421670; 0.323715; -0.315567; -0.851334;
1.431682; 0.311813; -0.331696; -0.815292;
1.441694; 0.338150; -0.351334; -0.893250;
1.451705; 0.328308; -0.325073; -0.891861;
1.461717; 0.304443; -0.335999; -0.881607;
1.471729; 0.287872; -0.345444; -0.889572;
1.481741; 0.289322; -0.343155; -0.885208;
1.491752; 0.304092; -0.358398; -0.892990;
1.501764; 0.312698; -0.373764; -0.898575;
1.511776; 0.301498; -0.374466; -0.872223;
1.521788; 0.284546; -0.385117; -0.875107;
1.531799; 0.276123; -0.392502; -0.905945;
1.541811; 0.269073; -0.387314; -0.894363;
1.551823; 0.250946; -0.392395; -0.892990;
1.561835; 0.247955; -0.407898; -0.891068;
1.571846; 0.243073; -0.404541; -0.880096;
1.581858; 0.225540; -0.400650; -0.884018;
1.591870; 0.207687; -0.405975; -0.894150;
