timestamp; x; y; z;
0.000000; 0.250244; -0.777405; -0.670639;
0.010012; 0.233383; -0.778046; -0.642365;
0.020024; 0.219467; -0.760147; -0.626266;
0.030035; 0.212585; -0.740128; -0.625641;
0.040047; 0.206604; -0.733429; -0.636398;
0.050059; 0.201721; -0.736359; -0.649170;
0.060070; 0.198318; -0.743378; -0.660034;
0.070082; 0.194473; -0.754547; -0.669647;
0.080094; 0.189133; -0.764572; -0.667358;
0.090105; 0.188049; -0.759247; -0.659836;
0.100117; 0.189606; -0.745132; -0.649033;
0.110129; 0.189453; -0.731552; -0.641144;
0.120140; 0.184280; -0.724701; -0.636047;
0.130152; 0.177444; -0.731445; -0.631683;
0.140164; 0.169373; -0.737045; -0.625397;
0.150175; 0.167358; -0.738388; -0.624390;
0.160187; 0.168030; -0.734314; -0.629105;
0.170199; 0.168045; -0.733566; -0.636398;
0.180210; 0.173126; -0.734177; -0.644135;
0.190222; 0.174820; -0.738617; -0.649460;
0.200234; 0.174210; -0.745728; -0.650208;
0.210245; 0.175644; -0.755814; -0.645889;
0.220257; 0.177704; -0.760544; -0.640274;
0.230269; 0.182220; -0.758759; -0.637070;
0.240280; 0.188385; -0.749847; -0.636414;
0.250292; 0.190430; -0.747681; -0.633194;
0.260304; 0.188354; -0.745590; -0.629135;
0.270315; 0.185486; -0.737564; -0.627838;
0.280327; 0.183563; -0.731781; -0.631073;
0.290339; 0.182816; -0.733322; -0.637024;
0.300350; 0.183350; -0.740616; -0.639053;
0.310362; 0.190445; -0.743973; -0.637115;
0.320374; 0.194595; -0.752365; -0.636215;
0.330385; 0.192642; -0.759659; -0.635605;
0.340397; 0.193939; -0.762665; -0.635574;
0.350409; 0.195160; -0.766403; -0.633743;
0.360420; 0.194366; -0.758484; -0.635391;
0.370432; 0.192719; -0.744125; -0.638367;
0.380444; 0.189758; -0.735794; -0.641998;
0.390455; 0.187286; -0.729141; -0.643555;
0.400467; 0.185989; -0.723145; -0.648361;
0.410479; 0.184814; -0.717712; -0.656219;
0.420490; 0.179672; -0.710236; -0.658920;
0.430502; 0.177155; -0.705795; -0.661758;
0.440514; 0.165863; -0.707275; -0.661896;
0.450525; 0.154297; -0.699539; -0.662766;
0.460537; 0.155853; -0.703949; -0.673706;
0.470550; 0.154175; -0.700989; -0.688110;
0.480561; 0.153519; -0.693085; -0.699158;
0.490573; 0.157959; -0.682663; -0.718933;
0.500585; 0.160034; -0.673874; -0.735062;
0.510596; 0.163712; -0.664963; -0.748505;
0.520608; 0.165100; -0.656769; -0.761932;
0.530620; 0.166489; -0.649734; -0.770645;
0.540631; 0.163361; -0.643814; -0.772568;
0.550643; 0.153732; -0.641800; -0.770020;
0.560655; 0.142853; -0.639725; -0.768768;
0.570666; 0.132187; -0.639084; -0.764938;
0.580678; 0.121857; -0.635117; -0.748184;
0.590690; 0.117294; -0.630920; -0.732971;
0.600701; 0.112442; -0.628433; -0.734985;
0.610713; 0.114532; -0.611725; -0.750839;
