timestamp; x; y; z;
0.000000; 0.131744; -0.604431; -0.796371;
0.010012; 0.119385; -0.595093; -0.793747;
0.020023; 0.117432; -0.586182; -0.788116;
0.030035; 0.113815; -0.581772; -0.785126;
0.040047; 0.106461; -0.574677; -0.793457;
0.050059; 0.096573; -0.583099; -0.805283;
0.060070; 0.092407; -0.596100; -0.816956;
0.070082; 0.096390; -0.596619; -0.820267;
0.080094; 0.098465; -0.598114; -0.812683;
0.090105; 0.090393; -0.606827; -0.789062;
0.100117; 0.093872; -0.615784; -0.782135;
0.110129; 0.095795; -0.625626; -0.772934;
0.120141; 0.105408; -0.617584; -0.769714;
0.130152; 0.112564; -0.608871; -0.779160;
0.140164; 0.115280; -0.607819; -0.786133;
0.150176; 0.115128; -0.607788; -0.782700;
0.160187; 0.114166; -0.612839; -0.773956;
0.170199; 0.117447; -0.614410; -0.764648;
0.180211; 0.126770; -0.619934; -0.751984;
0.190223; 0.132446; -0.636810; -0.744446;
0.200234; 0.134232; -0.652634; -0.755127;
0.210246; 0.138962; -0.645905; -0.775482;
0.220258; 0.102859; -0.633408; -0.758575;
0.230269; 0.121292; -0.612518; -0.750488;
0.240281; 0.130539; -0.627777; -0.777679;
0.250293; 0.138336; -0.635269; -0.791595;
0.260305; 0.153397; -0.592087; -0.802094;
0.270316; 0.129532; -0.622147; -0.800262;
0.280328; 0.128708; -0.639404; -0.770599;
0.290340; 0.124725; -0.645172; -0.744522;
0.300351; 0.123062; -0.652420; -0.734268;
0.310363; 0.131683; -0.662720; -0.735168;
0.320375; 0.143799; -0.665634; -0.741776;
0.330387; 0.158279; -0.667496; -0.750854;
0.340398; 0.169968; -0.664566; -0.761627;
0.350410; 0.181610; -0.659073; -0.764618;
0.360422; 0.186172; -0.650604; -0.760681;
0.370433; 0.184662; -0.645966; -0.755997;
0.380445; 0.174225; -0.650818; -0.746292;
0.390457; 0.164673; -0.660904; -0.731125;
0.400469; 0.157440; -0.658829; -0.732071;
0.410480; 0.150940; -0.651138; -0.741089;
0.420492; 0.150192; -0.647507; -0.749527;
0.430504; 0.151352; -0.644287; -0.751450;
0.440515; 0.148453; -0.640488; -0.752258;
0.450527; 0.153351; -0.638855; -0.754593;
0.460539; 0.161652; -0.638840; -0.764664;
0.470551; 0.163452; -0.645508; -0.770462;
0.480562; 0.169449; -0.657608; -0.765060;
0.490574; 0.172043; -0.668091; -0.758392;
0.500586; 0.171143; -0.665909; -0.752060;
0.510597; 0.169281; -0.663300; -0.750473;
0.520609; 0.168869; -0.664078; -0.746490;
0.530621; 0.170364; -0.666275; -0.742126;
0.540636; 0.174881; -0.668518; -0.749207;
0.550647; 0.178421; -0.665558; -0.761505;
0.560659; 0.183929; -0.658005; -0.760178;
0.570671; 0.181061; -0.650894; -0.752869;
0.580682; 0.171661; -0.643799; -0.745743;
0.590694; 0.164688; -0.642700; -0.738098;
0.600706; 0.160370; -0.647720; -0.730087;
0.610718; 0.153656; -0.647461; -0.727478;
0.620729; 0.144226; -0.646866; -0.740463;
0.630741; 0.142548; -0.645691; -0.752975;
0.640753; 0.146500; -0.643005; -0.753311;
0.650764; 0.146500; -0.639587; -0.752975;
0.660776; 0.146362; -0.635345; -0.753189;
0.670788; 0.149750; -0.638153; -0.762482;
0.680800; 0.160431; -0.646530; -0.774109;
0.690811; 0.169083; -0.651001; -0.776917;
0.700823; 0.173355; -0.655167; -0.775192;
0.710835; 0.176437; -0.653412; -0.769180;
0.720846; 0.182800; -0.661240; -0.765106;
0.730858; 0.187195; -0.668304; -0.768539;
0.740870; 0.178986; -0.674820; -0.775085;
0.750882; 0.166626; -0.685577; -0.777374;
0.760893; 0.174652; -0.678345; -0.774109;
0.770905; 0.174957; -0.676086; -0.771240;
0.780917; 0.179840; -0.671219; -0.768997;
0.790928; 0.180756; -0.674438; -0.773315;
0.800940; 0.182312; -0.675613; -0.783188;
0.810952; 0.186447; -0.677277; -0.790344;
0.820964; 0.183578; -0.672760; -0.784500;
0.830975; 0.175507; -0.661407; -0.775192;
0.840987; 0.173035; -0.648972; -0.770630;
0.850999; 0.166428; -0.645447; -0.786270;
0.861011; 0.158234; -0.635605; -0.810150;
0.871022; 0.143082; -0.635986; -0.824799;
0.881034; 0.131790; -0.623322; -0.823273;
0.891046; 0.124069; -0.598633; -0.821228;
0.901057; 0.101212; -0.582809; -0.815536;
0.911069; 0.072845; -0.594376; -0.794876;
0.921081; 0.055176; -0.600845; -0.774307;
0.931093; 0.040436; -0.595276; -0.772339;
