timestamp; x; y; z;
0.000000; 0.022644; -0.517700; -0.875351;
0.010012; 0.033325; -0.517792; -0.877060;
0.020024; 0.056244; -0.527649; -0.896439;
0.030036; 0.040268; -0.524414; -0.889877;
0.040048; 0.029129; -0.503387; -0.860199;
0.050060; 0.034515; -0.502090; -0.856750;
0.060072; 0.032547; -0.521988; -0.871338;
0.070084; 0.023590; -0.530746; -0.865463;
0.080096; 0.025208; -0.527176; -0.851120;
0.090108; 0.027603; -0.532669; -0.845627;
0.100120; 0.018555; -0.535690; -0.847778;
0.110132; 0.018784; -0.525986; -0.847534;
0.120144; 0.024231; -0.520569; -0.837357;
0.130156; 0.029068; -0.528320; -0.834396;
0.140168; 0.022339; -0.529373; -0.840637;
0.150180; 0.025345; -0.523331; -0.837646;
0.160192; 0.025894; -0.522903; -0.841324;
0.170204; 0.017303; -0.528183; -0.845200;
0.180216; 0.015762; -0.528824; -0.856857;
0.190228; 0.015945; -0.532593; -0.857239;
0.200240; 0.004318; -0.533127; -0.849884;
0.210252; -0.005081; -0.532135; -0.857346;
0.220264; -0.008804; -0.530350; -0.851715;
0.230276; 0.003036; -0.523178; -0.849136;
0.240288; 0.015503; -0.522293; -0.857407;
0.250300; 0.014664; -0.526413; -0.842056;
0.260312; 0.015717; -0.528870; -0.849670;
0.270324; 0.018951; -0.529129; -0.845581;
0.280336; 0.036011; -0.529419; -0.844727;
0.290348; 0.033646; -0.526825; -0.860794;
0.300360; 0.034744; -0.520691; -0.857452;
0.310372; 0.035690; -0.515457; -0.868942;
0.320384; 0.031509; -0.514191; -0.855499;
0.330396; 0.045547; -0.508652; -0.864975;
0.340408; 0.045685; -0.508698; -0.882904;
0.350420; 0.047516; -0.511917; -0.863998;
0.360432; 0.046188; -0.503723; -0.874466;
0.370444; 0.048401; -0.508362; -0.878281;
0.380456; 0.052261; -0.512711; -0.866241;
0.390468; 0.045349; -0.517731; -0.866089;
0.400480; 0.040329; -0.527817; -0.865189;
0.410492; 0.036377; -0.538803; -0.863403;
0.420504; 0.032120; -0.537643; -0.866562;
0.430516; 0.031967; -0.536743; -0.863464;
0.440528; 0.034714; -0.535309; -0.861969;
0.450540; 0.026215; -0.531372; -0.862808;
0.460552; 0.028152; -0.521255; -0.857635;
0.470564; 0.034851; -0.516937; -0.851166;
0.480576; 0.027740; -0.520554; -0.849930;
0.490588; 0.032654; -0.516663; -0.849182;
0.500599; 0.034729; -0.520859; -0.852768;
0.510611; 0.035950; -0.527588; -0.853973;
0.520623; 0.034027; -0.532990; -0.857803;
0.530635; 0.027756; -0.528152; -0.860092;
0.540647; 0.025711; -0.524323; -0.861557;
0.550659; 0.029282; -0.526443; -0.861023;
0.560671; 0.033707; -0.524231; -0.860550;
0.570683; 0.034073; -0.520477; -0.863281;
0.580695; 0.033859; -0.519043; -0.863739;
0.590707; 0.033432; -0.518311; -0.864136;
0.600719; 0.027130; -0.514236; -0.860733;
0.610731; 0.019226; -0.523651; -0.862946;
0.620743; 0.012283; -0.536819; -0.871368;
0.630755; 0.002197; -0.542068; -0.872299;
0.640767; -0.006897; -0.526627; -0.871628;
0.650779; -0.012787; -0.522217; -0.874161;
0.660791; -0.012650; -0.522308; -0.879547;
0.670803; -0.007645; -0.516434; -0.879105;
0.680815; -0.001465; -0.518570; -0.878616;
0.690827; 0.003952; -0.520660; -0.877914;
0.700839; 0.013611; -0.523560; -0.869644;
0.710851; 0.020981; -0.529495; -0.863358;
0.720863; 0.026352; -0.532593; -0.858734;
0.730875; 0.021912; -0.538956; -0.860367;
0.740887; 0.020172; -0.545593; -0.858459;
0.750899; 0.022171; -0.536072; -0.858994;
0.760911; 0.024826; -0.526749; -0.858887;
0.770923; 0.032547; -0.515747; -0.860321;
0.780935; 0.036407; -0.510834; -0.860855;
0.790947; 0.041733; -0.512558; -0.863068;
0.800959; 0.049591; -0.512100; -0.859024;
0.810971; 0.058502; -0.515137; -0.855972;
0.820983; 0.059540; -0.524078; -0.859070;
0.830995; 0.057083; -0.529770; -0.854813;
0.841007; 0.057129; -0.529861; -0.854233;
0.851019; 0.052353; -0.527771; -0.856430;
0.861031; 0.050003; -0.526062; -0.853928;
0.871043; 0.053391; -0.519608; -0.852402;
0.881055; 0.056000; -0.518646; -0.850128;
0.891067; 0.058075; -0.520630; -0.846542;
0.901079; 0.059769; -0.522034; -0.845078;
0.911091; 0.059067; -0.523529; -0.848785;
0.921103; 0.059891; -0.521210; -0.848587;
0.931115; 0.059204; -0.520126; -0.845749;
0.941127; 0.056488; -0.522568; -0.848877;
0.951139; 0.056015; -0.523727; -0.847809;
0.961151; 0.058517; -0.524872; -0.843567;
0.971163; 0.057709; -0.527313; -0.847702;
0.981175; 0.059052; -0.526779; -0.850159;
0.991187; 0.058945; -0.523788; -0.853348;
1.001199; 0.062195; -0.520966; -0.859802;
1.011211; 0.060349; -0.518723; -0.857330;
1.021223; 0.058075; -0.517715; -0.854004;
1.031235; 0.055496; -0.522797; -0.853546;
1.041247; 0.053650; -0.528656; -0.857590;
1.051259; 0.053757; -0.530121; -0.857834;
1.061270; 0.055099; -0.527954; -0.854813;
1.071282; 0.058441; -0.527847; -0.857925;
1.081294; 0.061752; -0.524673; -0.855316;
1.091306; 0.063095; -0.519928; -0.856842;
1.101318; 0.064285; -0.519241; -0.859467;
1.111330; 0.065445; -0.522369; -0.855423;
1.121342; 0.064743; -0.520050; -0.860153;
1.131354; 0.062729; -0.521362; -0.865021;
1.141366; 0.060349; -0.525665; -0.860901;
1.151378; 0.060394; -0.528748; -0.856171;
1.161390; 0.061523; -0.531189; -0.853821;
1.171402; 0.064621; -0.528336; -0.848999;
1.181414; 0.063232; -0.525070; -0.850357;
1.191426; 0.061523; -0.522263; -0.854401;
1.201438; 0.058899; -0.519501; -0.855713;
1.211450; 0.056686; -0.523315; -0.859070;
1.221462; 0.058777; -0.522186; -0.855484;
1.231474; 0.062347; -0.521439; -0.855988;
1.241487; 0.062729; -0.527115; -0.851059;
1.251499; 0.064667; -0.531113; -0.851379;
1.261511; 0.062271; -0.535049; -0.853638;
1.271523; 0.052414; -0.534393; -0.858200;
1.281535; 0.047974; -0.521606; -0.861069;
1.291547; 0.045807; -0.511551; -0.860001;
1.301559; 0.047394; -0.510544; -0.862595;
1.311571; 0.049820; -0.515228; -0.863922;
1.321583; 0.049286; -0.521194; -0.866318;
1.331595; 0.048676; -0.523712; -0.864990;
1.341607; 0.052139; -0.523300; -0.862488;
1.351619; 0.050522; -0.525650; -0.863815;
1.361631; 0.048523; -0.520660; -0.866714;
1.371643; 0.050644; -0.521912; -0.870102;
1.381655; 0.059738; -0.517822; -0.865311;
1.391667; 0.060150; -0.513565; -0.865768;
1.401679; 0.059906; -0.505890; -0.867081;
1.411691; 0.057816; -0.506775; -0.869934;
1.421703; 0.053482; -0.508591; -0.875259;
1.431715; 0.052917; -0.509933; -0.881927;
1.441727; 0.052673; -0.517181; -0.884628;
1.451739; 0.049316; -0.521454; -0.890244;
1.461751; 0.045013; -0.524323; -0.896301;
1.471763; 0.040756; -0.524277; -0.896347;
1.481775; 0.041275; -0.519531; -0.895874;
1.491787; 0.040482; -0.513184; -0.902481;
1.501799; 0.043243; -0.512482; -0.898224;
1.511811; 0.046951; -0.507904; -0.898911;
1.521823; 0.051041; -0.509705; -0.896713;
1.531835; 0.054291; -0.509583; -0.884888;
1.541847; 0.057053; -0.511383; -0.878967;
1.551859; 0.055801; -0.520233; -0.873871;
1.561871; 0.051697; -0.530701; -0.869492;
1.571883; 0.049347; -0.531021; -0.863586;
1.581895; 0.046097; -0.530746; -0.860077;
