timestamp; x; y; z;
0.000000; -0.147614; -0.412079; -0.969498;
0.010012; -0.148834; -0.428574; -0.941452;
0.020025; -0.172272; -0.426804; -0.913742;
0.030037; -0.182831; -0.426163; -0.884933;
0.040050; -0.178650; -0.419220; -0.874588;
0.050062; -0.175919; -0.409271; -0.868286;
0.060075; -0.169373; -0.395828; -0.863403;
0.070087; -0.158142; -0.384628; -0.872269;
0.080100; -0.151077; -0.382233; -0.882156;
0.090112; -0.154404; -0.387131; -0.894073;
0.100125; -0.160904; -0.400162; -0.901657;
0.110137; -0.167084; -0.409637; -0.918411;
0.120150; -0.167816; -0.412857; -0.926575;
0.130162; -0.175034; -0.416122; -0.924026;
0.140175; -0.182693; -0.416367; -0.920853;
0.150187; -0.185867; -0.408630; -0.919983;
0.160200; -0.188507; -0.399323; -0.909729;
0.170212; -0.197205; -0.395447; -0.900070;
0.180225; -0.203659; -0.392975; -0.897095;
0.190237; -0.208374; -0.392838; -0.908463;
0.200250; -0.211288; -0.387634; -0.927826;
0.210262; -0.214325; -0.377319; -0.936920;
0.220275; -0.217010; -0.367020; -0.935776;
0.230287; -0.217529; -0.358932; -0.928986;
0.240299; -0.219864; -0.349442; -0.912415;
0.250312; -0.227127; -0.340576; -0.895767;
0.260324; -0.232025; -0.337555; -0.883163;
0.270337; -0.238190; -0.338776; -0.870071;
0.280349; -0.243866; -0.344040; -0.869919;
0.290362; -0.244843; -0.348984; -0.884232;
0.300374; -0.243912; -0.351868; -0.890533;
0.310387; -0.243866; -0.354126; -0.892624;
0.320399; -0.244461; -0.356567; -0.896225;
0.330412; -0.242218; -0.357590; -0.895187;
0.340424; -0.241989; -0.358047; -0.895798;
0.350437; -0.245316; -0.364227; -0.899719;
0.360449; -0.247269; -0.369980; -0.906494;
0.370462; -0.236053; -0.369385; -0.905655;
0.380474; -0.224533; -0.368210; -0.919235;
0.390487; -0.218704; -0.369476; -0.909622;
0.400499; -0.211258; -0.364990; -0.890656;
0.410512; -0.202026; -0.375580; -0.888992;
0.420524; -0.195160; -0.386124; -0.889664;
0.430537; -0.190613; -0.391953; -0.905121;
0.440549; -0.192276; -0.402771; -0.939575;
0.450561; -0.192184; -0.397141; -0.963120;
0.460574; -0.197769; -0.391052; -0.966339;
0.470586; -0.214859; -0.386398; -0.963882;
0.480599; -0.227707; -0.374084; -0.953339;
0.490611; -0.238174; -0.354782; -0.933319;
0.500624; -0.251938; -0.336990; -0.912827;
0.510636; -0.261566; -0.325180; -0.882309;
0.520649; -0.269455; -0.319458; -0.848038;
0.530661; -0.279999; -0.313980; -0.824982;
0.540674; -0.279465; -0.305206; -0.809311;
0.550686; -0.267578; -0.310364; -0.804688;
0.560699; -0.266953; -0.335907; -0.823441;
0.570711; -0.246979; -0.342529; -0.842178;
0.580724; -0.215424; -0.348709; -0.860733;
0.590736; -0.194702; -0.367783; -0.892883;
0.600749; -0.188873; -0.384140; -0.924759;
