timestamp; x; y; z;
0.000000; -0.018570; -0.368149; -0.868591;
0.010012; -0.005264; -0.372025; -0.901306;
0.020023; -0.005249; -0.385513; -0.947296;
0.030034; -0.023285; -0.421066; -0.986389;
0.040045; -0.060364; -0.458771; -1.006332;
0.050057; -0.079773; -0.485748; -1.007660;
0.060068; -0.104004; -0.461014; -1.017242;
0.070079; -0.144257; -0.398041; -1.016037;
0.080091; -0.104324; -0.397964; -0.962769;
0.090102; -0.164856; -0.369766; -0.958206;
0.100113; -0.182648; -0.349533; -0.975784;
0.110124; -0.165161; -0.365433; -0.972244;
0.120136; -0.203323; -0.365326; -0.969162;
0.130147; -0.235306; -0.331009; -0.947006;
0.140158; -0.208786; -0.307022; -0.844589;
0.150169; -0.195892; -0.288406; -0.770569;
0.160181; -0.155014; -0.249619; -0.745209;
0.170192; -0.042816; -0.245926; -0.718643;
0.180203; 0.059341; -0.264450; -0.719208;
0.190214; 0.044556; -0.282928; -0.781631;
0.200226; 0.004669; -0.295181; -0.854340;
0.210237; -0.035049; -0.325455; -0.905365;
0.220248; -0.082718; -0.370316; -0.878632;
0.230260; -0.111816; -0.409561; -0.808044;
0.240271; -0.111115; -0.447983; -0.833282;
0.250282; -0.152588; -0.382080; -0.903000;
0.260293; -0.190948; -0.185013; -0.848862;
0.270305; -0.067184; -0.408600; -0.885147;
0.280316; -0.058167; -0.416214; -1.083878;
0.290327; 0.016708; -0.425385; -1.273026;
0.300338; 0.076172; -0.429352; -1.360107;
0.310350; 0.021347; -0.397064; -1.266525;
0.320361; -0.069763; -0.367737; -1.110962;
0.330372; -0.083954; -0.347076; -0.982330;
0.340384; -0.057251; -0.310455; -0.910858;
0.350395; -0.037003; -0.271362; -0.882477;
0.360406; -0.013092; -0.279266; -0.864731;
0.370417; -0.022629; -0.353500; -0.881210;
0.380429; -0.044525; -0.387650; -0.898727;
0.390440; -0.064896; -0.419144; -0.925156;
0.400451; -0.105453; -0.428894; -0.938049;
0.410462; -0.139694; -0.403519; -0.923981;
0.420474; -0.136307; -0.358749; -0.904739;
0.430485; -0.112808; -0.327057; -0.904465;
0.440496; -0.092331; -0.312271; -0.916031;
0.450508; -0.057266; -0.307770; -0.932358;
0.460519; -0.020584; -0.322266; -0.954575;
0.470530; -0.007034; -0.349426; -0.971924;
0.480541; -0.013947; -0.369827; -0.973801;
0.490553; -0.033707; -0.356491; -0.957977;
0.500564; -0.054947; -0.356293; -0.941284;
0.510575; -0.082779; -0.333893; -0.939178;
0.520586; -0.093628; -0.301239; -0.946869;
0.530598; -0.085297; -0.310913; -0.935120;
0.540609; -0.080612; -0.343018; -0.950500;
0.550620; -0.077301; -0.348831; -0.935486;
0.560632; -0.070374; -0.343826; -0.909012;
0.570643; -0.067551; -0.339905; -0.914398;
0.580654; -0.074982; -0.342270; -0.931320;
0.590665; -0.086411; -0.347519; -0.941620;
0.600677; -0.093979; -0.351837; -0.939407;
0.610688; -0.096924; -0.348984; -0.939407;
0.620699; -0.089630; -0.342194; -0.946915;
0.630710; -0.078720; -0.335464; -0.959335;
0.640722; -0.071548; -0.333115; -0.964890;
0.650733; -0.075378; -0.331100; -0.958267;
0.660744; -0.079666; -0.328278; -0.947632;
0.670756; -0.085831; -0.324646; -0.933914;
0.680767; -0.087097; -0.328217; -0.926270;
0.690778; -0.079971; -0.341705; -0.934143;
0.700789; -0.064438; -0.356964; -0.947067;
0.710801; -0.060120; -0.358963; -0.951370;
0.720812; -0.051666; -0.356949; -0.955032;
0.730823; -0.046921; -0.356979; -0.955521;
0.740834; -0.060974; -0.349854; -0.948883;
0.750846; -0.084991; -0.341461; -0.944824;
0.760857; -0.085876; -0.351944; -0.923325;
0.770868; -0.087250; -0.358841; -0.905655;
0.780879; -0.089172; -0.357849; -0.909393;
0.790891; -0.090576; -0.361389; -0.922440;
