timestamp; x; y; z;
0.000000; 0.253220; -0.543762; -0.669083;
0.010012; 0.229660; -0.511978; -0.625397;
0.020024; 0.228455; -0.504364; -0.622467;
0.030036; 0.243530; -0.531357; -0.672394;
0.040048; 0.257034; -0.579834; -0.754303;
0.050059; 0.272446; -0.603012; -0.820831;
0.060071; 0.281967; -0.592743; -0.840378;
0.070083; 0.278824; -0.576385; -0.829346;
0.080094; 0.270203; -0.562073; -0.805389;
0.090106; 0.260696; -0.558075; -0.797623;
0.100118; 0.265854; -0.561493; -0.802582;
0.110130; 0.284897; -0.560623; -0.817825;
0.120141; 0.296982; -0.555725; -0.831146;
0.130153; 0.309952; -0.549622; -0.843979;
0.140165; 0.315613; -0.538071; -0.848969;
0.150177; 0.314407; -0.523727; -0.837982;
0.160189; 0.307419; -0.515472; -0.816376;
0.170201; 0.294312; -0.522842; -0.799118;
0.180212; 0.279404; -0.537827; -0.799316;
0.190224; 0.271362; -0.547287; -0.798111;
0.200236; 0.266647; -0.552536; -0.798691;
0.210248; 0.253738; -0.553268; -0.791183;
0.220260; 0.234787; -0.562439; -0.778076;
0.230272; 0.237091; -0.556580; -0.801392;
0.240283; 0.237854; -0.535721; -0.823730;
0.250295; 0.244888; -0.521332; -0.836380;
0.260307; 0.246704; -0.516922; -0.828171;
0.270319; 0.255737; -0.512375; -0.833420;
0.280331; 0.265854; -0.495224; -0.830338;
0.290343; 0.267960; -0.503860; -0.815674;
0.300355; 0.269318; -0.528000; -0.836105;
0.310366; 0.270325; -0.517563; -0.854065;
0.320378; 0.267853; -0.503799; -0.854752;
0.330390; 0.251602; -0.492523; -0.841141;
0.340402; 0.237854; -0.488235; -0.821365;
0.350414; 0.229309; -0.494492; -0.805161;
0.360426; 0.225754; -0.499191; -0.805054;
0.370437; 0.225861; -0.505524; -0.818893;
0.380449; 0.239944; -0.508759; -0.827744;
0.390461; 0.251877; -0.511292; -0.830170;
0.400473; 0.247726; -0.514236; -0.818558;
0.410485; 0.246979; -0.516037; -0.817612;
0.420497; 0.256683; -0.523499; -0.825699;
