timestamp; x; y; z;
0.000000; 0.199661; -0.579391; -0.720139;
0.010012; 0.167892; -0.578964; -0.681564;
0.020024; 0.169785; -0.595383; -0.646194;
0.030036; 0.208969; -0.613342; -0.680405;
0.040048; 0.228867; -0.641510; -0.722717;
0.050060; 0.235764; -0.600800; -0.679520;
0.060072; 0.237518; -0.582748; -0.656174;
0.070084; 0.236725; -0.584961; -0.741211;
0.080096; 0.280609; -0.621887; -0.779037;
0.090108; 0.293686; -0.643204; -0.768066;
0.100120; 0.284683; -0.602371; -0.824554;
0.110132; 0.261856; -0.514648; -0.784592;
0.120144; 0.244827; -0.492645; -0.774429;
0.130156; 0.277863; -0.529343; -0.838623;
0.140167; 0.290848; -0.545746; -0.842270;
0.150179; 0.299805; -0.469559; -0.795105;
0.160191; 0.309921; -0.523544; -0.864777;
0.170203; 0.292587; -0.574600; -0.900604;
0.180215; 0.250717; -0.511383; -0.832733;
0.190227; 0.248993; -0.479385; -0.797333;
0.200239; 0.272141; -0.483536; -0.791245;
0.210251; 0.284378; -0.501083; -0.794556;
0.220263; 0.290222; -0.497986; -0.806610;
0.230275; 0.283249; -0.483948; -0.829529;
0.240287; 0.279465; -0.466629; -0.856323;
0.250299; 0.289948; -0.453323; -0.884933;
0.260311; 0.263428; -0.460007; -0.906845;
0.270322; 0.217987; -0.477539; -0.889084;
0.280334; 0.273682; -0.454086; -0.858963;
0.290346; 0.338181; -0.416107; -0.876541;
0.300358; 0.350510; -0.389069; -0.883438;
0.310370; 0.341568; -0.370956; -0.855179;
0.320382; 0.335541; -0.370361; -0.856293;
0.330394; 0.331787; -0.380615; -0.868713;
0.340406; 0.316162; -0.411972; -0.876205;
0.350418; 0.324387; -0.418152; -0.886108;
0.360430; 0.323395; -0.413300; -0.882904;
0.370442; 0.278137; -0.448730; -0.870621;
0.380454; 0.279327; -0.457413; -0.877167;
0.390461; 0.312408; -0.434906; -0.876068;
0.400473; 0.331116; -0.407623; -0.864120;
0.410485; 0.335648; -0.385071; -0.861237;
0.420497; 0.347153; -0.363480; -0.866318;
0.430509; 0.357559; -0.333847; -0.890839;
0.440521; 0.389847; -0.307007; -0.960556;
0.450533; 0.335373; -0.351105; -0.948853;
0.460545; 0.262711; -0.399460; -0.844177;
0.470557; 0.296936; -0.385330; -0.862305;
0.480569; 0.325363; -0.379700; -0.883499;
0.490581; 0.323380; -0.391968; -0.876801;
0.500593; 0.315796; -0.405487; -0.866638;
0.510605; 0.315460; -0.396912; -0.867386;
0.520617; 0.318237; -0.388657; -0.873657;
0.530628; 0.313538; -0.394135; -0.873245;
0.540640; 0.310623; -0.395706; -0.872955;
0.550652; 0.308136; -0.390991; -0.873047;
0.560664; 0.310455; -0.388519; -0.873322;
0.570676; 0.312241; -0.392303; -0.874557;
0.580688; 0.313004; -0.393814; -0.873642;
0.590700; 0.311661; -0.391922; -0.874268;
0.600712; 0.308929; -0.390823; -0.874344;
0.610724; 0.306061; -0.392166; -0.873764;
0.620736; 0.304688; -0.394180; -0.875153;
0.630748; 0.304611; -0.396805; -0.875854;
0.640760; 0.306320; -0.398941; -0.875977;
0.650772; 0.305466; -0.399567; -0.871567;
0.660783; 0.307373; -0.401398; -0.870468;
0.670795; 0.310547; -0.400818; -0.869934;
0.680807; 0.313339; -0.398865; -0.869614;
0.690819; 0.313980; -0.398666; -0.869308;
0.700831; 0.312439; -0.399292; -0.870682;
0.710843; 0.310654; -0.397827; -0.872330;
0.720855; 0.308884; -0.396378; -0.872711;
0.730867; 0.307663; -0.395828; -0.874298;
0.740879; 0.303146; -0.392197; -0.874420;
0.750891; 0.303223; -0.391083; -0.875092;
0.760903; 0.306503; -0.389496; -0.875671;
0.770915; 0.309174; -0.389542; -0.875961;
0.780927; 0.310974; -0.390228; -0.875412;
